kbcached,aceph01,aceph02,aceph03,aceph04
0,111592.0,121412.0,129672.0,97608.0
1,141160.0,157812.0,153128.0,129276.0
2,160880.0,186876.0,168332.0,148836.0
3,159988.0,193484.0,191624.0,158824.0
4,171800.0,213788.0,208484.0,173708.0
5,193828.0,228664.0,217472.0,187816.0
6,204536.0,240220.0,227624.0,199768.0
7,215104.0,261300.0,245292.0,212592.0
8,228456.0,270636.0,257956.0,222892.0
9,252264.0,284148.0,265496.0,223948.0
10,241652.0,265388.0,270612.0,233472.0
11,240816.0,258608.0,273496.0,241624.0
12,241400.0,252800.0,271096.0,254892.0
13,252700.0,253448.0,268472.0,248232.0
14,233208.0,253620.0,268580.0,242252.0
15,233288.0,252880.0,262392.0,239032.0
16,232040.0,251864.0,249152.0,237528.0
17,234160.0,256096.0,254492.0,236768.0
18,237652.0,259092.0,258064.0,241988.0
19,238216.0,258620.0,257312.0,245596.0
20,240812.0,260992.0,258632.0,245868.0
21,244304.0,262296.0,261680.0,246224.0
22,244180.0,262676.0,260688.0,246184.0
23,244940.0,263968.0,262256.0,246984.0
24,248540.0,265096.0,260108.0,249044.0
25,252852.0,267488.0,261032.0,248664.0
26,256812.0,272968.0,266928.0,251996.0
27,258744.0,273920.0,267352.0,254344.0
28,259156.0,277464.0,268008.0,254984.0
29,263752.0,276268.0,274116.0,253840.0
30,264832.0,276332.0,276548.0,261624.0
31,268640.0,277192.0,270704.0,262736.0
32,271180.0,280272.0,274180.0,258932.0
33,274040.0,284948.0,274140.0,259852.0
34,275372.0,285244.0,275020.0,263800.0
35,274636.0,283136.0,275136.0,263944.0
36,277480.0,287744.0,276976.0,261180.0
37,279820.0,292432.0,279208.0,263012.0
38,284696.0,294052.0,282792.0,266896.0
39,286928.0,296516.0,285544.0,270028.0
40,289352.0,297500.0,287076.0,273392.0
41,283712.0,290832.0,289336.0,274112.0
42,288004.0,294420.0,293636.0,274768.0
43,296728.0,302860.0,300480.0,277008.0
44,304236.0,308908.0,298032.0,278692.0
45,308532.0,307780.0,301516.0,284780.0
46,305056.0,308140.0,306208.0,288004.0
47,308040.0,311204.0,311368.0,293004.0
48,307492.0,310416.0,305720.0,295052.0
49,313880.0,323128.0,314260.0,294516.0
50,318988.0,328032.0,322096.0,299596.0
51,322164.0,329972.0,324028.0,304816.0
52,322096.0,330220.0,315796.0,307288.0
53,322576.0,329940.0,315856.0,307444.0
54,327772.0,331148.0,319276.0,307640.0
55,333324.0,339844.0,324800.0,311640.0
56,341568.0,362008.0,333732.0,318336.0
57,345728.0,352388.0,336920.0,328484.0
58,351620.0,358520.0,341744.0,322736.0
59,378128.0,364428.0,346964.0,328868.0
60,363188.0,365252.0,346436.0,335656.0
61,361488.0,366080.0,343316.0,329616.0
62,360372.0,365204.0,344044.0,328308.0
63,364584.0,369552.0,345148.0,329300.0
64,371084.0,376940.0,350148.0,332604.0
65,367316.0,378740.0,353692.0,338212.0
66,366196.0,384936.0,357552.0,342892.0
67,365676.0,377836.0,357744.0,340072.0
68,367768.0,380040.0,359420.0,340316.0
69,367992.0,378056.0,359556.0,335348.0
70,372416.0,377680.0,362512.0,336252.0
71,377536.0,381896.0,367892.0,339704.0
72,418852.0,388960.0,366160.0,337268.0
73,404020.0,390500.0,361180.0,341128.0
74,398376.0,391008.0,362364.0,343668.0
75,398912.0,392528.0,362872.0,343496.0
76,381388.0,390992.0,364912.0,344692.0
77,379144.0,394460.0,361996.0,338100.0
78,387092.0,401208.0,377748.0,344820.0
79,387940.0,401816.0,382616.0,351652.0
80,390796.0,404632.0,388476.0,352584.0
81,391836.0,405344.0,383456.0,354868.0
82,392776.0,406200.0,384456.0,355492.0
83,396636.0,402256.0,387736.0,357692.0
84,398748.0,403440.0,388544.0,360216.0
85,402944.0,406048.0,392308.0,360480.0
86,405804.0,427284.0,397164.0,363676.0
87,407920.0,422692.0,398632.0,369000.0
88,412308.0,425800.0,402468.0,375396.0
89,413364.0,425964.0,403528.0,375252.0
90,419944.0,431448.0,407996.0,368848.0
91,421772.0,432180.0,407080.0,374820.0
92,427304.0,438880.0,411620.0,375472.0
93,429436.0,433244.0,413908.0,383016.0
94,446224.0,442332.0,415156.0,384788.0
95,448256.0,441320.0,420724.0,391472.0
96,447544.0,440604.0,422460.0,395228.0
97,449416.0,442384.0,423308.0,397196.0
98,452776.0,445184.0,427092.0,396064.0
99,460860.0,451900.0,435048.0,393264.0
100,461208.0,453056.0,436988.0,398764.0
101,464028.0,462000.0,439028.0,400296.0
102,462820.0,464708.0,443060.0,408348.0
103,464496.0,465472.0,441868.0,406184.0
104,463204.0,465336.0,440388.0,406204.0
105,468036.0,469284.0,444028.0,403276.0
106,474064.0,472512.0,453184.0,410016.0
107,476160.0,474892.0,453568.0,416220.0
108,478116.0,475612.0,457016.0,419528.0
109,479256.0,478184.0,455948.0,421572.0
110,482052.0,478900.0,450680.0,426176.0
111,481568.0,480728.0,449808.0,425552.0
112,481764.0,478780.0,450388.0,425908.0
113,490716.0,487596.0,455740.0,422704.0
114,495800.0,483676.0,458664.0,432808.0
115,499012.0,481228.0,463176.0,434924.0
116,500724.0,481992.0,463944.0,437040.0
117,500720.0,481736.0,462816.0,439216.0
118,505328.0,486256.0,467780.0,440772.0
119,501596.0,481916.0,469064.0,443212.0
120,499304.0,483324.0,471144.0,444376.0
121,503904.0,488480.0,475336.0,445948.0
122,515156.0,496496.0,479936.0,448884.0
123,510544.0,495676.0,480892.0,453836.0
124,518188.0,502784.0,489068.0,456908.0
125,520628.0,505944.0,490944.0,461724.0
126,522320.0,508700.0,495168.0,462912.0
127,521164.0,500192.0,497828.0,465924.0
128,524864.0,503228.0,504328.0,460608.0
129,526472.0,503440.0,506316.0,464264.0
130,528872.0,505516.0,504480.0,466924.0
131,533236.0,509044.0,508548.0,465996.0
132,541896.0,516972.0,515016.0,484892.0
133,543416.0,517924.0,516344.0,488396.0
134,544464.0,521480.0,518540.0,493328.0
135,546568.0,521196.0,519600.0,494248.0
136,547804.0,523244.0,522524.0,497256.0
137,546684.0,526256.0,525084.0,501156.0
138,547196.0,527668.0,524104.0,504916.0
139,545264.0,530092.0,528144.0,503688.0
140,549852.0,528816.0,532384.0,506420.0
141,553816.0,530780.0,529836.0,512896.0
142,557408.0,531308.0,533748.0,513852.0
143,549520.0,532668.0,534544.0,517320.0
144,544636.0,534676.0,536952.0,518476.0
145,545364.0,534664.0,536632.0,522644.0
146,550844.0,540864.0,540312.0,523712.0
147,558200.0,545580.0,545740.0,525276.0
148,558000.0,548768.0,547408.0,513628.0
149,565376.0,550156.0,551060.0,517220.0
150,566392.0,550372.0,552156.0,521172.0
151,569256.0,544908.0,555304.0,521864.0
152,572732.0,548356.0,558220.0,526696.0
153,575880.0,553420.0,557540.0,528480.0
154,578516.0,555108.0,561640.0,533840.0
155,579672.0,554680.0,562720.0,535524.0
156,583908.0,558292.0,565392.0,535284.0
157,589876.0,562968.0,572536.0,535652.0
158,592200.0,565984.0,578004.0,542276.0
159,595268.0,569632.0,579984.0,545780.0
160,601172.0,576436.0,587152.0,550236.0
161,603096.0,582788.0,595172.0,557716.0
162,610332.0,588420.0,599712.0,557012.0
163,611516.0,588076.0,600984.0,558156.0
164,612624.0,589924.0,601788.0,565352.0
165,616952.0,590808.0,602496.0,565084.0
166,618752.0,593892.0,604700.0,567084.0
167,618104.0,594256.0,603952.0,572576.0
168,619732.0,595932.0,607240.0,573516.0
169,623860.0,597092.0,612524.0,574864.0
170,628632.0,601188.0,620336.0,569848.0
171,627184.0,601496.0,614100.0,570348.0
172,631384.0,606124.0,622136.0,571952.0
173,624340.0,608384.0,619160.0,574588.0
174,626636.0,611064.0,614572.0,576908.0
175,630436.0,612976.0,617628.0,582356.0
176,627296.0,615124.0,619968.0,584772.0
177,627768.0,615564.0,629664.0,587172.0
178,633780.0,620084.0,634780.0,587364.0
179,630724.0,621916.0,636320.0,591024.0
180,629568.0,619464.0,642144.0,593964.0
181,631604.0,619044.0,641552.0,598180.0
182,628908.0,621064.0,641584.0,597960.0
183,631356.0,624948.0,643312.0,600732.0
