kbcached,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,219748.0,221424.0,223332.0,221648.0,220416.0,224028.0,223896.0,221716.0,224244.0,224016.0,220324.0,222600.0,220280.0,222216.0,222668.0,220052.0,222264.0,226224.0,222504.0,221428.0,223508.0,222304.0,221548.0,219576.0,217328.0,222532.0,219632.0,222116.0,221196.0,222160.0,222800.0,224880.0,222720.0,222440.0,221960.0,219708.0,222232.0,218928.0,219528.0,222568.0,219132.0,219704.0,223936.0,218628.0,218676.0,222560.0,220232.0,220900.0,220496.0,212528.0,219704.0,216880.0,223052.0,224348.0,218952.0,219240.0,220776.0,223016.0,224828.0,222648.0,221344.0,223044.0,223924.0,220236.0,219548.0,219468.0,223020.0,222736.0,220004.0,223612.0,219748.0,221728.0,220644.0,224096.0,223356.0,218440.0,220776.0,222036.0,220800.0,222684.0,221032.0,222304.0,217760.0,222688.0,219136.0,219832.0,222812.0,224176.0,220388.0,219912.0,223884.0,220488.0,221992.0,223216.0,224212.0,221528.0,222064.0,222528.0,216528.0,222396.0,222364.0,222948.0,218644.0,222632.0,223268.0,221304.0,222200.0,220284.0,222600.0,223692.0,222156.0,219352.0,220536.0,222112.0,216924.0,221752.0,224468.0,222344.0,205724.0,219852.0,219192.0,207180.0,221784.0,221668.0,218976.0,222312.0,219292.0,221384.0,222016.0,219684.0,219748.0,219056.0,221968.0,222580.0,221764.0,219612.0,222900.0,222124.0,222576.0,221752.0
1,219760.0,221440.0,223332.0,221664.0,220416.0,224044.0,223896.0,221732.0,224264.0,224036.0,220356.0,222632.0,220296.0,222256.0,222680.0,220060.0,222264.0,226240.0,222504.0,221444.0,223524.0,222344.0,221548.0,219584.0,217360.0,222532.0,219656.0,222124.0,221224.0,222160.0,222800.0,224908.0,222752.0,222448.0,221992.0,219688.0,222252.0,218932.0,219528.0,222576.0,219148.0,219744.0,223964.0,218628.0,218704.0,222560.0,220244.0,220900.0,220512.0,212540.0,219720.0,216892.0,223052.0,224348.0,218976.0,219240.0,220792.0,223032.0,224828.0,222672.0,221364.0,223076.0,223940.0,220256.0,219548.0,219468.0,223036.0,222752.0,220044.0,223632.0,219764.0,221744.0,220660.0,224092.0,223356.0,218464.0,220756.0,222036.0,220824.0,222704.0,221052.0,222344.0,217788.0,222712.0,219148.0,219860.0,222836.0,224192.0,220420.0,219924.0,223908.0,220532.0,222000.0,223232.0,224228.0,221536.0,222080.0,222544.0,216560.0,222432.0,222384.0,222968.0,218660.0,222644.0,223268.0,221320.0,222200.0,220324.0,222612.0,223712.0,222184.0,219352.0,220564.0,222120.0,216964.0,221792.0,224468.0,222360.0,205748.0,219876.0,219220.0,207224.0,221796.0,221672.0,218984.0,222356.0,219324.0,221432.0,222016.0,219724.0,219772.0,219064.0,222012.0,222596.0,221764.0,219644.0,222888.0,222124.0,222616.0,221760.0
2,219780.0,221452.0,223360.0,221696.0,220444.0,224060.0,223928.0,221748.0,224316.0,224048.0,220368.0,222640.0,220332.0,222268.0,222716.0,220096.0,222304.0,226240.0,222544.0,221468.0,223540.0,222356.0,221588.0,219584.0,217384.0,222572.0,219696.0,222144.0,221224.0,222176.0,222840.0,224936.0,222760.0,222480.0,221996.0,219724.0,222276.0,218956.0,219568.0,222608.0,219168.0,219764.0,223964.0,218640.0,218724.0,222596.0,220260.0,220936.0,220528.0,212572.0,219756.0,216892.0,223088.0,224380.0,218984.0,219248.0,220820.0,223064.0,224856.0,222704.0,221384.0,223096.0,223956.0,220288.0,219576.0,219500.0,223052.0,222768.0,220076.0,223648.0,219784.0,221760.0,220716.0,224108.0,223384.0,218496.0,220808.0,222076.0,220844.0,222744.0,221104.0,222344.0,217816.0,222732.0,219180.0,219892.0,222856.0,224232.0,220408.0,219940.0,223928.0,220540.0,222020.0,223260.0,224256.0,221576.0,222108.0,222572.0,216576.0,222440.0,222408.0,222992.0,218688.0,222644.0,223312.0,221352.0,222256.0,220344.0,222636.0,223744.0,222208.0,219392.0,220576.0,222132.0,216984.0,221824.0,224512.0,222384.0,205764.0,219904.0,219240.0,207240.0,221796.0,221672.0,219028.0,222372.0,219340.0,221452.0,222060.0,219740.0,219788.0,219096.0,222036.0,222616.0,221804.0,219656.0,222924.0,222160.0,222628.0,221796.0
3,219800.0,221484.0,223400.0,221708.0,220484.0,224088.0,223940.0,221788.0,224324.0,224100.0,220368.0,222640.0,220328.0,222268.0,222728.0,220096.0,222304.0,226288.0,222576.0,221488.0,223568.0,222388.0,221620.0,219624.0,217404.0,222592.0,219708.0,222164.0,221264.0,222200.0,222840.0,224956.0,222760.0,222480.0,222036.0,219752.0,222316.0,218984.0,219568.0,222612.0,219200.0,219804.0,224000.0,218672.0,218752.0,222632.0,220260.0,220960.0,220552.0,212584.0,219764.0,216932.0,223128.0,224392.0,219000.0,219284.0,220820.0,223076.0,224884.0,222708.0,221404.0,223096.0,223984.0,220296.0,219608.0,219512.0,223080.0,222796.0,220084.0,223676.0,219808.0,221792.0,220728.0,224124.0,223416.0,218500.0,220796.0,222076.0,220860.0,222744.0,221092.0,222364.0,217832.0,222748.0,219180.0,219908.0,222872.0,224236.0,220444.0,219964.0,223944.0,220540.0,222036.0,223260.0,224272.0,221576.0,222108.0,222588.0,216616.0,222440.0,222424.0,223008.0,218688.0,222680.0,223312.0,221352.0,222260.0,220360.0,222636.0,223756.0,222208.0,219392.0,220580.0,222172.0,217004.0,221828.0,224528.0,222416.0,205784.0,219916.0,219260.0,207256.0,221820.0,221716.0,219028.0,222392.0,219340.0,221468.0,222072.0,219760.0,219804.0,219108.0,222052.0,222640.0,221804.0,219656.0,222940.0,222188.0,222628.0,221812.0
4,219820.0,221500.0,223408.0,221708.0,220492.0,224104.0,223956.0,221792.0,224344.0,224100.0,220404.0,222680.0,220372.0,222308.0,222728.0,220112.0,222344.0,226296.0,222580.0,221504.0,223584.0,222400.0,221624.0,219624.0,217420.0,222608.0,219708.0,222184.0,221284.0,222232.0,222880.0,224956.0,222800.0,222500.0,222036.0,219768.0,222304.0,219000.0,219608.0,222612.0,219208.0,219804.0,224008.0,218672.0,218772.0,222636.0,220304.0,220976.0,220564.0,212584.0,219764.0,216952.0,223128.0,224392.0,219036.0,219300.0,220860.0,223076.0,224900.0,222724.0,221424.0,223116.0,224000.0,220296.0,219624.0,219528.0,223096.0,222812.0,220084.0,223692.0,219824.0,221812.0,220744.0,224152.0,223416.0,218524.0,220816.0,222116.0,220884.0,222784.0,221112.0,222384.0,217856.0,222772.0,219220.0,219932.0,222896.0,224260.0,220468.0,219980.0,223968.0,220560.0,222060.0,223300.0,224296.0,221596.0,222148.0,222612.0,216616.0,222480.0,222448.0,223032.0,218728.0,222704.0,223352.0,221372.0,222260.0,220384.0,222676.0,223788.0,222248.0,219428.0,220620.0,222188.0,217004.0,221852.0,224528.0,222436.0,205804.0,219936.0,219260.0,207280.0,221844.0,221716.0,219052.0,222412.0,219376.0,221492.0,222108.0,219780.0,219828.0,219128.0,222076.0,222656.0,221844.0,219692.0,222964.0,222188.0,222652.0,221836.0
5,219840.0,221524.0,223432.0,221748.0,220516.0,224128.0,223996.0,221832.0,224364.0,224120.0,220424.0,222680.0,220388.0,222348.0,222768.0,220152.0,222364.0,226316.0,222580.0,221524.0,223624.0,222440.0,221648.0,219656.0,217444.0,222632.0,219748.0,222212.0,221304.0,222248.0,222900.0,224984.0,222800.0,222540.0,222036.0,219768.0,222344.0,219024.0,219628.0,222652.0,219228.0,219824.0,224036.0,218712.0,218792.0,222660.0,220320.0,220976.0,220612.0,212624.0,219804.0,216976.0,223160.0,224432.0,219044.0,219340.0,220860.0,223116.0,224928.0,222748.0,221444.0,223136.0,224024.0,220336.0,219664.0,219552.0,223124.0,222852.0,220120.0,223732.0,219852.0,221812.0,220752.0,224152.0,223456.0,218544.0,220836.0,222116.0,220900.0,222804.0,221132.0,222424.0,217872.0,222788.0,219236.0,219948.0,222912.0,224276.0,220484.0,220012.0,223968.0,220596.0,222060.0,223316.0,224312.0,221616.0,222148.0,222628.0,216648.0,222480.0,222448.0,223048.0,218744.0,222720.0,223352.0,221392.0,222284.0,220400.0,222692.0,223792.0,222264.0,219460.0,220620.0,222212.0,217040.0,221868.0,224568.0,222452.0,205844.0,219968.0,219300.0,207320.0,221884.0,221752.0,219088.0,222436.0,219416.0,221508.0,222116.0,219820.0,219868.0,219128.0,222092.0,222680.0,221844.0,219692.0,222980.0,222224.0,222688.0,221852.0
6,219860.0,221540.0,223448.0,221748.0,220532.0,224144.0,223996.0,221832.0,224384.0,224120.0,220444.0,222744.0,220412.0,222368.0,222780.0,220184.0,222364.0,226316.0,222620.0,221540.0,223612.0,222440.0,221664.0,219692.0,217460.0,222632.0,219788.0,222212.0,221344.0,222248.0,222900.0,225004.0,222836.0,222552.0,222072.0,219812.0,222356.0,219032.0,219628.0,222652.0,219248.0,219864.0,224040.0,218712.0,218792.0,222676.0,220344.0,221016.0,220628.0,212640.0,219820.0,216996.0,223192.0,224432.0,219052.0,219340.0,220892.0,223132.0,224928.0,222768.0,221464.0,223156.0,224040.0,220356.0,219664.0,219552.0,223136.0,222852.0,220136.0,223732.0,219864.0,221844.0,220768.0,224192.0,223456.0,218544.0,220856.0,222156.0,220924.0,222804.0,221152.0,222456.0,217888.0,222804.0,219252.0,219980.0,222928.0,224308.0,220500.0,220020.0,223996.0,220628.0,222092.0,223328.0,224328.0,221648.0,222184.0,222644.0,216656.0,222520.0,222488.0,223072.0,218760.0,222740.0,223392.0,221412.0,222324.0,220400.0,222692.0,223816.0,222288.0,219480.0,220656.0,222228.0,217064.0,221896.0,224592.0,222492.0,205864.0,219972.0,219320.0,207324.0,221884.0,221752.0,219120.0,222456.0,219424.0,221540.0,222156.0,219824.0,219872.0,219164.0,222108.0,222696.0,221880.0,219724.0,222976.0,222244.0,222688.0,221864.0
7,219880.0,221592.0,223480.0,221816.0,220564.0,224160.0,224028.0,221864.0,224416.0,224152.0,220476.0,222744.0,220428.0,222372.0,222808.0,220196.0,222416.0,226376.0,222660.0,221564.0,223640.0,222460.0,221700.0,219708.0,217492.0,222676.0,219796.0,222248.0,221336.0,222292.0,222944.0,225048.0,222864.0,222592.0,222112.0,219832.0,222392.0,219060.0,219676.0,222688.0,219264.0,219872.0,224064.0,218748.0,218836.0,222704.0,220360.0,221056.0,220660.0,212668.0,219860.0,217036.0,223220.0,224460.0,219088.0,219372.0,220908.0,223148.0,224968.0,222776.0,221484.0,223196.0,224056.0,220388.0,219696.0,219584.0,223152.0,222864.0,220148.0,223764.0,219896.0,221860.0,220784.0,224192.0,223488.0,218576.0,220908.0,222188.0,220940.0,222852.0,221204.0,222472.0,217916.0,222832.0,219292.0,219988.0,222956.0,224320.0,220540.0,220044.0,224028.0,220636.0,222120.0,223356.0,224356.0,221688.0,222208.0,222672.0,216688.0,222552.0,222508.0,223104.0,218784.0,222760.0,223404.0,221432.0,222356.0,220444.0,222732.0,223832.0,222320.0,219504.0,220688.0,222280.0,217104.0,221892.0,224632.0,222480.0,205868.0,219996.0,219340.0,207352.0,221924.0,221792.0,219108.0,222496.0,219444.0,221552.0,222160.0,219840.0,219896.0,219172.0,222148.0,222712.0,221912.0,219752.0,223028.0,222264.0,222736.0,221904.0
8,219908.0,221584.0,223492.0,221804.0,220580.0,224188.0,224040.0,221880.0,224432.0,224192.0,220476.0,222768.0,220468.0,222392.0,222840.0,220216.0,222416.0,226396.0,222660.0,221584.0,223672.0,222500.0,221708.0,219748.0,217500.0,222668.0,219792.0,222280.0,221376.0,222332.0,222960.0,225040.0,222880.0,222592.0,222116.0,219856.0,222388.0,219084.0,219688.0,222736.0,219288.0,219904.0,224084.0,218760.0,218876.0,222696.0,220392.0,221064.0,220664.0,212688.0,219880.0,217040.0,223208.0,224500.0,219104.0,219392.0,220940.0,223188.0,224968.0,222812.0,221504.0,223220.0,224084.0,220388.0,219712.0,219624.0,223184.0,222896.0,220184.0,223784.0,219896.0,221888.0,220808.0,224224.0,223528.0,218604.0,220936.0,222200.0,220968.0,222872.0,221204.0,222472.0,217940.0,222856.0,219308.0,220028.0,222980.0,224360.0,220548.0,220068.0,224048.0,220656.0,222140.0,223388.0,224376.0,221696.0,222248.0,222712.0,216704.0,222568.0,222532.0,223116.0,218812.0,222784.0,223428.0,221456.0,222384.0,220484.0,222760.0,223848.0,222328.0,219524.0,220700.0,222280.0,217100.0,221932.0,224632.0,222520.0,205884.0,220036.0,219364.0,207360.0,221952.0,221824.0,219152.0,222508.0,219464.0,221572.0,222192.0,219872.0,219920.0,219212.0,222152.0,222752.0,221912.0,219792.0,223044.0,222292.0,222752.0,221940.0
9,219920.0,221604.0,223532.0,221824.0,220620.0,224208.0,224080.0,221920.0,224444.0,224200.0,220516.0,222768.0,220476.0,222392.0,222848.0,220236.0,222424.0,226400.0,222660.0,221612.0,223712.0,222504.0,221708.0,219768.0,217540.0,222708.0,219852.0,222296.0,221388.0,222316.0,222960.0,225076.0,222908.0,222636.0,222156.0,219876.0,222428.0,219112.0,219688.0,222736.0,219308.0,219916.0,224108.0,218780.0,218864.0,222760.0,220412.0,221064.0,220696.0,212692.0,219892.0,217040.0,223236.0,224512.0,219124.0,219404.0,220940.0,223196.0,225004.0,222812.0,221528.0,223236.0,224104.0,220396.0,219728.0,219632.0,223200.0,222936.0,220184.0,223796.0,219928.0,221908.0,220828.0,224264.0,223536.0,218620.0,220924.0,222220.0,220992.0,222872.0,221220.0,222492.0,217964.0,222880.0,219324.0,220036.0,223004.0,224368.0,220572.0,220096.0,224072.0,220680.0,222164.0,223404.0,224404.0,221720.0,222256.0,222716.0,216744.0,222580.0,222532.0,223140.0,218852.0,222808.0,223448.0,221476.0,222392.0,220488.0,222780.0,223884.0,222352.0,219524.0,220732.0,222280.0,217140.0,221948.0,224652.0,222520.0,205916.0,220040.0,219364.0,207400.0,221952.0,221836.0,219192.0,222524.0,219480.0,221572.0,222184.0,219872.0,219944.0,219224.0,222168.0,222760.0,221972.0,219804.0,223084.0,222296.0,222780.0,221932.0
