%commit,aceph01,aceph02,aceph03,aceph04
0,25.84,24.57,25.0,24.46
1,26.34,25.05,25.56,25.69
2,26.63,25.32,25.79,26.21
3,26.85,25.59,25.99,26.47
4,26.95,25.61,26.05,26.62
5,26.98,25.75,26.22,26.72
6,27.05,25.78,26.14,26.74
7,27.03,25.75,26.24,26.82
8,27.05,25.77,26.22,26.86
9,27.04,25.75,26.28,26.86
10,27.07,25.77,26.24,26.85
11,27.1,25.84,26.28,26.85
12,27.12,25.82,26.24,26.86
13,27.06,25.81,26.29,26.83
14,27.1,25.8,26.27,26.85
15,27.09,25.83,26.27,26.87
16,27.07,25.77,26.28,26.89
17,27.14,25.78,26.26,26.86
18,27.11,25.79,26.27,26.82
19,27.13,25.83,26.3,26.89
20,27.07,25.8,26.24,26.93
21,27.13,25.82,26.25,26.92
22,27.1,25.81,26.29,26.89
23,27.12,25.8,26.27,26.93
24,27.09,25.82,26.26,26.94
25,27.09,25.81,26.25,26.9
26,27.09,25.85,26.27,26.89
27,27.11,25.82,26.27,26.91
28,27.05,25.8,26.25,26.92
29,27.11,25.79,26.3,26.89
30,27.14,25.8,26.29,26.9
31,27.18,25.83,26.26,26.88
32,27.17,25.83,26.27,26.93
33,27.14,25.85,26.32,26.92
34,27.14,25.84,26.25,26.92
35,27.13,25.81,26.27,26.93
36,27.09,25.84,26.26,26.93
37,27.13,25.8,26.23,26.86
38,27.1,25.8,26.27,26.86
39,27.09,25.78,26.26,26.9
40,27.11,25.8,26.25,26.93
41,27.1,25.84,26.29,26.86
42,27.15,25.84,26.24,26.93
43,27.13,25.78,26.25,26.89
44,27.07,25.81,26.31,26.89
45,27.1,25.78,26.25,26.88
46,27.12,25.82,26.24,26.9
47,27.11,25.82,26.28,26.92
48,27.12,25.87,26.27,26.88
49,27.08,25.75,26.24,26.88
50,27.07,25.81,26.24,26.88
51,27.12,25.8,26.3,26.88
52,27.1,25.85,26.29,26.91
53,27.13,25.77,26.24,26.92
54,27.07,25.83,26.28,26.94
55,27.13,25.85,26.27,26.94
56,27.06,25.84,26.24,26.9
57,27.13,25.79,26.27,26.87
58,27.12,25.76,26.26,26.92
59,27.1,25.81,26.21,26.89
60,27.14,25.8,26.28,26.87
61,27.19,25.81,26.25,26.85
62,27.07,25.83,26.23,26.93
63,27.15,25.83,26.27,26.9
64,27.11,25.82,26.29,26.92
65,27.13,25.84,26.31,26.89
66,27.14,25.84,26.3,26.89
67,27.08,25.81,26.32,26.88
68,27.12,25.83,26.28,26.86
69,27.1,25.81,26.25,26.93
70,27.1,25.83,26.28,26.89
71,27.11,25.8,26.25,26.91
72,27.09,25.78,26.27,26.93
73,27.08,25.83,26.29,26.89
74,27.1,25.85,26.3,26.89
75,27.12,25.85,26.31,26.86
76,27.1,25.81,26.32,26.93
77,27.1,25.83,26.29,26.86
78,27.04,25.81,26.25,26.93
79,27.14,25.83,26.27,26.85
80,27.12,25.81,26.23,26.87
81,27.12,25.77,26.26,26.89
82,27.11,25.86,26.3,26.93
83,27.08,25.82,26.27,26.93
84,27.1,25.78,26.26,26.9
85,27.11,25.83,26.3,26.89
86,27.09,25.82,26.32,26.89
87,27.12,25.86,26.32,26.93
88,27.06,25.86,26.26,26.87
89,27.12,25.77,26.28,26.94
90,27.13,25.79,26.29,26.87
91,27.13,25.86,26.26,26.88
92,27.07,25.8,26.2,26.9
93,27.12,25.83,26.25,26.86
94,27.14,25.78,26.27,26.9
95,27.19,25.81,26.29,26.88
96,27.09,25.85,26.25,26.88
97,27.16,25.79,26.3,26.89
98,27.12,25.87,26.32,26.91
99,27.08,25.8,26.3,26.91
100,27.12,25.83,26.25,26.88
101,27.12,25.85,26.26,26.87
102,27.08,25.8,26.24,26.91
103,27.12,25.79,26.35,26.87
104,27.11,25.87,26.29,26.9
105,27.16,25.89,26.29,26.92
106,27.1,25.83,26.3,26.94
107,27.1,25.77,26.26,26.87
108,27.14,25.78,26.28,26.89
109,27.14,25.85,26.28,26.91
110,27.09,25.79,26.29,26.87
111,27.08,25.83,26.26,26.88
112,27.07,25.86,26.3,26.88
113,27.11,25.81,26.27,26.86
114,27.14,25.79,26.26,26.9
115,27.14,25.83,26.31,26.89
116,27.13,25.88,26.32,26.94
117,27.15,25.84,26.27,26.93
118,27.15,25.81,26.29,26.87
119,27.08,25.79,26.29,26.89
120,27.09,25.81,26.27,26.89
121,27.16,25.8,26.27,26.91
122,27.15,25.8,26.24,26.9
123,27.13,25.82,26.29,26.89
124,27.09,25.84,26.24,26.92
125,27.12,25.83,26.34,26.89
126,27.11,25.82,26.29,26.9
127,27.07,25.82,26.26,26.92
128,27.06,25.82,26.26,26.86
129,27.11,25.84,26.3,26.9
130,27.12,25.85,26.24,26.92
131,27.09,25.84,26.25,26.92
132,27.1,25.81,26.22,26.91
133,27.12,25.89,26.24,26.93
134,27.13,25.83,26.28,26.91
135,27.07,25.83,26.27,26.9
136,27.09,25.83,26.26,26.92
137,27.11,25.79,26.25,26.91
138,27.15,25.86,26.24,26.93
139,27.17,25.89,26.29,26.87
140,27.11,25.85,26.22,26.91
141,27.09,25.87,26.26,26.88
142,27.11,25.86,26.31,26.85
143,27.08,25.85,26.24,26.92
144,27.11,25.83,26.27,26.85
145,27.12,25.82,26.3,26.89
146,27.12,25.81,26.28,26.94
147,27.08,25.81,26.24,26.9
148,27.12,25.86,26.31,26.85
149,27.11,25.78,26.26,26.85
150,27.13,25.85,26.24,26.9
151,27.07,25.82,26.26,26.91
152,27.05,25.86,26.26,26.82
153,27.12,25.83,26.29,26.88
154,27.09,25.8,26.24,26.91
155,27.08,25.79,26.26,26.91
156,27.11,25.8,26.29,26.9
157,27.09,25.8,26.28,26.92
158,27.13,25.8,26.33,26.88
159,27.1,25.84,26.25,26.9
160,27.08,25.87,26.27,26.9
161,27.12,25.81,26.23,26.93
162,27.09,25.83,26.29,26.89
163,27.09,25.83,26.25,26.84
164,27.11,25.83,26.22,26.86
165,27.16,25.82,26.26,26.88
166,27.07,25.83,26.27,26.91
167,27.08,25.8,26.26,26.9
168,27.09,25.79,26.3,26.95
169,27.11,25.78,26.3,26.87
170,27.12,25.82,26.24,26.94
171,27.09,25.83,26.24,26.93
172,27.09,25.83,26.3,26.88
173,27.09,25.82,26.29,26.91
174,27.13,25.83,26.28,26.9
175,27.07,25.83,26.3,26.88
176,27.14,25.82,26.24,26.92
177,27.14,25.81,26.23,26.94
178,27.13,25.8,26.24,26.92
179,27.15,25.81,26.28,26.9
180,27.16,25.84,26.27,26.89
181,27.11,25.8,26.23,26.91
182,27.1,25.81,26.28,26.96
183,27.12,25.79,26.25,26.92
184,27.08,25.83,26.26,26.83
185,27.12,25.85,26.25,26.9
186,27.17,25.84,26.18,26.88
187,27.1,25.84,26.26,26.93
188,27.09,25.83,26.28,26.87
189,27.09,25.86,26.29,26.92
190,27.08,25.79,26.29,26.88
191,27.15,25.74,26.28,26.92
192,27.08,25.83,26.25,26.89
193,27.09,25.76,26.28,26.91
194,27.13,25.83,26.24,26.87
195,27.13,25.83,26.24,26.9
196,27.13,25.8,26.31,26.89
