kbcommit,aceph01,aceph02,aceph03,aceph04
122,18040112.0,17143944.0,17431724.0,17873128.0
123,18022960.0,17154316.0,17469444.0,17866276.0
124,18001672.0,17166304.0,17432720.0,17888892.0
125,18017944.0,17165628.0,17498080.0,17865360.0
126,18013268.0,17156812.0,17471200.0,17875688.0
127,17987712.0,17158692.0,17445332.0,17884708.0
128,17980588.0,17158692.0,17445332.0,17843836.0
129,18014736.0,17171104.0,17475192.0,17876576.0
130,18021452.0,17175448.0,17437208.0,17888304.0
131,17996684.0,17168656.0,17444364.0,17886756.0
132,18005404.0,17149224.0,17423676.0,17877812.0
133,18019592.0,17200080.0,17435304.0,17892436.0
134,18027644.0,17165608.0,17462552.0,17880364.0
135,17989360.0,17162548.0,17457332.0,17874984.0
136,18000332.0,17160084.0,17449636.0,17886184.0
137,18010544.0,17137456.0,17439920.0,17879912.0
138,18036608.0,17184276.0,17436036.0,17892644.0
139,18053308.0,17200396.0,17468280.0,17853916.0
140,18009852.0,17177192.0,17422872.0,17882464.0
141,17999832.0,17188100.0,17449908.0,17863104.0
142,18015344.0,17183864.0,17479044.0,17842428.0
143,17991148.0,17176492.0,17432160.0,17883760.0
144,18012164.0,17161732.0,17456908.0,17841956.0
145,18021952.0,17153724.0,17471932.0,17869640.0
146,18017460.0,17148908.0,17463712.0,17898468.0
147,17993024.0,17148268.0,17432292.0,17876540.0
148,18021440.0,17180800.0,17482300.0,17837188.0
149,18012912.0,17127852.0,17446252.0,17842548.0
150,18025512.0,17178040.0,17436884.0,17874732.0
151,17987240.0,17155436.0,17445700.0,17883116.0
152,17970764.0,17184716.0,17451064.0,17820528.0
153,18020684.0,17161092.0,17465892.0,17863316.0
154,18001320.0,17143172.0,17436624.0,17879748.0
155,17995900.0,17135156.0,17448944.0,17879748.0
156,18011192.0,17142500.0,17465272.0,17875780.0
157,18002532.0,17145676.0,17461288.0,17885280.0
158,18026996.0,17141056.0,17494088.0,17860072.0
159,18004044.0,17166020.0,17440116.0,17870656.0
160,17993060.0,17190804.0,17451720.0,17873280.0
161,18021780.0,17150492.0,17427844.0,17895676.0
162,17999708.0,17164640.0,17466768.0,17865788.0
163,17997136.0,17163376.0,17444064.0,17834760.0
164,18012804.0,17163376.0,17422400.0,17843808.0
165,18044292.0,17152960.0,17446180.0,17861516.0
166,17986416.0,17165352.0,17458028.0,17877964.0
167,17996268.0,17140096.0,17445172.0,17872036.0
168,18000260.0,17136392.0,17477344.0,17903964.0
169,18010292.0,17126432.0,17471680.0,17856444.0
170,18022160.0,17156364.0,17437900.0,17900220.0
