wMB/s,aceph01,aceph02,aceph03,aceph04
0,0.509,0.444,0.462,0.309
1,0.738,0.769,0.468,0.485
2,1.027,1.683,0.901,0.922
3,1.229,1.837,0.882,1.148
4,0.522,1.546,1.403,0.781
5,1.17,1.47,1.445,1.387
6,1.884,1.895,0.999,1.524
7,1.333,1.594,1.367,1.135
8,1.238,2.242,1.942,1.217
9,1.466,1.54,1.636,1.471
10,2.57,1.631,0.974,1.129
11,1.126,1.282,1.556,1.681
12,0.878,0.818,1.655,2.333
13,1.803,1.088,1.717,1.088
14,1.481,0.735,1.299,1.587
15,0.787,0.851,1.519,0.866
16,1.505,1.626,1.22,0.861
17,0.983,1.068,0.951,0.743
18,1.235,1.263,0.554,0.744
19,1.425,0.645,0.596,1.19
20,1.354,1.029,0.95,1.193
21,1.227,0.919,0.883,1.254
22,1.568,1.311,1.406,1.498
23,1.295,1.467,0.939,1.579
24,1.362,1.551,1.431,1.522
25,1.698,1.284,0.856,1.698
26,1.802,1.334,0.657,1.811
27,1.202,1.365,1.458,1.656
28,1.506,1.459,1.321,1.007
29,1.242,1.798,1.008,1.086
30,0.905,1.528,0.909,1.102
31,1.184,1.745,1.3,1.008
32,1.662,1.727,1.249,1.133
33,1.039,1.556,0.908,1.077
34,1.133,1.179,1.233,1.571
35,0.869,1.266,1.271,1.275
36,1.121,1.368,1.409,0.943
37,0.742,1.19,1.573,1.012
38,1.685,1.264,2.33,0.882
39,1.441,1.298,1.55,0.707
40,1.067,1.22,1.263,1.452
41,1.277,0.825,1.168,1.784
42,1.073,0.748,1.463,1.158
43,0.878,0.833,1.583,0.941
44,1.19,0.949,1.616,0.494
45,1.061,0.996,1.464,0.851
46,1.613,1.6,0.938,1.099
47,1.026,0.919,0.963,1.239
48,1.201,0.771,0.828,1.135
49,0.793,0.857,1.172,1.607
50,0.878,2.053,1.007,0.762
51,0.92,0.991,1.254,1.007
52,1.013,1.136,1.238,1.227
53,1.087,1.525,0.961,0.907
54,1.108,1.288,0.976,1.41
55,1.212,1.651,0.387,1.48
56,1.34,1.51,0.526,1.173
57,0.775,1.806,1.502,1.223
58,0.84,1.179,1.158,1.191
59,1.599,1.599,1.117,1.478
60,3.573,1.473,1.656,1.079
61,1.196,1.654,1.124,0.733
62,0.738,1.228,0.669,1.134
63,0.662,0.972,0.709,0.894
64,0.682,0.94,1.282,0.981
65,0.937,0.806,1.661,0.879
66,1.596,1.537,1.184,1.314
67,1.004,1.371,1.747,1.053
68,1.361,1.843,1.188,1.047
69,1.248,0.895,1.17,1.407
70,1.045,0.648,1.075,0.904
71,0.868,0.85,0.988,1.197
72,1.713,0.823,0.942,0.987
73,0.726,0.655,1.783,0.983
74,1.569,1.349,1.174,0.847
75,1.403,1.04,1.262,0.96
76,1.563,0.696,1.262,0.667
77,0.995,0.697,0.874,0.849
78,1.057,0.604,1.777,1.276
79,0.924,0.795,1.032,1.353
80,1.628,0.812,1.277,1.066
81,1.26,1.232,1.468,1.255
82,1.64,1.382,1.131,1.51
83,1.347,1.435,0.832,1.261
84,1.06,1.234,0.779,1.784
85,1.362,1.101,0.916,1.207
86,0.916,1.056,1.106,1.71
87,0.994,3.192,1.239,1.19
88,1.227,1.486,1.011,2.231
89,1.087,1.42,0.939,0.934
90,0.972,1.395,1.202,0.975
91,0.725,1.328,1.378,0.644
92,1.279,1.278,0.845,1.148
93,0.733,1.06,1.019,1.215
94,1.043,1.418,1.57,0.993
95,3.242,1.036,1.24,1.344
96,0.866,1.366,1.376,1.303
97,1.058,0.742,2.018,0.923
98,1.51,1.076,1.279,0.908
99,1.059,0.72,1.163,1.06
100,1.137,1.09,1.066,0.996
101,1.228,1.141,1.43,1.118
102,1.088,1.213,1.345,1.202
103,0.549,0.609,1.527,1.38
104,1.331,1.043,1.469,0.974
105,0.911,0.823,1.499,0.789
106,1.366,1.085,0.987,0.83
107,1.032,1.187,1.057,0.977
108,1.119,1.136,1.069,1.233
109,1.42,0.737,1.2,1.851
110,1.372,0.816,1.183,1.398
111,0.937,1.301,1.541,1.258
112,0.992,1.508,1.722,1.64
113,0.931,1.221,0.908,1.331
114,1.177,1.289,0.955,1.14
115,1.153,1.044,0.561,1.24
116,1.275,1.366,0.897,1.874
117,1.204,1.055,1.026,1.701
118,1.095,1.364,1.332,1.092
119,1.311,1.525,1.094,0.969
120,0.986,1.57,1.215,0.783
121,0.94,1.529,0.797,0.866
122,1.728,1.334,0.884,0.653
123,2.023,1.125,0.923,1.145
124,1.032,1.278,1.079,1.543
125,1.531,0.889,1.989,0.935
126,1.141,1.208,1.559,1.299
127,1.217,0.986,1.863,0.981
128,0.871,1.385,1.368,1.187
129,1.178,1.262,2.741,0.926
130,0.947,0.932,1.257,1.037
131,0.904,1.01,1.19,1.303
132,1.306,0.851,1.446,3.314
133,1.125,0.794,1.56,0.926
134,1.233,0.973,0.87,1.47
135,1.557,1.045,1.313,1.542
136,1.189,1.116,1.386,1.064
