kbactive,aceph01,aceph02,aceph03,aceph04
0,2917232.0,2846392.0,2907300.0,2843636.0
1,2884868.0,2835988.0,2898064.0,2873800.0
2,2895844.0,2853836.0,2904380.0,2856784.0
3,2933792.0,2886160.0,2931556.0,2863180.0
4,2904828.0,2867680.0,2914568.0,2891808.0
5,2910916.0,2876320.0,2918952.0,2887120.0
6,2951636.0,2879872.0,2922768.0,2876676.0
7,2943288.0,2887360.0,2960460.0,2881376.0
8,2920016.0,2927500.0,2940388.0,2886580.0
9,2932672.0,2900056.0,2943504.0,2918212.0
10,2930144.0,2903436.0,2948444.0,2887516.0
11,2928204.0,2902544.0,2949996.0,2889356.0
12,2928672.0,2902544.0,2947408.0,2900716.0
13,2934852.0,2902520.0,2943392.0,2900448.0
14,2930436.0,2902392.0,2943432.0,2900596.0
15,2929420.0,2902948.0,2938944.0,2900780.0
16,2930156.0,2902912.0,2939784.0,2901492.0
17,2939460.0,2903560.0,2939556.0,2902616.0
18,2966164.0,2912516.0,2943160.0,2903248.0
19,2936620.0,2947740.0,2972308.0,2906432.0
20,2932684.0,2905560.0,2947632.0,2938840.0
21,2934568.0,2906876.0,2943488.0,2910604.0
22,2935112.0,2908328.0,2944212.0,2906672.0
23,2936800.0,2908736.0,2945196.0,2906932.0
24,2937580.0,2909420.0,2942440.0,2907656.0
25,2940276.0,2910360.0,2943000.0,2905136.0
26,2940536.0,2912504.0,2944596.0,2906292.0
27,2942492.0,2911936.0,2945328.0,2908024.0
28,2941500.0,2914548.0,2945240.0,2908552.0
29,2942900.0,2909364.0,2946716.0,2908688.0
30,2984164.0,2910592.0,2949604.0,2911676.0
31,2999492.0,2924116.0,2944724.0,2914624.0
32,2966452.0,2940356.0,2951744.0,2910084.0
33,2946552.0,2912036.0,2989632.0,2926592.0
34,2947396.0,2913268.0,2942864.0,2957160.0
35,2947648.0,2914980.0,2943024.0,2907200.0
36,2948116.0,2915428.0,2943448.0,2907500.0
37,2949888.0,2916088.0,2945288.0,2907796.0
38,2951528.0,2918288.0,2946424.0,2909476.0
39,2953080.0,2919784.0,2947264.0,2910088.0
40,2955280.0,2920420.0,2949412.0,2911980.0
41,2949612.0,2915288.0,2949992.0,2912432.0
42,2982344.0,2927688.0,2950612.0,2913876.0
43,2951780.0,2926744.0,2952312.0,2914532.0
44,2955216.0,2920164.0,2949384.0,2946828.0
45,2958756.0,2916872.0,2951692.0,2913288.0
46,2951788.0,2917908.0,2966100.0,2914380.0
47,2954540.0,2919692.0,3002124.0,2915924.0
48,2956280.0,2920496.0,2948688.0,2917552.0
49,2955572.0,2925540.0,2949416.0,2917732.0
50,2958604.0,2928888.0,2953444.0,2920400.0
51,2960508.0,2930648.0,2957348.0,2923044.0
52,2968532.0,2960740.0,2951032.0,2924588.0
53,3009064.0,2931440.0,2950640.0,2923768.0
54,2961100.0,2930084.0,2951516.0,2937572.0
55,2964532.0,2936268.0,2954440.0,2935272.0
56,2967048.0,2942212.0,2962868.0,2927020.0
57,2968788.0,2941964.0,2980604.0,2930580.0
58,2968848.0,2944276.0,2958880.0,2925608.0
59,2980160.0,2946116.0,2961404.0,2927780.0
60,2979748.0,2943028.0,2963328.0,2932148.0
61,3034700.0,2943172.0,2963368.0,2926380.0
62,2979684.0,2946416.0,2963868.0,2948300.0
63,2980024.0,2987120.0,2959660.0,2959056.0
64,2982136.0,2947424.0,2961120.0,2928048.0
65,2980052.0,2950120.0,2963540.0,2929584.0
66,2976856.0,2953976.0,2965060.0,2932684.0
67,2976132.0,2955856.0,3014124.0,2928676.0
68,2976304.0,2954772.0,2964200.0,2929052.0
69,2979148.0,2957560.0,2965208.0,2923736.0
70,2980980.0,2952184.0,2967060.0,2923972.0
71,2982700.0,2954568.0,2970084.0,2926640.0
72,2984956.0,2954924.0,2966428.0,2922996.0
73,2986432.0,2956728.0,2962604.0,2924916.0
74,2989640.0,2958544.0,2962968.0,2926536.0
75,3023392.0,2988212.0,2988784.0,2927564.0
76,2982568.0,2958096.0,3006200.0,2952824.0
77,2977112.0,2958996.0,2958364.0,2920668.0
78,2979108.0,2961620.0,2961532.0,2922392.0
79,2981620.0,2963340.0,2965172.0,2924552.0
80,2982604.0,2962080.0,2967276.0,2925420.0
81,2983644.0,2965208.0,2973908.0,2926364.0
82,2984780.0,2966488.0,2975596.0,2927300.0
83,2985192.0,2960548.0,2975936.0,2928160.0
84,2986604.0,2961512.0,2977364.0,2931196.0
85,2987372.0,2963180.0,2978548.0,2930400.0
86,2995836.0,2968624.0,2978752.0,2932508.0
87,3028752.0,3015520.0,2991556.0,2934824.0
88,2990068.0,2997400.0,2998440.0,2946720.0
89,2991292.0,2974736.0,2981960.0,2976648.0
90,2994660.0,2976600.0,2983944.0,2931564.0
91,2995476.0,2978084.0,2985440.0,2933640.0
92,2996428.0,2980268.0,2985980.0,2933972.0
93,2998736.0,2975776.0,2987496.0,2936148.0
94,3000120.0,2977524.0,2983520.0,2937488.0
95,3056780.0,2974384.0,2985892.0,2941264.0
96,3009788.0,2976748.0,2987624.0,2942288.0
97,3009108.0,2976488.0,2988388.0,2942984.0
98,3009720.0,3017876.0,3026700.0,2943648.0
99,3014068.0,2977632.0,2990064.0,2972780.0
100,3016176.0,2979428.0,2992076.0,2940688.0
101,3011780.0,2983244.0,2990748.0,2941340.0
102,3009056.0,2984996.0,2992300.0,2944456.0
103,3009856.0,2986148.0,2993996.0,2940392.0
104,3009904.0,2986156.0,2994148.0,2940612.0
105,3046040.0,3018980.0,3023696.0,2940772.0
106,3012120.0,3004648.0,2996388.0,2971156.0
107,3013840.0,2989228.0,2997844.0,2969204.0
108,3014296.0,2990784.0,2998324.0,2947020.0
109,3016884.0,2992260.0,2996228.0,2947744.0
110,3017444.0,2993164.0,2992184.0,2949620.0
111,3018192.0,2993636.0,2993292.0,2950104.0
112,3018284.0,2994376.0,2993960.0,2948360.0
113,3033396.0,2994832.0,2994192.0,2950332.0
114,3041780.0,2993256.0,2996292.0,2953784.0
115,3058880.0,2988012.0,2998932.0,2955604.0
116,3023504.0,3018164.0,3019240.0,2955848.0
117,3024128.0,2994272.0,3045536.0,2956936.0
118,3024836.0,2988660.0,2998676.0,2981480.0
119,3022328.0,2985628.0,3000356.0,2977448.0
120,3019448.0,2987920.0,3001852.0,2958916.0
121,3020988.0,2988928.0,3004012.0,2959568.0
122,3028476.0,2991224.0,3004328.0,2960540.0
123,3026156.0,2994120.0,3006496.0,2962604.0
124,3026668.0,2994608.0,3008408.0,2963696.0
125,3029196.0,2996996.0,3010720.0,2965648.0
126,3030652.0,2997748.0,3012356.0,2967172.0
127,3027128.0,2987604.0,3012588.0,2969116.0
128,3057484.0,3018956.0,3040212.0,2960012.0
129,3031636.0,2988288.0,3018068.0,2962048.0
130,3028804.0,2988876.0,3012864.0,2981940.0
131,3030444.0,2992112.0,3015940.0,2973960.0
132,3033280.0,2993992.0,3017964.0,2968260.0
133,3035044.0,2995480.0,3020500.0,2973080.0
134,3036400.0,2997252.0,3020124.0,2976400.0
135,3037916.0,2997576.0,3022312.0,2983348.0
136,3038992.0,2998024.0,3023112.0,2984940.0
137,3034756.0,2999408.0,3023996.0,2986232.0
138,3036220.0,3002120.0,3025580.0,2987788.0
139,3061412.0,3051264.0,3043016.0,2990272.0
140,3057736.0,2996860.0,3028172.0,3005012.0
141,3032560.0,2997464.0,3022992.0,3006192.0
142,3034148.0,2999344.0,3025140.0,2992048.0
143,3033864.0,3001332.0,3025780.0,2993180.0
144,3035380.0,3001780.0,3026232.0,2993692.0
145,3036600.0,3001196.0,3028372.0,2996824.0
146,3037524.0,3003480.0,3041048.0,2997532.0
147,3040148.0,3006096.0,3030776.0,2994068.0
148,3041212.0,3007404.0,3079700.0,2983368.0
149,3041224.0,3003752.0,3031436.0,2984632.0
150,3043740.0,3005964.0,3032744.0,2985980.0
151,3045204.0,3000956.0,3034620.0,2987928.0
152,3045040.0,3013468.0,3036052.0,2989384.0
153,3075560.0,3031376.0,3032544.0,2989048.0
154,3057232.0,3003668.0,3039112.0,3019400.0
155,3047968.0,3004716.0,3039444.0,3003576.0
156,3048736.0,3005540.0,3039792.0,2992048.0
157,3049864.0,3007196.0,3042064.0,2992748.0
158,3052232.0,3010136.0,3067276.0,2994712.0
