kbmemused,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,305848.0,304560.0,307468.0,305704.0,304916.0,307872.0,307664.0,305820.0,308244.0,308224.0,305072.0,307492.0,304332.0,307780.0,308036.0,304240.0,306984.0,308376.0,307136.0,305856.0,308404.0,306940.0,305840.0,304276.0,303236.0,307260.0,303672.0,306668.0,306408.0,306544.0,308016.0,308852.0,306320.0,307468.0,306888.0,305432.0,306848.0,303988.0,304096.0,307248.0,304200.0,303724.0,307512.0,304400.0,303704.0,307176.0,303980.0,305852.0,307408.0,297048.0,304156.0,303696.0,307956.0,308744.0,304612.0,303776.0,305496.0,307816.0,309020.0,307028.0,305500.0,307120.0,308492.0,304624.0,305044.0,303584.0,307360.0,307604.0,304552.0,308552.0,304644.0,306252.0,304972.0,308580.0,307284.0,302520.0,304716.0,306496.0,305528.0,307116.0,305420.0,306476.0,302304.0,307920.0,303100.0,303628.0,306032.0,308316.0,305608.0,304344.0,308752.0,305652.0,306812.0,306840.0,308368.0,306420.0,306284.0,306924.0,302236.0,306956.0,306604.0,307632.0,303340.0,307004.0,307120.0,306196.0,307232.0,304120.0,306428.0,308776.0,307252.0,305064.0,305568.0,307188.0,301880.0,306592.0,308824.0,306652.0,290228.0,304300.0,304184.0,291148.0,306204.0,307028.0,303692.0,307120.0,304116.0,306052.0,307452.0,304504.0,304108.0,304964.0,307184.0,306804.0,306860.0,303560.0,307576.0,306380.0,306588.0,307508.0
1,305832.0,304560.0,307468.0,305704.0,304916.0,307872.0,307664.0,305820.0,308244.0,308224.0,305072.0,307492.0,304332.0,307780.0,308036.0,304240.0,306984.0,308376.0,307136.0,305856.0,308404.0,306940.0,305840.0,304276.0,303236.0,307260.0,303672.0,306668.0,306408.0,306544.0,308016.0,308844.0,306320.0,307468.0,306888.0,305432.0,306848.0,303988.0,304096.0,307248.0,304300.0,303724.0,307512.0,304400.0,303704.0,307176.0,303980.0,305852.0,307408.0,297048.0,304156.0,303696.0,307956.0,308744.0,304612.0,303776.0,305496.0,307816.0,309020.0,307028.0,305748.0,307120.0,308492.0,304624.0,305044.0,303584.0,307360.0,307604.0,304544.0,308676.0,304644.0,306252.0,304972.0,308704.0,307284.0,302520.0,304692.0,306496.0,305528.0,307116.0,305420.0,306476.0,302140.0,307920.0,303100.0,303628.0,306032.0,308316.0,305608.0,304344.0,308752.0,305652.0,306556.0,306840.0,308368.0,306420.0,306284.0,306924.0,302236.0,306956.0,306604.0,307632.0,303340.0,306988.0,307120.0,306172.0,307232.0,304096.0,306428.0,308776.0,307244.0,305064.0,305568.0,307188.0,301880.0,306592.0,308824.0,306776.0,290228.0,304300.0,304184.0,291148.0,306204.0,307028.0,303692.0,307120.0,304116.0,306052.0,307452.0,304504.0,304108.0,304708.0,307176.0,306804.0,306860.0,303560.0,307576.0,306504.0,306588.0,307508.0
2,305832.0,304560.0,307468.0,305704.0,304916.0,307872.0,307664.0,305820.0,308244.0,308224.0,305072.0,307492.0,304332.0,307780.0,308036.0,304240.0,306984.0,308376.0,307136.0,305856.0,308404.0,306940.0,305840.0,304276.0,303236.0,307260.0,303672.0,306668.0,306408.0,306544.0,308016.0,308844.0,306320.0,307468.0,306888.0,305432.0,306848.0,303988.0,304096.0,307248.0,304300.0,303724.0,307512.0,304400.0,303704.0,307176.0,303980.0,305852.0,307408.0,297048.0,304156.0,303696.0,307956.0,308744.0,304612.0,303776.0,305496.0,307816.0,309020.0,307028.0,305492.0,307120.0,308492.0,304624.0,305044.0,303584.0,307360.0,307604.0,304544.0,308668.0,304644.0,306252.0,305096.0,308704.0,307284.0,302520.0,304692.0,306496.0,305528.0,307116.0,305420.0,306476.0,302140.0,307920.0,303100.0,303628.0,306032.0,308316.0,305476.0,304344.0,308752.0,305652.0,306556.0,306840.0,308368.0,306420.0,306284.0,306924.0,302236.0,306956.0,306604.0,307632.0,303340.0,306988.0,307120.0,306172.0,307232.0,304096.0,306428.0,308776.0,307244.0,305064.0,305568.0,307188.0,301880.0,306592.0,308824.0,306776.0,290344.0,304300.0,304184.0,291148.0,306204.0,307028.0,303692.0,307120.0,304116.0,306052.0,307452.0,304504.0,304108.0,304708.0,307176.0,306804.0,306860.0,303560.0,307576.0,306504.0,306588.0,307508.0
3,305832.0,304560.0,307468.0,305704.0,304916.0,307872.0,307664.0,305820.0,308244.0,308224.0,305072.0,307492.0,304456.0,307780.0,308036.0,304240.0,306984.0,308376.0,307136.0,305856.0,308404.0,306940.0,305840.0,304276.0,303236.0,307260.0,303672.0,306668.0,306408.0,306544.0,308016.0,308844.0,306320.0,307468.0,306888.0,305432.0,306848.0,303988.0,304096.0,307248.0,304300.0,305580.0,307512.0,304400.0,303696.0,307176.0,303980.0,305852.0,307408.0,297048.0,304156.0,306960.0,311840.0,308744.0,304612.0,303776.0,305496.0,307816.0,309020.0,307028.0,305492.0,307120.0,308492.0,304624.0,305044.0,303584.0,307360.0,307604.0,304544.0,308668.0,304644.0,306252.0,305096.0,308704.0,307284.0,302520.0,304692.0,306496.0,305528.0,307116.0,305420.0,306476.0,302140.0,307920.0,303100.0,303628.0,306032.0,308316.0,305476.0,304344.0,308752.0,305652.0,306556.0,306840.0,308368.0,306420.0,306284.0,306924.0,302236.0,306956.0,306604.0,307632.0,303340.0,306988.0,307120.0,306172.0,307232.0,304096.0,306428.0,308776.0,307244.0,305064.0,305560.0,307304.0,301880.0,306592.0,308824.0,306652.0,290344.0,304416.0,304184.0,291148.0,306204.0,307028.0,303692.0,307120.0,304116.0,306052.0,307452.0,304504.0,304108.0,304708.0,307176.0,306804.0,306860.0,303560.0,307576.0,306504.0,306588.0,307508.0
4,305832.0,304560.0,307468.0,305704.0,304916.0,307872.0,307664.0,305820.0,308244.0,308216.0,305072.0,307492.0,304448.0,307780.0,308036.0,304240.0,306984.0,308376.0,307136.0,305856.0,308404.0,306940.0,305840.0,304276.0,303236.0,307260.0,303672.0,306668.0,306408.0,306544.0,308016.0,308844.0,306320.0,307468.0,306888.0,305432.0,306848.0,303988.0,304096.0,307248.0,304300.0,303972.0,307512.0,304400.0,303696.0,307176.0,303980.0,305852.0,307408.0,297048.0,304156.0,303788.0,308088.0,308744.0,304612.0,303776.0,305496.0,307816.0,309020.0,307028.0,305492.0,307120.0,308492.0,304624.0,305044.0,303584.0,307360.0,307604.0,304544.0,308668.0,304644.0,306252.0,304972.0,308704.0,307284.0,302520.0,304692.0,306496.0,305528.0,307116.0,305420.0,306476.0,302140.0,307920.0,303100.0,303628.0,306032.0,308316.0,305476.0,304344.0,308752.0,305652.0,306556.0,306840.0,308368.0,306420.0,306284.0,306924.0,302236.0,306956.0,306604.0,307632.0,303340.0,306988.0,307120.0,306172.0,307232.0,304096.0,306428.0,308776.0,307244.0,306888.0,305560.0,307304.0,301880.0,306592.0,308824.0,306644.0,290344.0,304416.0,304184.0,292280.0,307336.0,307028.0,303692.0,307120.0,304248.0,306052.0,307452.0,304636.0,304744.0,304708.0,307176.0,306804.0,306860.0,303560.0,307576.0,306504.0,306588.0,307508.0
5,305832.0,304560.0,307468.0,305704.0,304916.0,307872.0,307664.0,305820.0,308244.0,308216.0,305072.0,307748.0,304448.0,312036.0,308036.0,304240.0,306984.0,308376.0,307136.0,305856.0,308404.0,306940.0,305840.0,311012.0,303236.0,307260.0,303672.0,308444.0,319136.0,306544.0,308016.0,308844.0,306320.0,307468.0,306888.0,305432.0,306848.0,303988.0,304096.0,307248.0,304300.0,303972.0,307512.0,304400.0,303696.0,307176.0,303980.0,305852.0,307408.0,297048.0,304156.0,303788.0,308220.0,308744.0,304612.0,303776.0,305496.0,307816.0,309020.0,307028.0,305492.0,307120.0,308492.0,304624.0,305044.0,303584.0,307360.0,307604.0,304544.0,308668.0,304644.0,306252.0,304964.0,308704.0,307284.0,302520.0,304692.0,306496.0,305528.0,307116.0,305420.0,306476.0,302140.0,307920.0,303100.0,303628.0,306032.0,308316.0,305476.0,304344.0,308752.0,305652.0,306680.0,306840.0,308368.0,306420.0,306284.0,306924.0,302236.0,306956.0,306604.0,307632.0,303340.0,306988.0,307120.0,306172.0,307232.0,304096.0,306428.0,308776.0,307244.0,305312.0,305560.0,307304.0,301880.0,308252.0,308824.0,307668.0,291352.0,304416.0,304184.0,291248.0,306452.0,307028.0,303692.0,307300.0,304388.0,306184.0,307584.0,304644.0,305784.0,304708.0,307176.0,306804.0,306860.0,303560.0,307576.0,306504.0,306588.0,307508.0
6,305832.0,304560.0,307468.0,305704.0,304916.0,307872.0,307664.0,305820.0,308244.0,308216.0,305072.0,307616.0,306100.0,307928.0,308036.0,305916.0,306984.0,308376.0,307136.0,305856.0,308404.0,306940.0,305840.0,304548.0,303236.0,307260.0,316368.0,307964.0,308364.0,306544.0,308016.0,308844.0,306444.0,307716.0,308176.0,307216.0,307096.0,304112.0,304096.0,307248.0,304300.0,305524.0,307512.0,304400.0,303828.0,308968.0,303980.0,305852.0,307408.0,297048.0,304156.0,304300.0,309732.0,308744.0,309892.0,303776.0,305496.0,307816.0,309020.0,307028.0,305492.0,307120.0,308492.0,304624.0,305044.0,303584.0,307360.0,307604.0,304544.0,308668.0,304644.0,306252.0,304964.0,308704.0,307284.0,302520.0,304692.0,306496.0,305528.0,307116.0,305420.0,306476.0,302140.0,307920.0,303100.0,303628.0,306032.0,308316.0,305476.0,305104.0,308752.0,305652.0,306680.0,306840.0,308368.0,306420.0,306284.0,306924.0,302236.0,306956.0,306604.0,307632.0,303340.0,306988.0,307120.0,306172.0,307232.0,304096.0,306428.0,308776.0,307244.0,305312.0,305560.0,307304.0,302764.0,306716.0,309204.0,318588.0,291796.0,304416.0,304184.0,291240.0,306452.0,307028.0,303692.0,307276.0,304356.0,306324.0,308584.0,317076.0,304208.0,304708.0,307556.0,306804.0,306860.0,303560.0,307576.0,306504.0,306588.0,307508.0
7,305832.0,304800.0,309268.0,318276.0,316612.0,308176.0,307960.0,306068.0,308524.0,310056.0,306732.0,307616.0,304572.0,308028.0,312292.0,304420.0,307240.0,312788.0,308944.0,307548.0,310236.0,319636.0,307640.0,304524.0,308608.0,312416.0,303952.0,306964.0,306696.0,311916.0,309792.0,310660.0,306444.0,307716.0,307192.0,305524.0,307096.0,304112.0,304368.0,319944.0,304300.0,304004.0,311272.0,308780.0,303852.0,307424.0,303980.0,307668.0,312408.0,298872.0,310024.0,303968.0,308228.0,309380.0,317340.0,304536.0,306256.0,307816.0,309020.0,307028.0,305492.0,307880.0,309252.0,304624.0,305044.0,303584.0,307996.0,308364.0,305180.0,308668.0,305280.0,306252.0,304964.0,308704.0,307284.0,302520.0,304692.0,306708.0,305620.0,307264.0,305668.0,316684.0,312224.0,317260.0,310828.0,304388.0,307296.0,309076.0,306112.0,304624.0,308752.0,305652.0,306680.0,306840.0,308368.0,306420.0,306284.0,306924.0,302360.0,306956.0,306604.0,307632.0,303340.0,306988.0,307120.0,306172.0,307232.0,304096.0,306428.0,308776.0,307244.0,317792.0,318132.0,308764.0,302144.0,306716.0,308972.0,306712.0,290312.0,304416.0,305448.0,303812.0,313220.0,308160.0,303692.0,319724.0,304332.0,306276.0,307700.0,304628.0,304256.0,306112.0,308852.0,307060.0,306860.0,305368.0,307816.0,306504.0,306712.0,308648.0
8,306136.0,304776.0,307716.0,305952.0,305196.0,308152.0,307944.0,306068.0,308524.0,308340.0,305140.0,307616.0,306000.0,308028.0,308144.0,305948.0,307232.0,308696.0,307384.0,306136.0,308684.0,307220.0,306088.0,312252.0,303516.0,307572.0,303936.0,308460.0,308388.0,308460.0,308140.0,308936.0,306444.0,307716.0,307168.0,305524.0,307096.0,304112.0,304344.0,307544.0,311036.0,304004.0,307884.0,304696.0,303852.0,307424.0,305788.0,306100.0,307688.0,297296.0,304388.0,303944.0,308204.0,309048.0,305016.0,304024.0,305712.0,308056.0,309300.0,307276.0,305740.0,307400.0,308680.0,304920.0,305136.0,303832.0,307592.0,307760.0,304668.0,308884.0,304736.0,306500.0,305088.0,309464.0,307500.0,302644.0,304832.0,306684.0,305620.0,307240.0,305668.0,306756.0,302420.0,308044.0,303316.0,303940.0,306248.0,308532.0,305568.0,304624.0,309000.0,305808.0,306836.0,307088.0,308584.0,306544.0,306508.0,307040.0,302360.0,307104.0,306852.0,307724.0,303464.0,307260.0,307220.0,306352.0,307332.0,304368.0,306676.0,309256.0,307392.0,305344.0,305732.0,319844.0,302128.0,317544.0,308924.0,306736.0,290436.0,304564.0,304432.0,291396.0,306484.0,307144.0,303940.0,307300.0,304332.0,306268.0,307724.0,304628.0,304232.0,306524.0,307300.0,306896.0,308660.0,303716.0,307792.0,308156.0,306712.0,307656.0
9,306112.0,304776.0,307716.0,305952.0,305196.0,308152.0,307944.0,306068.0,308524.0,308340.0,305220.0,307616.0,304572.0,308028.0,309284.0,304488.0,307232.0,308688.0,307384.0,309276.0,308684.0,310236.0,306088.0,304524.0,303516.0,307572.0,305604.0,306932.0,306844.0,306848.0,308140.0,308936.0,306536.0,307740.0,307316.0,305704.0,307120.0,304080.0,304344.0,307528.0,304424.0,304004.0,307628.0,304680.0,303852.0,307424.0,304228.0,306100.0,307688.0,297296.0,304372.0,303944.0,308204.0,309024.0,306436.0,304024.0,305712.0,308032.0,309300.0,307276.0,305740.0,307400.0,308680.0,304904.0,305136.0,303832.0,307592.0,307760.0,304668.0,308884.0,304736.0,306500.0,305088.0,308796.0,307500.0,302644.0,304816.0,306684.0,305620.0,307240.0,305668.0,306756.0,302420.0,308044.0,303316.0,303940.0,306248.0,308532.0,305568.0,304624.0,309000.0,305808.0,306836.0,307088.0,308584.0,306544.0,306500.0,307032.0,302360.0,307080.0,306852.0,307724.0,303464.0,307236.0,307212.0,306328.0,307324.0,304344.0,306676.0,309000.0,307368.0,305344.0,305732.0,307452.0,302128.0,306840.0,309040.0,306736.0,290436.0,304540.0,304432.0,291396.0,306484.0,307120.0,303956.0,307276.0,304332.0,306268.0,307700.0,304628.0,304232.0,304996.0,307300.0,306872.0,307132.0,303716.0,308304.0,306644.0,306712.0,307608.0
