kbinact,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,152772.0,153836.0,155356.0,153444.0,153064.0,155608.0,156032.0,154712.0,155488.0,155620.0,153092.0,154952.0,151656.0,155052.0,155452.0,151564.0,154516.0,156368.0,154664.0,153876.0,155620.0,154656.0,153524.0,152100.0,150912.0,155168.0,151756.0,154388.0,153680.0,154600.0,155180.0,156276.0,154112.0,154688.0,154104.0,152444.0,153908.0,152860.0,151928.0,154596.0,151980.0,152592.0,154812.0,152316.0,153076.0,154336.0,152680.0,153416.0,154356.0,149192.0,153720.0,150760.0,155688.0,157008.0,152064.0,153060.0,153768.0,155624.0,156320.0,155012.0,153416.0,154784.0,155536.0,152768.0,152204.0,151876.0,155028.0,155028.0,152332.0,155272.0,152532.0,153800.0,153556.0,156004.0,155196.0,152348.0,152316.0,154120.0,153108.0,153992.0,153144.0,154020.0,152096.0,154920.0,152056.0,153656.0,154064.0,155208.0,152580.0,153200.0,155924.0,154376.0,154220.0,153556.0,155748.0,153952.0,154000.0,153872.0,152080.0,153680.0,153484.0,153800.0,152744.0,153676.0,154172.0,153444.0,154688.0,151084.0,153424.0,154800.0,154468.0,153220.0,153376.0,154488.0,151512.0,154040.0,156636.0,154044.0,143692.0,152044.0,151892.0,144928.0,154048.0,154724.0,151484.0,154692.0,152092.0,153392.0,154080.0,153504.0,152344.0,152192.0,154160.0,154664.0,154704.0,151780.0,155228.0,154420.0,154300.0,154212.0
1,152780.0,153844.0,155356.0,153452.0,153064.0,155616.0,156052.0,154720.0,155500.0,155676.0,153092.0,154980.0,151692.0,155080.0,155460.0,151572.0,154516.0,156376.0,154664.0,153884.0,155628.0,154684.0,153524.0,152104.0,150932.0,155168.0,151776.0,154420.0,153700.0,154600.0,155180.0,156284.0,154112.0,154696.0,154132.0,152460.0,153932.0,152868.0,151928.0,154620.0,151988.0,152608.0,154840.0,152340.0,153120.0,154336.0,152688.0,153416.0,154364.0,149200.0,153724.0,150760.0,155688.0,157032.0,152060.0,153084.0,153776.0,155632.0,156320.0,155024.0,153664.0,154800.0,155544.0,152780.0,152204.0,151900.0,155036.0,155036.0,152348.0,155552.0,152540.0,153808.0,153576.0,156028.0,155196.0,152360.0,152324.0,154120.0,153124.0,154004.0,153160.0,154052.0,152132.0,154944.0,152056.0,153676.0,154088.0,155224.0,152648.0,153232.0,155948.0,154384.0,154252.0,153568.0,155764.0,153960.0,154016.0,153888.0,152100.0,153680.0,153500.0,153816.0,152760.0,153684.0,154172.0,153456.0,154688.0,151112.0,153432.0,154820.0,154636.0,153220.0,153404.0,154496.0,151544.0,154064.0,156636.0,154196.0,143732.0,152108.0,151912.0,144952.0,154052.0,154748.0,151500.0,154700.0,152112.0,153424.0,154080.0,153528.0,152356.0,152236.0,154312.0,154672.0,154704.0,151780.0,155260.0,154420.0,154328.0,154220.0
2,152792.0,153852.0,155372.0,153480.0,153084.0,155632.0,156080.0,154736.0,155512.0,155724.0,153128.0,154980.0,151728.0,155080.0,155488.0,151600.0,154548.0,156376.0,154688.0,153896.0,155644.0,154688.0,153548.0,152104.0,150944.0,155192.0,151776.0,154420.0,153700.0,154608.0,155212.0,156312.0,154144.0,154720.0,154136.0,152484.0,153944.0,152884.0,151960.0,154620.0,152000.0,152620.0,154856.0,152352.0,153192.0,154360.0,152696.0,153436.0,154372.0,149200.0,153724.0,150760.0,155704.0,157032.0,152100.0,153092.0,153800.0,155632.0,156340.0,155024.0,153696.0,154808.0,155556.0,152780.0,152224.0,151928.0,155048.0,155048.0,152348.0,155580.0,152556.0,153824.0,153712.0,156036.0,155216.0,152360.0,152336.0,154148.0,153140.0,154032.0,153172.0,154052.0,152148.0,154952.0,152092.0,153700.0,154096.0,155224.0,152760.0,153236.0,155952.0,154412.0,154260.0,153592.0,155780.0,153988.0,154032.0,153904.0,152108.0,153712.0,153516.0,153832.0,152776.0,153688.0,154204.0,153456.0,154704.0,151124.0,153456.0,154820.0,154656.0,153240.0,153544.0,154664.0,151552.0,154064.0,156668.0,154220.0,143968.0,152332.0,151924.0,144948.0,154052.0,154748.0,151524.0,154724.0,152116.0,153428.0,154100.0,153536.0,152364.0,152264.0,154336.0,154692.0,154736.0,151816.0,155288.0,154436.0,154332.0,154244.0
3,152812.0,153880.0,155400.0,153484.0,153112.0,155648.0,156076.0,154736.0,155540.0,155808.0,153128.0,154980.0,151756.0,155080.0,155484.0,151600.0,154548.0,156388.0,154716.0,153908.0,155660.0,154716.0,153548.0,152124.0,150960.0,155208.0,151804.0,154428.0,153720.0,154628.0,155212.0,156328.0,154144.0,154720.0,154136.0,152504.0,153944.0,152900.0,151960.0,154656.0,152000.0,152620.0,154884.0,152376.0,153208.0,154360.0,152696.0,153460.0,154384.0,149232.0,153756.0,150780.0,155704.0,157068.0,152112.0,153120.0,153800.0,155668.0,156364.0,155052.0,153704.0,154808.0,155572.0,152808.0,152248.0,151936.0,155064.0,155072.0,152376.0,155600.0,152572.0,153840.0,153768.0,156052.0,155236.0,152388.0,152356.0,154148.0,153144.0,154032.0,153188.0,154060.0,152152.0,154960.0,152092.0,153704.0,154104.0,155248.0,152764.0,153252.0,155960.0,154412.0,154268.0,153592.0,155788.0,153988.0,154032.0,153912.0,152108.0,153712.0,153524.0,153840.0,152776.0,153712.0,154204.0,153480.0,154728.0,151132.0,153456.0,154852.0,154656.0,153240.0,153552.0,154764.0,151564.0,154084.0,156672.0,154264.0,143976.0,152336.0,151932.0,144976.0,154060.0,154768.0,151524.0,154724.0,152116.0,153436.0,154108.0,153552.0,152376.0,152272.0,154340.0,154708.0,154736.0,151816.0,155292.0,154464.0,154332.0,154252.0
4,152820.0,153884.0,155404.0,153484.0,153112.0,155656.0,156092.0,154760.0,155552.0,155820.0,153144.0,154996.0,151992.0,155104.0,155484.0,151604.0,154560.0,156416.0,154708.0,153924.0,155668.0,154720.0,153572.0,152124.0,150972.0,155216.0,151804.0,154452.0,153732.0,154652.0,155228.0,156328.0,154164.0,154728.0,154156.0,152508.0,153960.0,152904.0,151976.0,154656.0,152024.0,152644.0,154888.0,152376.0,153216.0,154380.0,152728.0,153464.0,154396.0,149232.0,153756.0,150792.0,155732.0,157068.0,152112.0,153124.0,153820.0,155668.0,156368.0,155060.0,153716.0,154824.0,155580.0,152808.0,152252.0,151940.0,155072.0,155076.0,152376.0,155604.0,152580.0,153852.0,153812.0,156068.0,155236.0,152400.0,152364.0,154172.0,153164.0,154056.0,153200.0,154072.0,152168.0,154976.0,152112.0,153720.0,154120.0,155264.0,152780.0,153260.0,155976.0,154424.0,154284.0,153612.0,155804.0,154000.0,154056.0,153928.0,152132.0,153736.0,153540.0,153856.0,152800.0,153716.0,154228.0,153492.0,154728.0,151148.0,153476.0,154852.0,154680.0,153260.0,153580.0,154772.0,151564.0,154080.0,156672.0,154276.0,143988.0,152348.0,151932.0,144992.0,154072.0,154768.0,151536.0,154752.0,152144.0,153452.0,154108.0,153568.0,152392.0,152280.0,154356.0,154712.0,154756.0,151832.0,155308.0,154464.0,154348.0,154268.0
5,152828.0,153900.0,155420.0,153508.0,153128.0,155672.0,156092.0,154760.0,155564.0,155832.0,153152.0,154996.0,152000.0,155104.0,155504.0,151624.0,154576.0,156428.0,154708.0,153940.0,155668.0,154720.0,153588.0,152148.0,150984.0,155232.0,151828.0,154468.0,153748.0,154656.0,155244.0,156336.0,154164.0,154752.0,154156.0,152508.0,153976.0,152916.0,151992.0,154676.0,152032.0,152652.0,154916.0,152396.0,153224.0,154392.0,152736.0,153464.0,154424.0,149256.0,153780.0,150816.0,155756.0,157088.0,152152.0,153124.0,153820.0,155688.0,156384.0,155076.0,153728.0,154836.0,155596.0,152832.0,152252.0,151956.0,155088.0,155076.0,152400.0,155604.0,152596.0,153852.0,153824.0,156068.0,155260.0,152412.0,152376.0,154172.0,153172.0,154068.0,153212.0,154096.0,152176.0,154984.0,152116.0,153728.0,154128.0,155272.0,152788.0,153288.0,155976.0,154444.0,154284.0,153620.0,155812.0,154012.0,154056.0,153932.0,152160.0,153736.0,153540.0,153864.0,152808.0,153736.0,154228.0,153504.0,154744.0,151156.0,153484.0,154880.0,154688.0,153288.0,153580.0,154788.0,151584.0,154104.0,156696.0,154284.0,143988.0,152348.0,151956.0,144992.0,154096.0,154796.0,151556.0,154764.0,152144.0,153460.0,154136.0,153568.0,152392.0,152280.0,154364.0,154728.0,154756.0,151832.0,155312.0,154480.0,154364.0,154276.0
6,152840.0,153908.0,155428.0,153508.0,153136.0,155680.0,156116.0,154784.0,155576.0,155832.0,153164.0,155012.0,152012.0,155120.0,155516.0,151624.0,154576.0,156428.0,154724.0,153948.0,155680.0,154732.0,153596.0,152172.0,150996.0,155232.0,151828.0,154468.0,153748.0,154656.0,155244.0,156348.0,154172.0,154760.0,154176.0,152532.0,153980.0,152924.0,151992.0,154676.0,152040.0,152652.0,154928.0,152396.0,153224.0,154396.0,152752.0,153488.0,154432.0,149264.0,153788.0,150820.0,155752.0,157088.0,152172.0,153148.0,153840.0,155696.0,156384.0,155084.0,153740.0,154848.0,155604.0,152844.0,152276.0,151956.0,155096.0,155100.0,152408.0,155628.0,152604.0,153872.0,153832.0,156088.0,155260.0,152412.0,152388.0,154196.0,153188.0,154068.0,153224.0,154096.0,152192.0,155000.0,152132.0,153756.0,154144.0,155300.0,152804.0,153292.0,155996.0,154472.0,154308.0,153632.0,155828.0,154036.0,154080.0,153944.0,152164.0,153760.0,153560.0,153880.0,152820.0,153748.0,154252.0,153512.0,154764.0,151156.0,153484.0,154908.0,154704.0,153288.0,153600.0,154796.0,151608.0,154116.0,156712.0,154284.0,144004.0,152376.0,151972.0,145012.0,154096.0,154796.0,151556.0,154776.0,152176.0,153488.0,154136.0,153596.0,152404.0,152300.0,154380.0,154736.0,154768.0,151856.0,155312.0,154492.0,154364.0,154288.0
7,152852.0,153920.0,155456.0,153528.0,153136.0,155696.0,156144.0,154812.0,155604.0,155856.0,153164.0,155036.0,152032.0,155148.0,155536.0,151656.0,154612.0,156440.0,154724.0,153964.0,155708.0,154744.0,153620.0,152180.0,151016.0,155256.0,151860.0,154500.0,153768.0,154676.0,155276.0,156384.0,154208.0,154788.0,154204.0,152548.0,153980.0,152944.0,152028.0,154696.0,152044.0,152676.0,154952.0,152416.0,153252.0,154412.0,152760.0,153488.0,154448.0,149280.0,153788.0,150820.0,155768.0,157108.0,152200.0,153176.0,153856.0,155712.0,156404.0,155096.0,153760.0,154872.0,155620.0,152844.0,152304.0,151980.0,155112.0,155112.0,152420.0,155656.0,152628.0,153888.0,153848.0,156088.0,155284.0,152436.0,152400.0,154196.0,153204.0,154104.0,153236.0,154132.0,152212.0,155016.0,152132.0,153760.0,154160.0,155304.0,152804.0,153308.0,156016.0,154480.0,154324.0,153652.0,155848.0,154036.0,154100.0,153964.0,152184.0,153760.0,153580.0,153880.0,152836.0,153768.0,154268.0,153536.0,154764.0,151192.0,153512.0,154936.0,154704.0,153308.0,153620.0,154808.0,151608.0,154116.0,156712.0,154304.0,144028.0,152392.0,151980.0,145024.0,154120.0,154820.0,151576.0,154776.0,152184.0,153496.0,154160.0,153604.0,152424.0,152312.0,154380.0,154748.0,154796.0,151876.0,155348.0,154504.0,154400.0,154288.0
8,152876.0,153944.0,155464.0,153552.0,153168.0,155716.0,156152.0,154820.0,155608.0,155856.0,153192.0,155040.0,152032.0,155152.0,155556.0,151668.0,154612.0,156452.0,154744.0,153980.0,155732.0,154756.0,153628.0,152180.0,151028.0,155256.0,151856.0,154516.0,153796.0,154676.0,155280.0,156384.0,154212.0,154788.0,154204.0,152564.0,154000.0,152960.0,152036.0,154708.0,152056.0,152676.0,155064.0,152424.0,153252.0,154412.0,152780.0,153520.0,154448.0,149292.0,153836.0,150844.0,155784.0,157136.0,152344.0,153188.0,153876.0,155712.0,156432.0,155120.0,153772.0,154892.0,155640.0,152872.0,152312.0,151980.0,155132.0,155136.0,152444.0,155668.0,152628.0,153908.0,153864.0,156112.0,155284.0,152456.0,152420.0,154228.0,153220.0,154112.0,153252.0,154132.0,152220.0,155032.0,152168.0,153760.0,154176.0,155304.0,152836.0,153316.0,156032.0,154488.0,154340.0,153672.0,155856.0,154064.0,154100.0,153964.0,152188.0,153796.0,153588.0,153908.0,152848.0,153784.0,154284.0,153552.0,154784.0,151192.0,153528.0,155168.0,154736.0,153320.0,153628.0,154808.0,151632.0,154144.0,156728.0,154324.0,144036.0,152392.0,151988.0,145036.0,154136.0,154840.0,151596.0,154800.0,152196.0,153504.0,154160.0,153628.0,152436.0,152340.0,154408.0,154776.0,154796.0,151876.0,155360.0,154528.0,154404.0,154316.0
9,152884.0,153952.0,155464.0,153560.0,153168.0,155724.0,156152.0,154820.0,155608.0,155880.0,153208.0,155040.0,152056.0,155152.0,155556.0,151676.0,154616.0,156488.0,154744.0,154000.0,155732.0,154788.0,153628.0,152216.0,151028.0,155284.0,151868.0,154524.0,153804.0,154692.0,155280.0,156404.0,154232.0,154812.0,154204.0,152572.0,154028.0,152972.0,152036.0,154724.0,152072.0,152704.0,155084.0,152440.0,153260.0,154424.0,152792.0,153520.0,154472.0,149292.0,153832.0,150844.0,155796.0,157140.0,152392.0,153196.0,153876.0,155740.0,156436.0,155120.0,153784.0,154900.0,155648.0,152876.0,152324.0,152012.0,155140.0,155136.0,152444.0,155676.0,152648.0,153916.0,153880.0,156112.0,155312.0,152464.0,152432.0,154240.0,153228.0,154112.0,153264.0,154140.0,152236.0,155044.0,152172.0,153784.0,154188.0,155332.0,152844.0,153332.0,156044.0,154504.0,154352.0,153676.0,155872.0,154080.0,154124.0,153988.0,152188.0,153800.0,153588.0,153924.0,152848.0,153780.0,154288.0,153556.0,154808.0,151216.0,153536.0,155192.0,154744.0,153320.0,153628.0,154836.0,151632.0,154144.0,156752.0,154324.0,144056.0,152420.0,151988.0,145036.0,154136.0,154844.0,151596.0,154816.0,152204.0,153504.0,154180.0,153628.0,152456.0,152336.0,154412.0,154780.0,154812.0,151900.0,155360.0,154532.0,154424.0,154316.0
