kbbuffers,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,31536.0,30592.0,31460.0,31404.0,32132.0,31216.0,31452.0,31636.0,31020.0,31408.0,32040.0,32376.0,31196.0,32364.0,32232.0,31312.0,32144.0,29708.0,32116.0,32064.0,32040.0,32152.0,31964.0,32316.0,33528.0,32392.0,31584.0,32068.0,32376.0,32040.0,32436.0,31460.0,31016.0,32512.0,32288.0,32680.0,31772.0,32060.0,32052.0,31808.0,32696.0,31256.0,30940.0,32836.0,32016.0,32200.0,31372.0,32376.0,34096.0,32036.0,31796.0,34348.0,31924.0,31864.0,32840.0,31836.0,32132.0,31900.0,31152.0,31472.0,31792.0,31644.0,31968.0,31432.0,32384.0,31296.0,31624.0,32172.0,31404.0,31672.0,31964.0,31760.0,31316.0,31708.0,31388.0,31468.0,31224.0,31676.0,32280.0,31296.0,31540.0,31280.0,31552.0,32260.0,31144.0,31564.0,30852.0,31568.0,32000.0,31576.0,31884.0,32068.0,31328.0,30628.0,31700.0,31948.0,31096.0,31572.0,32192.0,31428.0,31440.0,31584.0,32092.0,31208.0,31232.0,31948.0,32272.0,31028.0,30852.0,31996.0,31984.0,32776.0,32340.0,32072.0,32108.0,32108.0,32048.0,31464.0,32068.0,31820.0,32432.0,31684.0,31852.0,32676.0,31832.0,31948.0,32332.0,31960.0,32428.0,31832.0,31700.0,32380.0,32308.0,31508.0,32516.0,31496.0,32180.0,31864.0,31376.0,33048.0
1,31536.0,30592.0,31460.0,31404.0,32132.0,31216.0,31452.0,31636.0,31020.0,31468.0,32048.0,32384.0,31224.0,32364.0,32236.0,31320.0,32144.0,29708.0,32116.0,32064.0,32040.0,32152.0,31964.0,32316.0,33528.0,32392.0,31592.0,32068.0,32376.0,32040.0,32436.0,31460.0,31024.0,32520.0,32296.0,32688.0,31780.0,32068.0,32052.0,31808.0,32696.0,31256.0,30952.0,32836.0,32044.0,32200.0,31372.0,32376.0,34096.0,32036.0,31796.0,34348.0,31924.0,31864.0,32852.0,31836.0,32132.0,31900.0,31152.0,31472.0,32032.0,31644.0,31968.0,31432.0,32384.0,31296.0,31624.0,32172.0,31404.0,31972.0,31964.0,31760.0,31324.0,31708.0,31388.0,31468.0,31224.0,31676.0,32280.0,31296.0,31540.0,31288.0,31560.0,32268.0,31152.0,31572.0,30860.0,31576.0,32072.0,31576.0,31892.0,32076.0,31336.0,30636.0,31708.0,31952.0,31104.0,31580.0,32192.0,31432.0,31444.0,31588.0,32100.0,31208.0,31232.0,31948.0,32272.0,31036.0,30852.0,32004.0,32136.0,32776.0,32352.0,32080.0,32116.0,32108.0,32048.0,31600.0,32100.0,31872.0,32432.0,31684.0,31860.0,32676.0,31840.0,31948.0,32332.0,31960.0,32428.0,31832.0,31700.0,32420.0,32432.0,31508.0,32516.0,31504.0,32188.0,31864.0,31376.0,33056.0
2,31536.0,30600.0,31468.0,31412.0,32140.0,31224.0,31460.0,31644.0,31028.0,31492.0,32048.0,32384.0,31232.0,32364.0,32240.0,31320.0,32152.0,29708.0,32116.0,32064.0,32048.0,32152.0,31964.0,32316.0,33528.0,32392.0,31592.0,32068.0,32376.0,32040.0,32444.0,31460.0,31024.0,32520.0,32296.0,32688.0,31780.0,32068.0,32060.0,31816.0,32696.0,31256.0,30964.0,32844.0,32108.0,32204.0,31372.0,32376.0,34096.0,32044.0,31800.0,34348.0,31924.0,31872.0,32856.0,31844.0,32140.0,31908.0,31160.0,31480.0,32052.0,31652.0,31976.0,31440.0,32392.0,31304.0,31632.0,32180.0,31412.0,31980.0,31972.0,31768.0,31452.0,31708.0,31396.0,31476.0,31232.0,31684.0,32288.0,31304.0,31548.0,31288.0,31560.0,32268.0,31152.0,31572.0,30860.0,31576.0,32164.0,31576.0,31892.0,32076.0,31336.0,30636.0,31708.0,31956.0,31104.0,31580.0,32192.0,31436.0,31448.0,31592.0,32100.0,31216.0,31240.0,31956.0,32280.0,31036.0,30860.0,32012.0,32144.0,32776.0,32496.0,32228.0,32116.0,32116.0,32056.0,31628.0,32328.0,32084.0,32432.0,31684.0,31860.0,32676.0,31840.0,31948.0,32332.0,31960.0,32428.0,31832.0,31700.0,32428.0,32440.0,31516.0,32524.0,31504.0,32188.0,31864.0,31376.0,33056.0
3,31544.0,30600.0,31468.0,31412.0,32140.0,31224.0,31460.0,31644.0,31028.0,31560.0,32048.0,32384.0,31276.0,32364.0,32240.0,31320.0,32152.0,29716.0,32124.0,32072.0,32048.0,32160.0,31972.0,32316.0,33536.0,32400.0,31592.0,32068.0,32376.0,32048.0,32444.0,31468.0,31024.0,32520.0,32296.0,32688.0,31780.0,32068.0,32060.0,31816.0,32704.0,31256.0,30968.0,32844.0,32108.0,32208.0,31372.0,32384.0,34096.0,32044.0,31804.0,34348.0,31924.0,31872.0,32864.0,31844.0,32140.0,31908.0,31160.0,31480.0,32052.0,31652.0,31976.0,31440.0,32392.0,31304.0,31632.0,32180.0,31412.0,31980.0,31972.0,31768.0,31516.0,31716.0,31396.0,31476.0,31232.0,31684.0,32288.0,31304.0,31548.0,31288.0,31560.0,32268.0,31152.0,31572.0,30860.0,31576.0,32164.0,31576.0,31892.0,32076.0,31336.0,30636.0,31708.0,31956.0,31104.0,31580.0,32192.0,31436.0,31448.0,31592.0,32100.0,31216.0,31240.0,31956.0,32280.0,31036.0,30860.0,32012.0,32144.0,32776.0,32496.0,32308.0,32116.0,32116.0,32056.0,31656.0,32328.0,32084.0,32432.0,31692.0,31860.0,32676.0,31840.0,31948.0,32332.0,31960.0,32432.0,31840.0,31704.0,32428.0,32440.0,31516.0,32524.0,31504.0,32188.0,31872.0,31376.0,33056.0
4,31544.0,30600.0,31468.0,31412.0,32140.0,31224.0,31460.0,31644.0,31028.0,31560.0,32048.0,32384.0,31480.0,32364.0,32240.0,31320.0,32152.0,29716.0,32124.0,32072.0,32048.0,32160.0,31972.0,32316.0,33536.0,32400.0,31592.0,32068.0,32376.0,32048.0,32444.0,31468.0,31024.0,32520.0,32296.0,32688.0,31780.0,32068.0,32060.0,31816.0,32704.0,31264.0,30972.0,32844.0,32108.0,32208.0,31380.0,32384.0,34104.0,32044.0,31804.0,34348.0,31924.0,31872.0,32868.0,31844.0,32140.0,31908.0,31160.0,31480.0,32052.0,31652.0,31976.0,31440.0,32392.0,31304.0,31632.0,32180.0,31412.0,31980.0,31972.0,31768.0,31548.0,31716.0,31396.0,31476.0,31232.0,31684.0,32288.0,31304.0,31548.0,31288.0,31560.0,32268.0,31152.0,31572.0,30860.0,31576.0,32164.0,31576.0,31892.0,32076.0,31336.0,30636.0,31708.0,31956.0,31104.0,31580.0,32192.0,31436.0,31448.0,31592.0,32100.0,31216.0,31240.0,31956.0,32280.0,31036.0,30860.0,32020.0,32144.0,32776.0,32504.0,32308.0,32116.0,32116.0,32056.0,31656.0,32328.0,32084.0,32432.0,31692.0,31860.0,32676.0,31840.0,31956.0,32340.0,31960.0,32436.0,31840.0,31708.0,32428.0,32440.0,31516.0,32524.0,31504.0,32188.0,31872.0,31376.0,33056.0
5,31544.0,30600.0,31468.0,31412.0,32140.0,31224.0,31460.0,31644.0,31028.0,31560.0,32048.0,32384.0,31480.0,32364.0,32240.0,31320.0,32152.0,29716.0,32124.0,32072.0,32048.0,32160.0,31972.0,32324.0,33536.0,32400.0,31592.0,32076.0,32384.0,32048.0,32444.0,31468.0,31024.0,32520.0,32296.0,32688.0,31780.0,32068.0,32060.0,31816.0,32704.0,31264.0,30984.0,32844.0,32108.0,32208.0,31380.0,32384.0,34104.0,32044.0,31804.0,34356.0,31932.0,31872.0,32876.0,31844.0,32140.0,31908.0,31160.0,31480.0,32052.0,31652.0,31976.0,31440.0,32392.0,31304.0,31632.0,32180.0,31412.0,31980.0,31972.0,31768.0,31548.0,31716.0,31396.0,31476.0,31232.0,31684.0,32288.0,31304.0,31548.0,31288.0,31560.0,32268.0,31152.0,31572.0,30860.0,31576.0,32164.0,31584.0,31892.0,32076.0,31336.0,30636.0,31708.0,31956.0,31104.0,31580.0,32200.0,31436.0,31448.0,31592.0,32100.0,31216.0,31240.0,31956.0,32280.0,31036.0,30860.0,32020.0,32144.0,32784.0,32504.0,32308.0,32116.0,32116.0,32056.0,31656.0,32328.0,32092.0,32432.0,31692.0,31860.0,32684.0,31840.0,31956.0,32340.0,31960.0,32436.0,31840.0,31708.0,32428.0,32440.0,31516.0,32524.0,31504.0,32188.0,31872.0,31384.0,33056.0
6,31544.0,30600.0,31468.0,31412.0,32140.0,31224.0,31460.0,31644.0,31028.0,31560.0,32048.0,32392.0,31480.0,32372.0,32248.0,31328.0,32152.0,29716.0,32124.0,32072.0,32048.0,32160.0,31972.0,32324.0,33536.0,32400.0,31592.0,32076.0,32384.0,32048.0,32444.0,31468.0,31024.0,32528.0,32304.0,32688.0,31784.0,32076.0,32060.0,31816.0,32704.0,31264.0,30996.0,32844.0,32108.0,32208.0,31380.0,32384.0,34104.0,32044.0,31804.0,34356.0,31932.0,31872.0,32896.0,31844.0,32140.0,31908.0,31160.0,31480.0,32052.0,31652.0,31976.0,31440.0,32392.0,31304.0,31632.0,32180.0,31412.0,31980.0,31972.0,31768.0,31548.0,31716.0,31396.0,31476.0,31232.0,31684.0,32288.0,31304.0,31548.0,31296.0,31568.0,32276.0,31160.0,31580.0,30868.0,31584.0,32172.0,31584.0,31900.0,32084.0,31344.0,30644.0,31716.0,31964.0,31108.0,31588.0,32200.0,31436.0,31448.0,31592.0,32108.0,31216.0,31240.0,31956.0,32280.0,31036.0,30860.0,32032.0,32144.0,32784.0,32504.0,32308.0,32124.0,32120.0,32056.0,31656.0,32336.0,32092.0,32440.0,31692.0,31860.0,32684.0,31848.0,31956.0,32340.0,31968.0,32436.0,31840.0,31708.0,32428.0,32448.0,31516.0,32524.0,31512.0,32192.0,31872.0,31384.0,33064.0
7,31544.0,30608.0,31476.0,31420.0,32148.0,31232.0,31468.0,31652.0,31036.0,31568.0,32056.0,32392.0,31488.0,32372.0,32248.0,31328.0,32160.0,29716.0,32124.0,32072.0,32056.0,32160.0,31972.0,32324.0,33536.0,32400.0,31600.0,32076.0,32384.0,32048.0,32452.0,31468.0,31032.0,32528.0,32304.0,32696.0,31788.0,32076.0,32068.0,31816.0,32704.0,31264.0,31008.0,32844.0,32116.0,32208.0,31380.0,32384.0,34104.0,32048.0,31804.0,34356.0,31932.0,31880.0,32900.0,31852.0,32148.0,31916.0,31168.0,31488.0,32060.0,31660.0,31984.0,31448.0,32400.0,31312.0,31640.0,32188.0,31420.0,31988.0,31980.0,31776.0,31556.0,31716.0,31404.0,31484.0,31240.0,31692.0,32296.0,31312.0,31556.0,31296.0,31568.0,32276.0,31160.0,31580.0,30868.0,31584.0,32172.0,31584.0,31900.0,32084.0,31344.0,30644.0,31716.0,31964.0,31112.0,31588.0,32200.0,31444.0,31456.0,31600.0,32108.0,31224.0,31248.0,31964.0,32288.0,31044.0,30868.0,32056.0,32152.0,32784.0,32504.0,32316.0,32124.0,32124.0,32064.0,31664.0,32336.0,32092.0,32440.0,31692.0,31868.0,32684.0,31848.0,31956.0,32340.0,31968.0,32436.0,31848.0,31708.0,32436.0,32448.0,31524.0,32532.0,31512.0,32196.0,31872.0,31384.0,33064.0
8,31552.0,30608.0,31476.0,31420.0,32148.0,31232.0,31468.0,31652.0,31036.0,31568.0,32056.0,32392.0,31488.0,32372.0,32248.0,31328.0,32160.0,29724.0,32132.0,32080.0,32056.0,32168.0,31980.0,32324.0,33544.0,32408.0,31600.0,32076.0,32384.0,32048.0,32452.0,31476.0,31032.0,32528.0,32304.0,32696.0,31788.0,32076.0,32068.0,31824.0,32712.0,31272.0,31108.0,32852.0,32116.0,32216.0,31380.0,32392.0,34112.0,32052.0,31812.0,34356.0,31940.0,31880.0,33056.0,31852.0,32148.0,31916.0,31168.0,31488.0,32060.0,31660.0,31984.0,31448.0,32400.0,31312.0,31640.0,32188.0,31420.0,31988.0,31980.0,31776.0,31556.0,31724.0,31404.0,31484.0,31240.0,31692.0,32296.0,31312.0,31556.0,31296.0,31568.0,32276.0,31160.0,31580.0,30868.0,31584.0,32172.0,31584.0,31900.0,32084.0,31344.0,30644.0,31716.0,31964.0,31112.0,31588.0,32200.0,31444.0,31456.0,31600.0,32108.0,31224.0,31248.0,31964.0,32288.0,31044.0,30868.0,32284.0,32152.0,32784.0,32504.0,32316.0,32124.0,32124.0,32064.0,31664.0,32336.0,32092.0,32440.0,31700.0,31868.0,32684.0,31848.0,31956.0,32340.0,31968.0,32444.0,31848.0,31708.0,32436.0,32448.0,31524.0,32532.0,31512.0,32196.0,31880.0,31384.0,33064.0
9,31552.0,30608.0,31476.0,31420.0,32148.0,31232.0,31468.0,31652.0,31036.0,31568.0,32056.0,32392.0,31488.0,32372.0,32248.0,31328.0,32160.0,29724.0,32132.0,32080.0,32056.0,32168.0,31980.0,32332.0,33544.0,32408.0,31600.0,32076.0,32392.0,32056.0,32452.0,31476.0,31032.0,32528.0,32304.0,32696.0,31788.0,32076.0,32068.0,31824.0,32712.0,31272.0,31112.0,32852.0,32116.0,32216.0,31388.0,32392.0,34112.0,32052.0,31812.0,34356.0,31940.0,31880.0,33060.0,31852.0,32148.0,31916.0,31168.0,31488.0,32060.0,31660.0,31984.0,31448.0,32400.0,31312.0,31640.0,32188.0,31420.0,31988.0,31980.0,31776.0,31556.0,31724.0,31404.0,31484.0,31240.0,31692.0,32296.0,31312.0,31556.0,31296.0,31568.0,32276.0,31160.0,31580.0,30868.0,31584.0,32172.0,31584.0,31900.0,32084.0,31344.0,30644.0,31716.0,31964.0,31112.0,31588.0,32200.0,31444.0,31456.0,31600.0,32108.0,31224.0,31248.0,31964.0,32288.0,31044.0,30868.0,32284.0,32152.0,32784.0,32512.0,32316.0,32124.0,32124.0,32064.0,31664.0,32336.0,32092.0,32440.0,31700.0,31868.0,32684.0,31848.0,31964.0,32348.0,31968.0,32444.0,31848.0,31716.0,32436.0,32448.0,31524.0,32532.0,31512.0,32196.0,31880.0,31384.0,33064.0
