rxmcst/s,aceph01,aceph02,aceph03,aceph04
307,0.0,0.0,0.0,1.0
308,1.0,1.0,1.0,0.0
309,0.0,0.0,0.0,1.0
310,1.0,1.0,1.0,0.0
311,1.0,1.0,1.0,1.0
312,1.0,1.0,1.0,1.0
313,0.99,1.0,1.0,1.0
314,2.0,2.0,2.0,1.0
315,0.0,0.0,0.0,2.0
316,1.0,1.0,1.0,0.0
317,0.0,0.0,0.0,1.0
318,1.0,1.0,1.0,0.0
319,2.0,2.0,2.0,1.0
320,1.0,1.0,1.0,2.0
321,0.0,0.0,0.0,1.0
322,1.0,1.0,1.0,0.0
323,0.0,0.0,0.0,1.0
324,1.0,1.0,1.0,0.0
325,0.0,0.0,0.0,1.0
326,1.0,1.0,1.0,0.0
327,0.0,0.0,0.0,1.0
328,1.0,1.0,1.0,0.0
329,0.0,0.0,0.0,1.0
330,1.0,1.0,1.0,0.0
331,0.0,0.0,0.0,1.0
332,2.0,2.0,2.0,0.0
333,0.0,0.0,0.0,2.0
334,1.0,1.0,1.0,0.0
335,0.0,0.0,0.0,1.0
336,1.0,1.0,1.0,0.0
337,0.0,0.0,0.0,1.0
338,1.0,1.0,1.0,0.0
339,0.0,0.0,0.0,1.0
340,1.0,1.0,1.0,0.0
341,0.0,0.0,0.0,1.0
342,1.0,1.0,1.0,0.0
343,0.0,0.0,0.0,1.0
344,1.0,1.0,1.0,0.0
345,0.0,0.0,0.0,1.0
346,1.0,1.0,1.0,0.0
347,0.0,0.0,0.0,1.0
348,1.0,1.0,1.0,0.0
349,2.0,2.0,2.0,1.0
350,1.0,1.0,1.0,2.0
351,0.0,0.0,0.0,1.0
352,1.0,1.0,1.0,0.0
353,0.0,0.0,0.0,1.0
354,1.0,1.0,1.0,0.0
355,0.0,0.0,0.0,1.0
356,1.0,1.0,1.0,0.0
357,0.0,0.0,0.0,1.0
358,1.0,1.0,1.0,0.0
359,0.0,0.0,0.0,1.0
360,1.0,1.0,1.0,0.0
361,0.0,0.0,0.0,1.0
362,2.0,2.0,2.0,0.0
363,0.0,0.0,0.0,2.0
364,1.0,1.0,0.99,0.0
365,2.0,2.0,2.0,1.0
366,2.0,2.0,2.0,2.0
367,0.0,0.0,0.0,2.0
