%usr,client01,client02,client03,client04
0,3.13,3.11,2.23,2.26
1,2.68,2.07,0.78,1.13
2,3.31,2.25,0.83,0.53
3,2.13,1.69,1.63,0.58
4,1.51,1.52,1.48,1.1
5,1.08,1.54,1.15,1.18
6,0.88,1.42,1.28,1.15
7,0.8,1.62,1.43,1.2
8,0.76,1.42,1.35,1.13
9,1.82,1.52,0.93,0.73
10,2.59,1.22,0.2,0.48
11,0.73,0.25,0.4,0.3
12,1.81,0.35,0.25,0.3
13,2.28,0.15,0.18,0.15
14,1.56,0.2,0.2,0.15
15,0.25,0.18,0.18,0.15
16,0.18,0.15,0.7,0.18
17,0.1,0.55,0.8,0.6
18,0.43,0.79,0.3,0.75
19,0.38,0.2,0.2,0.25
20,1.5,0.25,0.45,0.28
21,1.79,0.63,0.18,0.28
22,0.85,0.15,0.3,0.23
23,0.88,0.35,0.3,0.25
24,0.25,0.23,0.58,0.2
25,0.33,0.56,0.75,0.3
26,0.4,0.65,0.33,0.73
27,0.28,0.15,0.2,0.25
28,1.23,0.08,0.63,0.3
29,2.89,0.75,0.48,0.65
30,1.16,0.33,0.25,0.48
31,0.18,0.2,0.55,0.2
32,0.3,0.48,0.68,0.5
33,0.58,0.91,0.18,0.8
34,0.2,0.15,0.2,0.15
35,1.35,0.1,0.22,0.23
36,1.98,0.2,0.43,0.15
37,1.33,0.63,0.25,0.78
38,0.38,0.2,0.78,0.28
39,0.5,0.73,0.2,0.73
40,0.38,0.18,0.23,0.23
41,0.23,0.18,0.48,0.25
42,0.25,0.48,1.0,0.43
43,2.24,1.06,0.38,0.9
44,1.86,0.89,0.23,1.13
45,1.31,0.45,0.5,0.45
46,0.33,0.4,0.78,0.48
47,0.48,0.86,0.2,0.8
48,0.28,0.2,0.6,0.2
49,0.2,0.68,1.08,0.4
50,0.85,1.29,0.48,0.35
51,2.32,0.35,0.2,0.55
52,2.42,0.15,0.3,0.18
53,0.2,0.15,0.4,0.28
54,0.28,0.38,0.98,0.3
55,0.53,0.86,0.95,0.9
56,0.4,0.99,0.55,0.45
57,0.48,0.61,0.93,0.3
58,2.49,0.89,0.78,1.53
59,2.74,0.66,0.3,0.38
60,0.35,0.28,0.33,0.25
61,0.33,0.23,0.38,0.18
62,0.15,0.25,0.6,0.28
63,0.2,0.28,0.78,0.23
64,0.6,0.68,0.73,0.3
65,1.81,0.68,0.43,0.43
66,3.17,0.5,0.2,0.3
67,0.35,0.3,0.4,0.18
68,0.15,0.25,0.35,0.38
69,0.35,0.28,0.3,0.25
70,0.38,0.65,0.6,0.55
71,0.58,0.35,0.38,0.43
72,2.62,0.84,0.4,0.73
73,1.53,0.48,0.15,0.45
74,1.18,0.15,0.18,0.23
75,0.25,0.18,0.38,0.15
76,0.28,0.45,0.58,0.55
77,0.23,0.45,0.78,0.48
78,0.43,0.91,0.38,0.88
79,0.48,0.4,0.48,0.38
80,0.93,0.38,0.4,0.28
81,1.41,0.35,0.3,0.3
82,2.46,0.28,0.55,0.33
83,0.25,0.48,0.38,0.45
84,0.4,0.33,0.28,0.33
85,0.33,0.35,0.55,0.33
86,0.45,0.66,0.28,0.78
87,0.33,0.15,0.7,0.33
88,3.27,0.78,0.45,0.53
89,1.44,0.33,0.8,0.4
90,0.38,0.66,0.25,0.73
91,0.38,0.25,0.68,0.15
92,0.25,0.48,0.5,0.63
93,0.55,0.63,0.7,0.6
94,1.16,0.83,0.48,0.65
95,3.05,0.71,0.3,0.73
96,1.26,0.35,0.25,0.3
97,0.4,0.23,0.43,0.2
98,0.2,0.43,0.9,0.45
99,0.6,0.84,0.33,0.95
100,0.53,0.3,0.68,0.3
101,0.33,0.61,0.95,0.85
102,1.78,1.16,0.22,0.98
103,2.16,0.18,0.18,0.18
104,1.06,0.13,0.48,0.18
105,0.3,0.28,1.05,0.33
106,0.7,0.61,0.35,0.93
107,0.45,0.45,0.25,0.38
108,0.25,0.4,0.5,0.35
109,0.2,0.71,0.3,0.83
110,1.44,0.33,0.35,0.3
111,2.84,0.45,0.18,0.3
112,0.2,0.1,0.8,0.18
113,0.23,0.66,0.73,0.73
114,0.53,0.78,0.35,0.73
115,0.2,0.35,0.48,0.3
116,0.25,0.23,0.33,0.5
117,2.11,0.3,0.3,0.2
118,1.26,0.33,0.43,0.83
119,1.48,0.4,0.28,0.43
120,0.58,0.38,0.25,0.35
121,0.28,0.33,0.7,0.38
122,0.48,0.86,0.35,0.83
123,0.45,0.45,0.73,0.43
124,0.25,0.81,0.4,0.65
125,2.04,0.53,0.55,0.5
126,2.72,0.5,0.7,0.48
127,0.4,0.91,0.58,0.63
128,0.45,0.53,0.38,0.7
129,0.33,0.58,0.2,0.48
130,0.23,0.18,0.43,0.2
131,0.4,0.71,0.55,0.9
132,2.01,0.58,0.58,0.3
133,1.99,0.53,0.3,0.38
134,1.13,0.28,0.55,0.3
135,0.43,0.55,0.4,0.55
136,0.23,0.43,0.35,0.4
137,0.23,0.28,0.5,0.35
138,0.35,0.45,0.28,0.48
139,1.08,0.15,0.83,0.33
140,3.42,0.93,0.35,0.95
141,0.8,0.38,0.6,0.33
