%ifutil,aceph01,aceph02,aceph03,aceph04
0,7.63,7.17,7.62,8.31
1,6.86,6.85,7.03,7.48
2,6.42,6.3,6.39,6.86
3,7.19,6.98,7.18,6.25
4,7.29,6.75,7.15,7.23
5,6.31,6.04,6.25,7.07
6,6.22,6.3,6.38,5.98
7,6.14,6.39,6.5,6.27
8,6.89,6.99,6.35,6.38
9,6.51,5.76,6.23,6.87
10,2.99,2.98,2.94,6.19
11,0.62,0.57,0.67,2.79
12,1.1,1.04,1.03,0.57
13,0.28,0.13,0.09,1.08
14,0.22,0.12,0.09,0.22
15,0.17,0.11,0.13,0.08
16,0.1,0.07,0.09,0.1
17,4.32,4.02,4.13,0.1
18,2.13,1.96,1.95,4.05
19,0.86,0.72,0.7,1.8
20,1.41,1.24,1.4,0.66
21,1.14,1.11,1.26,1.35
22,0.81,0.75,0.72,1.05
23,1.21,1.05,1.03,0.66
24,1.85,1.69,1.72,1.1
25,2.09,2.05,2.16,1.56
26,2.57,2.16,2.43,1.99
27,0.5,0.52,0.48,2.54
28,1.39,1.21,1.16,0.51
29,3.36,3.41,3.11,1.31
30,0.25,0.18,0.19,3.32
31,1.33,1.47,1.37,0.11
32,2.47,2.16,2.21,1.32
33,2.56,2.32,2.5,2.04
34,0.26,0.14,0.17,2.43
35,0.67,0.55,0.63,0.12
36,1.72,1.56,1.84,0.62
37,2.03,1.73,2.05,1.61
38,2.11,2.01,1.91,1.85
39,2.18,2.05,2.11,2.1
40,0.72,0.63,0.65,1.96
41,1.37,1.21,1.28,0.64
42,2.1,2.13,1.92,1.31
43,4.26,4.35,4.37,2.05
44,3.12,2.98,3.22,4.67
45,2.13,1.99,1.98,3.05
46,2.7,2.39,2.74,2.02
47,2.53,2.44,2.22,2.49
48,0.75,0.6,0.63,2.4
49,4.54,4.2,4.34,0.73
50,4.34,3.98,3.91,4.06
51,0.88,0.77,0.87,3.99
52,0.11,0.09,0.09,0.77
53,1.45,1.28,1.26,0.09
54,2.58,2.43,2.64,1.36
55,4.55,4.48,4.55,2.3
56,4.59,4.2,4.53,4.45
57,1.54,1.62,1.51,4.09
58,3.5,3.33,3.59,1.57
59,3.86,3.61,3.82,3.64
60,0.97,0.76,0.79,3.68
61,0.4,0.32,0.35,0.72
62,0.76,0.74,0.76,0.37
63,3.42,3.3,3.05,0.74
64,3.73,3.26,3.4,3.35
65,2.55,2.46,2.44,3.61
66,1.36,1.35,1.45,2.46
67,0.15,0.12,0.15,1.34
68,2.41,2.01,2.07,0.14
69,0.25,0.17,0.12,2.28
70,3.16,2.92,3.07,0.09
71,2.43,2.6,2.6,2.99
72,3.29,3.2,3.05,2.77
73,1.74,1.65,1.7,3.28
74,0.31,0.2,0.16,1.84
75,1.51,1.52,1.7,0.13
76,0.51,0.46,0.49,1.51
77,3.07,2.8,2.93,0.45
78,3.93,4.19,4.02,2.75
79,0.5,0.37,0.36,4.12
80,2.62,2.26,2.24,0.31
81,1.23,1.03,1.09,2.44
82,0.77,0.75,0.7,0.98
83,2.64,2.7,2.83,0.78
84,1.18,0.93,0.97,2.8
85,2.0,1.88,1.86,0.79
