%memused,client01,client02,client03,client04
176,24.06,51.13,59.04,45.69
177,24.07,51.13,59.04,45.69
178,24.09,51.13,59.04,45.7
179,24.09,51.14,59.04,45.7
180,24.06,51.14,59.04,45.7
181,24.06,51.14,59.04,45.7
182,24.06,51.14,59.03,45.7
183,24.06,51.14,59.03,45.7
184,24.06,51.14,59.03,45.7
185,24.08,51.14,59.03,45.7
186,24.09,51.14,59.03,45.7
187,24.06,51.14,59.03,45.7
188,24.06,51.14,59.03,45.7
189,24.06,51.13,59.03,45.7
190,24.06,51.12,59.03,45.7
191,24.06,51.13,58.99,45.7
192,24.08,51.13,59.0,45.7
193,24.07,51.13,59.0,45.7
194,24.06,51.13,59.0,45.7
195,24.06,51.13,59.0,45.69
196,24.06,51.14,59.0,45.69
197,24.06,51.14,59.0,45.69
198,24.06,51.14,59.01,45.69
199,24.09,51.14,59.01,45.69
200,24.07,51.14,59.01,45.69
201,24.06,51.14,58.99,45.69
202,24.06,51.14,58.99,45.69
203,24.06,51.14,58.99,45.69
204,24.06,51.14,58.99,45.69
205,24.06,51.15,59.0,45.69
206,24.09,51.15,59.0,45.69
207,24.07,51.15,59.0,45.69
208,24.07,51.15,59.0,45.69
209,24.07,51.15,59.0,45.69
210,24.06,51.15,59.0,45.69
211,24.06,51.15,59.03,45.69
212,24.08,51.15,59.03,45.69
213,24.09,51.15,59.03,45.69
214,24.07,51.15,59.03,45.69
215,24.06,51.15,59.03,45.69
216,24.06,51.15,59.03,45.69
217,24.06,51.15,59.03,45.69
218,24.06,51.15,59.03,45.69
219,24.06,51.14,59.03,45.69
220,24.09,51.13,59.03,45.69
221,24.06,51.13,59.06,45.69
222,24.06,51.13,59.06,45.69
223,24.06,51.13,59.06,45.69
224,24.06,51.13,59.06,45.69
225,24.06,51.14,59.06,45.69
226,24.08,51.14,59.06,45.69
227,24.09,51.14,59.06,45.69
228,24.09,51.14,59.06,45.69
229,24.06,51.13,59.06,45.69
230,24.06,51.13,59.06,45.69
231,24.06,51.13,59.04,45.69
232,24.06,51.13,59.05,45.69
233,24.06,51.13,59.05,45.71
234,24.08,51.13,59.05,45.71
235,24.08,51.13,59.06,45.71
236,24.09,51.14,59.06,45.71
237,24.06,51.14,59.06,45.71
238,24.06,51.14,59.06,45.71
239,24.06,51.15,59.06,45.7
240,24.06,51.15,59.06,45.7
241,24.06,51.15,59.07,45.7
242,24.08,51.15,59.07,45.7
243,24.07,51.16,59.07,45.7
244,24.05,51.16,59.08,45.7
245,24.05,51.16,59.08,45.7
246,24.05,51.16,59.08,45.7
247,24.05,51.16,59.08,45.7
248,24.05,51.16,59.08,45.7
249,24.08,51.18,59.08,45.7
250,24.08,51.18,59.09,45.7
251,24.08,51.18,59.1,45.71
252,24.05,51.18,59.09,45.7
253,24.05,51.18,59.09,45.71
