loadavg,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
10,21,21,21,27,697,697,21,27,697,27,2,2,2,2,2,2,2,2,2,2,287,287,287,287,287,16,287,287,16,287,6,6,6,6,6,6,6,6,6,6
11,27,27,21,27,697,1122,27,27,697,27,2,2,2,442,2,2,2,2,2,2,881,287,881,881,287,16,287,287,16,287,6,6,6,6,6,6,6,6,6,6
12,27,27,21,27,697,1122,27,27,697,27,2,2,2,442,2,2,2,2,2,2,881,881,881,881,881,16,287,287,287,287,6,6,6,6,6,6,6,6,6,6
13,697,27,21,697,697,1122,27,27,1122,27,2,442,442,442,2,2,2,2,2,2,881,881,881,881,881,881,881,287,287,881,6,470,470,6,6,6,6,6,470,470
14,697,27,697,697,697,1122,697,697,1122,697,442,442,442,442,442,2,2,2,442,442,881,881,881,881,881,881,881,1035,287,881,470,470,470,6,6,697,6,6,470,470
15,697,697,697,697,1122,1122,697,1122,1122,1122,442,442,442,823,442,2,442,2,442,442,881,881,881,881,881,881,881,1035,287,881,470,470,470,6,470,697,470,470,470,470
16,1122,697,697,1122,1122,1122,697,1122,1122,1122,442,442,442,823,442,2,442,442,442,442,881,1035,881,881,1035,881,881,1035,881,881,697,470,470,6,470,697,470,470,470,470
17,1122,697,1122,1122,1280,1122,697,1122,1280,1122,442,823,823,823,442,442,442,442,442,442,1035,1035,1035,881,1035,1035,1035,1035,881,881,697,697,697,470,470,697,470,470,697,697
18,1122,697,1122,1122,1280,1280,1122,1122,1280,1122,823,823,823,823,442,442,823,442,442,442,1035,1035,1035,1035,1035,1035,1035,1035,881,881,697,697,697,470,697,833,697,470,697,697
19,1122,697,1122,1122,1280,1280,1122,1122,1280,1122,823,823,823,823,821,442,823,442,442,442,1035,1035,1035,1035,1035,1035,1035,1035,881,1035,697,697,697,470,697,833,697,697,697,697
20,1122,697,1122,1122,1280,1280,1122,1122,1280,1122,823,823,823,821,821,442,823,442,442,823,1035,1035,1035,1144,1144,1035,1035,1035,881,1035,697,697,697,470,697,833,697,697,697,697
21,1122,1122,1122,1122,1280,1280,1122,1280,1280,1280,823,823,823,821,821,442,823,821,823,823,1144,1144,1035,1144,1144,1035,1035,1035,881,1035,697,697,697,470,697,833,697,697,697,833
22,1280,1122,1122,1280,1280,1322,1122,1280,1322,1280,821,821,823,821,821,821,823,821,823,821,1144,1144,1035,1144,1144,1035,1035,1144,1144,1035,833,697,833,833,697,833,697,697,833,833
23,1280,1122,1280,1280,1280,1322,1280,1280,1322,1280,821,821,821,821,821,821,823,821,821,821,1144,1144,1035,1144,1144,1035,1035,1144,1144,1035,833,697,833,833,833,833,697,697,833,833
24,1280,1122,1280,1280,1322,1322,1280,1280,1322,1280,821,821,821,821,821,821,821,821,821,821,1144,1144,1144,1144,1144,1035,1035,1144,1144,1035,833,697,833,833,833,833,697,833,833,833
25,1322,1122,1280,1322,1322,1322,1280,1322,1322,1280,821,821,821,1140,1140,821,821,821,821,821,1157,1157,1144,1144,1144,1144,1035,1144,1144,1035,833,833,833,833,833,861,833,833,833,833
26,1322,1280,1280,1322,1322,1322,1322,1322,1322,1322,821,821,821,1140,1140,821,821,1140,821,821,1157,1157,1157,1157,1157,1144,1157,1144,1144,1157,833,861,833,833,833,861,833,833,833,833
27,1322,1280,1322,1322,1322,1322,1322,1322,1400,1322,1140,1140,821,1140,1140,821,821,1140,1140,821,1157,1157,1157,1157,1157,1144,1157,1144,1157,1157,861,861,833,833,833,861,833,833,861,833
28,1322,1280,1322,1322,1400,1400,1322,1322,1400,1322,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,861,861,861,833,833,861,861,833,861,905
29,1322,1280,1322,1322,1400,1400,1322,1322,1400,1322,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1157,1157,1160,1157,1160,1157,1157,1157,1157,1157,861,861,861,833,861,861,861,861,861,905
30,1400,1280,1322,1322,1400,1400,1322,1322,1400,1322,1140,1140,1140,1113,1113,1140,1140,1140,1140,1140,1160,1160,1160,1160,1160,1157,1157,1157,1157,1157,861,861,861,833,861,905,861,861,861,905
31,1400,1400,1322,1322,1400,1400,1400,1322,1400,1322,1113,1113,1140,1113,1113,1140,1113,1140,1140,1140,1160,1160,1160,1160,1160,1157,1157,1157,1157,1157,861,861,861,905,861,905,861,861,861,905
32,1400,1400,1322,1400,1400,1496,1400,1400,1400,1400,1113,1113,1113,1113,1113,1140,1113,1113,1140,1113,1160,1160,1160,1160,1160,1157,1157,1157,1157,1160,905,905,861,905,905,905,861,861,905,905
33,1400,1400,1400,1400,1400,1496,1400,1400,1400,1400,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1211,1160,1160,1160,1160,1157,1160,1160,1157,1160,905,905,1001,905,905,1001,861,861,905,1001
34,1496,1400,1400,1400,1496,1496,1400,1496,1496,1496,1113,1104,1113,1104,1113,1113,1113,1113,1113,1113,1211,1160,1160,1160,1211,1160,1160,1160,1157,1160,905,905,1001,905,905,1001,861,905,905,1001
35,1496,1400,1400,1496,1496,1465,1400,1496,1496,1496,1113,1104,1113,1104,1104,1113,1113,1113,1113,1113,1211,1211,1160,1160,1211,1160,1160,1160,1157,1160,905,905,1001,905,905,1001,1001,905,1001,1001
36,1496,1400,1400,1496,1496,1465,1496,1496,1465,1496,1104,1104,1113,1104,1104,1113,1113,1113,1113,1104,1211,1211,1160,1211,1211,1160,1160,1211,1211,1160,905,905,1001,1001,905,1001,1001,905,1001,1001
37,1496,1400,1400,1496,1465,1465,1496,1496,1465,1496,1104,1104,1104,1167,1104,1113,1104,1104,1104,1104,1211,1211,1211,1211,1211,1160,1160,1211,1211,1211,1001,905,1001,1001,905,1001,1001,905,1001,1001
38,1496,1496,1400,1496,1465,1419,1496,1496,1465,1496,1104,1167,1104,1167,1104,1113,1104,1104,1104,1104,1274,1211,1211,1211,1274,1160,1211,1211,1211,1211,1001,905,1001,1001,905,1001,1001,1001,1001,1001
39,1496,1496,1496,1465,1465,1419,1496,1496,1465,1496,1104,1167,1104,1167,1104,1104,1104,1104,1104,1104,1274,1211,1211,1211,1274,1160,1211,1211,1211,1211,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
40,1465,1496,1496,1465,1465,1419,1496,1496,1419,1465,1104,1167,1104,1167,1167,1104,1104,1104,1167,1167,1274,1211,1211,1211,1274,1211,1211,1211,1211,1211,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
41,1465,1496,1496,1465,1465,1419,1465,1465,1419,1465,1167,1167,1104,1194,1167,1104,1104,1104,1167,1167,1274,1211,1211,1274,1274,1211,1211,1211,1274,1274,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
42,1465,1465,1465,1465,1465,1419,1465,1465,1419,1465,1167,1167,1167,1194,1167,1104,1167,1104,1167,1167,1274,1274,1274,1274,1274,1211,1211,1274,1274,1274,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
43,1465,1465,1465,1465,1465,1419,1465,1465,1419,1419,1167,1194,1167,1194,1167,1104,1167,1167,1167,1167,1274,1274,1274,1274,1333,1274,1211,1274,1274,1274,1001,1001,1001,1001,1001,1001,1001,1001,1001,1009
44,1419,1465,1465,1419,1419,1419,1419,1465,1419,1419,1167,1194,1167,1194,1167,1167,1167,1167,1167,1167,1274,1333,1274,1274,1333,1274,1274,1274,1274,1274,1001,1001,1001,1001,1001,1009,1009,1001,1001,1009
45,1419,1465,1419,1419,1419,1394,1419,1419,1419,1419,1167,1194,1167,1194,1194,1167,1194,1167,1167,1194,1333,1333,1274,1274,1333,1274,1274,1274,1274,1274,1001,1009,1001,1001,1001,1009,1009,1001,1001,1009
46,1419,1465,1419,1419,1394,1394,1419,1419,1419,1419,1194,1194,1194,1179,1194,1167,1194,1167,1194,1194,1333,1333,1274,1274,1333,1274,1274,1333,1274,1274,1144,1009,1009,1001,1009,1009,1009,1001,1009,1009
47,1419,1419,1419,1419,1394,1394,1419,1419,1419,1394,1194,1194,1194,1179,1194,1167,1194,1167,1194,1194,1338,1333,1274,1333,1333,1274,1274,1333,1274,1333,1144,1009,1009,1001,1009,1144,1009,1001,1009,1144
48,1394,1419,1419,1419,1394,1426,1419,1419,1419,1394,1194,1194,1194,1179,1194,1167,1194,1194,1194,1194,1338,1333,1338,1333,1338,1333,1333,1333,1333,1333,1144,1009,1009,1001,1009,1144,1009,1009,1009,1144
49,1394,1419,1419,1419,1394,1426,1394,1419,1394,1394,1194,1179,1179,1179,1179,1194,1179,1194,1194,1194,1338,1333,1338,1333,1338,1333,1333,1333,1333,1333,1144,1009,1009,1001,1009,1144,1009,1009,1009,1144
50,1394,1419,1394,1419,1394,1426,1394,1394,1394,1394,1179,1179,1179,1179,1179,1194,1179,1194,1194,1179,1338,1338,1338,1333,1338,1333,1333,1333,1333,1333,1144,1144,1144,1144,1009,1144,1144,1009,1009,1144
51,1394,1419,1394,1419,1394,1426,1394,1394,1394,1394,1179,1179,1179,1179,1188,1194,1179,1194,1179,1179,1338,1338,1338,1338,1338,1333,1333,1338,1338,1338,1144,1144,1144,1144,1009,1144,1144,1144,1009,1197
52,1426,1394,1394,1426,1394,1512,1394,1394,1394,1394,1179,1179,1179,1188,1188,1194,1179,1179,1179,1179,1338,1338,1338,1303,1338,1333,1333,1338,1338,1338,1144,1144,1144,1144,1009,1197,1144,1144,1009,1197
53,1426,1394,1394,1426,1426,1512,1426,1394,1426,1394,1179,1188,1179,1188,1188,1179,1188,1179,1179,1179,1338,1338,1303,1303,1338,1338,1338,1338,1338,1338,1197,1144,1144,1144,1009,1197,1144,1144,1144,1197
54,1426,1394,1394,1426,1426,1512,1426,1426,1426,1394,1188,1188,1179,1188,1188,1179,1188,1179,1179,1179,1303,1303,1303,1303,1338,1338,1338,1303,1338,1338,1197,1144,1144,1197,1144,1197,1197,1144,1144,1197
55,1426,1426,1394,1426,1512,1512,1426,1426,1512,1426,1188,1188,1188,1188,1188,1179,1188,1179,1179,1188,1303,1303,1303,1303,1338,1338,1338,1303,1338,1303,1197,1197,1197,1197,1144,1197,1197,1144,1144,1221
56,1426,1426,1394,1426,1512,1512,1426,1426,1512,1512,1188,1188,1188,1181,1181,1179,1188,1188,1188,1188,1303,1303,1303,1303,1447,1303,1338,1303,1338,1303,1197,1197,1197,1197,1144,1197,1197,1144,1144,1221
57,1426,1426,1426,1426,1512,1519,1426,1512,1512,1512,1188,1181,1188,1181,1181,1179,1188,1188,1188,1188,1303,1303,1303,1303,1447,1303,1303,1447,1303,1303,1221,1197,1221,1197,1144,1221,1197,1197,1144,1221
58,1512,1426,1426,1512,1512,1519,1426,1512,1512,1512,1188,1181,1188,1181,1181,1188,1181,1181,1188,1188,1447,1447,1447,1303,1447,1303,1303,1447,1303,1303,1221,1221,1221,1197,1197,1221,1197,1197,1221,1221
59,1512,1426,1426,1512,1519,1519,1512,1512,1519,1512,1188,1181,1181,1167,1181,1188,1181,1181,1181,1181,1447,1447,1447,1303,1447,1303,1303,1447,1303,1303,1221,1221,1221,1221,1197,1221,1197,1197,1221,1307
60,1512,1512,1512,1512,1519,1519,1512,1512,1519,1512,1188,1181,1181,1167,1181,1181,1181,1181,1181,1181,1447,1447,1447,1447,1447,1447,1303,1447,1303,1303,1221,1221,1221,1221,1197,1221,1197,1197,1221,1307
61,1519,1512,1512,1512,1519,1519,1512,1519,1519,1519,1188,1181,1181,1167,1167,1181,1181,1181,1181,1181,1447,1403,1447,1447,1447,1447,1303,1447,1303,1447,1307,1221,1221,1221,1221,1221,1197,1221,1221,1307
62,1519,1512,1519,1519,1519,1558,1512,1519,1519,1519,1181,1167,1181,1167,1167,1181,1181,1181,1181,1181,1447,1403,1447,1403,1403,1447,1447,1447,1447,1447,1307,1221,1221,1221,1221,1307,1197,1221,1307,1307
63,1519,1512,1519,1519,1519,1558,1512,1519,1519,1519,1181,1167,1181,1167,1167,1181,1181,1167,1181,1181,1403,1403,1447,1403,1403,1447,1447,1403,1447,1447,1307,1221,1307,1221,1221,1307,1307,1221,1307,1307
64,1519,1512,1519,1519,1558,1558,1519,1519,1519,1519,1181,1167,1181,1167,1167,1181,1181,1167,1181,1181,1403,1403,1403,1403,1403,1403,1447,1403,1447,1403,1307,1307,1307,1307,1221,1307,1307,1221,1307,1307
65,1519,1519,1519,1519,1558,1680,1519,1519,1558,1519,1167,1209,1167,1209,1209,1181,1181,1167,1181,1181,1403,1403,1403,1403,1403,1403,1447,1403,1447,1403,1403,1307,1307,1307,1221,1307,1307,1307,1307,1307
66,1519,1519,1519,1558,1558,1680,1558,1519,1558,1558,1167,1209,1167,1209,1209,1181,1181,1167,1181,1181,1403,1403,1403,1403,1403,1403,1403,1403,1403,1403,1403,1307,1307,1307,1221,1307,1307,1307,1307,1403
67,1519,1558,1519,1558,1558,1680,1558,1558,1558,1558,1167,1209,1209,1209,1209,1167,1209,1167,1167,1209,1403,1491,1403,1403,1491,1403,1403,1403,1403,1403,1403,1307,1307,1307,1307,1403,1307,1307,1307,1403
68,1519,1558,1519,1558,1680,1680,1558,1558,1680,1558,1167,1209,1209,1217,1209,1167,1209,1209,1167,1209,1491,1491,1403,1403,1491,1491,1403,1491,1403,1403,1379,1403,1403,1307,1307,1403,1403,1307,1307,1403
69,1558,1558,1558,1558,1680,1680,1558,1558,1680,1558,1209,1209,1209,1217,1217,1209,1209,1209,1167,1209,1491,1491,1491,1491,1491,1491,1491,1491,1403,1403,1379,1403,1403,1403,1307,1403,1403,1403,1307,1379
70,1558,1558,1558,1558,1680,1771,1680,1680,1680,1558,1209,1209,1209,1217,1217,1209,1209,1209,1167,1209,1491,1491,1491,1491,1491,1491,1491,1491,1403,1403,1379,1403,1403,1403,1307,1403,1403,1403,1403,1379
71,1680,1558,1558,1680,1680,1771,1680,1680,1680,1680,1209,1217,1209,1217,1217,1209,1209,1209,1167,1209,1491,1491,1491,1491,1500,1491,1491,1500,1491,1403,1379,1403,1403,1403,1307,1379,1403,1403,1403,1379
72,1680,1558,1558,1680,1680,1771,1680,1680,1680,1680,1217,1217,1209,1217,1217,1209,1217,1217,1217,1217,1491,1500,1491,1491,1500,1491,1491,1500,1491,1500,1379,1379,1379,1379,1403,1379,1379,1403,1403,1379
73,1680,1680,1558,1680,1680,1771,1680,1680,1680,1680,1217,1217,1217,1217,1217,1209,1217,1217,1217,1217,1500,1500,1491,1500,1500,1491,1491,1500,1491,1500,1379,1379,1379,1379,1403,1379,1379,1403,1379,1364
74,1680,1680,1558,1680,1771,1771,1680,1771,1680,1771,1217,1217,1217,1271,1217,1209,1217,1217,1217,1217,1500,1500,1500,1500,1500,1491,1491,1500,1491,1500,1379,1379,1379,1379,1403,1379,1379,1403,1379,1364
75,1680,1680,1680,1680,1771,1909,1771,1771,1680,1771,1217,1217,1217,1271,1217,1217,1217,1217,1217,1217,1500,1500,1500,1500,1628,1491,1500,1500,1500,1500,1379,1379,1379,1379,1403,1379,1379,1379,1379,1364
76,1771,1680,1680,1680,1771,1909,1771,1771,1771,1771,1217,1217,1271,1271,1271,1217,1217,1271,1217,1217,1628,1500,1500,1500,1628,1500,1500,1628,1500,1500,1364,1379,1379,1379,1379,1379,1379,1379,1379,1364
77,1771,1680,1680,1680,1771,1909,1771,1771,1771,1771,1271,1217,1271,1271,1271,1271,1271,1271,1271,1271,1628,1628,1500,1500,1628,1500,1500,1628,1500,1628,1364,1379,1364,1379,1379,1364,1364,1379,1379,1364
78,1771,1771,1771,1771,1771,1909,1771,1771,1909,1771,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1628,1628,1628,1628,1628,1500,1500,1628,1628,1628,1311,1379,1364,1379,1379,1364,1364,1379,1379,1311
79,1771,1771,1771,1771,1909,1909,1771,1909,1909,1909,1271,1271,1271,1271,1234,1271,1271,1271,1271,1271,1553,1628,1628,1628,1628,1628,1628,1628,1628,1628,1311,1364,1364,1379,1379,1364,1364,1379,1379,1311
80,1909,1771,1909,1771,1909,1917,1771,1909,1909,1909,1271,1234,1234,1271,1234,1271,1234,1271,1271,1271,1553,1553,1628,1628,1553,1628,1628,1628,1628,1628,1311,1364,1364,1364,1379,1311,1364,1364,1364,1311
81,1909,1771,1909,1771,1909,1917,1909,1909,1917,1909,1271,1234,1234,1234,1234,1271,1234,1271,1234,1234,1553,1553,1628,1628,1553,1628,1628,1553,1628,1628,1311,1311,1311,1364,1364,1311,1364,1364,1364,1311
82,1909,1771,1909,1771,1909,1917,1909,1909,1917,1909,1271,1234,1234,1234,1234,1234,1234,1271,1234,1234,1553,1553,1628,1628,1553,1628,1628,1553,1628,1628,1311,1311,1311,1364,1364,1311,1311,1364,1364,1311
83,1909,1909,1909,1909,1909,1917,1909,1909,1917,1909,1271,1234,1234,1239,1234,1234,1234,1234,1234,1234,1553,1553,1553,1553,1553,1628,1628,1553,1553,1628,1311,1311,1311,1364,1364,1430,1311,1364,1364,1311
84,1917,1909,1909,1909,1917,1917,1909,1917,1917,1909,1234,1234,1234,1239,1234,1234,1234,1234,1234,1234,1557,1553,1557,1553,1553,1628,1553,1557,1553,1628,1311,1311,1430,1311,1364,1430,1311,1311,1364,1430
85,1917,1909,1909,1909,1917,1917,1917,1917,1917,1909,1234,1234,1234,1239,1239,1234,1234,1239,1234,1234,1557,1553,1557,1553,1557,1553,1553,1557,1553,1628,1311,1311,1430,1311,1364,1430,1311,1311,1364,1430
86,1917,1909,1917,1909,1917,1835,1917,1917,1835,1909,1234,1234,1234,1239,1239,1239,1239,1239,1239,1239,1557,1553,1557,1553,1557,1553,1553,1557,1553,1557,1430,1311,1430,1311,1311,1430,1311,1311,1430,1430
87,1917,1909,1917,1909,1917,1835,1917,1917,1835,1917,1234,1239,1234,1239,1239,1239,1239,1239,1239,1239,1557,1553,1557,1553,1557,1553,1553,1557,1553,1557,1452,1311,1430,1311,1311,1430,1430,1311,1430,1430
88,1917,1917,1917,1917,1917,1835,1917,1835,1835,1917,1234,1239,1239,1239,1348,1239,1239,1239,1239,1239,1557,1625,1557,1553,1557,1553,1553,1625,1553,1557,1452,1311,1430,1430,1311,1452,1430,1311,1430,1430
89,1917,1917,1917,1835,1835,1835,1917,1835,1835,1917,1239,1348,1348,1239,1348,1239,1239,1239,1239,1239,1625,1625,1557,1625,1557,1553,1553,1625,1553,1557,1452,1311,1430,1430,1311,1452,1430,1430,1430,1452
90,1835,1917,1917,1835,1835,1835,1917,1835,1835,1917,1239,1348,1348,1348,1348,1239,1348,1239,1239,1348,1625,1625,1557,1625,1557,1557,1557,1625,1557,1557,1452,1452,1452,1430,1311,1452,1430,1430,1430,1452
91,1835,1917,1917,1835,1835,1768,1917,1835,1835,1917,1239,1348,1348,1348,1348,1239,1348,1239,1348,1348,1625,1625,1557,1625,1625,1557,1557,1625,1557,1557,1520,1452,1452,1452,1452,1520,1452,1430,1430,1452
92,1835,1835,1917,1835,1835,1768,1835,1835,1835,1917,1239,1348,1348,1384,1348,1239,1348,1348,1348,1348,1625,1625,1625,1625,1625,1557,1557,1625,1625,1557,1520,1452,1452,1452,1452,1520,1452,1430,1430,1520
93,1835,1835,1835,1835,1835,1723,1835,1768,1768,1768,1239,1384,1348,1384,1348,1348,1348,1348,1348,1348,1625,1625,1623,1625,1623,1557,1557,1623,1625,1625,1520,1452,1452,1452,1452,1520,1452,1452,1452,1520
94,1835,1768,1835,1768,1768,1723,1835,1768,1768,1768,1348,1384,1348,1384,1384,1348,1348,1348,1348,1348,1623,1623,1623,1623,1623,1557,1557,1623,1625,1625,1520,1452,1520,1452,1452,1520,1452,1452,1452,1520
95,1835,1768,1835,1768,1768,1723,1835,1768,1768,1768,1348,1384,1384,1384,1384,1348,1348,1384,1384,1384,1623,1623,1623,1623,1623,1623,1623,1623,1623,1623,1520,1452,1520,1452,1452,1520,1452,1452,1452,1520
96,1835,1768,1835,1768,1768,1723,1768,1768,1723,1768,1384,1384,1384,1385,1384,1384,1384,1384,1384,1384,1623,1623,1623,1623,1623,1623,1623,1623,1623,1623,1520,1452,1520,1452,1452,1590,1452,1452,1452,1520
97,1768,1768,1768,1768,1723,1723,1768,1723,1723,1723,1384,1384,1384,1385,1384,1384,1384,1384,1384,1384,1623,1623,1623,1623,1623,1623,1623,1623,1623,1623,1590,1452,1520,1452,1520,1590,1452,1520,1452,1520
98,1768,1768,1768,1768,1723,1809,1768,1723,1723,1723,1384,1385,1384,1385,1384,1384,1384,1384,1384,1384,1629,1629,1623,1623,1623,1623,1623,1623,1623,1623,1590,1520,1520,1452,1520,1590,1520,1520,1452,1590
99,1768,1768,1768,1723,1723,1809,1768,1723,1723,1723,1384,1385,1385,1385,1384,1384,1385,1384,1384,1384,1629,1629,1629,1629,1623,1623,1623,1623,1623,1623,1590,1520,1520,1520,1520,1590,1520,1520,1590,1590
100,1723,1723,1768,1723,1723,1809,1768,1723,1723,1723,1384,1385,1385,1339,1385,1384,1385,1384,1385,1385,1629,1629,1629,1629,1623,1623,1629,1629,1623,1629,1559,1520,1590,1520,1520,1590,1520,1520,1590,1590
101,1723,1723,1723,1723,1723,1809,1768,1723,1809,1809,1385,1385,1385,1339,1385,1385,1385,1385,1385,1385,1629,1629,1629,1629,1707,1629,1629,1629,1623,1629,1559,1520,1590,1590,1520,1559,1520,1520,1590,1590
102,1723,1723,1723,1723,1809,2105,1723,1723,1809,1809,1385,1385,1385,1339,1385,1385,1385,1385,1385,1385,1629,1629,1629,1629,1707,1629,1629,1629,1629,1629,1559,1520,1590,1590,1590,1559,1590,1590,1590,1559
103,1723,1723,1809,1809,1809,2105,1723,1809,1809,1809,1385,1339,1385,1339,1339,1385,1385,1339,1385,1339,1707,1707,1707,1629,1707,1629,1629,1629,1629,1629,1559,1590,1559,1590,1590,1559,1590,1590,1590,1559
104,1723,1723,1809,1809,1809,2105,1809,1809,1809,1809,1385,1339,1385,1339,1339,1385,1385,1339,1385,1339,1707,1707,1707,1707,1707,1629,1629,1707,1629,1707,1559,1590,1559,1590,1590,1559,1590,1590,1559,1559
105,1723,1809,1809,1809,1809,2105,1809,1809,2105,1809,1339,1339,1339,1339,1339,1385,1339,1339,1385,1339,1707,1707,1707,1707,1707,1629,1707,1707,1629,1707,1559,1590,1559,1590,1590,1559,1590,1590,1559,1559
106,1723,1809,1809,1809,1809,2105,1809,2105,2105,2105,1339,1339,1339,1335,1339,1385,1339,1339,1385,1339,1707,1707,1707,1707,1707,1707,1707,1707,1629,1707,1779,1559,1559,1590,1559,1779,1559,1590,1559,1779
107,2105,1809,1809,1809,2105,2105,1809,2105,2105,2105,1339,1339,1335,1335,1339,1385,1339,1339,1339,1335,1705,1705,1707,1707,1705,1707,1707,1705,1629,1707,1779,1559,1559,1590,1559,1779,1559,1590,1559,1779
108,2105,1809,1809,1809,2105,2105,1809,2105,2105,2105,1339,1335,1335,1335,1339,1335,1335,1339,1339,1335,1705,1705,1707,1707,1705,1707,1707,1705,1707,1705,1779,1559,1779,1559,1559,1779,1559,1590,1559,1779
