%commit,client01,client02,client03,client04
0,35.31,70.96,72.19,59.74
1,35.82,72.01,72.56,60.16
2,36.04,72.64,72.91,60.28
3,36.13,73.0,73.21,60.38
4,36.14,73.07,73.35,60.43
5,36.14,73.15,73.45,60.45
6,36.14,73.48,73.48,60.45
7,36.14,73.71,73.51,60.46
8,36.14,73.72,73.54,60.62
9,36.25,73.91,73.57,60.97
10,36.28,73.9,73.58,60.97
11,36.29,73.9,73.88,61.05
12,36.35,73.99,73.88,61.05
13,36.32,74.0,73.88,61.15
14,36.34,74.06,73.88,61.21
15,36.34,74.0,73.87,61.21
16,36.34,74.11,73.88,61.22
17,36.34,74.11,73.88,61.22
18,36.34,74.11,73.88,61.22
19,36.33,74.1,73.88,61.22
20,36.32,74.08,73.88,61.22
21,36.33,74.08,73.88,61.19
22,36.34,74.08,73.87,61.2
23,36.33,74.08,73.89,61.2
24,36.33,74.09,73.89,61.2
25,36.33,74.09,73.92,61.3
26,36.33,74.17,74.13,61.31
27,36.33,74.38,74.67,61.74
28,36.5,74.38,74.82,62.19
29,36.7,74.47,74.83,62.19
30,36.67,74.47,74.84,62.2
31,36.67,74.47,74.84,62.2
32,36.67,74.47,74.93,62.2
33,36.67,74.51,74.93,62.21
34,36.67,74.51,74.93,62.21
35,36.67,74.52,74.94,62.21
36,36.71,74.52,74.94,62.21
37,36.7,74.53,74.94,62.21
38,36.7,74.52,74.93,62.21
39,36.7,74.52,74.94,62.21
40,36.7,74.52,74.9,62.19
41,36.69,74.52,74.9,62.11
42,36.69,74.53,74.9,62.11
43,36.68,74.53,74.9,62.11
44,36.71,74.53,74.9,62.11
45,36.7,74.51,74.86,62.08
46,36.69,74.51,74.83,62.08
47,36.69,74.51,74.8,62.08
48,36.69,74.51,74.8,62.08
49,36.69,74.51,74.79,62.08
50,36.68,74.51,74.79,62.08
51,36.66,74.51,74.78,62.1
52,36.67,74.51,74.78,62.1
53,36.65,74.51,74.78,62.1
54,36.65,74.51,74.77,62.1
55,36.64,74.45,74.71,61.87
56,36.64,74.37,74.69,61.86
57,36.64,74.37,74.72,61.85
58,36.62,74.37,74.72,61.85
59,36.66,74.37,74.73,61.85
60,36.65,74.36,74.73,61.85
61,36.64,74.36,74.72,61.85
62,36.64,74.36,74.71,61.86
63,36.64,74.36,74.71,61.88
64,36.64,74.36,74.71,61.88
65,36.62,74.35,74.73,61.88
66,36.66,74.35,74.73,61.88
67,36.65,74.35,74.73,61.89
68,36.65,74.35,74.73,61.88
69,36.65,74.35,74.73,61.88
70,36.65,74.35,74.73,61.88
71,36.65,74.35,74.73,61.88
72,36.65,74.35,74.73,61.88
73,36.68,74.35,74.73,61.89
74,36.67,74.35,74.73,61.89
75,36.67,74.35,74.73,61.89
76,36.67,74.35,74.72,61.88
77,36.67,74.35,74.73,61.88
78,36.67,74.35,74.71,61.88
79,36.67,74.35,74.71,61.88
80,36.68,74.35,74.7,61.88
81,36.66,74.35,74.7,61.87
82,36.68,74.35,74.7,61.87
83,36.66,74.36,74.7,61.87
84,36.66,74.36,74.7,61.87
85,36.66,74.35,74.69,61.87
86,36.66,74.3,74.69,61.89
87,36.66,74.3,74.68,61.89
88,36.69,74.3,74.67,61.89
89,36.65,74.29,74.67,61.89
90,36.65,74.29,74.67,61.89
91,36.65,74.29,74.66,61.89
92,36.65,74.29,74.64,61.88
93,36.65,74.29,74.64,61.88
94,36.66,74.29,74.64,61.88
95,36.66,74.3,74.67,61.88
96,36.66,74.3,74.67,61.89
97,36.65,74.3,74.67,61.89
98,36.65,74.3,74.68,61.9
99,36.65,74.3,74.68,61.9
100,36.65,74.3,74.68,61.9
101,36.65,74.3,74.68,61.9
102,36.67,74.31,74.68,61.9
103,36.71,74.31,74.68,61.9
104,36.72,74.31,74.68,61.9
105,36.72,74.32,74.69,61.9
106,36.72,74.32,74.69,61.9
107,36.72,74.31,74.69,61.9
108,36.72,74.31,74.68,61.9
109,36.72,74.31,74.69,61.9
110,36.74,74.32,74.69,61.9
111,36.72,74.32,74.69,61.9
112,36.72,74.32,74.69,61.89
113,36.72,74.32,74.69,61.89
114,36.72,74.33,74.66,61.89
115,36.72,74.33,74.66,61.89
116,36.72,74.32,74.66,61.89
117,36.71,74.31,74.66,61.89
118,36.71,74.31,74.66,61.89
119,36.72,74.31,74.66,61.9
120,36.69,74.31,74.66,61.9
121,36.69,74.31,74.66,61.9
122,36.69,74.31,74.66,61.9
123,36.7,74.31,74.66,61.91
124,36.7,74.31,74.66,61.91
125,36.7,74.31,74.66,61.91
126,36.71,74.31,74.66,61.92
127,36.71,74.31,74.66,61.92
128,36.71,74.31,74.67,61.92
129,36.71,74.32,74.67,61.92
130,36.71,74.33,74.67,61.92
131,36.71,74.3,74.67,61.92
132,36.71,74.3,74.67,61.93
133,36.73,74.3,74.67,61.94
134,36.73,74.29,74.66,61.94
135,36.73,74.29,74.66,61.94
136,36.73,74.29,74.66,61.96
137,36.73,74.29,74.67,61.96
138,36.73,74.29,74.67,61.96
139,36.75,74.29,74.67,61.96
140,36.77,74.28,74.67,61.96
141,36.75,74.28,74.66,61.96
142,36.75,74.27,74.66,61.96
143,36.75,74.28,74.66,61.96
144,36.75,74.27,74.66,61.96
145,36.75,74.27,74.66,61.96
146,36.77,74.28,74.66,61.96
147,36.75,74.28,74.66,61.96
148,36.79,74.28,74.65,61.96
149,36.76,74.28,74.65,61.96
150,36.76,74.28,74.65,61.96
151,36.76,74.28,74.63,61.96
152,36.76,74.28,74.63,61.95
153,36.76,74.28,74.63,61.96
154,36.72,74.29,74.63,61.96
155,36.73,74.3,74.64,61.96
156,36.73,74.29,74.63,61.96
157,36.73,74.29,74.62,61.95
158,36.73,74.3,74.62,61.95
159,36.73,74.3,74.62,61.95
160,36.73,74.25,74.62,61.95
161,36.71,74.21,74.62,61.94
162,36.71,74.21,74.62,61.94
163,36.74,74.21,74.62,61.95
164,36.76,74.21,74.62,61.95
165,36.76,74.21,74.61,61.95
166,36.76,74.21,74.61,61.95
167,36.76,74.21,74.61,61.95
168,36.8,74.21,74.61,61.95
169,36.81,74.21,74.61,61.95
170,36.8,74.21,74.61,61.95
171,36.8,74.21,74.61,61.97
172,36.81,74.21,74.61,61.98
173,36.81,74.21,74.61,61.98
174,36.81,74.21,74.61,61.98
175,36.81,74.2,74.61,61.98
176,36.81,74.2,74.61,61.98
177,36.81,74.2,74.6,61.98
178,36.81,74.2,74.6,61.98
179,36.83,74.21,74.61,61.98
180,36.83,74.21,74.61,61.97
181,36.83,74.21,74.61,61.93
182,36.83,74.21,74.61,61.92
183,36.83,74.21,74.6,61.92
184,36.83,74.21,74.6,61.93
185,36.83,74.21,74.6,61.93
186,36.81,74.2,74.6,61.93
187,36.81,74.2,74.59,61.93
188,36.81,74.2,74.59,61.93
189,36.81,74.2,74.59,61.94
190,36.8,74.2,74.58,61.94
191,36.8,74.22,74.58,61.95
192,36.82,74.22,74.59,61.95
193,36.8,74.22,74.59,61.95
194,36.78,74.22,74.59,61.95
195,36.78,74.22,74.6,61.95
196,36.78,74.23,74.6,61.96
197,36.78,74.23,74.6,61.96
198,36.78,74.22,74.59,61.96
199,36.8,74.23,74.61,61.96
200,36.79,74.23,74.62,61.96
201,36.79,74.23,74.62,61.96
202,36.79,74.23,74.65,61.97
203,36.79,74.23,74.67,61.97
204,36.79,74.23,74.67,61.97
205,36.79,74.23,74.67,61.97
206,36.78,74.23,74.68,61.97
207,36.77,74.23,74.68,61.97
208,36.77,74.22,74.68,61.97
209,36.77,74.22,74.68,61.97
210,36.77,74.22,74.68,61.97
211,36.77,74.22,74.69,61.97
212,36.78,74.23,74.69,61.97
213,36.75,74.23,74.68,61.97
214,36.74,74.23,74.68,61.97
215,36.74,74.22,74.67,61.97
216,36.74,74.22,74.64,61.96
217,36.74,74.22,74.64,61.96
218,36.73,74.22,74.65,61.96
219,36.73,74.22,74.65,61.96
220,36.78,74.23,74.65,61.96
221,36.78,74.23,74.65,61.94
222,36.78,74.23,74.65,61.94
223,36.78,74.23,74.65,61.94
224,36.78,74.23,74.65,61.94
225,36.78,74.23,74.64,61.94
226,36.85,74.23,74.64,61.94
227,36.83,74.23,74.64,61.94
228,36.84,74.23,74.65,61.94
229,36.8,74.24,74.65,61.94
230,36.8,74.23,74.65,61.94
