start_time,Messenger_pipe read message,Messenger_message_destructed
109131,0.005,75055.384
109132,0.005,5999.351
110334,0.005,NULL
111385,0.005,NULL
112251,0.005,NULL
112510,0.004,NULL
113636,0.005,72336.697
114761,0.005,71918.304
114762,0.003,71917.388
