wrqm/s,aceph01,aceph02,aceph03,aceph04
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,4.9,0.0,0.0,0.0
5,4.6,0.0,0.0,0.0
6,4.4,0.0,0.0,0.0
7,0.3,0.0,0.0,0.6
8,0.0,0.0,0.0,3.3
9,0.0,0.0,0.0,2.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.3,0.0,1.0,0.0
15,0.8,0.7,0.5,0.0
16,2.3,1.3,0.7,0.0
17,2.7,10.2,0.5,0.6
18,3.4,8.7,0.0,12.3
19,4.3,33.7,20.9,15.6
20,4.2,56.0,16.2,10.7
21,2.8,53.8,15.6,31.9
22,4.3,56.0,13.9,34.8
23,2.3,36.3,21.0,66.9
24,2.1,28.8,21.5,82.7
25,27.1,8.3,22.6,84.7
26,20.5,6.0,61.6,57.7
27,18.3,2.6,44.6,38.6
28,10.4,2.1,43.5,20.0
29,8.5,2.9,44.5,0.0
30,9.9,0.6,22.2,2.2
31,11.286,0.0,0.3,1.1
32,11.5,3.3,3.0,2.1
33,11.0,5.7,3.6,2.2
34,2.9,4.2,4.9,6.831
35,2.0,5.3,6.1,4.9
36,1.3,2.5,6.0,5.0
37,0.5,3.861,4.3,5.6
38,2.0,6.1,5.5,70.6
39,1.3,8.2,3.96,63.6
40,1.1,5.8,2.5,62.0
41,1.8,7.1,4.0,61.1
42,1.1,6.5,1.5,52.5
43,1.8,10.3,6.5,17.5
44,8.4,36.9,3.4,6.9
45,22.4,31.7,2.2,7.1
46,23.8,19.7,2.6,6.7
47,94.9,15.2,2.7,43.4
48,86.1,15.6,2.1,38.8
49,82.3,18.7,30.2,39.5
50,78.8,18.4,30.9,25.8
51,68.0,15.7,27.8,15.8
52,8.9,16.4,25.2,16.3
53,6.3,19.7,14.3,16.3
54,8.3,21.9,15.8,20.2
55,10.1,21.2,20.4,18.4
56,16.5,29.5,17.0,16.9
57,27.6,24.6,18.4,12.5
58,32.4,24.9,15.8,7.2
59,30.8,10.7,16.7,12.1
60,27.5,10.0,24.9,8.5
61,17.7,4.4,54.4,19.8
62,22.6,5.0,54.2,33.9
63,9.8,7.9,61.9,126.6
64,14.7,8.9,49.1,111.5
65,13.3,9.1,38.8,103.1
66,11.9,6.6,36.2,82.0
67,15.9,4.95,28.6,72.7
68,12.7,4.6,13.1,9.5
69,13.8,4.2,29.1,17.1
70,13.5,15.1,8.6,14.2
71,21.3,17.1,7.9,15.7
72,38.8,16.1,8.7,11.1
73,46.4,14.1,9.4,11.7
74,60.3,16.6,10.3,10.8
75,78.2,19.6,10.0,5.4
76,85.0,14.6,14.8,6.1
