avgrq-sz,aceph01,aceph02,aceph03,aceph04
176,13.549,14.455,11.406,12.427
177,12.622,13.188,12.895,12.747
178,11.819,13.473,12.276,13.058
179,11.974,14.682,13.465,13.422
180,11.324,12.573,13.032,12.593
181,11.744,12.749,12.85,13.586
182,10.169,12.005,12.729,13.633
183,11.08,11.081,12.467,12.755
184,11.425,11.482,12.44,13.057
185,10.838,13.377,12.978,12.905
186,11.808,10.82,13.107,13.518
187,12.577,11.378,13.592,13.175
188,13.101,12.176,12.896,12.914
189,13.187,11.134,13.23,12.934
190,13.263,10.977,13.369,12.992
191,12.719,11.499,12.931,12.417
192,12.578,12.55,13.639,12.358
193,12.888,12.075,13.257,12.27
194,12.973,11.163,13.266,12.576
195,14.853,11.636,13.767,11.847
196,13.462,12.492,12.538,11.903
197,13.916,11.559,14.419,12.399
198,13.248,11.904,13.623,11.72
199,13.881,11.285,13.466,12.667
200,14.562,12.074,12.658,12.301
201,12.958,14.549,11.98,11.577
202,12.44,12.018,12.468,12.118
203,12.331,13.017,12.973,11.912
204,12.381,13.882,11.985,12.058
205,12.467,14.118,11.297,12.6
206,11.972,13.424,12.175,13.556
207,12.655,14.22,12.764,12.952
208,10.698,14.414,14.132,12.6
209,11.274,14.88,14.26,14.02
210,11.072,14.142,15.044,12.897
211,11.003,14.756,14.386,12.775
212,10.769,12.351,14.466,13.403
213,12.145,12.462,14.462,12.835
214,11.597,13.673,14.392,13.151
215,12.163,13.201,14.806,13.494
216,11.95,12.93,14.216,13.983
217,11.872,16.957,14.274,13.962
218,12.269,12.458,14.388,13.425
219,11.861,12.923,14.169,13.863
220,12.729,12.612,14.366,12.837
221,12.157,13.981,13.729,13.561
222,12.633,14.177,13.305,13.41
223,11.713,13.107,13.276,13.036
224,12.517,13.392,12.045,12.799
225,11.636,13.15,12.399,13.364
226,12.273,13.619,13.217,13.353
227,12.032,13.295,13.509,12.631
228,11.896,12.19,13.236,15.056
229,12.096,13.119,13.386,14.124
230,11.701,12.724,12.171,13.74
231,12.979,12.086,11.881,12.869
232,12.495,13.545,12.305,12.706
233,12.552,14.55,12.989,11.766
234,12.096,15.122,13.682,11.283
235,12.92,13.721,13.27,11.208
236,12.337,14.824,12.995,11.753
237,12.577,13.581,13.248,12.365
238,11.2,13.563,13.252,13.664
239,12.547,13.668,13.889,12.007
240,12.397,12.694,12.931,12.58
241,12.395,12.809,12.77,12.227
