journal_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,116627711392,134390266950,131048794394,113432239841,136736790499,116805528249,119607261787,144575985069,132395937050,130381469980,119740711211,135606625364,111929886699,128004997498,141479343220,133342541359,126584957390,129626508780,111498333985,115091473870,137612614553,126685732886,125022791077,142183949740,123270056973,130745941915,127494335171,134560849337,126402564915,127867342996,118255379043,145223840298,128637985595,120570677707,123588806316,117428497263,127153854857,141656248262,138129651079,112115370568
1,116629190053,134391650417,131050257318,113433486603,136738224092,116806475146,119608341093,144576988501,132395942231,130382703885,119742257865,135608202089,111931555755,128006363068,141480521995,133343637133,126586136184,129627665359,111499298039,115092659804,137614479691,126685733848,125022792039,142185640990,123271654451,130747455657,127495521802,134560850300,126402565878,127869231796,118257163317,145223844723,128637990283,120572318116,123590468930,117430041055,127153859944,141657575193,138131320132,112116827770
2,116631908346,134394234162,131052744446,113436349448,136740631050,116809445386,119610606330,144579741135,132395942231,130385500184,119744645482,135611203086,111934552457,128008969698,141483079951,133346565860,126588598244,129630230497,111501724301,115094978006,137616774259,126685733848,125022792039,142188508851,123274324780,130749781737,127498031811,134560850300,126402565878,127871029677,118260240179,145223844723,128637990283,120575185277,123593120675,117432151703,127153859944,141659949182,138134114999,112120114364
3,116634277352,134396764192,131054951718,113438669787,136742854795,116811948963,119612935280,144581832450,132395942231,130387917146,119746796192,135614193347,111937245709,128011633597,141485705933,133349031498,126590825556,129632624547,111504637259,115097569617,137618988673,126685733848,125022792039,142191360985,123276457605,130752359751,127500513190,134560850300,126402565878,127873692148,118262607766,145223844723,128637990283,120577411876,123595786015,117435071837,127153859944,141662420535,138135957253,112122173488
4,116636989915,134399521852,131057697224,113441453208,136745868667,116815156098,119616003574,144584798383,132395942231,130391110692,119749271139,135616617484,111940355482,128014469252,141487922500,133351225894,126593661920,129635295590,111507563822,115100373084,137621756339,126685733848,125022792039,142194515858,123279299710,130754916272,127503523474,134560850300,126402565878,127877004504,118265769054,145223844723,128637990283,120580608990,123598469254,117437768649,127153859944,141664707928,138138212477,112124558269
5,116639957973,134402435518,131060397619,113444447033,136748300685,116817363393,119618249513,144588052769,132395942231,130393846159,119751678093,135619254188,111943236237,128017427282,141490636490,133353913427,126596358732,129638021033,111510765919,115102580354,137623783229,126685733848,125022792039,142196923517,123281877700,130757351854,127506113666,134560850300,126402565878,127879169550,118268326990,145223844723,128637990283,120583369494,123600969259,117439834207,127153859944,141667101983,138140644486,112127152049
6,116642207447,134404668530,131062515436,113446847510,136750807124,116819647985,119620894116,144589721811,132395942231,130396391234,119754245374,135621918107,111945948084,128020524171,141493152226,133357686708,126598657590,129640170313,111513733260,115105402430,137626128624,126685733848,125022792039,142199543067,123284021282,130759714424,127508415369,134560850300,126402565878,127881744703,118271238516,145223844723,128637990283,120586067736,123603691845,117442855978,127153859944,141669955521,138143505216,112130199604
7,116644705278,134406968805,131064558084,113449134920,136753166136,116821630497,119622047143,144591702922,132395942231,130398804617,119756568597,135624919113,111948390112,128023431367,141495969255,133359990620,126601498253,129643086100,111515598412,115108274578,137628822544,126685733848,125022792039,142202511850,123286592843,130762419087,127511418500,134560850300,126402565878,127884397860,118273961076,145223844723,128637990283,120588906972,123606221899,117444873568,127153859944,141672169925,138146219916,112132313817
8,116647236751,134409786568,131067657157,113451945518,136755974594,116823767632,119625130449,144593862233,132395942231,130402678065,119758785890,135627823472,111951527824,128026341440,141498930887,133362922206,126604044046,129646207312,111519117559,115111078049,137631049136,126685733848,125022792039,142205464129,123289677563,130765044310,127513697315,134560850300,126402565878,127887169108,118276836803,145223844723,128637990283,120592041089,123608960949,117447513111,127153859944,141674795164,138148997600,112135024970
9,116649670185,134412328792,131069598173,113454389641,136757999337,116826632656,119627276178,144596504675,132395942231,130404520317,119760528652,135629688651,111953184003,128028371919,141500708728,133364911194,126606349351,129647540699,111520732218,115112998320,137633239215,126685733848,125024483982,142208363494,123292210484,130767557190,127516409160,134560850300,126403671636,127889791498,118279698226,145225491604,128637990283,120594226162,123611465239,117450188454,127155003665,141676967327,138151096074,112138048856
