%sys,client01,client02,client03,client04
0,2.29,1.68,2.43,2.05
1,1.43,1.95,2.41,2.41
2,0.88,1.45,2.51,2.36
3,0.76,1.34,2.48,2.43
4,0.91,1.22,2.38,2.31
5,0.96,1.19,2.36,2.33
6,1.04,1.17,2.46,2.03
7,2.02,1.24,2.0,2.38
8,1.84,1.09,2.21,2.13
9,2.17,1.29,2.0,2.21
10,0.78,0.99,2.46,2.06
11,0.68,1.35,2.43,2.18
12,0.73,1.22,2.33,2.28
13,0.76,1.29,2.43,2.16
14,0.86,1.15,2.36,2.11
15,2.02,1.1,2.1,2.15
16,1.26,1.39,2.23,2.31
17,0.68,1.43,2.38,2.23
18,0.73,1.35,2.33,2.36
19,0.81,1.17,2.41,2.21
20,0.76,1.02,2.31,2.33
21,0.96,1.1,2.43,2.05
22,2.14,1.24,2.1,2.43
23,0.81,1.12,2.41,2.28
24,0.81,1.15,2.43,2.28
25,0.76,0.89,2.33,2.28
26,0.76,1.35,2.43,2.21
27,0.68,1.42,2.43,2.26
28,1.62,1.44,2.31,2.18
29,1.84,1.67,2.18,2.38
30,0.73,0.98,2.41,2.36
31,0.93,1.25,2.43,2.33
32,0.66,1.47,2.36,2.21
33,0.71,1.24,2.36,2.41
34,0.88,1.35,2.38,2.36
35,2.14,1.16,2.0,3.65
36,1.54,1.37,2.43,2.26
37,0.76,1.3,2.26,2.26
38,0.78,1.49,2.43,2.21
39,0.78,1.17,2.41,2.23
40,0.68,1.26,2.23,2.21
41,1.18,1.27,2.21,2.15
42,2.07,1.49,1.98,2.33
43,0.96,1.25,2.41,2.31
44,0.71,1.47,2.31,2.13
45,0.81,1.12,2.23,2.23
46,0.81,1.22,2.16,2.28
47,0.78,1.24,2.33,2.31
48,1.36,1.22,2.21,2.13
49,1.94,1.29,2.0,2.26
50,0.76,1.34,2.26,2.21
51,0.83,1.17,2.13,2.26
52,0.78,1.15,2.41,2.16
53,0.86,1.22,2.31,2.26
54,0.91,1.4,2.31,2.18
55,2.04,1.47,2.03,2.36
56,1.06,1.27,2.16,2.33
57,0.78,1.17,2.23,2.21
58,0.81,1.12,2.36,2.26
59,0.66,1.35,2.41,2.16
60,0.86,1.26,2.23,2.31
61,1.16,1.38,2.26,2.08
62,1.92,1.42,2.05,2.31
63,0.83,1.2,2.23,2.41
64,0.63,1.2,2.23,2.43
65,0.73,1.01,2.46,2.36
66,0.73,1.22,2.38,2.26
67,0.78,1.2,2.28,2.36
68,1.29,1.22,2.13,4.23
69,1.74,1.34,2.11,2.46
70,0.73,1.11,2.36,2.21
71,0.63,1.35,2.31,2.18
72,0.63,1.2,2.33,2.23
73,0.73,1.28,2.41,2.23
74,0.88,1.19,2.26,2.26
75,2.22,1.19,1.95,2.21
76,1.16,1.2,2.28,2.33
77,0.81,1.25,2.38,2.28
78,0.58,1.35,2.31,2.31
79,0.68,1.07,2.33,2.31
80,0.91,1.02,2.33,2.38
81,1.24,1.12,2.16,2.13
82,2.17,1.29,1.93,2.41
83,0.78,1.17,2.41,2.43
84,0.81,1.37,2.18,2.43
85,0.8,1.07,2.26,2.31
86,0.73,1.2,2.21,2.41
87,0.78,1.15,2.36,2.36
88,1.87,1.07,2.16,2.03
89,1.54,1.27,2.23,2.36
90,0.83,0.94,2.31,2.21
91,1.01,1.15,2.33,2.23
92,0.76,1.28,2.31,2.28
93,0.71,1.05,2.21,2.26
94,1.21,1.1,2.43,2.05
95,2.07,1.31,2.0,2.28
96,0.96,1.27,2.26,2.18
97,0.8,1.29,2.28,2.31
98,0.66,1.29,2.28,2.21
99,0.96,1.29,2.36,2.21
100,1.01,0.91,2.36,2.33
101,1.09,1.19,2.23,1.98
102,1.99,1.44,2.08,2.31
103,0.65,1.29,2.33,2.41
104,0.68,1.17,2.31,2.18
105,0.86,1.09,2.38,2.23
106,0.66,1.2,2.48,2.26
107,0.76,1.32,2.26,2.21
108,1.82,1.27,2.08,2.28
109,1.26,1.49,2.18,2.23
110,0.76,1.19,2.33,2.18
111,0.81,1.17,2.23,2.41
112,0.83,1.14,2.48,2.16
113,0.66,1.27,2.46,2.16
114,1.03,1.23,2.41,2.05
115,2.04,1.21,2.03,2.33
116,0.98,1.35,2.23,2.21
117,0.86,1.37,2.33,2.23
118,0.68,1.14,2.33,2.23
119,0.78,1.32,2.38,2.21
120,0.71,0.99,2.28,2.21
121,1.72,1.22,2.13,2.03
122,1.72,1.32,2.03,2.23
123,0.98,1.3,2.28,2.13
124,0.81,1.4,2.21,2.16
125,0.71,1.17,2.28,4.13
126,0.71,1.37,2.33,2.18
127,0.61,1.43,2.36,2.16
128,2.22,1.42,1.88,2.33
129,1.16,1.26,2.21,2.23
130,0.81,1.17,2.33,2.26
131,0.68,1.14,2.26,2.33
132,0.71,1.12,2.23,2.28
133,0.83,1.3,2.38,2.23
134,1.06,1.18,2.26,3.15
135,2.02,1.09,2.1,3.28
136,0.76,1.19,2.31,2.08
137,0.66,1.35,2.23,2.16
138,0.91,0.99,2.21,2.23
139,0.63,1.24,2.33,2.18
