txkB/s,client01,client02,client03,client04
0,14311.5,9555.52,12462.8,12806.6
1,12335.3,12826.4,13459.6,13837.3
2,11424.0,12293.1,12822.9,13187.2
3,10597.7,10663.0,12649.1,14044.2
4,12998.4,12342.6,12249.7,11999.4
5,11493.5,11564.9,12275.4,12459.1
6,11074.1,12563.8,12933.4,11578.7
7,12846.3,13193.0,12281.6,13221.3
8,12233.3,11865.5,11100.1,12906.7
9,13322.9,11888.9,11848.4,11741.4
10,10473.5,12095.4,13859.5,10931.7
11,9900.23,14292.9,12917.1,11502.1
12,10217.2,13785.1,12256.4,12650.0
13,11105.3,12410.2,13230.3,11220.4
14,11733.6,12489.7,12979.6,11427.9
15,12431.2,12329.9,12410.7,12618.4
16,13031.0,12116.7,11713.4,12766.8
17,12010.1,12698.7,12588.4,12066.9
18,9789.25,13143.9,12195.1,12490.9
19,11253.3,12583.8,12208.0,12097.7
20,12313.9,11808.6,12343.0,12332.1
21,11596.8,12498.5,12810.2,13224.0
22,11966.8,11793.2,12119.1,13878.4
23,11928.7,12747.1,12364.2,12272.0
24,11835.3,12483.4,12430.1,12021.5
25,11803.5,12301.5,12293.8,12128.8
26,10557.5,13264.2,12919.9,11933.4
27,11245.6,11694.0,12550.2,12213.8
28,12449.6,11354.8,12745.6,13145.8
29,12611.9,11589.7,11994.2,12918.8
30,11740.6,12620.5,12400.0,12611.7
31,10217.8,13377.5,13130.8,12834.1
32,10392.3,12811.4,12479.7,11707.4
33,11240.5,11920.3,12003.8,12644.2
34,10168.8,12972.6,11942.8,13586.5
35,11607.3,12685.0,11866.4,11771.6
36,11035.0,12573.2,13589.7,12064.6
37,10405.4,13131.4,11889.0,11711.0
38,10824.8,11549.7,12240.5,11693.6
39,11293.9,11460.1,12303.3,12099.9
40,10945.1,13737.2,11060.2,11878.5
41,11884.8,11801.8,11229.8,12864.2
42,12042.5,12992.5,12363.6,12575.8
43,11198.9,11772.8,12745.9,11885.7
44,11207.2,12898.3,11988.2,11015.8
45,10812.7,13089.9,11671.8,12243.5
46,11578.2,11946.5,11129.2,12336.3
47,11639.4,11037.8,11316.4,12620.6
48,11672.9,11882.3,12191.3,12745.8
49,11425.5,13326.7,10461.2,12336.3
50,10599.7,12963.9,11553.2,11861.9
51,11792.0,11847.5,10886.1,12171.1
52,12093.8,12352.0,12446.1,11501.8
53,10360.0,12359.6,11648.5,11918.2
54,11769.3,13199.3,11190.1,12325.8
55,11887.3,13050.8,11380.3,12751.4
56,11713.8,12996.5,10528.7,12242.2
57,11630.9,11785.0,11246.5,11218.9
58,11980.3,13176.7,12349.5,11780.8
59,11695.1,12844.1,12523.0,10215.8
60,10863.4,13427.3,10873.8,12562.3
61,11909.5,12715.9,10849.3,12771.3
62,13785.6,11389.5,12646.6,11990.3
63,10340.2,13772.2,10745.7,12719.6
64,10705.3,12063.7,10651.7,13336.1
65,11076.8,12085.2,13185.0,12079.2
66,10820.8,12537.3,12640.1,11913.5
67,12263.4,12353.6,11087.6,12887.9
68,12163.4,12546.6,11612.1,11712.6
69,12244.7,13260.7,10918.5,12457.5
70,12335.9,12081.0,12232.0,11753.0
71,11784.0,12843.1,11500.1,10526.0
72,12066.5,11661.8,12057.6,11998.6
73,11363.8,11672.0,13027.3,11836.5
74,11709.8,11839.1,11090.9,13411.5
75,12193.4,11010.7,11876.3,11858.2
76,12062.8,11853.7,11827.9,12061.6
77,11246.3,11846.8,12085.6,12598.6
78,11141.8,11194.8,12194.6,12221.8
79,11639.5,11640.1,12328.7,12244.4
80,9705.85,13825.8,11885.9,12781.5
81,10448.2,11988.1,10903.0,13201.6
82,12287.7,12438.9,10796.7,12553.2
83,11801.5,11388.8,12950.7,13092.0
84,9846.37,11771.6,10877.2,13033.3
85,10783.1,11978.2,11127.6,12744.1
86,11341.4,12183.1,10867.4,13043.1
87,11442.6,12016.9,11911.1,12323.8
88,12037.6,12137.9,11803.7,12273.1
89,12512.6,11838.7,12088.4,12823.6
90,11293.9,12068.0,11407.3,11726.5
91,11065.5,12683.1,11536.9,12765.3
92,11537.6,12283.7,11643.7,12082.4
93,11835.1,11852.1,10719.5,12090.6
94,11998.2,12119.4,12201.8,11182.1
95,10809.0,13178.6,11674.6,11509.6
96,11244.6,12722.7,11043.5,11607.3
97,9894.18,12676.8,11339.9,11991.5
98,10981.0,11742.6,11653.1,10797.1
99,11428.7,11429.7,11917.0,11496.3
100,11659.8,12246.6,11959.6,11737.1
101,10579.8,12031.3,11489.3,12534.6
102,11916.2,13560.6,12088.7,11757.9
103,10440.9,12772.8,11995.5,13138.0
104,11075.4,11653.1,11445.7,11272.1
105,11382.1,11250.3,12567.2,11784.1
106,10496.8,12977.0,13068.5,11657.5
107,10879.3,11782.4,11661.1,12114.5
108,11831.4,11961.3,11720.4,13991.8
109,12411.1,11665.9,10982.2,11824.4
110,11868.9,12498.7,11876.8,12093.6
111,11133.5,11809.9,11493.6,13901.1
112,10881.8,9966.89,13235.5,11559.0
113,10742.4,11840.9,12796.7,11086.4
114,11111.2,12626.2,11865.1,13058.2
115,12593.2,11569.7,11872.0,11924.4
116,11885.4,12025.9,11126.9,11868.7
117,10955.4,13474.2,11749.6,11625.7
118,11776.4,11809.7,12110.0,11772.5
119,11464.5,13192.8,11812.3,11628.1
120,10879.3,12637.9,11615.3,12185.7
121,11894.1,11109.2,10841.1,12139.7
122,12424.4,12947.7,11576.4,11647.6
123,11482.2,11396.4,11360.3,10406.2
124,11865.6,12146.9,10685.6,11057.1
125,11270.4,12741.5,11495.8,11795.1
126,10190.2,12147.8,11790.3,11605.2
127,11348.4,12319.0,11491.8,11612.8
128,11311.7,12720.8,11246.3,13037.2
129,11894.4,11462.9,10852.6,11906.3
130,11398.9,12807.4,11936.0,11490.4
131,10557.0,12032.3,11166.2,12510.1
132,11628.4,12570.4,10731.6,11925.9
133,11720.9,12462.0,12614.9,11005.8
134,11675.4,12416.4,11266.7,12259.2
135,13608.1,12778.5,12789.3,9683.99
136,11774.5,12664.6,11786.7,10873.5
137,11006.8,12609.8,11118.2,10738.1
138,11577.3,12126.3,10747.7,11815.9
139,11439.1,11886.9,11175.1,11641.2
140,11310.0,12586.7,10921.6,11649.2
141,11599.0,12544.3,12270.5,11677.2
142,12193.7,12094.1,11237.9,11011.9
143,10466.5,13012.7,12654.9,11857.8
144,9897.42,11556.4,11388.6,12051.0
145,11289.9,12865.2,11333.1,11027.9
146,10971.9,13453.9,11893.4,11114.3
147,10579.2,11777.2,11239.0,10940.5
148,12156.3,12940.5,12061.5,12723.4
149,11224.2,11999.9,11744.6,11567.7
150,10522.6,12466.7,10713.4,10972.8
151,11860.9,11926.0,11835.3,11508.8
152,11155.2,12260.2,12217.7,11975.3
153,10906.7,11866.8,10782.0,12094.5
154,10895.6,11908.3,11713.8,12357.0
155,12084.0,11972.4,12154.6,12002.4
156,10852.4,12234.3,11637.9,11728.9
157,10023.5,12189.6,11949.3,13578.9
158,10502.1,11656.4,11824.9,11438.1
159,11404.0,11784.4,10723.9,11545.5
160,13041.3,11308.2,11117.1,12168.7
161,12025.5,13011.4,11747.0,11410.4
162,11994.2,12565.2,10292.3,13072.6
163,11417.0,11919.6,11451.4,12438.4
164,11837.3,11370.8,11539.6,12308.4
165,12241.0,11790.0,10257.3,12275.9
166,10930.6,12049.5,11537.3,12867.9
167,12423.9,12642.6,10312.5,11701.5
168,12915.4,12412.1,11362.7,12362.4
169,10929.2,11905.5,11239.5,12620.1
170,11045.7,12067.8,10696.2,12417.5
171,11699.2,12094.8,12577.8,11021.8
172,11045.5,13300.7,11918.6,10038.0
173,10660.6,12621.2,10758.8,11705.1
174,10793.9,12785.1,11265.7,13566.2
175,11912.9,12251.6,10924.0,12816.2
176,12267.6,11353.3,11390.2,11704.2
177,10745.4,11839.3,11997.9,13446.6
178,10911.9,11719.1,11294.8,11874.8
179,10779.3,11375.7,11292.9,12513.9
180,11295.1,11091.8,11134.7,12794.2
181,11616.9,11549.0,12525.8,12074.1
182,12367.9,12087.9,13089.3,11111.9
183,11205.0,12686.5,11598.8,11128.6
184,10887.2,12261.7,11637.1,10921.8
185,11625.5,12841.0,11442.8,11740.1
186,10898.9,11563.9,11223.1,12004.8
187,12182.3,11438.4,10896.9,11825.6
188,13156.3,12008.5,12951.1,10410.7
189,12217.6,11220.1,11788.7,11391.7
190,10487.6,12711.8,11181.6,10792.3
191,11217.6,11847.3,11018.4,10351.5
192,11379.7,10373.3,11749.7,11541.0
193,10721.6,12539.7,11911.2,11674.8
194,10588.8,11847.1,12412.0,11941.0
195,11343.8,13724.5,11617.7,11307.8
196,10303.6,11294.1,12098.0,12162.4
197,9745.02,12304.6,11897.2,11816.4
198,11048.0,11853.0,11334.5,11633.4
199,11084.1,11887.2,12161.6,11231.8
200,10315.4,11535.2,12220.3,12646.0
201,11529.1,11415.8,12303.6,12030.4
202,11393.1,12916.2,12002.1,10780.4
203,10495.1,12523.0,12249.3,12137.7
204,10763.5,12590.6,11202.7,10945.4
205,11775.9,13049.6,11366.6,10747.5
206,10865.9,13451.9,12092.7,11827.6
207,10820.6,13175.5,12319.9,11306.4
208,11524.0,11650.5,11767.4,12491.5
209,11624.3,10471.2,12623.6,11683.9
210,12019.2,10998.7,12204.1,11058.9
211,11829.8,12003.1,12453.3,11401.1
212,10224.5,12938.4,11684.1,11905.5
213,10595.8,11912.8,11648.6,11549.7
214,11664.6,11501.4,11615.6,12594.2
215,11757.9,11929.7,12283.6,12451.9
216,11087.1,11936.9,10435.2,12431.8
217,10756.6,12212.1,12475.5,11228.9
218,10341.0,13200.5,11471.9,12098.3
219,10571.7,11882.2,11204.2,11983.2
220,10857.3,11922.6,10525.4,13813.7
221,12151.3,10617.4,12115.4,12253.2
222,12022.1,12400.2,11509.3,12003.2
223,10559.7,13272.3,11694.0,11250.2
224,10698.2,10305.0,12172.8,11678.3
225,11410.4,11347.0,12037.8,12260.4
226,11324.0,10991.9,12465.1,11036.9
227,11492.6,10534.7,12319.1,11988.6
228,12354.0,11761.7,12021.3,11682.1
229,10990.0,12028.6,10964.7,11633.9
230,10609.5,11656.5,11570.2,12746.0
231,12408.7,11207.4,11386.0,12306.1
232,11184.3,10905.4,11720.4,12792.8
233,11978.2,11570.5,11785.7,12251.7
234,11995.6,10758.6,11437.7,12668.4
235,12332.3,11571.3,10236.7,13155.2
236,11394.4,10694.6,11200.5,12191.1
237,12391.6,10742.0,11561.6,10764.6
238,12034.9,12238.7,11955.1,11598.4
239,10661.2,11293.1,11410.2,12284.4
240,10570.3,12034.2,10849.5,11509.7
241,12457.5,11340.1,12344.7,12266.4
242,11575.7,12485.8,11992.7,12395.7
243,10307.3,12141.6,10936.4,11724.4
244,10532.0,12225.5,11737.6,12236.1
245,11192.0,11476.9,11813.3,10489.3
246,12187.7,11556.7,11246.4,11695.2
247,11131.5,12157.4,12014.3,11518.4
248,12206.2,12701.7,12555.1,10155.1
249,9592.83,12366.2,12223.7,11133.3
250,9904.86,12988.4,12955.9,11091.3
251,11514.8,11253.4,11854.7,11149.0
252,11095.5,12091.3,13141.9,11399.1
253,10489.0,13066.2,12147.9,11098.6
254,11399.0,12174.9,11949.9,12086.2
255,12593.0,12826.9,12383.6,10765.3
256,11711.1,11576.1,12164.9,11116.1
257,11721.2,11540.0,12638.5,11274.4
258,12168.8,11503.8,12733.9,10334.6
259,10178.2,13324.9,11708.8,10953.8
260,10644.6,13201.9,12371.9,10873.7
261,11608.3,11839.8,10852.7,11496.5
262,13426.2,11130.5,11633.3,10902.3
263,11448.3,11885.9,12497.9,11169.4
264,10779.9,13076.4,11215.4,10422.0
265,11686.6,11400.5,11637.8,12246.8
266,11288.3,12765.6,11131.4,11281.5
267,12318.5,11686.5,10325.4,11519.6
268,12843.9,11871.0,12044.6,11966.7
269,11388.3,12159.7,12703.2,10980.4
270,10411.9,12591.3,10812.2,12006.5
271,10479.0,12329.4,11505.5,11560.5
272,10774.4,12357.9,10955.7,10932.4
273,12137.0,11449.0,11255.4,11299.7
274,12041.5,11233.9,12020.9,12570.3
275,11571.5,12233.6,11521.5,11957.0
276,11802.5,11829.7,12069.8,11631.7
277,10397.8,11930.2,12317.2,12098.4
278,12100.6,11520.2,11053.9,11685.4
279,11525.7,11159.8,12916.5,11061.2
280,11178.5,12990.5,13219.3,10387.7
281,11896.1,11996.8,12491.1,11382.8
282,11962.1,11156.0,12572.1,11020.5
283,11276.0,11339.0,11002.7,11946.3
284,10425.7,11416.2,10821.1,12065.1
285,11292.6,11259.0,12066.9,11413.3
286,11711.5,11407.9,12413.8,10375.9
287,10684.1,11794.9,11768.6,12764.4
288,12279.6,10688.4,12704.9,12261.0
289,12080.4,10747.8,11691.6,10627.8
290,11269.0,12441.7,12507.1,10997.7
291,11445.6,11665.4,11281.7,11431.3
292,11590.6,9952.23,13205.2,11537.6
293,11448.8,11026.0,12333.2,11466.1
