%sys,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,14.56,0.0,10.0,10.58,0.0,0.0,0.0,0.99,16.16,1.0,1.96,10.1,9.0,8.08,8.16,9.0,15.15,10.0,0.99,14.29,15.15,13.86,12.0,1.0,13.13,12.12,0.0,0.0,13.86,10.0,10.89,13.86,0.0,8.08,9.09,1.0,8.0,9.18,16.16,0.0,13.73,1.01,1.0,1.96,1.01,1.0,12.12,1.02,13.13,13.0,0.0,6.06,0.0,0.0,6.06,0.0,9.09,9.0,1.01,1.0,7.0,12.24,0.0,11.76,10.1,13.0,0.99,0.0,0.99,13.0,13.13,10.89,10.1,10.0,1.0,10.0,17.82,12.87,1.01,12.87,16.33,16.67,1.02,0.0,0.0,1.01,0.0,1.01,0.99,12.12,11.88,9.9,9.0,1.0,9.0,9.09,14.0,10.0,12.87,10.2,10.0,13.0,12.0,0.0,0.99,11.22,8.08,10.0,8.08,7.14,0.0,9.8,11.0,0.0,9.0,0.99,10.78,0.0,12.0,12.0,0.0,1.0,8.0,9.09,9.09,0.0,8.16,8.08,1.02,9.18,5.1,8.0,10.31,10.1,0.0,8.16,12.12,1.0,10.31,10.1
1,0.99,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.99,1.01,1.01,0.0,1.01,1.0,1.0,1.01,0.98,0.0,1.0,0.0,2.0,1.01,0.0,1.01,1.0,1.0,2.0,1.01,0.0,1.02,0.0,0.0,1.98,1.0,0.0,2.02,0.0,1.01,0.0,1.0,1.98,0.0,0.0,1.0,1.01,1.96,0.99,2.0,0.0,1.01,1.0,1.01,0.0,0.0,1.0,0.99,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.99,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.02,1.0,1.0,1.94,1.98,1.0,0.0,0.0,2.0,0.0,1.01,2.0,1.01,1.01,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.01,1.0,2.97,1.0,0.0,1.01,0.99,2.02,1.98,1.0,1.0,1.01,1.0,2.0,0.0,0.0,1.98,0.0,1.01,0.99,1.0,1.01,1.0,1.01,1.01,0.0,1.0,1.0,1.0,0.97,1.0,0.0,0.0,0.99,1.01,0.99,1.01,1.0,1.0,0.0,1.0,1.01,2.0
2,1.0,0.0,1.0,0.99,1.01,0.0,1.0,1.94,0.0,0.0,2.0,1.0,1.98,0.99,1.0,0.0,1.98,1.0,0.0,1.0,1.0,1.0,0.98,0.0,1.01,0.0,1.01,0.0,1.98,0.99,1.0,1.0,2.0,1.01,0.0,1.01,1.01,1.01,1.0,2.0,0.98,1.0,0.0,1.0,1.01,2.0,2.0,0.99,1.0,1.0,0.0,0.0,1.01,1.0,1.0,0.0,0.99,0.0,0.0,0.0,1.0,1.98,0.0,0.0,0.99,1.0,1.0,0.0,0.0,0.0,0.0,0.99,1.98,0.0,0.0,0.0,0.99,0.0,1.0,0.99,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.01,1.01,1.0,1.01,0.97,1.01,2.94,1.96,1.0,2.0,0.0,0.0,0.0,1.0,1.01,0.99,0.0,1.0,0.0,1.02,1.0,0.0,0.0,1.01,1.0,1.98,0.0,1.01,1.01,0.99,0.0,0.0,0.0,0.0,1.01,0.99,1.98,1.0,1.01,0.99,1.01,2.0,0.99,1.0,0.0,0.99,1.0,2.0,1.01,1.0,1.01,0.0,1.01
3,1.0,0.0,0.0,1.01,0.99,0.0,0.0,1.01,1.0,0.98,1.0,0.99,0.0,1.01,1.0,1.01,1.01,0.0,0.0,1.98,1.0,1.0,1.01,2.0,1.98,1.98,0.0,1.0,1.01,0.0,2.0,1.98,0.0,0.99,0.0,0.0,1.98,1.01,0.0,0.0,1.01,1.94,0.0,0.0,1.0,1.01,1.98,0.0,1.01,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.98,0.0,1.96,0.0,0.0,0.99,0.0,0.0,0.0,1.0,0.0,1.01,0.99,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.99,2.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99,1.01,1.01,2.0,1.0,1.01,1.0,1.0,1.0,1.0,1.98,1.02,0.0,1.01,1.01,1.0,0.97,1.0,0.0,1.01,0.0,1.0,1.01,0.0,1.01,1.0,1.98,1.98,1.01,0.98,0.0,1.0,1.98,1.0,1.0,1.0,0.0,0.99,2.97,0.0,0.0,1.0,1.01,1.01,2.97,0.0,0.0,1.0,1.0,1.01,1.01,1.01,1.01
4,0.0,1.0,0.99,0.0,0.0,0.0,0.97,0.0,1.0,0.0,1.01,1.0,1.98,1.01,0.0,1.0,2.0,1.98,1.98,1.02,0.0,1.96,2.0,1.0,0.0,0.0,1.01,1.98,0.0,1.0,1.01,1.0,1.98,1.01,0.0,0.0,1.0,1.0,1.0,1.01,1.01,0.0,0.0,1.0,0.0,1.0,1.01,0.0,1.01,2.0,0.0,0.0,0.0,1.01,1.0,0.99,1.0,0.0,1.0,0.0,0.0,0.99,1.01,1.01,0.99,0.0,0.99,1.0,0.99,0.98,0.0,0.0,0.0,0.0,0.0,0.0,1.01,1.01,1.0,1.0,0.0,2.0,1.0,0.98,0.99,1.0,1.01,1.01,1.98,1.0,2.0,1.0,1.0,1.01,1.01,0.99,2.0,0.0,0.0,1.01,0.0,1.0,1.01,1.0,0.0,0.99,1.98,1.0,1.0,1.0,1.0,0.99,0.99,1.0,0.99,0.0,0.99,1.01,1.01,0.0,0.0,2.0,2.0,0.99,1.01,0.0,1.96,0.97,1.0,1.0,0.99,1.0,1.01,0.0,1.01,1.0,2.0,1.98,0.0,0.99
5,1.0,9.9,0.0,0.99,18.0,14.85,16.0,16.67,0.99,18.0,12.0,1.0,1.0,1.0,1.01,1.01,0.99,0.0,13.13,0.97,0.0,1.98,1.0,14.85,1.01,0.99,17.82,13.13,2.0,1.01,1.0,0.0,9.0,1.0,1.0,8.08,1.0,1.01,1.01,12.87,1.0,13.73,13.0,14.29,16.0,11.0,1.98,17.0,0.0,1.0,14.14,1.98,7.14,14.0,1.0,13.13,0.0,1.0,9.0,8.74,0.0,1.0,10.0,1.0,1.0,1.0,13.0,15.15,13.0,0.0,0.99,1.0,1.0,1.98,6.86,1.0,1.01,1.0,14.29,1.0,1.0,1.0,15.84,12.87,12.0,13.27,13.27,14.0,10.1,1.02,0.0,0.0,0.0,9.09,1.0,1.01,0.0,0.99,1.01,1.0,1.01,1.0,0.0,8.0,11.11,0.0,2.91,0.0,1.01,1.01,7.0,0.99,1.01,12.12,1.01,11.0,1.0,10.1,1.01,2.97,8.08,6.93,0.0,1.01,1.01,10.0,1.0,0.0,11.0,1.01,1.01,0.0,0.0,1.01,10.0,1.01,0.0,10.89,0.99,1.01
6,14.85,0.99,14.14,15.0,0.0,0.0,0.0,1.0,13.86,2.0,1.0,9.09,10.1,9.0,8.16,7.0,19.0,12.87,1.0,12.87,16.0,14.0,13.0,1.01,13.0,19.0,1.0,1.98,12.12,10.1,9.0,14.85,1.0,9.0,8.08,1.0,10.1,9.0,16.33,1.01,16.83,1.01,2.94,1.98,1.0,2.0,15.15,0.0,13.0,14.14,1.0,10.0,1.0,0.0,7.14,0.99,11.0,8.08,0.0,0.0,9.9,9.0,1.01,8.08,10.1,10.1,0.0,0.0,1.98,12.0,8.08,8.16,12.0,7.07,0.0,11.0,20.2,14.0,1.0,13.0,15.31,12.87,2.02,3.0,2.02,4.0,1.01,1.0,2.02,10.0,11.11,9.9,10.0,1.0,9.18,9.09,9.09,9.0,12.0,11.22,10.0,10.0,10.1,2.0,2.0,10.2,9.09,9.09,8.0,9.0,0.0,12.24,11.22,1.01,11.0,1.01,13.0,1.0,9.0,9.0,2.0,2.02,12.0,7.07,11.0,1.98,7.07,9.9,1.01,10.0,10.0,12.37,10.2,11.0,0.0,12.12,10.89,1.01,9.09,11.88
7,0.0,14.0,0.0,2.0,16.16,15.15,15.84,12.5,1.0,17.17,10.0,0.0,1.0,1.0,0.0,0.0,0.98,2.0,16.16,1.0,1.0,1.01,1.01,14.85,2.0,0.0,14.85,13.0,0.99,1.0,0.0,1.01,10.89,0.99,1.01,8.0,0.99,1.0,0.0,12.24,1.01,15.69,11.22,14.0,16.33,13.13,0.0,15.15,1.01,1.0,10.2,0.0,7.07,13.0,0.99,10.0,0.0,0.99,7.92,10.0,1.0,1.0,8.0,0.0,0.0,0.0,10.1,12.87,13.86,0.0,0.0,0.99,0.0,0.99,9.18,0.0,2.0,1.0,14.0,2.02,1.01,2.0,15.0,16.5,16.0,15.0,13.13,12.12,10.1,2.02,2.0,0.0,0.99,6.06,1.01,0.0,1.98,2.02,0.0,2.02,3.0,1.01,2.0,12.0,11.0,2.97,2.0,1.0,0.0,1.01,9.0,0.0,0.99,12.12,0.0,12.0,1.0,8.08,2.02,4.95,14.29,11.11,1.98,1.01,1.01,6.06,0.99,0.0,10.0,0.99,2.0,1.0,0.0,1.0,8.08,1.98,1.0,11.0,1.01,2.02
8,15.0,0.0,14.0,13.13,0.0,1.0,1.0,0.0,14.0,0.0,1.0,7.84,7.92,10.0,9.9,9.18,15.31,12.87,0.0,13.0,13.13,17.65,13.13,0.0,15.84,14.0,0.0,0.0,12.24,8.08,10.0,13.13,1.01,10.0,9.09,1.01,11.0,6.06,10.0,1.0,15.0,0.0,0.0,2.02,1.0,1.0,14.0,0.0,13.86,9.09,1.0,10.0,1.01,0.0,8.16,0.99,11.88,11.22,0.0,0.0,10.89,13.86,0.0,12.0,8.0,10.89,0.99,0.0,0.0,9.09,8.0,10.89,11.0,10.1,0.0,8.0,16.0,10.1,1.01,17.35,15.0,15.84,1.0,1.0,0.0,0.0,1.98,1.0,1.0,12.0,8.25,9.0,10.1,2.0,11.11,9.0,10.1,11.88,13.27,11.11,13.0,10.89,10.1,1.96,1.0,11.88,8.0,10.89,10.0,6.12,1.0,12.0,11.22,0.0,12.0,0.99,12.87,1.0,10.1,10.0,0.0,1.0,10.1,9.09,12.87,0.0,5.94,10.89,1.0,7.14,7.07,11.11,10.1,10.2,0.0,12.0,12.0,1.02,9.0,9.9
9,0.0,1.0,0.99,0.0,1.0,0.0,0.0,0.98,0.0,1.01,1.01,0.0,2.02,1.98,1.01,1.01,1.0,0.0,1.0,0.0,0.99,0.0,1.01,0.99,0.0,0.98,2.0,1.0,2.97,1.0,1.0,1.0,0.0,1.01,0.99,0.0,0.0,2.0,1.01,1.01,1.01,0.99,0.0,0.0,1.0,1.0,0.0,0.0,1.01,1.02,2.02,0.0,1.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.99,0.0,0.0,1.0,1.0,0.99,1.0,1.0,0.0,0.0,0.0,0.99,1.01,2.0,1.98,1.0,1.98,0.0,0.0,2.0,0.0,0.0,1.01,1.01,2.0,1.98,1.98,1.0,1.98,1.01,0.0,0.0,0.0,1.01,1.0,0.99,1.0,0.0,1.0,0.99,1.0,0.0,1.01,1.0,1.0,1.01,0.0,1.01,1.0,1.0,2.0,1.0,0.0,1.01,0.0,0.0,0.99,1.0,1.01,2.0,0.0,1.0,1.01,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,0.0,2.02,1.01
