kbbuffers,aceph01,aceph02,aceph03,aceph04
0,864.0,492.0,492.0,464.0
1,888.0,492.0,492.0,464.0
2,920.0,492.0,492.0,464.0
3,952.0,492.0,492.0,472.0
4,984.0,500.0,500.0,472.0
5,1016.0,500.0,500.0,472.0
6,1048.0,500.0,500.0,472.0
7,1064.0,500.0,500.0,472.0
8,1096.0,500.0,500.0,480.0
9,1128.0,508.0,508.0,480.0
10,1288.0,508.0,508.0,480.0
11,1500.0,508.0,508.0,480.0
12,1532.0,508.0,508.0,480.0
13,1548.0,508.0,508.0,488.0
14,1580.0,516.0,516.0,488.0
15,1612.0,516.0,516.0,488.0
16,1644.0,516.0,516.0,488.0
17,1676.0,516.0,516.0,488.0
18,1708.0,516.0,516.0,492.0
19,1740.0,524.0,520.0,496.0
20,1764.0,524.0,524.0,496.0
21,1772.0,524.0,524.0,496.0
22,1804.0,524.0,524.0,496.0
23,1836.0,524.0,524.0,512.0
24,1868.0,532.0,528.0,520.0
25,1900.0,532.0,532.0,520.0
26,1932.0,532.0,532.0,520.0
27,1964.0,532.0,532.0,520.0
28,1980.0,532.0,532.0,544.0
29,2016.0,540.0,532.0,552.0
30,2052.0,540.0,540.0,552.0
31,2068.0,540.0,540.0,552.0
32,2084.0,540.0,540.0,552.0
33,2116.0,540.0,540.0,552.0
34,2148.0,544.0,540.0,560.0
35,2180.0,548.0,548.0,560.0
36,2212.0,548.0,548.0,560.0
37,2244.0,548.0,548.0,560.0
38,2276.0,548.0,548.0,560.0
39,2308.0,552.0,548.0,568.0
40,2324.0,556.0,556.0,568.0
41,2340.0,556.0,556.0,568.0
42,2372.0,556.0,556.0,568.0
43,2404.0,556.0,556.0,568.0
44,2436.0,556.0,556.0,576.0
45,2468.0,564.0,564.0,576.0
46,2500.0,564.0,564.0,576.0
47,2532.0,564.0,564.0,576.0
48,2564.0,564.0,564.0,576.0
49,2588.0,564.0,564.0,584.0
50,2612.0,572.0,572.0,584.0
51,2628.0,572.0,572.0,584.0
52,2660.0,572.0,572.0,584.0
53,2676.0,572.0,572.0,584.0
54,2708.0,572.0,572.0,592.0
55,2740.0,580.0,580.0,592.0
56,2772.0,580.0,580.0,592.0
57,2804.0,580.0,580.0,592.0
58,2820.0,580.0,580.0,592.0
59,2852.0,580.0,580.0,600.0
60,2884.0,588.0,588.0,600.0
61,2892.0,588.0,588.0,600.0
62,2916.0,588.0,588.0,600.0
63,2948.0,588.0,588.0,600.0
64,2980.0,588.0,588.0,608.0
65,3012.0,596.0,596.0,608.0
66,3060.0,596.0,596.0,608.0
67,3096.0,596.0,596.0,608.0
68,3128.0,596.0,596.0,608.0
69,3144.0,596.0,596.0,616.0
70,3160.0,604.0,604.0,616.0
71,3192.0,604.0,604.0,616.0
72,3224.0,604.0,604.0,616.0
73,3256.0,604.0,604.0,616.0
74,3288.0,604.0,604.0,628.0
75,3320.0,612.0,612.0,628.0
76,3352.0,612.0,612.0,628.0
77,3384.0,612.0,612.0,628.0
78,3408.0,612.0,612.0,628.0
79,3416.0,612.0,612.0,636.0
80,3448.0,620.0,620.0,636.0
81,3480.0,620.0,620.0,636.0
82,3512.0,620.0,620.0,636.0
83,3544.0,620.0,620.0,636.0
84,3576.0,620.0,620.0,644.0
85,3640.0,628.0,628.0,644.0
86,3908.0,628.0,628.0,644.0
87,4148.0,628.0,628.0,644.0
88,4220.0,628.0,628.0,644.0
89,4252.0,628.0,628.0,652.0
90,4284.0,636.0,636.0,652.0
91,4316.0,636.0,636.0,652.0
92,4348.0,636.0,636.0,652.0
93,4380.0,636.0,636.0,652.0
94,4412.0,636.0,636.0,660.0
95,4448.0,640.0,644.0,660.0
96,4448.0,644.0,644.0,660.0
97,4692.0,644.0,644.0,660.0
98,4728.0,644.0,644.0,660.0
99,4796.0,644.0,644.0,664.0
100,4828.0,684.0,652.0,668.0
101,4860.0,692.0,652.0,668.0
102,4892.0,692.0,652.0,668.0
103,4924.0,692.0,652.0,668.0
104,4940.0,692.0,652.0,668.0
105,4956.0,692.0,696.0,676.0
106,4988.0,700.0,696.0,676.0
107,5020.0,700.0,696.0,676.0
108,5052.0,700.0,696.0,676.0
109,5084.0,700.0,696.0,680.0
110,5116.0,700.0,704.0,688.0
111,5148.0,708.0,704.0,688.0
112,5180.0,708.0,704.0,688.0
113,5196.0,708.0,704.0,688.0
114,5228.0,708.0,704.0,688.0
115,5228.0,708.0,712.0,696.0
116,5276.0,716.0,712.0,696.0
117,5308.0,716.0,712.0,696.0
118,5324.0,716.0,712.0,696.0
119,5356.0,716.0,712.0,696.0
120,5388.0,716.0,720.0,704.0
121,5420.0,724.0,720.0,704.0
122,5452.0,724.0,720.0,704.0
123,5484.0,724.0,720.0,704.0
124,5516.0,724.0,720.0,704.0
125,5516.0,724.0,736.0,712.0
126,5548.0,732.0,736.0,712.0
127,5580.0,732.0,736.0,712.0
128,5612.0,732.0,736.0,712.0
129,5644.0,732.0,736.0,712.0
130,5676.0,732.0,744.0,720.0
131,5692.0,740.0,744.0,720.0
132,5724.0,740.0,744.0,720.0
133,5756.0,740.0,744.0,720.0
134,5772.0,740.0,744.0,720.0
135,5788.0,740.0,752.0,728.0
136,5828.0,752.0,752.0,728.0
137,5864.0,752.0,752.0,728.0
138,5896.0,752.0,752.0,728.0
139,5928.0,752.0,752.0,728.0
140,5960.0,752.0,760.0,736.0
141,5992.0,760.0,760.0,736.0
142,6024.0,760.0,760.0,736.0
143,6040.0,760.0,760.0,736.0
144,6048.0,760.0,760.0,736.0
145,6072.0,760.0,768.0,744.0
146,6104.0,768.0,768.0,744.0
147,6136.0,768.0,768.0,744.0
148,6168.0,768.0,768.0,744.0
149,6200.0,768.0,768.0,744.0
150,6232.0,768.0,776.0,752.0
151,6264.0,776.0,776.0,752.0
152,6296.0,776.0,776.0,752.0
153,6328.0,776.0,776.0,752.0
154,6328.0,776.0,776.0,752.0
155,6376.0,776.0,784.0,760.0
156,6412.0,784.0,784.0,760.0
157,6444.0,784.0,784.0,760.0
158,6476.0,784.0,784.0,760.0
159,6508.0,784.0,784.0,760.0
160,6540.0,784.0,792.0,768.0
161,6572.0,792.0,792.0,768.0
162,6604.0,792.0,792.0,768.0
163,6620.0,792.0,792.0,768.0
164,6636.0,792.0,792.0,768.0
165,6668.0,792.0,800.0,776.0
166,6700.0,808.0,800.0,776.0
167,6732.0,808.0,800.0,776.0
168,6764.0,808.0,800.0,776.0
169,6796.0,808.0,800.0,776.0
170,6828.0,808.0,808.0,784.0
171,6860.0,816.0,808.0,784.0
172,6892.0,816.0,808.0,784.0
173,6908.0,816.0,808.0,784.0
174,7176.0,816.0,808.0,784.0
175,7424.0,816.0,816.0,792.0
176,7704.0,824.0,816.0,792.0
177,7856.0,824.0,816.0,792.0
178,7888.0,824.0,816.0,792.0
179,7920.0,824.0,816.0,792.0
180,7952.0,824.0,824.0,800.0
181,7984.0,832.0,824.0,800.0
182,8016.0,832.0,824.0,800.0
183,8032.0,832.0,824.0,800.0
184,8056.0,832.0,824.0,800.0
185,8064.0,832.0,832.0,808.0
186,8096.0,840.0,832.0,808.0
187,8128.0,840.0,832.0,808.0
188,8160.0,840.0,832.0,808.0
189,8192.0,840.0,832.0,808.0
190,8224.0,840.0,840.0,816.0
191,8256.0,848.0,840.0,816.0
192,8304.0,848.0,840.0,816.0
193,8340.0,848.0,840.0,816.0
194,8348.0,848.0,840.0,816.0
195,8372.0,848.0,848.0,824.0
196,8404.0,856.0,848.0,824.0
197,8436.0,856.0,848.0,824.0
198,8468.0,856.0,848.0,824.0
199,8500.0,856.0,848.0,824.0
200,8532.0,856.0,856.0,832.0
201,8564.0,864.0,856.0,832.0
202,8596.0,864.0,856.0,832.0
203,8596.0,864.0,856.0,832.0
204,8612.0,864.0,856.0,832.0
205,8644.0,864.0,864.0,840.0
206,8676.0,872.0,864.0,840.0
207,8708.0,872.0,864.0,840.0
208,8740.0,872.0,864.0,840.0
209,8772.0,872.0,864.0,840.0
210,8804.0,872.0,872.0,848.0
211,8836.0,880.0,872.0,848.0
212,8864.0,880.0,872.0,848.0
213,8888.0,880.0,872.0,848.0
214,8920.0,880.0,872.0,848.0
215,8952.0,880.0,880.0,856.0
216,8984.0,888.0,880.0,856.0
217,9000.0,888.0,880.0,856.0
218,9032.0,888.0,880.0,856.0
219,9064.0,888.0,880.0,856.0
220,9096.0,888.0,888.0,864.0
221,9128.0,896.0,888.0,864.0
222,9160.0,896.0,888.0,864.0
223,9168.0,896.0,888.0,864.0
224,9176.0,896.0,888.0,864.0
225,9208.0,896.0,896.0,872.0
226,9240.0,904.0,896.0,872.0
227,9272.0,904.0,896.0,872.0
228,9304.0,904.0,896.0,872.0
229,9336.0,904.0,896.0,872.0
230,9384.0,904.0,904.0,880.0
231,9408.0,916.0,904.0,880.0
232,9432.0,916.0,904.0,880.0
233,9456.0,916.0,904.0,880.0
234,9464.0,916.0,904.0,880.0
235,9496.0,916.0,912.0,888.0
236,9528.0,920.0,912.0,888.0
237,9560.0,924.0,912.0,888.0
238,9592.0,924.0,912.0,888.0
239,9624.0,924.0,912.0,888.0
240,9660.0,924.0,920.0,896.0
241,9692.0,928.0,920.0,896.0
242,9932.0,932.0,920.0,896.0
243,10196.0,932.0,920.0,896.0
244,10468.0,932.0,920.0,896.0
245,10756.0,932.0,928.0,904.0
246,10916.0,936.0,928.0,904.0
247,10948.0,940.0,928.0,904.0
248,10980.0,940.0,928.0,904.0
249,11012.0,940.0,928.0,904.0
250,11028.0,940.0,936.0,912.0
251,11044.0,944.0,936.0,912.0
252,11076.0,948.0,936.0,912.0
253,11108.0,948.0,936.0,912.0
254,11140.0,948.0,936.0,912.0
255,11172.0,948.0,944.0,920.0
256,11204.0,952.0,944.0,920.0
257,11236.0,956.0,944.0,920.0
258,11252.0,956.0,944.0,920.0
259,11284.0,956.0,944.0,920.0
260,11300.0,956.0,952.0,928.0
261,11316.0,960.0,952.0,928.0
262,11364.0,964.0,952.0,928.0
263,11396.0,964.0,952.0,928.0
264,11428.0,964.0,952.0,928.0
265,11460.0,964.0,960.0,936.0
266,11492.0,968.0,960.0,936.0
267,11524.0,972.0,960.0,936.0
