kbmemused,aceph01,aceph02,aceph03,aceph04
0,18612212.0,18602824.0,18688536.0,18581200.0
1,18646828.0,18646824.0,18719188.0,18632504.0
2,18697948.0,18708896.0,18779208.0,18614648.0
3,18687412.0,18684920.0,18762952.0,18680852.0
4,18750548.0,18762528.0,18777584.0,18680756.0
5,18779768.0,18771640.0,18824484.0,18712556.0
6,18773284.0,18793304.0,18814144.0,18796552.0
7,18808792.0,18839764.0,18822252.0,18790948.0
8,18864112.0,18813144.0,18865924.0,18821556.0
9,18853272.0,18849360.0,18850068.0,18893776.0
10,18925268.0,18874480.0,18868896.0,18864080.0
11,18977128.0,18880660.0,18916076.0,18884988.0
12,18921804.0,18880100.0,18911456.0,18903620.0
13,18959936.0,18938136.0,18910800.0,18888356.0
14,18970644.0,18864908.0,18978988.0,18922196.0
15,18980652.0,18872532.0,18955420.0,18881716.0
16,19052288.0,18935428.0,18956168.0,18905088.0
17,19027980.0,18923656.0,19018880.0,18951116.0
18,19042220.0,18925824.0,19012636.0,18919500.0
19,19055496.0,19002336.0,19019512.0,18938588.0
20,19050768.0,19000024.0,19066204.0,18964164.0
21,19072800.0,18979952.0,19049264.0,18946056.0
22,19073000.0,19039992.0,19047516.0,18977256.0
23,19057140.0,19011672.0,19085740.0,19013480.0
24,19124260.0,19005020.0,19085760.0,18991468.0
25,19111476.0,19042264.0,19120884.0,19015212.0
26,19179472.0,19056980.0,19137252.0,19057920.0
27,19174880.0,19045704.0,19111668.0,19030756.0
28,19187392.0,19096780.0,19118432.0,19106240.0
29,19273096.0,19089944.0,19162916.0,19106456.0
30,19229604.0,19075060.0,19150604.0,19093664.0
31,19288492.0,19110448.0,19214432.0,19127056.0
32,19267056.0,19138296.0,19223876.0,19119892.0
33,19295900.0,19139044.0,19206756.0,19157116.0
34,19336964.0,19169228.0,19232172.0,19166212.0
35,19301048.0,19186040.0,19289260.0,19166448.0
36,19362424.0,19204124.0,19260352.0,19236600.0
37,19379116.0,19244084.0,19305216.0,19217908.0
38,19340260.0,19211692.0,19336128.0,19198668.0
39,19400896.0,19229208.0,19297384.0,19248032.0
40,19389628.0,19276676.0,19343776.0,19224724.0
41,19401192.0,19283052.0,19357844.0,19241940.0
42,19452268.0,19282916.0,19350412.0,19288320.0
43,19438012.0,19361664.0,19409864.0,19277696.0
44,19500888.0,19382504.0,19422756.0,19300748.0
45,19491076.0,19381460.0,19428968.0,19357912.0
46,19472916.0,19409232.0,19464160.0,19346812.0
47,19538676.0,19407700.0,19452800.0,19396868.0
48,19520192.0,19435896.0,19439440.0,19407772.0
49,19575972.0,19476576.0,19469184.0,19398172.0
50,19585084.0,19471092.0,19501948.0,19431468.0
51,19561788.0,19496368.0,19486200.0,19393692.0
52,19604112.0,19539460.0,19513364.0,19440284.0
