op,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
19,688830,557200,635509,420812,447975,442163,455545,538358,779661,629625,665605,809451,594452,447431,727644,487157,466257,655337,395644,528796,492587,744769,700087,661417,513720,849899,521316,754998,813406,623277,428620,739563,790889,678912,886611,683463,277248,406451,1194183,592699
20,689032,557388,635722,421050,448221,442366,455713,538527,779855,629759,665754,809665,594736,447598,727851,487347,466492,655576,395877,528997,492765,744977,700289,661636,513918,850106,521494,755170,813573,623472,428812,739786,791147,679160,886856,683690,277432,406685,1194406,592893
21,689274,557554,635920,421273,448423,442569,455853,538735,780114,629894,665957,809875,594936,447835,728074,487603,466651,655735,396070,529207,492922,745160,700480,661860,514152,850266,521717,755343,813781,623722,429075,739934,791373,679377,887069,683889,277620,406921,1194701,593113
22,689494,557803,636098,421480,448623,442720,456067,538894,780351,630092,666113,810093,595175,448030,728323,487839,466905,655888,396302,529421,493068,745394,700692,662067,514358,850444,521940,755525,813929,623952,429362,740185,791544,679630,887323,684142,277847,407098,1194864,593363
23,689733,558002,636319,421694,448836,442978,456255,539105,780569,630325,666310,810310,595345,448285,728467,488034,467096,656088,396496,529634,493229,745573,700864,662286,514533,850740,522143,755752,814064,624156,429578,740406,791745,679907,887487,684367,278071,407271,1195076,593570
24,689974,558184,636550,421877,449001,443130,456456,539311,780745,630450,666462,810555,595610,448459,728714,488244,467284,656246,396664,529821,493387,745780,701077,662463,514766,850902,522338,755912,814235,624304,429773,740594,791906,680171,887725,684541,278262,407472,1195247,593847
25,690187,558357,636731,422121,449160,443350,456675,539419,781009,630726,666662,810744,595815,448660,728922,488422,467493,656418,396826,530052,493542,746016,701281,662665,514983,851104,522575,756086,814415,624517,429975,740824,792109,680475,887884,684761,278471,407643,1195469,594023
26,690451,558590,636977,422330,449379,443543,456868,539667,781197,630920,666880,810927,596088,448882,729120,488604,467629,656689,397026,530273,493719,746158,701461,662903,515168,851307,522722,756250,814606,624810,430177,741052,792307,680689,888112,684917,278624,407839,1195643,594232
27,690652,558826,637165,422522,449587,443732,457097,539871,781448,631215,667065,811131,596337,449103,729351,488873,467893,656774,397214,530473,493907,746364,701649,663156,515474,851504,522935,756426,814744,625008,430382,741239,792541,680966,888297,685126,278859,407958,1195887,594452
28,690928,559043,637389,422773,449842,443970,457233,540052,781710,631426,667249,811350,596591,449309,729531,489070,468087,656963,397447,530747,494111,746632,701828,663411,515650,851705,523178,756610,814971,625241,430609,741422,792736,681137,888488,685258,279002,408147,1196031,594622
