avgrq-sz,aceph01,aceph02,aceph03,aceph04
230,19.392,18.319,18.189,19.109
231,18.684,19.083,18.013,19.449
232,18.564,19.145,18.488,19.139
233,18.914,19.515,18.75,19.609
234,19.07,19.849,19.454,18.862
235,19.212,19.645,19.307,19.153
236,19.058,19.294,17.811,19.924
237,19.581,19.415,18.814,18.956
238,19.078,21.027,19.506,19.427
239,20.556,19.538,18.664,18.715
240,18.549,18.981,20.155,18.732
241,19.744,18.983,20.085,19.084
242,18.281,18.522,18.503,18.75
243,18.996,19.462,18.633,19.487
244,19.936,18.944,18.169,19.251
245,19.517,18.908,19.523,18.665
246,20.233,18.272,20.83,20.586
247,18.141,18.335,18.925,18.298
248,18.24,19.219,19.838,18.608
249,18.23,18.819,19.855,18.949
250,18.927,19.357,18.963,18.444
251,18.199,18.593,18.858,19.625
252,18.387,19.2,18.388,20.484
253,18.404,19.638,19.303,19.65
254,19.093,18.309,18.57,19.803
255,18.959,19.264,19.749,18.676
256,19.449,18.898,18.746,18.742
257,19.419,18.721,19.701,19.559
258,19.952,18.971,18.58,18.729
259,19.59,19.328,18.949,19.821
260,19.325,18.777,19.321,19.479
261,19.098,18.586,18.9,18.37
262,19.543,19.376,17.973,19.572
263,19.229,20.285,18.522,18.959
264,19.35,19.088,19.311,19.102
265,19.996,19.084,18.36,19.886
266,20.064,18.862,18.503,19.845
267,19.243,19.195,17.867,19.693
268,19.332,19.428,17.969,18.984
269,19.014,18.435,18.748,19.067
270,18.364,19.107,19.662,19.635
271,19.027,20.094,18.679,19.176
272,19.08,19.488,19.107,18.277
273,19.179,19.949,18.588,18.521
274,18.843,19.429,18.663,18.982
275,19.507,20.224,20.578,19.285
276,19.146,18.078,19.513,18.693
277,19.622,18.832,18.911,18.415
278,18.911,18.321,18.856,19.683
279,19.164,18.371,18.649,19.353
280,19.879,18.959,18.249,19.079
281,19.429,20.147,19.174,18.006
282,21.276,19.202,19.739,19.349
283,19.47,18.747,19.29,19.984
284,18.731,18.924,19.901,19.182
285,19.793,18.393,18.626,18.239
286,20.12,19.459,18.417,18.81
287,20.0,20.104,18.345,19.106
288,18.744,19.315,18.74,19.185
289,19.27,19.513,18.674,20.218
290,18.946,18.981,18.897,20.447
291,19.334,18.325,18.366,20.024
292,19.211,19.681,17.923,18.384
293,18.955,18.528,18.549,19.13
294,19.177,19.013,19.58,19.378
295,19.986,19.632,18.695,19.402
296,18.899,18.653,18.987,18.654
297,19.752,19.412,18.916,19.527
298,19.088,19.698,18.74,19.304
299,19.007,18.517,18.456,18.107
300,19.895,19.051,18.505,18.737
301,19.137,19.24,17.958,19.039
302,18.821,18.257,18.946,18.998
303,18.629,18.986,20.378,19.36
304,18.47,18.613,18.583,18.744
305,18.246,18.334,19.535,18.765
306,18.666,18.982,19.009,18.395
307,18.81,19.592,18.372,18.477
308,19.241,19.395,19.277,18.78
309,18.977,19.825,19.075,18.693
310,20.844,18.547,18.855,19.225
311,18.833,19.236,19.157,19.873
312,18.957,18.874,19.484,19.932
313,19.227,19.182,19.233,18.992
314,18.431,18.957,19.31,20.306
315,19.928,19.579,18.411,19.361
316,18.349,20.125,18.319,18.663
317,19.067,20.098,18.678,19.31
318,18.444,18.849,18.597,19.166
319,19.196,19.726,18.278,18.593
320,18.959,19.026,18.916,19.447
321,18.989,19.092,19.441,19.137
322,18.965,19.204,17.932,18.824
323,19.751,19.89,18.543,18.558
324,19.03,18.339,18.603,19.225
325,19.049,18.976,19.39,18.783
326,19.043,19.897,19.377,18.763
327,18.557,19.246,19.619,18.644
328,18.383,18.499,18.833,19.718
329,18.993,18.412,19.348,19.122
330,19.082,17.943,19.551,19.78
331,19.274,18.789,18.571,19.571
332,19.014,19.619,18.189,18.887
333,18.997,19.906,19.213,19.969
334,19.06,20.179,19.51,19.034
335,18.618,20.338,19.148,19.655
336,20.416,20.336,18.278,19.074
337,20.278,20.093,18.671,19.743
338,19.463,20.089,19.306,19.027
339,18.15,19.584,18.793,18.015
340,19.31,19.335,18.27,19.421
341,19.794,18.668,19.053,18.883
342,19.12,17.965,19.329,18.516
343,19.064,17.932,18.675,17.863
344,18.623,19.222,19.166,18.479
345,19.513,19.78,18.809,19.121
346,19.102,18.621,20.056,19.311
347,18.83,18.898,19.654,19.32
348,22.442,18.972,19.597,19.789
349,18.752,19.422,18.77,18.897
350,18.527,18.931,18.793,19.923
351,19.124,19.916,19.963,20.714
352,19.054,19.454,19.288,19.816
353,18.724,18.678,18.404,19.114
354,18.56,19.624,18.06,19.101
355,19.145,19.5,17.674,20.004
356,19.015,20.214,18.359,19.972
357,18.71,18.947,19.272,19.077
358,19.335,20.335,18.348,19.174
359,18.286,18.784,18.087,18.909
360,19.166,19.251,19.499,19.616
361,19.033,19.031,18.685,18.98
362,18.591,18.471,19.257,19.611
363,19.031,19.273,19.322,19.864
364,18.032,19.589,19.014,20.065
365,19.336,19.098,18.109,18.941
366,18.529,18.483,19.01,19.615
367,18.882,20.422,19.111,19.626
368,19.064,19.725,19.115,18.823
369,19.065,18.393,20.026,18.928
370,18.914,19.067,18.565,19.286
371,19.12,19.245,18.832,19.411
372,19.75,19.181,19.401,19.824
373,19.468,19.491,19.299,19.728
374,19.278,18.702,20.027,20.091
375,19.255,18.948,19.795,18.97
376,18.81,18.973,18.025,19.212
377,18.909,20.359,18.685,19.011
378,18.706,19.556,18.559,19.407
379,20.462,19.309,19.665,18.981
380,18.713,20.02,18.472,19.308
381,19.036,19.074,18.932,19.922
382,18.637,19.694,19.196,19.148
383,19.649,19.41,19.581,20.438
384,19.974,18.926,19.107,19.748
385,19.742,18.415,18.828,19.622
386,19.424,19.598,19.002,19.21
387,18.43,18.157,19.037,18.851
388,18.278,18.678,19.139,18.975
389,19.623,19.633,19.064,18.76
390,19.13,18.753,18.962,18.555
391,18.534,19.193,19.442,18.818
392,19.572,18.902,18.891,18.305
393,19.291,18.681,18.821,17.731
394,19.152,18.523,18.943,18.499
395,19.783,18.768,18.662,18.011
396,18.174,18.748,18.618,18.34
397,17.733,19.036,19.694,18.511
398,18.228,17.895,17.657,19.394
399,18.466,17.33,17.273,17.973
