%memused,client01,client02,client03,client04
0,14.76,30.45,44.02,29.71
1,14.74,30.6,44.03,29.71
2,14.73,30.62,44.04,29.71
3,14.73,30.62,44.04,29.7
4,14.73,30.65,44.03,29.7
5,14.73,30.65,44.03,29.7
6,14.74,30.66,44.03,29.7
7,14.77,30.69,44.03,29.7
8,14.76,30.69,44.03,29.7
9,14.76,30.7,44.02,29.69
10,14.74,30.7,44.02,29.69
11,14.74,30.7,44.02,29.69
12,14.74,30.71,44.02,29.69
13,14.74,30.71,44.03,29.69
14,14.73,30.73,44.02,29.69
15,14.76,30.73,44.02,29.69
16,14.73,30.73,44.02,29.71
17,14.73,30.72,44.02,29.71
18,14.73,30.72,44.02,29.71
19,14.73,30.72,44.02,29.71
20,14.72,30.71,44.02,29.71
21,14.73,30.71,44.02,29.71
22,14.75,30.71,44.02,29.71
23,14.72,30.71,44.02,29.71
24,14.72,30.73,44.03,29.71
25,14.72,30.73,44.03,29.71
26,14.71,30.73,44.03,29.73
27,14.71,30.73,44.04,29.73
28,14.74,30.72,44.06,29.75
29,14.73,30.73,44.06,29.75
30,14.71,30.73,44.06,29.76
31,14.71,30.73,44.06,29.76
32,14.71,30.73,44.07,29.76
33,14.71,30.73,44.07,29.76
34,14.71,30.75,44.07,29.76
35,14.74,30.75,44.07,29.76
36,14.71,30.75,44.07,29.78
37,14.71,30.75,44.07,29.79
38,14.71,30.75,44.07,29.78
39,14.71,30.75,44.06,29.78
40,14.7,30.75,44.06,29.78
41,14.72,30.74,44.06,29.78
42,14.74,30.74,44.06,29.78
43,14.7,30.74,44.06,29.78
44,14.7,30.77,44.06,29.78
45,14.7,30.76,44.06,29.78
46,14.7,30.77,44.06,29.8
47,14.7,30.77,44.05,29.8
48,14.72,30.77,44.05,29.8
49,14.7,30.76,44.05,29.8
50,14.69,30.75,44.05,29.8
51,14.69,30.75,44.05,29.8
52,14.69,30.75,44.05,29.8
53,14.69,30.75,44.04,29.8
54,14.68,30.76,44.04,29.8
55,14.72,30.75,44.04,29.8
56,14.69,30.75,44.04,29.82
57,14.69,30.75,44.04,29.82
58,14.68,30.75,44.04,29.82
59,14.68,30.75,44.04,29.82
60,14.68,30.75,44.04,29.82
61,14.7,30.75,44.04,29.82
62,14.71,30.74,44.04,29.82
63,14.67,30.75,44.04,29.82
64,14.67,30.75,44.04,29.82
65,14.67,30.75,44.04,29.82
66,14.67,30.75,44.04,29.85
67,14.67,30.75,44.04,29.85
68,14.7,30.75,44.04,29.84
69,14.68,30.75,44.04,29.84
70,14.67,30.75,44.04,29.84
71,14.67,30.75,44.04,29.84
72,14.67,30.75,44.04,29.84
73,14.67,30.75,44.04,29.83
74,14.67,30.75,44.04,29.83
75,14.69,30.75,44.04,29.83
76,14.67,30.75,44.04,29.85
77,14.66,30.75,44.04,29.84
78,14.66,30.75,44.04,29.84
79,14.66,30.75,44.04,29.84
80,14.66,30.75,44.04,29.84
81,14.68,30.75,44.04,29.83
82,14.69,30.76,44.04,29.83
83,14.66,30.76,44.04,29.83
84,14.66,30.76,44.04,29.82
85,14.66,30.76,44.04,29.82
86,14.65,30.76,44.04,29.84
87,14.65,30.76,44.04,29.84
88,14.68,30.76,44.04,29.84
89,14.66,30.76,44.04,29.83
90,14.65,30.76,44.04,29.83
91,14.65,30.76,44.04,29.83
92,14.65,30.76,44.04,29.83
93,14.65,30.76,44.04,29.82
94,14.66,30.76,44.04,29.82
95,14.68,30.76,44.05,29.81
96,14.65,30.76,44.05,29.82
97,14.65,30.76,44.05,29.82
98,14.64,30.76,44.05,29.82
99,14.64,30.77,44.05,29.82
100,14.64,30.77,44.05,29.81
101,14.66,30.77,44.05,29.81
102,14.66,30.77,44.05,29.81
103,14.64,30.77,44.05,29.81
104,14.64,30.77,44.05,29.81
105,14.64,30.77,44.05,29.8
106,14.64,30.77,44.05,29.8
107,14.64,30.77,44.05,29.8
108,14.67,30.77,44.05,29.8
109,14.64,30.77,44.05,29.8
110,14.64,30.77,44.05,29.79
111,14.63,30.77,44.05,29.79
112,14.63,30.77,44.05,29.79
113,14.63,30.77,44.05,29.78
114,14.65,30.78,44.05,29.78
115,14.66,30.77,44.05,29.78
116,14.63,30.78,44.05,29.78
