op_rw_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
48,0.018,0.014,0,0,0.009,0,0.002,0.002,0.014,0,0.015,0.0,0.014,0.001,0,0.001,0.003,0,0.001,0.002,0,0.001,0.104,0.008,0.022,0.012,0.042,0.002,0,0.314,0.0,0.0,0,0.008,0.002,0.018,0,0.123
49,0,0,0,0.001,0.091,0,0,0.004,0.02,1.178,0.003,0.0,0.005,0.042,0.002,0,0.002,0.0,0,0.005,0.047,0.013,0.081,0.001,0.014,0.12,0.009,0.001,0.002,0,0.09,0.006,0.001,0.002,0,0,0,0.246
50,0.001,0.0,0.244,0,0.0,0.189,0.001,0.003,0.016,1.277,0.017,0.004,0.01,0.02,0.151,0.007,0.005,0,0.004,0.0,0,0.01,0,0.002,0.0,0.009,0.002,0.0,0.004,0.177,0,0.006,0.004,0.047,0.003,0,0.001,0.007
51,0.001,0.001,0,0,0.003,0,0.003,0.0,0.004,0.744,0.0,0.001,0.0,0.008,0,0.017,0.0,0,0.01,0.004,0.001,0.001,0.317,0.107,0.013,0.019,0.0,0.01,0.001,0.048,0.034,0.001,0,0.008,0.081,0.002,0,0.003
52,0,0,0,0.002,0.368,0,0,0.898,0.003,0.016,0.012,0.001,0,0.04,0.004,0,0.007,0.016,0,0.034,0.025,0.017,0.192,0.137,0.0,0.008,0.004,0,0.004,0,0.0,0.009,0.045,0.001,0.052,0,0,0.0
53,0.0,0.0,0.002,0,0.137,0,0.0,0.027,0.006,0.225,0.002,0.006,0.0,0,0.052,0.042,0.001,0,0.0,0.005,0,0.167,0.001,0.19,0.027,0.035,0.001,0.286,0.219,0.01,0,0.071,0,0.201,0.001,0,0.018,0.356
54,0.003,0,0,0,0.0,1.55,0.001,0.108,0.09,0.307,0.005,0.001,0.0,0.002,0,0.046,0.002,0,0.002,0.004,0.038,0.031,0.001,0.314,0.104,0.001,0.013,0.064,0.0,0.033,0.006,0.012,0.06,0.004,0.02,0.041,0,0.033
55,0,0.599,0,0.004,0.036,0,0,0,0.005,0.415,0.002,0.0,0.041,0,0,0.003,0,0,0,0.001,0.107,0.018,0.02,0.218,0.418,0.079,0.002,0,0,0,0,0.001,0.041,0.002,0.002,0,0,0.0
56,0,0.002,0.251,0,0.007,0.04,0.054,0.008,0.003,0.003,0.079,0.038,0.0,0.118,0.058,0.029,0.086,0.001,0.001,0.032,0,0.073,0.086,0,0.002,0,0.005,0.0,0.011,0.001,0.536,0,0,0.009,0.003,0,0,0.045
57,0.085,0,0,0,0.001,0,0,0.05,0.11,0.236,0.007,0.055,0.034,0.001,0.551,0.003,0.0,0,0.019,0.013,0.001,0.004,0.252,0.296,0.016,0.0,0.001,0.009,0.011,0.001,0.086,0.006,0.005,0.005,0.093,0.002,0.055,0.002
58,0.0,0.002,0,0.0,0.001,0,0.267,0.0,0.006,0.168,0,0.0,0.039,0,0,0.103,0,0,0,0.016,0.042,0.016,0.136,0.782,0,0.07,0.016,0,0,0.613,0,0.002,0.053,0.001,0.107,0,0,0.002
