rxkB/s,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,0.0,4.52,0.0,0.0,4.52,4.48,4.61,4.52,0.0,4.61,4.61,0.0,0.0,0.0,0.0,0.0,2.02,0.0,4.52,0.0,0.0,0.0,0.0,4.47,0.0,0.0,4.52,4.61,0.0,0.0,2.52,0.0,0.0,2.04,0.0,4.56,0.0,0.0,0.0,4.66,0.0,4.52,4.57,4.66,4.61,4.57,0.0,4.61,0.0,0.0,4.61,0.0,4.56,4.66,0.0,4.61,0.0,0.0,4.57,4.43,0.0,0.0,4.47,0.0,0.0,0.0,4.51,4.47,4.56,0.0,0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0,4.57,0.0,0.0,0.0,4.57,4.61,4.66,4.61,4.61,4.66,4.61,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61,4.47,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.0,4.61,0.0,4.57,0.0,4.61,0.0,0.0,4.57,4.57,0.0,0.0,0.0,4.56,0.0,0.0,4.47,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.0,4.61,0.0,0.0
214,4.43,0.0,4.47,4.52,0.0,0.0,0.0,0.0,4.57,0.0,0.0,4.52,4.52,4.56,4.61,4.61,0.0,4.47,0.0,4.57,4.57,4.56,4.61,0.0,4.52,4.52,0.0,0.0,4.61,4.57,2.02,4.57,0.0,0.0,4.52,0.0,4.52,4.56,4.57,0.0,4.61,0.0,0.0,0.0,0.0,0.0,4.61,0.0,4.66,4.66,0.0,4.56,0.0,0.0,4.56,0.0,4.52,4.56,0.0,0.0,4.52,4.61,0.0,4.52,4.43,4.47,0.0,0.0,0.0,4.56,4.52,4.52,4.47,4.47,0.0,4.47,4.57,4.66,0.0,4.57,4.57,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61,4.56,4.56,4.52,0.0,4.61,4.52,4.61,4.56,4.52,4.61,4.52,4.56,4.47,0.0,0.0,4.52,4.56,4.52,4.47,4.56,0.0,4.52,4.52,0.0,4.61,0.0,4.57,0.0,4.57,4.57,0.0,0.0,4.57,4.56,4.56,0.0,4.61,4.56,0.0,4.56,4.52,4.56,4.48,4.56,0.0,4.61,4.61,0.0,4.56,4.52
215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,0.0,3.99,0.0,0.0,4.07,3.99,3.99,3.99,0.0,3.95,2.57,0.0,0.0,0.0,0.0,0.0,3.99,0.0,4.03,0.0,0.0,0.0,0.0,3.94,0.0,0.0,4.03,3.95,0.0,0.0,0.0,0.0,0.0,4.61,0.0,2.35,0.0,0.0,0.0,4.07,0.0,4.03,2.55,4.03,4.03,3.99,0.0,3.99,0.0,0.0,4.03,0.0,0.0,2.52,0.0,2.57,0.0,0.0,2.21,0.0,0.0,0.0,3.99,0.0,0.0,0.0,4.03,3.71,3.94,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.57,0.0,0.0,0.0,2.47,2.52,2.5,2.55,2.5,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0,2.45,0.0,2.48,0.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.55,0.0,0.0
220,3.99,0.56,3.99,3.99,0.57,0.57,0.59,0.57,3.99,0.57,2.02,0.0,0.0,0.0,0.0,0.0,0.52,3.94,0.52,4.03,2.7,3.99,3.94,0.56,4.03,3.95,0.57,0.58,4.07,2.48,4.66,3.95,0.0,0.0,2.48,2.19,0.2,2.53,3.99,0.57,4.03,0.58,2.05,0.57,0.59,0.57,4.03,0.57,3.95,4.07,0.52,0.0,4.66,2.09,0.0,2.03,2.52,0.0,2.21,4.56,0.0,2.52,0.52,3.14,3.99,4.03,0.52,0.71,0.52,4.07,3.9,2.76,2.49,2.55,2.0,0.2,3.99,2.48,2.03,2.5,2.5,2.76,2.07,2.07,2.05,2.07,2.11,2.16,4.52,0.0,0.0,0.25,0.0,4.52,0.0,0.0,2.57,2.45,2.57,2.52,2.5,2.55,2.52,1.98,2.04,0.2,0.0,0.0,0.0,0.0,4.56,2.55,0.2,2.05,2.52,2.11,2.52,2.11,2.48,0.0,2.03,4.52,0.0,0.0,0.0,4.61,0.0,0.0,4.52,0.0,0.0,2.52,2.55,2.55,2.02,2.5,2.52,2.0,2.43,2.52
221,0.57,0.0,0.57,0.57,0.0,0.0,0.0,0.0,0.57,0.0,0.0,4.56,4.51,4.56,4.56,4.56,0.0,0.56,0.0,0.57,1.87,0.58,0.57,0.0,0.56,0.53,0.0,0.0,0.59,2.11,0.0,0.57,0.0,0.0,2.06,0.0,4.36,2.04,0.57,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.59,0.57,0.0,4.61,0.0,0.0,4.56,0.0,1.98,4.52,0.0,0.0,4.56,2.07,0.0,1.35,0.52,0.57,0.0,0.0,0.0,0.52,0.7,1.79,1.96,2.0,0.0,4.32,0.52,2.13,0.0,2.07,2.07,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56,4.56,4.3,4.52,0.0,4.52,4.52,2.03,2.06,2.02,2.02,2.09,2.0,1.96,0.0,0.0,4.32,4.56,4.61,4.47,4.56,0.0,2.07,4.37,0.0,2.01,0.0,2.07,0.0,2.13,4.57,0.0,0.0,4.57,4.61,4.56,0.0,4.56,4.52,0.0,4.52,4.47,2.04,2.02,2.0,0.0,2.02,2.0,0.0,2.08,2.04
