%memused,aceph01,aceph02,aceph03,aceph04
0,56.54,56.51,56.77,56.44
1,56.64,56.64,56.86,56.6
2,56.8,56.83,57.05,56.55
3,56.77,56.76,57.0,56.75
4,56.96,57.0,57.04,56.75
5,57.05,57.02,57.18,56.84
6,57.03,57.09,57.15,57.1
7,57.14,57.23,57.18,57.08
8,57.3,57.15,57.31,57.18
9,57.27,57.26,57.26,57.39
10,57.49,57.34,57.32,57.3
11,57.65,57.35,57.46,57.37
12,57.48,57.35,57.45,57.42
13,57.6,57.53,57.45,57.38
14,57.63,57.31,57.65,57.48
15,57.66,57.33,57.58,57.36
16,57.88,57.52,57.58,57.43
17,57.8,57.49,57.77,57.57
18,57.85,57.49,57.76,57.47
19,57.89,57.72,57.78,57.53
20,57.87,57.72,57.92,57.61
21,57.94,57.66,57.87,57.55
22,57.94,57.84,57.86,57.65
23,57.89,57.75,57.98,57.76
24,58.09,57.73,57.98,57.69
25,58.06,57.85,58.08,57.76
26,58.26,57.89,58.13,57.89
27,58.25,57.86,58.06,57.81
28,58.29,58.01,58.08,58.04
29,58.55,57.99,58.21,58.04
30,58.41,57.95,58.17,58.0
31,58.59,58.05,58.37,58.1
32,58.53,58.14,58.4,58.08
33,58.62,58.14,58.35,58.19
34,58.74,58.23,58.42,58.22
35,58.63,58.28,58.6,58.22
36,58.82,58.34,58.51,58.44
37,58.87,58.46,58.64,58.38
38,58.75,58.36,58.74,58.32
39,58.93,58.41,58.62,58.47
40,58.9,58.56,58.76,58.4
41,58.94,58.58,58.8,58.45
42,59.09,58.58,58.78,58.59
43,59.05,58.82,58.96,58.56
44,59.24,58.88,59.0,58.63
45,59.21,58.88,59.02,58.8
46,59.15,58.96,59.13,58.77
47,59.35,58.96,59.09,58.92
48,59.3,59.04,59.05,58.96
49,59.47,59.16,59.14,58.93
50,59.49,59.15,59.24,59.03
51,59.42,59.22,59.19,58.91
52,59.55,59.36,59.28,59.05
53,59.59,59.18,59.41,59.17
54,59.63,59.15,59.38,59.17
55,59.82,59.23,59.6,59.39
56,59.82,59.35,59.63,59.4
57,59.89,59.26,59.58,59.31
58,59.91,59.37,59.75,59.51
59,59.91,59.49,59.74,59.4
60,60.05,59.44,59.78,59.44
61,60.1,59.61,59.96,59.4
62,60.06,59.55,59.94,59.38
63,60.12,59.55,60.01,59.48
64,60.12,59.63,60.04,59.47
65,60.16,59.71,59.99,59.54
66,60.28,59.66,60.15,59.68
67,60.15,59.85,60.04,59.64
68,60.32,59.76,60.05,59.75
69,60.35,59.79,60.14,59.84
70,60.3,59.92,60.14,59.77
71,60.48,59.86,60.27,59.89
72,60.41,60.02,60.32,59.96
73,60.44,60.08,60.22,59.9
74,60.6,60.08,60.36,60.05
75,60.56,60.25,60.42,60.07
76,60.64,60.21,60.34,60.05
77,60.77,60.35,60.35,60.21
78,60.75,60.48,60.53,60.17
79,60.87,60.31,60.51,60.21
80,60.86,60.38,60.52,60.34
81,60.96,60.38,60.68,60.28
82,61.07,60.4,60.65,60.26
83,61.0,60.57,60.76,60.42
84,61.14,60.56,60.78,60.33
85,61.25,60.62,60.73,60.4
86,61.3,60.75,60.93,60.5
87,61.1,60.71,60.82,60.51
88,61.02,60.67,60.8,60.65
89,61.12,60.81,60.96,60.66
90,61.2,60.8,61.0,60.65
91,61.19,60.87,61.01,60.87
92,61.34,60.91,61.16,60.81
93,61.29,60.83,61.1,60.74
94,61.28,61.13,61.24,60.91
95,61.41,61.07,61.31,60.88
96,61.4,61.12,61.21,61.09
97,61.41,61.34,61.24,61.09
98,61.53,61.25,61.44,61.16
99,61.51,61.29,61.34,61.28
100,61.7,61.44,61.45,61.2
101,61.69,61.35,61.64,61.35
102,61.68,61.36,61.58,61.39
103,61.75,61.48,61.78,61.36
104,61.87,61.49,61.83,61.56
105,61.78,61.46,61.75,61.36
106,61.88,61.53,62.0,61.31
107,61.79,61.54,61.89,61.38
108,61.93,61.56,61.93,61.42
109,62.0,61.76,61.88,61.41
110,61.99,61.69,61.83,61.58
111,62.16,61.72,62.0,61.64
112,62.1,61.85,61.97,61.56
113,62.15,61.79,61.95,61.61
114,62.21,61.83,62.14,61.75
115,62.23,62.04,62.06,61.69
116,62.24,61.91,62.09,61.8
117,62.32,61.96,62.28,61.86
118,62.38,62.12,62.14,61.79
119,62.33,61.98,62.19,61.93
120,62.53,62.13,62.38,61.97
121,62.46,62.2,62.28,61.96
122,62.56,62.15,62.32,62.15
123,62.65,62.26,62.56,62.08
124,62.64,62.35,62.46,62.07
125,62.8,62.24,62.55,62.21
126,62.83,62.31,62.61,62.17
127,62.75,62.46,62.57,62.35
128,62.89,62.41,62.73,62.23
129,62.88,62.55,62.69,62.27
130,62.9,62.58,62.65,62.4
131,63.09,62.51,62.83,62.33
132,63.01,62.58,62.78,62.51
133,63.1,62.7,62.77,62.52
134,63.2,62.67,62.98,62.48
135,63.14,62.69,62.84,62.64
136,63.31,62.87,62.85,62.6
137,63.29,62.78,62.95,62.61
138,63.29,63.04,62.94,62.81
139,63.42,63.03,63.04,62.68
140,63.42,63.05,63.12,62.85
141,63.55,63.16,63.05,62.8
142,63.53,63.17,63.11,62.88
143,63.54,63.2,63.24,63.01
144,63.66,63.29,63.24,62.99
145,63.65,63.26,63.26,63.1
146,63.85,63.4,63.45,63.1
147,63.71,63.34,63.42,63.05
148,63.72,63.35,63.4,63.28
149,63.89,63.45,63.58,63.23
150,63.82,63.4,63.55,63.36
151,64.02,63.44,63.56,63.38
152,64.01,63.61,63.68,63.33
153,63.94,63.59,63.7,63.32
154,63.99,63.6,63.8,63.34
155,64.17,63.68,63.95,63.32
156,64.12,63.76,63.74,63.45
157,64.24,63.65,63.75,63.51
158,64.28,63.82,63.92,63.48
159,64.23,63.77,63.83,63.63
160,64.41,63.77,63.85,63.61
161,64.34,63.89,64.05,63.61
162,64.32,63.89,63.93,63.73
163,64.42,63.96,64.02,63.71
164,64.45,64.05,64.13,63.81
165,64.45,63.99,64.01,63.83
166,64.58,64.02,64.17,63.8
167,64.58,64.21,64.22,63.88
168,64.59,64.12,64.16,64.02
169,64.79,64.29,64.26,63.94
170,64.74,64.28,64.39,64.06
171,64.78,64.22,64.34,64.15
172,65.0,64.32,64.56,64.07
173,64.94,64.47,64.55,64.12
174,65.16,64.35,64.5,64.26
175,64.93,64.53,64.72,64.18
176,64.9,64.53,64.59,64.31
177,65.13,64.5,64.62,64.34
178,65.02,64.62,64.78,64.28
179,65.02,64.61,64.65,64.43
180,65.12,64.61,64.71,64.41
181,65.05,64.78,64.85,64.4
182,65.26,64.74,64.83,64.54
183,65.21,64.87,64.95,64.51
184,65.21,64.97,65.01,64.57
185,65.36,64.88,64.89,64.69
186,65.32,65.01,65.03,64.64
187,65.35,65.0,65.14,64.7
188,65.54,65.17,65.09,64.75
189,65.5,65.15,65.18,64.75
190,65.57,65.12,65.21,64.96
191,65.7,65.16,65.17,64.82
192,65.74,65.2,65.24,64.89
193,65.73,65.12,65.41,64.97
194,65.81,65.19,65.42,64.95
195,65.74,65.4,65.39,65.08
196,65.92,65.33,65.45,65.12
197,66.0,65.34,65.56,65.09
198,65.86,65.46,65.51,65.23
199,65.97,65.41,65.55,65.17
200,66.09,65.56,65.76,65.29
201,66.11,65.66,65.69,65.29
202,66.3,65.52,65.66,65.35
203,66.1,65.64,65.77,65.42
204,66.18,65.73,65.81,65.37
205,66.28,65.68,65.77,65.49
206,66.23,65.75,65.91,65.47
207,66.38,65.84,65.98,65.44
208,66.28,65.82,65.95,65.6
209,66.38,65.84,66.06,65.63
210,66.45,65.98,66.08,65.61
211,66.48,65.94,66.04,65.72
212,66.52,66.05,66.18,65.65
213,66.56,66.11,66.15,65.77
214,66.52,66.05,66.19,65.84
215,66.67,66.08,66.3,65.79
216,66.61,66.17,66.31,66.01
217,66.79,66.15,66.48,65.94
218,66.88,66.26,66.49,65.93
219,66.82,66.32,66.37,66.02
220,66.94,66.29,66.54,66.02
221,66.98,66.45,66.55,66.02
222,66.98,66.46,66.47,66.13
223,67.25,66.42,66.62,66.11
224,67.21,66.56,66.67,66.18
225,67.19,66.54,66.68,66.26
226,67.37,66.6,66.82,66.18
227,67.32,66.78,66.68,66.28
228,67.3,66.61,66.69,66.38
229,67.37,66.67,66.8,66.37
230,67.36,66.82,66.77,66.53
231,67.5,66.75,66.81,66.54
232,67.49,66.81,67.0,66.53
233,67.48,66.98,66.96,66.7
234,67.55,66.93,66.94,66.63
235,67.54,66.97,67.04,66.66
236,67.67,67.09,67.04,66.74
237,67.79,67.03,67.02,66.65
238,67.68,67.09,67.17,66.86
239,67.81,67.24,67.19,66.78
240,67.81,67.24,67.18,66.81
241,67.83,67.34,67.38,66.98
242,68.13,67.56,67.33,66.83
243,67.7,67.4,67.28,67.0
244,67.86,67.43,67.34,67.05
245,67.87,67.6,67.45,66.99
246,67.79,67.48,67.4,67.03
247,68.0,67.54,67.51,67.07
248,68.01,67.73,67.6,67.03
249,68.04,67.53,67.6,67.2
250,68.19,67.58,67.66,67.19
251,68.13,67.65,67.72,67.19
252,68.21,67.61,67.66,67.35
253,68.31,67.8,67.76,67.29
254,68.21,67.84,67.85,67.38
255,68.36,67.84,67.83,67.49
256,68.31,68.02,67.96,67.42
257,68.45,67.94,67.99,67.59
258,68.44,67.9,67.97,67.51
259,68.39,67.94,68.04,67.6
260,68.48,68.08,68.03,67.66
261,68.63,68.0,68.04,67.64
262,68.55,68.0,68.2,67.68
263,68.71,68.13,68.17,67.77
264,68.68,68.13,68.36,67.75
265,68.68,68.34,68.27,67.89
266,68.83,68.31,68.27,67.91
267,68.77,68.27,68.49,67.82
268,68.88,68.44,68.37,67.97
269,69.01,68.4,68.32,67.94
270,68.95,68.38,68.47,67.99
271,69.09,68.55,68.4,68.13
272,69.06,68.56,68.4,68.07
273,68.99,68.52,68.52,68.14
274,69.02,68.69,68.5,68.29
275,69.18,68.63,68.56,68.24
276,69.12,68.72,68.63,68.34
277,69.18,68.8,68.61,68.31
278,69.27,68.75,68.78,68.29
279,69.23,68.89,68.76,68.41
280,69.38,68.92,68.73,68.36
281,69.36,68.87,68.9,68.52
282,69.51,69.05,68.87,68.55
283,69.57,68.98,68.85,68.55
284,69.58,68.99,69.03,68.65
285,69.7,69.15,68.88,68.55
286,69.76,69.23,68.92,68.65
287,69.7,69.17,69.07,68.81
288,69.85,69.27,69.05,68.67
289,69.83,69.27,69.07,68.8
290,69.72,69.26,69.16,68.76
291,69.89,69.45,69.18,68.76
292,69.8,69.42,69.18,68.89
293,70.02,69.35,69.24,68.9
294,70.08,69.49,69.42,68.98
295,70.09,69.42,69.4,69.0
296,70.32,69.51,69.42,69.01
297,70.12,69.56,69.51,69.03
298,70.09,69.48,69.44,69.15
299,70.26,69.55,69.46,69.1
300,70.23,69.69,69.55,69.29
301,70.18,69.61,69.58,69.3
302,70.31,69.63,69.6,69.16
303,70.2,69.75,69.73,69.3
304,70.36,69.8,69.77,69.41
305,70.45,69.76,69.77,69.34
306,70.37,69.8,69.75,69.54
307,70.53,69.95,69.9,69.52
308,70.58,69.9,69.83,69.46
309,70.53,69.91,69.96,69.6
310,70.72,70.0,70.0,69.58
311,70.67,70.02,69.95,69.57
312,70.72,70.08,70.08,69.73
313,70.87,70.21,70.1,69.72
314,70.76,70.15,70.06,69.66
315,70.86,70.24,70.15,69.82
316,70.87,70.37,70.26,69.83
317,70.88,70.29,70.21,69.86
318,71.08,70.4,70.34,70.05
319,71.02,70.43,70.33,70.02
320,71.15,70.44,70.37,69.98
321,71.25,70.51,70.49,70.07
322,71.23,70.4,70.43,70.02
323,71.36,70.47,70.47,70.17
324,71.37,70.52,70.56,70.21
325,71.36,70.54,70.51,70.12
326,71.47,70.66,70.58,70.29
327,71.44,70.74,70.73,70.34
328,71.5,70.66,70.67,70.24
329,71.69,70.77,70.74,70.43
330,71.61,70.79,70.9,70.43
331,71.79,70.77,70.77,70.47
332,71.78,70.82,70.8,70.57
333,71.72,71.0,70.96,70.5
334,71.96,71.01,70.89,70.64
335,71.94,71.2,70.93,70.72
336,71.89,71.26,71.04,70.62
337,71.98,71.32,71.0,70.78
338,71.96,71.4,71.1,70.77
339,71.91,71.29,71.2,70.73
340,72.08,71.39,71.15,70.87
341,72.08,71.46,71.38,70.89
342,72.06,71.33,71.37,70.9
343,72.28,71.37,71.33,70.99
344,72.22,71.47,71.46,70.93
345,72.31,71.38,71.45,70.95
346,72.35,71.38,71.37,71.09
347,72.28,71.49,71.48,71.06
348,72.38,71.48,71.5,71.15
349,72.42,71.58,71.55,71.24
350,72.39,71.71,71.74,71.2
351,72.52,71.7,71.66,71.34
352,72.43,71.86,71.68,71.33
353,72.62,71.8,71.76,71.34
354,72.64,71.8,71.69,71.45
355,72.64,71.92,71.74,71.37
356,72.8,71.96,71.94,71.37
357,72.89,71.89,71.78,71.48
358,72.75,72.03,71.82,71.5
359,72.9,72.07,71.97,71.52
360,72.87,72.03,71.96,71.67
361,72.87,72.17,72.06,71.75
362,73.04,72.07,72.08,71.64
