%soft,aceph01,aceph02,aceph03,aceph04
0,2.25,1.63,1.5,4.51
1,2.01,1.38,1.51,4.99
2,1.88,2.24,1.39,6.38
3,1.75,1.5,1.38,4.74
4,1.25,1.5,1.75,2.13
5,1.75,1.88,1.01,1.5
6,1.37,1.63,1.88,1.51
7,1.5,1.25,1.5,2.0
8,1.5,1.38,1.4,1.25
9,1.38,2.0,1.39,1.88
10,1.87,1.39,1.62,2.0
11,1.13,1.51,1.78,1.63
12,2.12,1.62,1.13,2.0
13,1.38,1.25,1.38,1.38
14,1.62,1.62,2.13,1.38
15,2.25,1.25,5.12,1.63
16,2.0,1.26,5.99,1.12
17,1.5,1.12,5.22,1.26
18,1.62,1.51,3.25,1.88
19,1.75,1.62,3.01,1.62
20,3.0,2.01,3.38,1.51
21,4.24,2.0,3.12,2.12
22,3.9,1.38,2.0,1.75
23,2.12,2.13,2.76,2.12
24,1.75,1.87,2.0,1.75
25,1.88,1.13,2.38,1.76
26,1.75,1.75,2.37,1.75
27,2.75,1.88,2.25,1.76
28,2.49,1.88,2.25,1.62
29,5.27,1.49,2.38,1.75
30,3.0,2.13,2.13,1.88
31,2.0,2.01,2.25,1.88
32,1.63,1.75,1.75,1.62
33,1.88,1.75,2.01,2.26
34,2.0,1.38,2.26,1.75
35,1.75,1.38,2.0,2.25
36,2.5,1.74,1.87,4.24
37,1.88,1.62,1.87,2.75
38,1.38,1.5,1.5,1.75
39,1.75,1.63,2.12,1.38
40,1.99,2.01,2.37,1.75
41,2.38,1.87,1.63,2.37
42,1.13,2.12,3.12,3.25
43,1.62,1.63,3.0,4.89
44,1.38,1.38,2.13,3.0
45,1.49,1.75,1.25,2.12
46,2.01,1.62,2.13,1.75
47,2.0,2.13,2.01,1.37
48,1.75,1.88,1.39,1.88
49,1.88,2.0,1.38,1.5
50,2.0,1.13,1.77,1.75
51,1.62,1.87,1.63,1.75
52,2.0,2.0,1.75,1.62
53,2.0,1.5,1.64,1.38
54,2.25,2.0,1.74,1.5
55,1.5,1.26,2.0,1.88
56,1.75,1.88,2.13,1.63
57,1.75,1.88,1.63,2.13
58,1.87,2.12,2.63,1.63
59,1.75,1.87,3.86,1.5
60,1.75,1.5,4.0,1.87
61,2.38,1.5,3.88,1.63
62,2.12,1.75,2.88,1.38
63,1.62,1.38,2.26,2.0
64,1.75,1.26,2.12,1.75
65,2.37,1.64,1.5,1.25
66,1.75,1.25,1.5,1.99
67,1.63,1.75,1.75,1.13
68,2.38,1.0,1.88,1.75
69,1.75,1.75,2.0,1.63
70,2.0,1.0,2.25,1.25
71,1.63,1.88,2.0,2.13
72,1.5,1.38,2.12,1.62
73,2.5,1.62,1.38,2.12
74,2.38,1.75,1.0,1.75
75,1.5,1.13,1.75,1.13
76,2.25,1.87,1.62,2.0
77,1.38,1.86,1.63,1.75
78,2.25,1.88,1.75,1.88
79,2.01,1.25,1.5,1.12
80,2.25,2.0,1.88,1.38
81,1.62,2.5,1.63,1.88
82,2.01,2.88,1.62,1.88
83,2.0,1.62,1.25,1.75
84,2.5,1.75,1.5,2.25
85,2.62,1.5,1.63,2.0
86,3.88,1.5,1.51,1.87
87,2.25,1.63,1.26,2.0
88,2.49,2.01,2.25,1.62
89,2.01,1.38,1.75,1.76
90,1.88,1.62,1.75,1.88
91,2.75,2.5,1.75,1.88
