%iowait,client01,client02,client03,client04
0,0.08,0.28,0.0,0.0
1,0.0,0.1,0.03,0.0
2,0.03,0.08,0.0,0.0
3,0.08,0.08,0.0,0.03
4,0.23,3.95,0.0,0.0
5,0.35,0.84,0.0,0.0
6,0.0,0.08,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.3,0.0,0.0,0.0
9,1.21,1.34,0.0,0.0
10,0.73,6.1,0.0,0.0
11,0.05,0.05,0.0,0.0
12,0.0,0.18,0.03,0.03
13,0.13,0.0,0.0,0.0
14,0.96,0.71,0.0,0.0
15,0.1,0.48,0.0,0.0
16,0.0,0.05,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.08,0.05,0.0,0.03
19,0.4,0.97,0.0,0.0
20,0.58,5.29,0.0,0.0
21,0.05,0.08,0.03,0.0
22,0.0,0.0,0.0,0.03
23,0.18,0.1,0.03,0.05
24,0.68,1.22,0.0,0.0
25,2.42,10.74,0.03,0.05
26,0.13,0.25,0.05,0.0
27,0.15,0.1,0.03,0.03
28,0.13,0.0,0.03,0.1
29,4.07,1.59,0.05,0.0
30,2.5,15.75,0.03,0.03
31,0.13,2.42,0.0,0.0
32,0.0,0.08,0.0,0.0
33,0.03,0.0,0.0,0.0
34,0.18,1.4,0.0,0.15
35,0.33,4.3,0.0,3.03
36,0.03,0.13,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.05,0.0,0.03,0.0
39,0.3,1.37,0.0,0.03
40,0.48,6.65,0.0,0.0
41,0.0,0.18,0.0,0.0
42,0.03,0.13,0.0,0.0
43,0.33,0.0,0.0,0.0
44,0.2,1.19,0.0,0.03
45,1.06,5.22,0.0,0.0
46,0.03,0.36,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.08,0.0,0.0,0.0
49,0.25,0.66,0.03,0.0
50,0.35,3.09,0.0,0.0
51,0.0,0.18,0.0,0.0
52,0.0,0.05,0.0,0.0
53,0.05,0.0,0.0,0.03
54,0.05,0.31,0.0,0.0
55,0.03,0.38,0.0,0.0
56,0.03,0.13,0.0,0.0
57,0.03,0.03,0.03,0.03
58,0.05,0.0,0.0,0.03
59,0.35,1.12,0.03,0.0
60,1.66,4.55,0.0,0.05
61,0.08,0.46,0.05,0.0
62,0.03,0.13,0.05,0.03
63,0.05,0.03,0.03,0.13
64,1.04,1.3,0.03,0.03
65,1.74,10.27,0.03,0.0
66,0.05,0.28,0.0,0.0
67,0.0,0.0,0.0,0.0
68,0.05,0.0,0.0,6.11
69,0.55,1.04,0.03,0.45
70,0.38,7.8,0.0,0.0
71,0.0,0.33,0.0,0.0
72,0.0,0.1,0.0,0.0
73,0.08,0.0,0.0,0.03
74,0.13,0.66,0.0,0.0
75,0.45,0.79,0.0,0.0
76,0.1,0.13,0.0,0.0
77,0.0,0.0,0.0,0.0
78,0.1,0.0,0.0,0.0
79,0.58,1.04,0.03,0.0
80,0.53,5.68,0.0,0.0
81,0.03,0.08,0.0,0.0
82,0.03,0.08,0.0,0.0
83,0.05,0.0,0.0,0.03
84,1.11,1.19,0.0,0.0
85,0.15,4.62,0.0,0.0
86,0.0,0.05,0.0,0.0
87,0.0,0.0,0.0,0.0
88,0.1,0.0,0.0,0.0
89,0.98,0.91,0.0,0.0
90,0.18,5.65,0.0,0.03
91,0.05,0.15,0.03,0.0
92,0.1,0.13,0.0,0.0
93,0.05,0.0,0.0,0.03
94,0.45,1.28,0.03,0.03
95,1.76,4.79,0.0,0.05
96,0.2,0.48,0.05,0.0
97,0.2,0.03,0.03,0.0
98,0.05,0.03,0.03,0.1
99,2.37,1.17,0.03,0.03
100,1.31,19.42,0.03,0.0
101,0.28,3.73,0.0,0.0
102,0.0,0.1,0.0,0.0
103,0.08,0.0,0.0,0.0
104,1.29,0.84,0.03,0.0
105,0.28,7.54,0.0,0.0
106,0.03,0.1,0.0,0.0
107,0.0,0.0,0.0,0.0
108,0.08,0.0,0.0,0.0
109,0.6,0.91,0.0,0.0
110,0.2,4.09,0.0,0.0
111,0.03,0.05,0.0,0.0
112,0.03,0.15,0.0,0.0
113,0.05,0.0,0.0,0.03
114,0.25,0.92,0.0,0.0
115,0.4,0.94,0.0,0.0
116,0.2,0.1,0.0,0.0
117,0.0,0.0,0.03,0.0
118,0.08,0.0,0.0,0.0
119,0.61,0.99,0.0,0.0
120,0.03,6.32,0.0,0.0
121,0.08,0.08,0.0,0.0
122,0.0,0.05,0.0,0.0
123,0.03,0.0,0.0,0.03
124,1.32,0.84,0.0,0.0
125,0.08,6.02,0.0,2.13
126,0.28,0.1,0.03,0.0
127,0.0,0.03,0.0,0.0
128,0.1,0.0,0.03,0.05
129,1.77,0.86,0.0,0.0
130,0.88,7.82,0.03,0.05
131,0.88,0.58,0.03,0.0
132,0.0,0.1,0.05,0.03
133,0.1,0.03,0.03,0.1
134,2.15,0.92,0.03,2.7
135,0.58,10.98,0.03,4.68
136,0.08,0.43,0.0,0.0
137,0.03,0.03,0.0,0.0
138,0.05,0.0,0.0,0.0
139,2.75,0.81,0.0,0.0
140,0.1,10.95,0.0,0.0
141,0.08,0.13,0.0,0.0
142,0.03,0.08,0.0,0.0
143,0.03,0.0,0.0,0.0
144,1.44,1.09,0.0,0.0
145,0.2,6.99,0.03,0.0
146,0.1,0.15,0.0,0.0
147,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,0.03
149,1.32,0.63,0.0,0.0
150,0.08,6.65,0.0,0.0
151,0.13,0.33,0.0,0.0
152,0.0,0.08,0.0,0.0
153,0.13,0.0,0.0,0.0
154,0.48,0.82,0.0,0.0
155,0.13,1.06,0.03,0.0
156,0.13,0.23,0.0,0.0
157,0.0,0.0,0.0,0.0
158,0.1,0.0,0.0,0.03
159,1.08,0.97,0.0,0.0
160,0.03,5.62,0.0,0.03
161,0.1,0.05,0.03,6.43
162,0.03,0.08,0.0,2.48
163,0.08,0.0,0.0,0.0
164,3.78,0.81,0.03,0.03
165,1.56,10.81,0.03,0.03
166,0.48,0.97,0.03,0.0
167,0.13,0.05,0.05,0.03
168,0.05,0.0,0.03,0.08
169,3.26,0.76,0.03,0.03
170,2.47,17.72,0.0,0.0
171,0.18,2.54,0.0,0.0
172,0.08,0.05,0.03,0.0
173,0.05,0.0,0.0,0.03
174,1.79,0.54,0.0,0.0
175,0.23,3.54,0.0,0.0
176,0.23,0.25,0.0,0.0
177,0.0,0.03,0.0,0.0
178,0.05,0.0,0.0,0.0
179,3.8,0.66,0.0,0.0
180,0.25,4.26,0.0,0.0
181,0.08,0.05,0.0,0.0
182,0.03,0.08,0.0,0.0
183,0.08,0.0,0.0,0.03
184,1.74,0.36,0.03,0.0
185,0.15,3.59,0.0,0.0
186,0.23,0.48,0.0,0.0
187,0.0,0.03,0.0,0.0
188,0.05,0.0,0.0,0.0
189,1.21,0.38,0.0,0.0
190,0.2,3.4,0.0,0.0
191,0.18,0.48,0.0,0.0
192,0.03,0.08,0.05,0.0
193,0.03,0.0,0.0,0.03
194,0.4,0.33,0.0,0.0
195,0.15,1.14,0.0,0.0
196,0.15,0.25,0.0,0.03
197,0.1,0.03,0.03,0.0
198,0.03,0.0,0.0,0.03
199,3.45,0.58,0.03,0.0
200,0.83,8.92,0.0,0.05
201,0.15,1.35,0.05,0.0
202,0.2,0.15,0.05,0.03
203,0.08,0.03,0.03,0.08
204,6.01,0.71,0.03,0.0
205,6.86,14.11,0.03,0.03
206,0.25,2.53,0.0,0.0
207,0.13,0.05,0.03,0.0
208,0.08,0.0,0.0,0.0
209,4.14,0.61,0.0,0.0
210,0.81,5.41,0.0,0.0
211,0.25,1.42,0.0,0.03
212,0.0,0.08,0.0,0.0
213,0.03,0.0,0.0,0.0
214,0.41,0.41,0.0,0.0
215,0.3,1.62,0.0,0.0
216,0.15,0.36,0.0,0.0
217,0.03,0.03,0.0,0.0
218,0.0,0.0,0.0,0.0
219,3.04,0.46,0.0,0.0
220,0.08,2.18,0.03,0.0
221,0.08,0.28,0.0,0.0
222,0.03,0.18,0.0,0.0
223,0.03,0.03,0.0,0.03
224,1.79,0.46,0.0,0.0
225,0.3,4.4,0.0,0.0
226,0.05,0.13,0.0,0.0
227,0.03,0.0,0.0,1.0
228,0.08,0.0,0.03,4.33
229,1.69,0.46,0.0,0.0
230,0.25,4.21,0.0,0.03
231,0.1,0.2,0.0,0.0
232,0.1,0.08,0.03,0.03
233,0.1,0.0,0.0,0.03
234,2.37,0.66,0.03,0.0
235,1.31,3.25,0.0,0.05
236,0.35,1.9,0.05,0.0
237,0.18,0.18,0.05,0.03
238,0.05,0.03,0.03,0.08
239,5.81,0.61,0.05,0.0
240,3.48,12.58,0.03,0.03
241,0.18,1.72,0.0,0.0
242,0.13,0.13,0.0,0.0
243,0.05,0.0,0.0,0.0
244,4.05,0.43,0.0,0.0
245,0.78,5.03,0.0,0.0
246,0.1,0.18,0.0,0.0
247,0.03,0.1,0.0,0.0
248,0.0,0.0,0.0,0.0
249,4.0,0.41,0.0,0.03
250,0.58,3.07,0.03,0.0
251,0.0,0.08,0.0,0.0
252,0.25,0.08,0.0,0.0
253,0.08,0.1,0.0,0.0
254,0.3,0.23,0.0,5.06
255,0.25,0.86,0.0,1.2
256,0.03,0.13,0.0,0.0
257,0.13,0.05,0.0,0.0
258,0.03,0.03,0.0,0.0
259,2.22,0.25,0.0,0.0
260,0.1,1.44,0.0,0.0
261,0.0,0.05,0.0,0.0
262,0.1,0.05,0.0,0.0
263,0.05,0.03,0.0,0.03
264,2.73,0.33,0.03,0.0
265,0.38,1.77,0.0,0.0
266,0.03,0.13,0.0,0.0
267,0.1,0.08,0.03,0.03
268,0.08,0.0,0.0,0.03
269,3.4,0.46,0.03,0.0
270,1.74,4.32,0.0,0.05
271,0.2,2.22,0.03,0.0
272,0.88,0.25,0.03,0.03
273,0.08,0.03,0.05,0.08
274,2.37,0.35,0.03,0.0
275,2.0,3.73,0.03,0.03
276,0.03,3.0,0.0,0.0
277,0.4,0.13,0.0,0.0
278,0.03,0.0,0.0,0.0
279,5.02,0.36,0.0,0.0
280,0.88,8.0,0.0,0.73
281,0.03,0.76,0.0,5.38
