txpck/s,aceph01,aceph02,aceph03,aceph04
0,14597.0,14929.0,15506.0,12846.0
1,12561.0,12756.0,13643.0,12790.0
2,13210.0,12919.0,13465.0,13215.0
3,13026.0,13804.0,13258.0,12374.0
4,13106.0,12866.0,12347.0,12354.0
5,11902.0,12325.0,12424.0,11784.0
6,12148.0,12132.0,12499.0,11735.0
7,11814.0,12388.0,12157.0,12646.0
8,12660.0,13469.0,12212.0,12031.0
9,12066.0,12120.0,12195.0,12576.0
10,12034.0,11909.0,12060.0,12022.0
11,11488.0,12580.0,12177.0,11878.0
12,11856.0,11645.0,11871.0,12667.0
13,11879.0,12931.0,12349.0,12651.0
14,12232.0,12447.0,12236.0,12471.0
15,11919.0,11982.0,12075.0,12287.0
16,11236.0,12053.0,12082.0,12532.0
17,12533.0,12820.0,12564.0,11903.0
18,12027.0,12020.0,11998.0,12506.0
19,12414.0,12669.0,12179.0,12498.0
20,12555.0,13075.0,12438.0,12813.9
21,12312.0,12564.0,12332.0,12030.0
22,12811.0,12365.0,12081.0,12423.0
23,12412.0,13343.0,13196.0,12082.0
24,12497.0,12477.0,12423.0,13036.0
25,11886.0,12588.0,12419.0,12321.0
26,12148.0,12500.0,12351.0,12606.0
27,12545.0,12741.0,13049.0,12519.0
28,12259.0,12998.0,12160.0,11890.0
29,12041.0,12597.0,12437.0,12559.0
30,12248.0,12215.0,12815.0,12855.0
31,12529.0,12470.0,12526.0,12079.0
32,12528.0,12799.0,12844.0,12735.0
33,12697.0,13360.0,13150.0,12559.0
34,11957.0,12140.0,12051.0,12840.0
35,12414.0,12439.0,12292.0,12537.0
36,11910.0,11769.0,12027.0,11990.0
37,12097.0,12249.0,12142.6,12086.0
38,11704.0,12792.0,12117.0,12279.0
39,11618.0,12405.0,12374.0,13005.0
40,12079.2,11881.0,12161.0,12396.0
41,12329.0,11964.0,12598.0,12236.0
42,11975.0,12063.0,12076.0,12230.0
43,12236.0,12331.0,11738.0,12263.0
44,12213.0,12647.0,12562.0,11369.0
45,12598.0,11597.0,12227.0,12200.0
46,11973.0,12483.0,12308.0,12077.0
47,11781.0,12204.0,12230.0,12509.0
48,12244.0,12343.0,11978.0,12200.0
49,11388.0,12388.0,11533.0,11514.0
50,11261.0,11713.0,12261.0,12369.0
51,11677.0,12107.0,12204.0,12115.0
52,12024.0,12318.0,11611.0,12019.0
53,12624.0,12469.0,12424.0,12305.0
54,11781.0,11904.0,12215.0,11542.0
55,11394.0,11344.0,11665.0,13051.0
56,12662.0,12635.0,13024.0,12225.0
57,11694.0,11988.0,12082.0,12549.0
58,12365.0,13033.0,12088.0,12310.0
59,11907.0,12555.0,13096.0,12673.0
60,11609.0,12453.0,12110.0,12417.0
61,11893.0,11916.0,12210.0,12391.0
62,12049.0,12683.0,13021.0,11901.0
63,12075.0,12600.0,11944.0,12103.0
64,12380.0,12348.0,12722.0,12984.0
65,12331.0,12815.0,12252.0,11951.0
66,12113.0,11984.0,12148.0,12487.0
67,12555.0,12640.0,12864.0,12365.0
68,12560.0,13012.0,12182.0,12297.0
69,12230.0,12399.0,12375.0,13080.0
70,12099.0,12382.0,12944.0,12366.0
71,12274.0,12601.0,12610.0,12805.0
72,12359.0,12784.0,12655.0,12826.0
73,11907.0,12630.0,12827.0,12473.0
74,12201.0,13166.0,12530.0,12798.0
75,11678.0,12448.0,12283.0,12765.0
76,11605.0,12552.0,12885.0,12742.0
77,12290.0,12333.0,12278.0,12179.0
78,12101.0,13088.0,12088.0,12838.0
79,12181.0,12866.0,12415.0,12422.8
80,12366.0,12653.0,12327.0,12675.0
81,12270.0,12841.0,13281.0,12114.0
82,12384.0,12125.0,12388.0,11852.0
83,12219.0,13121.0,11992.0,12688.0
84,12578.0,13544.0,12515.0,12083.0
85,12190.0,12099.0,12032.0,11832.0
86,11742.0,12164.0,12039.0,12260.0
87,12486.0,12478.0,11528.0,12539.0
88,12863.0,12772.0,12866.0,12329.0
89,11100.0,11575.0,11820.0,13512.0
90,12752.0,13078.0,13090.0,11963.0
91,11883.0,11637.0,12440.0,12754.0
92,12342.0,12307.0,12955.0,11669.0
93,11523.0,12642.0,12041.0,11934.0
94,11734.0,12096.0,11962.0,12160.0
95,11459.4,12272.0,11642.0,12165.0
96,12119.0,11669.0,12611.0,11814.0
97,12006.0,12263.0,12093.1,11828.0
98,11388.0,11972.0,11297.0,12370.0
99,12458.0,12785.0,12543.0,12658.0
100,12308.0,12210.0,11845.0,11676.0
101,12185.0,12312.0,12611.0,11656.0
102,12091.0,11698.0,13221.0,11955.0
103,12459.0,12646.0,12316.0,12404.0
104,12163.0,12401.0,12367.0,12260.0
105,11613.0,11369.0,12459.0,13193.0
106,12786.0,12909.0,12891.0,12723.0
107,12541.0,12722.0,12519.0,11571.0
108,11900.0,12618.0,12215.0,12577.0
109,11777.0,12411.0,12218.0,12360.0
110,12183.0,12541.0,12732.0,12412.0
111,12135.0,11579.0,12082.0,12107.0
112,12190.0,11879.2,13010.0,12635.0
113,12042.0,13297.0,12468.0,11889.0
114,11459.0,11391.0,12080.0,13876.0
115,12941.0,13247.0,13312.0,12407.0
116,12106.0,12215.0,12282.0,12279.0
117,11456.0,11595.0,12313.0,12654.0
118,12758.0,12968.0,12686.0,12088.0
119,12058.0,12228.0,12219.0,12294.0
120,12000.0,12304.0,12286.0,12725.0
121,11994.0,12225.0,11968.0,12347.0
122,11899.0,11983.0,12457.0,12429.0
123,12646.0,12212.0,12001.0,11511.0
124,11457.0,11796.0,11518.0,11601.0
125,11882.0,11756.0,11038.0,12187.0
126,11948.0,11566.0,12135.0,11564.0
127,11431.0,11397.0,12654.0,11567.0
128,12062.0,13016.0,12280.0,12251.0
129,11888.0,12052.0,12148.0,12170.0
130,11353.0,12442.0,12451.0,13186.0
131,12505.0,12754.0,13068.0,11841.0
132,12202.0,12013.0,12339.0,11953.0
133,11677.0,12427.0,11892.0,12457.0
134,12482.0,13169.0,12485.0,12154.0
135,11884.0,11494.0,11581.0,12313.0
136,11571.0,12540.0,12184.0,11950.0
137,11760.0,11501.0,11558.0,12255.0
138,12112.0,12817.0,12604.0,12910.0
139,12764.0,12868.0,12828.0,12411.0
140,11889.0,11902.0,12161.0,12246.0
141,11622.0,12167.0,12255.0,12371.0
142,11870.0,12073.0,11637.0,12411.0
143,11883.0,12694.0,12671.0,12206.0
144,11961.0,13073.0,12183.0,12437.0
145,11806.0,11613.0,11856.0,11902.0
146,11719.0,11587.0,11602.0,12410.0
147,11824.0,12477.0,11819.0,11791.0
148,11596.0,12420.0,12164.0,12738.0
149,12148.0,12220.0,12050.0,11956.0
150,11842.0,11944.0,12117.0,12177.0
151,11863.0,12069.0,12237.0,12523.0
152,12649.0,12809.0,12688.0,11971.0
153,12158.4,12724.0,12318.0,11927.0
154,11527.0,12028.0,11989.0,11779.2
155,11362.0,11524.0,12192.0,12137.0
156,11483.0,12470.0,12139.0,12991.0
157,12314.0,12713.0,12273.0,12559.0
158,12443.0,12474.0,12819.0,11431.0
159,11286.0,12118.0,11782.2,11619.0
160,11111.0,11864.0,11404.0,12031.0
161,11918.0,11627.0,11909.0,12377.0
162,11807.0,12304.0,12443.0,12489.0
163,11497.0,12527.0,12033.0,12103.0
164,11870.0,12604.0,12588.0,12584.0
165,11635.0,12641.0,12519.0,12939.0
166,12298.0,11964.0,11983.0,11980.0
167,12752.0,12406.0,12848.0,12012.0
168,11910.0,12269.0,11589.0,12148.0
169,11658.0,12031.0,11797.0,12207.0
170,11885.0,12083.0,12352.0,11955.0
171,11516.0,11841.0,12196.0,12472.0
172,12246.0,11949.0,12220.0,11492.0
173,12032.0,12560.0,12239.0,11633.0
174,11253.0,11664.0,11827.0,12139.0
175,11959.0,11801.0,12031.0,12104.0
176,11682.0,12076.2,12607.0,11453.0
177,11655.0,11564.0,11895.0,12905.0
178,13160.0,13191.0,12493.0,11708.0
179,11937.0,12145.0,11895.0,12555.0
180,12306.0,12017.0,12065.0,12135.0
181,12035.0,12298.0,12195.0,12031.0
182,11831.0,12897.0,12436.0,12326.0
183,12012.0,12762.0,12859.0,11678.0
184,11557.0,12294.0,12334.0,11892.0
185,11538.0,11934.0,11976.0,12372.0
186,11828.0,11707.0,11698.0,11927.0
187,11593.0,11871.0,11719.0,11901.0
188,11780.0,12308.0,11953.0,11987.0
189,11666.0,12551.0,11509.0,11491.0
190,10983.0,11477.0,11612.0,12380.0
191,12288.0,12023.0,12139.0,10981.0
192,10310.0,11001.0,11222.0,11148.0
193,11000.0,11318.0,11547.0,12574.0
194,11740.0,12066.0,12141.0,11813.0
195,12032.0,11686.0,12183.0,11906.0
196,11436.6,11520.0,11626.0,12143.0
197,11579.0,12281.0,12234.0,11261.0
198,11420.0,12942.0,11846.0,13360.0
199,12468.0,13258.0,12474.0,11856.0
200,11334.0,11535.0,11733.0,11992.0
201,11558.0,11576.0,11709.0,12115.0
