object_ctx_cache_total,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,850419,611759,690857,544547,525633,564980,487528,1071217,1077264,928991,1191630,1044912,670895,594516,837338,555668,515362,871908,416621,622755,645672,5148601,741325,1135852,819756,3286703,833421,4107468,1510905,1036840,677393,1071450,915552,826113,1131483,723424,325920,641573,1926137,637279
1,850420,611760,690858,544548,525635,564981,487529,1071218,1077267,928992,1191632,1044913,670896,594517,837339,555669,515365,871909,416622,622756,645673,5148604,741327,1135853,819761,3287062,833422,4107469,1510906,1036841,677395,1071705,915553,826115,1131484,723426,325924,641574,1926138,637280
2,850421,611760,690858,544548,525635,564981,487529,1071220,1077268,928993,1191634,1044914,670897,594517,837340,555670,515365,871909,416622,622759,645673,5148606,741327,1135855,819762,3287258,833424,4107471,1510907,1036842,677395,1071958,915553,826117,1131484,723428,325926,641575,1926138,637282
3,850421,611761,690858,544548,525638,564981,487530,1071220,1077268,928994,1191634,1044917,670898,594522,837340,555671,515366,871909,416623,622759,645674,5148607,741327,1135856,819770,3287527,833424,4107471,1510908,1036843,677395,1072100,915553,826119,1131486,723430,325926,641575,1926138,637283
4,850421,611761,690858,544548,525638,564981,487530,1071223,1077272,928995,1191635,1044917,670900,594523,837340,555672,515366,871909,416623,622761,645674,5148608,741329,1135861,819771,3287727,833426,4107474,1510909,1036843,677396,1072385,915554,826119,1131487,723432,325929,641575,1926138,637284
5,850421,611761,690860,544549,525639,564982,487530,1071225,1077276,928996,1191635,1044919,670900,594523,837342,555672,515368,871909,416623,622763,645676,5148610,741330,1135863,819777,3287907,833429,4107476,1510909,1036843,677397,1072642,915554,826122,1131487,723436,325931,641575,1926138,637285
6,850422,611762,690860,544549,525640,564982,487531,1071226,1077277,928996,1191637,1044920,670901,594524,837343,555673,515370,871910,416624,622764,645676,5148613,741332,1135863,819782,3288087,833429,4107476,1510910,1036844,677398,1072820,915555,826123,1131488,723437,325934,641577,1926139,637285
7,850423,611762,690860,544726,525642,564982,487531,1071227,1077278,928997,1191639,1044922,670903,594526,837343,555674,515370,871910,416624,622766,645676,5148614,741332,1135865,819784,3288302,833431,4107478,1510911,1036845,677398,1072999,915555,826125,1131488,723439,325936,641577,1926139,637287
8,850423,611763,690860,545024,525643,564982,487532,1071227,1077279,928999,1191640,1044924,670904,594530,837343,555676,515371,871910,416625,622766,645677,5148616,741333,1135866,819791,3288487,833431,4107478,1510912,1036846,677398,1073207,915556,826127,1131490,723440,325936,641577,1926139,637288
9,850423,611765,690860,545240,525643,564982,487532,1071230,1077283,928999,1191640,1044924,670905,594530,837343,555676,515371,872013,416625,622768,645678,5148616,741335,1135871,819792,3288674,833434,4107481,1510913,1036846,677399,1073414,915556,826127,1131491,723442,325939,641577,1926292,637289
