kbinact,client01,client02,client03,client04
0,831204.0,1069944.0,1348324.0,1435800.0
1,831200.0,1069964.0,1348336.0,1435804.0
2,831196.0,1069984.0,1348332.0,1435804.0
3,831200.0,1069992.0,1348340.0,1435816.0
4,831216.0,1070012.0,1348332.0,1435816.0
5,831224.0,1070016.0,1348336.0,1435816.0
6,831228.0,1070016.0,1348340.0,1435820.0
7,831224.0,1070028.0,1348340.0,1435796.0
8,831232.0,1070016.0,1348344.0,1435804.0
9,831236.0,1070016.0,1348348.0,1435800.0
10,831232.0,1070032.0,1348360.0,1435800.0
11,831236.0,1070032.0,1348360.0,1435800.0
12,831236.0,1070040.0,1348356.0,1435804.0
13,831228.0,1070052.0,1348364.0,1435804.0
14,831228.0,1070056.0,1348368.0,1435816.0
15,831248.0,1070064.0,1348380.0,1435824.0
16,831248.0,1070068.0,1348380.0,1435824.0
17,831244.0,1070088.0,1348356.0,1435824.0
18,831244.0,1070092.0,1348360.0,1435820.0
19,831248.0,1070100.0,1348368.0,1435820.0
20,831248.0,1070108.0,1348372.0,1435820.0
21,831252.0,1070096.0,1348380.0,1435852.0
22,831264.0,1070092.0,1348376.0,1435864.0
23,831264.0,1070092.0,1348380.0,1435872.0
24,831264.0,1070092.0,1348380.0,1435872.0
25,831264.0,1070100.0,1348404.0,1435872.0
26,831268.0,1070112.0,1348404.0,1435872.0
27,831272.0,1070128.0,1348400.0,1435900.0
28,831288.0,1070148.0,1348408.0,1435896.0
29,831296.0,1070164.0,1348408.0,1435896.0
30,831288.0,1070180.0,1348412.0,1435912.0
31,831300.0,1070200.0,1348416.0,1435912.0
32,831304.0,1070192.0,1348420.0,1435920.0
33,831304.0,1070188.0,1348412.0,1435920.0
34,831304.0,1070184.0,1348416.0,1435928.0
35,831312.0,1070188.0,1348424.0,1435928.0
36,831308.0,1070180.0,1348436.0,1435928.0
37,831304.0,1070188.0,1348436.0,1435940.0
38,831308.0,1070188.0,1348444.0,1435956.0
39,831312.0,1070192.0,1348440.0,1435956.0
40,831312.0,1070196.0,1348440.0,1435956.0
41,831328.0,1070200.0,1348436.0,1435980.0
42,831328.0,1070176.0,1348444.0,1435988.0
43,831316.0,1070188.0,1348448.0,1436000.0
44,831324.0,1070192.0,1348460.0,1436004.0
45,831324.0,1070204.0,1348468.0,1436004.0
46,831324.0,1070204.0,1348472.0,1436004.0
47,831332.0,1070204.0,1348476.0,1436012.0
48,831356.0,1070204.0,1348484.0,1436020.0
49,831364.0,1070212.0,1348480.0,1436028.0
50,831356.0,1070212.0,1348484.0,1436028.0
51,831352.0,1070216.0,1348484.0,1436016.0
52,831360.0,1070224.0,1348480.0,1436020.0
53,831360.0,1070232.0,1348488.0,1436032.0
54,831372.0,1070240.0,1348492.0,1436032.0
55,831368.0,1070236.0,1348496.0,1436032.0
56,831376.0,1070236.0,1348500.0,1436044.0
57,831368.0,1070228.0,1348504.0,1436048.0
58,831368.0,1070224.0,1348504.0,1436044.0
59,831368.0,1070220.0,1348508.0,1436052.0
60,831380.0,1070212.0,1348512.0,1436048.0
61,831376.0,1070196.0,1348516.0,1436048.0
62,831388.0,1070216.0,1348520.0,1436052.0
63,831388.0,1070204.0,1348524.0,1436068.0
64,831392.0,1070212.0,1348540.0,1436072.0
65,831396.0,1070224.0,1348548.0,1436064.0
66,831396.0,1070228.0,1348540.0,1436064.0
67,831400.0,1070236.0,1348540.0,1436056.0
68,831420.0,1070232.0,1348540.0,1436056.0
69,831420.0,1070188.0,1348540.0,1436056.0
70,831416.0,1070196.0,1348540.0,1436060.0
71,831420.0,1070200.0,1348540.0,1436060.0
72,831420.0,1070200.0,1348548.0,1436064.0
73,831424.0,1070212.0,1348560.0,1436084.0
74,831440.0,1070216.0,1348560.0,1436096.0
75,831440.0,1070224.0,1348568.0,1436096.0
76,831440.0,1070228.0,1348580.0,1436100.0
77,831436.0,1070232.0,1348588.0,1436108.0
78,831448.0,1070220.0,1348592.0,1436120.0
79,831456.0,1070220.0,1348604.0,1436120.0
80,831456.0,1070212.0,1348604.0,1436124.0
81,831456.0,1070216.0,1348612.0,1436140.0
82,831452.0,1070236.0,1348612.0,1436140.0
83,831460.0,1070244.0,1348628.0,1436144.0
84,831460.0,1070240.0,1348628.0,1436152.0
85,831468.0,1070248.0,1348636.0,1436152.0
86,831472.0,1070208.0,1348636.0,1436144.0
87,831472.0,1070220.0,1348632.0,1436148.0
88,831472.0,1070224.0,1348632.0,1436156.0
89,831488.0,1070244.0,1348640.0,1436160.0
90,831484.0,1070244.0,1348644.0,1436168.0
