journal_wr,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,972712,908875,840861,739191,767448,943488,1013917,1258507,793423,910260,950044,1016421,904848,888600,961459,636635,811144,901575,621795,881204,775801,1000373,711710,977635,733430,834438,962619,1042053,913170,923709,966309,867846,808850,667212,955083,790930,991768,977940,1085272,820527
1,972916,909060,841055,739366,767644,943622,1014066,1258652,793424,910432,950256,1016647,905071,888782,961632,636789,811307,901741,621932,881370,776051,1000374,711711,977864,733644,834648,962791,1042054,913171,923966,966559,867847,808851,667433,955301,791148,991769,978118,1085508,820733
2,973225,909383,841370,739733,767975,943998,1014356,1259036,793424,910785,950554,1017031,905415,889121,961953,637172,811621,902077,622239,881626,776324,1000374,711711,978169,733988,834923,963116,1042054,913171,924196,966921,867847,808851,667767,955634,791409,991769,978414,1085875,821115
3,973508,909674,841633,740040,768198,944317,1014645,1259264,793424,911094,950848,1017394,905716,889446,962265,637477,811883,902395,622577,881972,776605,1000374,711711,978469,734222,835261,963412,1042054,913171,924548,967242,867847,808851,668024,955964,791767,991769,978739,1086102,821388
4,973862,910023,841986,740423,768530,944748,1015046,1259656,793424,911526,951145,1017703,906093,889827,962567,637766,812260,902747,622897,882335,776940,1000374,711711,978846,734600,835592,963791,1042054,913171,924955,967624,867847,808851,668399,956345,792121,991769,979048,1086394,821687
5,974222,910354,842368,740778,768847,945050,1015317,1260082,793424,911869,951473,1018006,906441,890141,962874,638084,812588,903112,623291,882603,777192,1000374,711711,979154,734908,835909,964075,1042054,913171,925239,967951,867847,808851,668764,956672,792382,991769,979373,1086685,822033
6,974524,910633,842617,741050,769155,945356,1015688,1260323,793424,912205,951814,1018352,906804,890528,963177,638579,812900,903404,623708,882958,777491,1000374,711711,979510,735206,836202,964345,1042054,913171,925571,968318,867847,808851,669092,956953,792762,991769,979765,1087063,822458
7,974854,910892,842895,741333,769463,945621,1015831,1260598,793424,912518,952130,1018750,907112,890935,963555,638852,813299,903774,623967,883304,777825,1000374,711711,979885,735548,836569,964724,1042054,913171,925927,968681,867847,808851,669449,957295,793049,991769,980022,1087390,822719
8,975188,911248,843306,741706,769844,945909,1016242,1260906,793424,913029,952403,1019157,907548,891327,963975,639209,813652,904189,624471,883684,778146,1000374,711711,980266,735942,836930,965030,1042054,913171,926289,969056,867847,808851,669807,957657,793327,991769,980380,1087765,822968
9,975504,911583,843585,742038,770110,946301,1016516,1261300,793424,913280,952648,1019396,907758,891570,964211,639474,813940,904372,624689,883926,778449,1000374,711938,980644,736290,837264,965407,1042054,913334,926652,969473,868068,808851,670034,957978,793690,991932,980650,1088049,823376
10,975830,911911,843966,742354,770470,946680,1016878,1261603,793601,913691,953011,1019771,908194,891921,964556,639820,814303,904766,625044,884283,778814,1000374,712236,981001,736614,837526,965751,1042054,913609,926899,969775,868458,808851,670415,958358,794062,992296,980898,1088453,823737
11,976212,912271,844329,742661,770830,946995,1017154,1261931,793997,913984,953285,1020123,908517,892183,964871,640254,814565,904911,625421,884593,779142,1000632,712552,981425,736939,837899,966101,1042193,913875,927223,970177,868706,809080,670755,958729,794384,992611,981209,1088775,824036
12,976563,912567,844650,742964,771149,947269,1017421,1262190,794265,914310,953632,1020507,908867,892581,965287,640602,814980,905318,625783,884941,779468,1000936,712895,981806,737330,838271,966497,1042535,914225,927664,970642,869065,809370,671148,959119,794726,992911,981600,1089190,824395
13,976899,913008,845021,743343,771482,947750,1017783,1262565,794610,914653,953905,1020900,909171,892918,965502,640918,815285,905635,626208,885273,779804,1001205,713167,982165,737657,838562,966858,1042876,914493,928082,971030,869391,809730,671584,959517,795063,993226,981914,1089654,824811
14,977229,913364,845427,743711,771808,948005,1018115,1262935,794877,915099,954255,1021297,909600,893275,965870,641228,815586,905884,626562,885572,780119,1001585,713509,982438,737979,838876,967175,1043185,914807,928456,971349,869720,810050,671938,959811,795346,993555,982243,1089894,825189
15,977615,913712,845741,744033,772136,948344,1018435,1263130,795215,915363,954532,1021605,909882,893579,966197,641534,815943,906218,626884,885971,780423,1001884,713841,982824,738357,839207,967637,1043456,915098,928704,971719,870094,810329,672373,960182,795717,993906,982640,1090259,825578
16,978017,914070,846156,744403,772397,948732,1018797,1263606,795458,915819,954853,1021934,910329,893914,966517,641889,816159,906463,627204,886272,780756,1002219,714151,983172,738697,839627,967919,1043798,915443,929076,972049,870391,810635,672665,960455,796000,994267,982937,1090518,825834
