op_w,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,138183,130445,126786,128536,140679,131893,126773,119164,130704,129906,129139,144692,141713,142444,154758,137206,136494,138851,134979,132244,122139,137993,134977,149265,145099,134109,137684,133778,122560,138290,137451,135412,133001,147517,138425,129389,130377,130201,146222,131140
1,138296,130525,126888,128634,140786,131967,126853,119231,130783,129983,129262,144801,141838,142545,154866,137304,136600,138941,135056,132342,122272,138136,135113,149388,145219,134223,137775,133845,122639,138435,137583,135551,133135,147646,138553,129511,130458,130302,146356,131248
2,138497,130699,127092,128840,140962,132195,127032,119427,131010,130141,129456,145010,142095,142753,155064,137536,136799,139141,135244,132525,122415,138344,135282,149608,145422,134405,137980,134024,122789,138586,137813,135766,133302,147857,138758,129664,130676,130477,146581,131507
3,138682,130908,127277,129008,141048,132392,127184,119585,131171,130291,129618,145264,142329,142961,155266,137757,136982,139320,135456,132738,122560,138525,135479,149804,145609,134598,138169,134218,122941,138800,138007,135907,133545,148007,138977,129892,130872,130653,146711,131668
4,138896,131134,127488,129223,141331,132640,127405,119783,131373,130498,129828,145456,142592,143196,155475,137936,137221,139525,135654,132972,122745,138760,135691,150067,145844,134795,138430,134407,123120,139066,138242,136144,133764,148220,139181,130098,131033,130814,146900,131869
5,139155,131315,127710,129435,141529,132831,127570,120025,131527,130674,130039,145660,142832,143407,155687,138141,137443,139737,135926,133160,122897,138927,135853,150251,146047,134978,138645,134576,123287,139232,138440,136323,133942,148417,139378,130252,131226,130987,147096,132066
6,139348,131497,127866,129612,141735,133009,127753,120147,131682,130845,130247,145847,143078,143659,155907,138457,137639,139899,136154,133392,123050,139142,136037,150444,146224,135153,138840,134766,123454,139435,138642,136503,134150,148630,139575,130479,131420,131199,147314,132321
7,139536,131664,128020,129790,141943,133167,127848,120287,131828,131007,130440,146066,143254,143898,156140,138641,137904,140129,136276,133627,123245,139366,136247,150659,146442,135372,139074,134975,123604,139640,138856,136683,134328,148856,139777,130632,131614,131344,147514,132479
8,139735,131873,128274,129992,142175,133331,128069,120444,132028,131241,130620,146304,143543,144151,156408,138880,138136,140361,136551,133857,123403,139584,136439,150868,146696,135557,139272,135173,123781,139871,139062,136888,134521,149082,139974,130829,131831,131531,147730,132680
9,139939,132072,128409,130179,142304,133547,128225,120624,132215,131393,130764,146447,143665,144303,156538,139052,138338,140475,136693,134006,123553,139796,136657,151074,146912,135745,139466,135336,123952,140057,139285,137097,134704,149233,140175,131055,132004,131692,147901,132945
10,140141,132249,128621,130392,142549,133749,128438,120791,132403,131599,130966,146658,143948,144527,156743,139242,138570,140679,136868,134205,123729,140001,136857,151290,147111,135890,139641,135504,124091,140226,139475,137326,134959,149476,140404,131277,132184,131845,148120,133187
11,140381,132436,128818,130565,142750,133952,128605,120997,132659,131733,131113,146866,144146,144693,156965,139496,138728,140780,137100,134413,123886,140181,137047,151513,147308,136081,139862,135676,124258,140421,139738,137500,135185,149689,140648,131474,132369,132078,148296,133380
12,140601,132602,128996,130744,142947,134103,128745,121156,132894,131867,131314,147082,144383,144926,157213,139730,138981,141018,137293,134626,124031,140413,137258,151718,147539,136287,140084,135857,124464,140669,140024,137737,135355,149936,140859,131724,132593,132313,148518,133597
13,140840,132850,129215,130940,143159,134360,128958,121363,133106,132063,131469,147297,144553,145119,157351,139925,139170,141177,137524,134836,124191,140592,137428,151931,147743,136455,140283,136080,124611,140898,140238,137961,135555,150207,141112,131945,132813,132490,148813,133846
14,141079,133048,129446,131178,143323,134512,129145,121567,133280,132295,131664,147540,144816,145373,157597,140134,139356,141330,137718,135021,124348,140794,137639,152107,147918,136620,140477,136239,124745,141102,140433,138140,135716,150453,141275,132117,133001,132662,148976,134052
15,141292,133230,129627,131401,143479,134732,129346,121674,133543,132419,131814,147726,145020,145545,157805,140310,139564,141529,137885,135250,124503,141028,137843,152307,148148,136821,140712,136411,124915,141249,140634,138369,135918,150754,141511,132333,133208,132862,149187,134326
16,141556,133402,129871,131607,143698,134925,129564,121918,133726,132694,132013,147908,145291,145742,158002,140491,139700,141687,138046,135469,124678,141169,138021,152539,148363,137087,140857,136573,125094,141460,140835,138545,136116,150954,141669,132485,133358,133033,149358,134501
17,141756,133634,130059,131821,143904,135113,129757,122120,133973,132885,132230,148110,145539,145964,158231,140759,139960,141859,138246,135667,124865,141372,138206,152790,148547,137287,141067,136746,125283,141753,141039,138736,136349,151223,141896,132692,133588,133228,149580,134709
18,142031,133870,130283,132004,144156,135351,129985,122300,134234,133180,132413,148325,145791,146184,158411,140955,140154,142129,138433,135938,125069,141637,138385,153043,148850,137483,141308,136928,125420,141950,141266,138944,136543,151389,142081,132822,133731,133346,149753,134927
19,142266,134086,130530,132247,144358,135564,130120,122571,134459,133389,132595,148513,145985,146385,158647,141117,140373,142214,138665,136166,125232,141842,138637,153261,149024,137705,141583,137120,125646,142182,141479,139149,136757,151625,142269,133045,133910,133535,149997,135096
20,142516,134248,130757,132456,144601,135786,130344,122753,134616,133597,132772,148727,146190,146600,158798,141318,140553,142403,138827,136374,125376,142101,138806,153444,149192,137912,141781,137334,125747,142319,141696,139372,136929,151826,142484,133287,134113,133725,150141,135342
21,142748,134471,130974,132648,144788,135966,130538,122930,134850,133793,132968,148943,146429,146783,158977,141536,140807,142632,139068,136608,125541,142289,138981,153687,149434,138072,141974,137502,125912,142520,141890,139520,137174,152040,142675,133460,134354,133969,150444,135630
22,142983,134696,131192,132898,145073,136155,130755,123123,135072,134051,133126,149124,146641,146981,159250,141700,140955,142768,139250,136744,125713,142502,139167,153933,149628,138250,142195,137667,126088,142790,142065,139771,137347,152279,142878,133654,134497,134110,150614,135767
23,143183,134900,131411,133119,145301,136320,130916,123357,135314,134290,133329,149301,146908,147192,159394,141930,141113,142940,139433,136936,125875,142697,139404,154171,149897,138546,142486,137891,126322,143049,142310,139992,137519,152467,143131,133885,134712,134316,150815,135998
24,143450,135094,131590,133312,145499,136585,131113,123544,135508,134460,133530,149532,147164,147421,159642,142133,141343,143157,139617,137213,126017,142887,139527,154398,150081,138708,142631,138041,126436,143240,142545,140180,137767,152714,143388,134052,134931,134490,151063,136251
25,143646,135307,131808,133460,145690,136771,131279,123678,135653,134640,133702,149739,147384,147631,159816,142355,141559,143308,139816,137408,126209,143086,139776,154609,150300,138910,142905,138271,126575,143430,142761,140410,137958,152977,143628,134289,135177,134691,151353,136481
26,143841,135498,132001,133656,145866,136939,131463,123859,135828,134769,133874,149952,147603,147815,160033,142541,141789,143512,140031,137679,126357,143289,140023,154800,150521,139113,143122,138463,126771,143635,142980,140638,138191,153142,143801,134489,135374,134891,151585,136768
27,144043,135657,132208,133841,146071,137164,131593,124020,136035,135014,134078,150178,147859,148047,160293,142735,141995,143675,140237,137854,126560,143488,140191,155058,150714,139310,143309,138643,126936,143830,143161,140825,138370,153342,143964,134646,135487,134978,151790,136903
28,144278,135854,132409,134080,146300,137400,131846,124176,136300,135188,134216,150329,148032,148221,160460,142899,142162,143830,140413,138038,126721,143671,140376,155249,150920,139511,143483,138818,127100,144062,143379,141008,138564,153588,144214,134847,135710,135207,151918,137096
29,144478,136111,132646,134339,146510,137613,131986,124391,136531,135387,134404,150544,148248,148412,160666,143084,142326,144071,140606,138219,126889,143846,140558,155472,151148,139735,143701,138999,127247,144286,143603,141184,138780,153749,144410,135051,135855,135428,152146,137371
30,144651,136306,132900,134570,146718,137862,132213,124547,136782,135610,134597,150726,148467,148628,160829,143276,142532,144183,140849,138386,127033,144108,140721,155673,151308,139907,143908,139137,127400,144518,143870,141421,138977,153934,144582,135208,136075,135621,152325,137576
31,144867,136496,133102,134740,146920,138051,132427,124756,136996,135759,134783,150948,148707,148868,161041,143462,142703,144341,141045,138597,127210,144340,140935,155954,151558,140149,144096,139296,127558,144708,144045,141621,139161,154071,144770,135410,136241,135823,152573,137828
32,145034,136660,133293,134956,147157,138275,132544,124989,137228,135998,134971,151134,148931,149084,161264,143710,142944,144507,141158,138849,127378,144546,141124,156176,151739,140333,144298,139484,127705,144916,144269,141805,139371,154335,144986,135639,136426,136014,152761,138052
33,145235,136863,133421,135176,147365,138421,132764,125168,137460,136229,135191,151355,149180,149310,161515,143938,143151,144689,141337,139070,127529,144755,141321,156454,151977,140544,144529,139677,127922,145181,144519,142080,139550,154573,145227,135819,136582,136227,152982,138240
34,145472,137007,133589,135337,147542,138584,132918,125279,137528,136400,135359,151522,149394,149508,161710,144158,143409,144874,141551,139249,127678,144975,141485,156643,152150,140700,144777,139858,128069,145380,144738,142288,139737,154815,145406,135990,136876,136396,153178,138458
35,145693,137227,133836,135555,147750,138762,133068,125528,137747,136594,135546,151748,149583,149713,161902,144331,143583,145074,141731,139492,127795,145183,141620,156863,152389,140889,144920,140003,128243,145604,144976,142531,139947,155091,145560,136228,137088,136596,153457,138707
36,145874,137439,133973,135743,147980,139009,133334,125704,137944,136764,135729,151899,149833,149927,162065,144524,143737,145277,141873,139647,127941,145361,141839,157054,152536,141079,145100,140181,128428,145813,145109,142715,140134,155362,145783,136392,137193,136769,153659,138911
37,146118,137621,134242,135973,148188,139190,133599,125911,138149,136993,135898,152083,150007,150140,162253,144719,143970,145412,142113,139840,128104,145572,142030,157283,152717,141279,145310,140357,128562,145996,145329,142842,140294,155581,145940,136501,137411,136918,153821,139169
38,146324,137807,134413,136094,148359,139401,133727,126049,138332,137145,136049,152263,150194,150304,162442,144904,144110,145593,142307,140036,128269,145797,142227,157463,152944,141496,145467,140537,128721,146205,145555,142979,140512,155888,146193,136748,137643,137120,154023,139447
39,146531,137997,134576,136312,148579,139635,133895,126202,138555,137317,136211,152453,150367,150477,162621,145086,144323,145725,142472,140226,128435,145993,142460,157710,153221,141718,145685,140739,128909,146450,145757,143318,140681,156122,146306,136924,137845,137301,154318,139635
40,146742,138188,134782,136539,148828,139783,134116,126383,138735,137473,136404,152658,150628,150699,162840,145284,144546,145931,142762,140466,128592,146200,142675,157899,153374,141880,145898,140902,129066,146637,145985,143485,140887,156365,146614,137142,138013,137537,154472,139882
41,146900,138427,135009,136757,148982,140029,134361,126532,138960,137676,136583,152868,150815,150865,162923,145434,144697,146052,142864,140628,128779,146464,142905,158143,153617,142081,146176,141090,129229,146831,146209,143704,141078,156599,146794,137349,138196,137794,154700,140071
42,147119,138610,135202,136940,149223,140181,134489,126658,139154,137878,136789,153109,151091,151124,163221,145676,144956,146257,143118,140863,128921,146664,143076,158345,153828,142228,146385,141279,129425,147047,146420,143934,141309,156849,147050,137571,138434,137938,154928,140338
43,147337,138820,135416,137136,149432,140375,134656,126824,139337,138129,136977,153312,151339,151324,163419,145847,145182,146425,143303,141076,129108,146884,143330,158596,154056,142448,146619,141488,129615,147280,146636,144120,141484,157058,147262,137769,138612,138133,155118,140528
44,147564,139006,135621,137383,149653,140571,134861,127047,139602,138306,137165,153523,151579,151515,163568,146056,145392,146579,143539,141290,129285,147104,143535,158810,154313,142706,146843,141648,129757,147547,146877,144323,141679,157255,147514,137968,138826,138317,155357,140741
45,147778,139205,135813,137558,149866,140809,135069,127282,139799,138525,137332,153683,151780,151700,163796,146263,145565,146761,143716,141495,129448,147327,143755,158971,154519,142903,147082,141835,129986,147714,147093,144550,141895,157495,147665,138154,139028,138492,155525,140961
46,147932,139393,136007,137810,150101,140991,135247,127412,140057,138720,137497,153911,152036,151918,163969,146475,145754,146921,143872,141676,129602,147541,143939,159251,154736,143114,147303,141973,130165,147940,147311,144758,142016,157730,147923,138347,139193,138715,155742,141224
47,148152,139590,136130,137953,150295,141224,135388,127594,140149,139001,137703,154141,152295,152110,164227,146767,145972,147160,144090,141970,129765,147766,144153,159441,154981,143313,147475,142196,130320,148144,147510,144937,142249,157904,148139,138530,139434,138842,155980,141410
48,148373,139776,136351,138219,150457,141390,135558,127809,140398,139113,137913,154325,152544,152312,164445,146932,146245,147338,144304,142116,129917,147988,144335,159699,155186,143464,147714,142369,130499,148359,147718,145160,142470,158121,148322,138751,139612,139062,156176,141597
49,148580,139963,136520,138347,150638,141586,135720,127943,140585,139268,138106,154515,152780,152554,164629,147114,146401,147523,144491,142383,130092,148184,144591,159982,155396,143716,147970,142638,130739,148655,147958,145347,142706,158342,148495,138919,139758,139300,156350,141861
50,148760,140162,136745,138566,150853,141767,135934,128149,140750,139445,138294,154769,152982,152781,164845,147313,146657,147698,144684,142615,130261,148368,144773,160184,155576,143847,148104,142780,130845,148806,148147,145547,142917,158565,148772,139138,140001,139435,156537,142013
51,148998,140346,136948,138763,151087,141926,136101,128317,140927,139638,138492,154964,153233,152974,165092,147494,146873,147866,144900,142809,130441,148601,144985,160419,155826,144052,148367,142968,131022,149019,148349,145719,143075,158741,148916,139304,140172,139638,156712,142249
52,149189,140548,137164,138943,151305,142164,136278,128481,141144,139815,138711,155141,153437,153236,165279,147762,147128,148056,145082,143038,130576,148812,145139,160636,155997,144236,148595,143083,131196,149181,148572,145920,143291,158955,149151,139472,140327,139794,156925,142453
53,149409,140727,137374,139209,151491,142398,136505,128720,141380,140087,138914,155342,153684,153444,165507,148055,147353,148223,145354,143265,130717,148920,145323,160767,156218,144461,148761,143323,131344,149433,148792,146129,143493,159208,149363,139711,140537,139967,157155,142679
54,149625,140956,137556,139370,151732,142606,136694,128923,141640,140249,139101,155605,153930,153667,165713,148301,147574,148430,145549,143458,130868,149171,145513,161004,156415,144661,148974,143516,131535,149578,149032,146339,143699,159410,149568,139892,140714,140155,157411,142888
55,149814,141142,137761,139587,151870,142792,136870,129118,141815,140407,139286,155785,154173,153836,165895,148463,147781,148722,145737,143659,131020,149384,145695,161168,156632,144872,149132,143654,131675,149771,149220,146509,143895,159598,149781,140024,140884,140296,157589,143091
56,150012,141328,138005,139806,152061,142922,137033,129292,141996,140583,139466,155990,154402,154074,166120,148714,147958,148845,145987,143915,131199,149620,145943,161472,156877,145121,149391,143874,131900,149969,149420,146677,144079,159752,149952,140216,141100,140470,157807,143285
57,150266,141537,138240,140045,152264,143148,137215,129560,142255,140814,139635,156195,154647,154279,166299,148845,148162,149024,146119,144087,131334,149830,146119,161700,157066,145302,149572,144097,132036,150214,149635,146882,144277,159967,150152,140393,141260,140663,157955,143494
58,150428,141727,138405,140220,152462,143428,137347,129647,142409,140999,139833,156426,154862,154518,166461,149126,148390,149168,146480,144318,131510,150051,146304,161902,157284,145549,149780,144256,132230,150427,149868,147103,144461,160243,150380,140580,141441,140904,158179,143680
59,150628,141956,138614,140450,152746,143603,137609,129886,142653,141200,140032,156617,155078,154734,166737,149332,148694,149382,146579,144533,131653,150268,146502,162174,157497,145655,150013,144512,132404,150673,150119,147317,144693,160489,150608,140777,141620,141073,158441,143886
60,150794,142157,138804,140642,152938,143836,137765,130073,142831,141425,140186,156801,155294,154939,166937,149528,148844,149527,146771,144789,131807,150496,146653,162332,157680,145845,150188,144668,132557,150828,150340,147513,144853,160707,150738,140981,141837,141257,158623,144172
61,150963,142334,138948,140812,153123,144007,137899,130191,143004,141561,140348,157009,155508,155139,167155,149720,149028,149695,146963,144937,131960,150659,146894,162548,157879,146056,150437,144822,132683,151044,150524,147735,145089,160964,151004,141191,142084,141404,158821,144396
62,151157,142525,139140,141025,153335,144211,138085,130370,143252,141750,140543,157227,155795,155344,167366,149951,149297,149881,147125,145156,132117,150937,147072,162845,158092,146278,150586,145014,132905,151260,150720,147894,145239,161148,151155,141353,142184,141589,158967,144554
63,151395,142732,139331,141170,153501,144349,138287,130550,143484,141941,140700,157422,155991,155565,167587,150122,149511,150051,147359,145427,132301,151139,147284,163042,158325,146478,150779,145177,133067,151471,150968,148120,145494,161373,151385,141584,142422,141817,159240,144819
64,151556,142902,139460,141390,153714,144572,138455,130667,143661,142142,140869,157667,156261,155762,167842,150352,149757,150278,147582,145606,132498,151424,147498,163297,158547,146737,151016,145408,133227,151697,151198,148351,145705,161645,151640,141757,142615,141957,159507,145029
65,151778,143139,139758,141633,153946,144839,138584,130885,143916,142313,141068,157839,156515,155983,167997,150608,149932,150490,147775,145833,132650,151604,147660,163515,158658,146872,151186,145571,133403,151867,151413,148563,145837,161858,151844,141982,142831,142144,159670,145174
66,151943,143327,139979,141801,154125,144988,138791,131078,144176,142597,141246,157999,156702,156205,168209,150801,150091,150687,147981,146067,132818,151807,147861,163746,158887,147075,151328,145770,133569,152086,151636,148746,146077,162078,152020,142145,142982,142284,159902,145462
67,152156,143493,140068,141984,154260,145148,139004,131196,144311,142721,141389,158238,156890,156382,168370,150970,150243,150826,148185,146235,132950,151959,148033,163993,159088,147266,151529,145919,133682,152278,151830,148918,146285,162252,152208,142373,143180,142508,160061,145582
68,152423,143699,140281,142189,154468,145373,139201,131368,144500,142950,141552,158411,157074,156529,168548,151156,150471,151017,148411,146397,133096,152217,148172,164211,159332,147479,151768,146121,133834,152479,152076,149117,146473,162478,152391,142551,143359,142668,160220,145774
69,152631,143890,140524,142404,154693,145555,139348,131545,144708,143162,141724,158589,157251,156720,168712,151316,150625,151194,148574,146589,133286,152481,148414,164441,159543,147594,151943,146307,134024,152732,152299,149301,146664,162713,152602,142782,143566,142865,160418,146024
70,152836,144092,140748,142655,154932,145766,139512,131706,144924,143314,141899,158826,157476,156894,168943,151493,150807,151358,148686,146792,133445,152638,148606,164707,159738,147871,152134,146480,134152,152961,152516,149538,146872,162897,152786,142982,143760,143065,160681,146231
71,153058,144314,140917,142882,155082,145940,139737,131930,145150,143581,142060,159055,157678,157164,169141,151705,151009,151552,148913,147026,133606,152889,148804,164891,159958,148084,152322,146581,134362,153222,152692,149713,147034,163083,152966,143167,143905,143239,160946,146427
