op_wip,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
29,0,1,0,1,0,0,1,1,1,2,1,0,1,0,1,2,1,1,1,1,1,2,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1
30,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,3,1,0,0,1,0,1,1,1,0,1,0,1,1,0,2,1
31,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
32,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,1
33,1,0,2,0,1,0,1,1,0,1,1,2,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1
34,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,2,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,2
35,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1
36,1,0,1,0,1,0,1,1,1,0,1,2,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,2,0,0,0,1,1,1
37,1,1,0,1,4,0,2,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0
38,1,1,1,2,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0
39,1,1,2,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,2,1,0,1,0,0,1,1,1,0,0,1,0
40,1,1,1,2,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1
41,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1
42,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,2,2,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1
43,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0
44,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,2,1,1,1,0,0,1,0,1,1,1,1,0,0
45,0,1,0,1,1,1,1,1,1,2,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1
46,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1
47,1,1,1,1,0,1,1,1,0,1,1,0,2,0,2,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1
48,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,2,1,0,1,1,1,0,1,0,1,1,1,1,0,1
49,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0
50,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,2,1,1,1,1,0,1,0,0,1,1,0,1
51,1,1,1,1,1,1,0,0,0,0,3,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,2,1,0,0,0,1,1,1
52,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,2,1,0,1,0,1,1,1,0,1,1,1,1,1,1
53,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,1,1,0
54,1,0,1,0,0,1,1,1,1,3,0,2,1,0,0,0,1,1,0,1,1,1,3,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1
55,1,0,0,1,1,1,1,0,1,1,0,0,1,1,2,1,0,0,1,1,0,1,0,1,0,1,2,1,0,1,1,0,1,1,1,1,0,1,1,1
56,0,1,1,1,0,1,2,0,1,1,1,0,1,2,1,1,0,3,1,1,1,1,1,1,1,1,1,1,0,0,2,1,0,1,0,1,2,2,1,1
57,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0
58,1,1,1,0,0,2,2,1,0,1,1,1,1,1,1,0,2,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0
59,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0
60,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1
61,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,2,0,1
62,0,0,2,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1
63,0,0,1,2,0,0,1,1,1,1,0,0,1,1,1,2,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0
64,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,2,0,0,1,1,1,1,0,2,0,1
65,1,0,2,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1
66,1,1,0,0,1,1,1,0,0,0,1,1,1,2,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1
67,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,2,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0
68,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,2,1,2,0,0,1,3,1,1,0,0,2,1,1,1,0,0,1,0,1,1
69,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
70,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,3,0,2,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1
71,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1
72,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
73,1,0,1,2,0,1,1,0,1,1,0,1,1,0,1,1,0,2,0,1,0,1,1,1,2,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0
74,0,1,0,1,0,1,1,0,1,1,0,0,1,2,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0
75,1,0,1,1,1,1,1,2,1,1,0,0,1,0,1,1,2,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1
76,1,0,1,0,1,1,1,1,0,1,0,0,0,2,1,1,1,1,1,1,1,0,2,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0
77,1,2,1,1,0,0,1,0,0,1,1,1,1,0,2,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1
78,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,2,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,2
79,0,0,2,1,0,1,0,1,1,1,0,2,1,1,0,1,1,2,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1
