rxkB/s,client01,client02,client03,client04
0,2750.87,5907.34,3778.9,2376.87
1,2535.54,5395.45,3267.18,2446.73
2,1851.63,3248.0,3817.14,2366.47
3,1710.98,3089.74,2793.69,2543.28
4,2075.42,2895.84,2220.86,2111.17
5,1876.37,2345.6,2800.67,2216.63
6,1915.54,2308.64,2896.66,2311.85
7,2474.69,2981.59,2398.88,2342.79
8,2361.07,1963.71,2080.76,2527.89
9,2579.32,2190.5,2213.26,2109.35
10,1708.3,1952.58,2450.56,1947.67
11,1600.85,2286.04,2280.15,2048.42
12,1609.75,2223.68,2174.68,2249.86
13,1757.71,1934.11,2328.89,1984.05
14,1876.53,2060.3,2289.92,2187.18
15,2393.08,2139.79,2435.61,2301.2
16,2390.12,2119.91,2115.37,2251.97
17,1924.41,2074.91,2217.54,2131.1
18,1581.53,2201.42,2166.73,2229.48
19,1813.16,2024.72,2166.55,2132.69
20,2016.5,1984.08,2190.63,2203.3
21,1967.27,1979.68,2256.4,2564.16
22,2396.01,2153.11,2360.92,2444.8
23,2028.92,2071.17,2207.17,2209.29
24,1907.69,2051.07,2222.89,2144.06
25,1933.05,2030.9,2211.35,2202.68
26,1726.05,2173.04,2311.58,2135.17
27,1790.23,1938.41,2200.35,2152.28
28,2288.12,1844.0,2440.26,2558.3
29,2413.79,2126.27,2221.23,2333.51
30,1915.35,2016.3,2241.46,2234.53
31,1687.75,2150.88,2353.04,2303.63
32,1655.34,2036.73,2225.68,2087.95
33,1787.76,1945.8,2161.33,2246.81
34,1660.77,2087.07,2138.08,2598.39
35,2284.12,2190.49,2369.52,2148.55
36,2079.8,2171.61,2427.25,2131.44
37,1673.06,2146.76,2132.21,2141.89
38,1721.25,1847.83,2138.07,2070.97
39,1798.53,1819.03,2192.87,2122.85
40,1765.45,2183.23,1985.33,2123.21
41,2005.25,1872.25,1971.27,2475.48
42,2483.46,2321.51,2424.76,2234.3
43,1910.56,1948.07,2299.39,2147.6
44,1812.89,2068.46,2163.58,1964.28
45,1724.35,2091.32,2069.62,2183.47
46,1857.65,1911.99,1963.67,2184.06
47,1892.47,1788.53,2026.73,2247.43
48,2143.76,1900.86,2357.79,2490.44
49,2228.34,2347.25,1907.46,2152.94
50,1728.4,2053.44,2083.77,2102.88
51,1917.73,1916.05,1944.27,2185.77
52,1928.54,2002.39,2206.92,2063.66
53,1686.54,1944.86,2061.61,2102.95
54,1880.03,2133.6,2010.33,2387.64
55,2356.5,2287.39,2265.17,2317.01
56,2104.92,2132.49,1861.77,2135.15
57,1867.27,1876.89,1969.21,2001.07
58,1877.77,2089.63,2170.4,2093.69
59,1854.25,2081.82,2252.18,1821.27
60,1753.0,2179.48,1961.21,2251.89
61,2076.12,2081.59,1965.77,2504.04
62,2719.07,2079.42,2458.13,2158.68
63,1740.5,2197.18,1950.86,2243.49
64,1740.98,1905.13,1879.6,2389.03
65,1745.77,1893.01,2276.28,2128.97
66,1782.08,2065.08,2263.42,2138.37
67,1983.02,2029.53,2033.75,2430.12
68,2293.87,2050.34,2310.86,2274.2
69,2428.81,2413.25,2013.59,2236.13
70,2036.49,1976.01,2159.88,2112.52
71,1916.7,2053.54,2076.03,1888.43
72,1940.49,1903.7,2179.03,2151.25
73,1862.42,1868.61,2304.45,2078.99
74,1856.67,1886.07,2013.52,2558.39
75,2447.65,1958.41,2331.02,2152.35
76,2148.72,1937.03,2083.78,2152.88
77,1837.08,1952.45,2178.45,2244.5
78,1811.06,1812.67,2192.74,2201.42
79,1888.91,1891.22,2185.49,2180.47
80,1595.52,2219.31,2148.78,2260.98
81,1837.15,1901.12,1991.5,2590.82
82,2511.76,2281.89,2165.95,2283.65
83,1956.96,1856.66,2344.98,2353.87
84,1612.33,1916.55,1966.1,2370.2
85,1749.12,1914.56,1993.21,2264.89
86,1810.78,1972.62,1967.53,2303.74
87,1826.56,1920.48,2091.63,2359.1
88,2292.9,2032.4,2345.58,2270.96
89,2395.52,2095.47,2164.17,2278.37
90,1828.37,1974.92,2105.16,2102.62
91,1798.85,2052.86,2074.6,2285.01
92,1854.33,1967.6,2081.22,2141.97
93,1898.49,1882.04,1911.61,2101.84
94,1959.4,1907.21,2167.82,2201.79
95,2192.63,2349.36,2324.87,2090.25
96,1990.01,2103.16,1998.2,2089.57
97,1623.88,2059.94,2025.9,2156.25
98,1760.94,1870.37,2075.17,1911.19
99,1866.91,1839.22,2138.25,2050.18
100,1877.81,2016.18,2152.85,2134.24
101,1936.35,1961.8,2162.7,2471.64
102,2435.55,2421.22,2297.56,2137.51
103,1693.55,2020.29,2126.52,2329.74
104,1813.8,1884.21,2055.56,2028.99
105,1798.27,1795.58,2230.55,2101.97
106,1717.12,2115.09,2351.44,2107.25
107,1746.4,1917.23,2065.26,2341.71
108,2276.89,2003.88,2316.07,2505.68
109,2312.44,2041.01,1982.16,2112.48
110,1915.35,2000.45,2097.75,2123.16
111,1795.78,1871.41,2084.39,2466.72
112,1766.61,1611.01,2349.75,2062.51
113,1766.91,1904.69,2295.3,1992.2
114,1948.98,2072.74,2181.43,2580.04
115,2544.63,2138.51,2403.5,2153.98
116,2061.53,1923.05,2013.67,2151.96
117,1807.78,2193.86,2124.82,2100.11
118,1885.74,1890.19,2123.39,2087.14
119,1865.02,2111.22,2116.96,2053.09
120,1779.52,2059.64,2106.9,2182.92
121,2185.09,1772.26,2104.47,2389.46
122,2426.3,2309.0,2116.37,2099.5
123,1885.12,1843.77,2064.24,1897.92
124,1931.08,1946.21,1906.77,1983.76
125,1817.82,2024.45,2035.03,2090.73
126,1638.74,1953.26,2103.45,2031.39
127,1837.6,1999.36,2075.67,2251.27
