kbcached,aceph01,aceph02,aceph03,aceph04
127,2152924.0,2020876.0,2018220.0,2097576.0
128,2163940.0,2036924.0,2029320.0,2080492.0
129,2178304.0,2042040.0,2030972.0,2092780.0
130,2191612.0,2046932.0,2034368.0,2108956.0
131,2207992.0,2062904.0,2049688.0,2123876.0
132,2224584.0,2078136.0,2056124.0,2145076.0
133,2223688.0,2094848.0,2068860.0,2146908.0
134,2247704.0,2106364.0,2084740.0,2163556.0
135,2263428.0,2107452.0,2074588.0,2173184.0
136,2280176.0,2128812.0,2084856.0,2184280.0
137,2294292.0,2135968.0,2091668.0,2199852.0
138,2299552.0,2169824.0,2113292.0,2212400.0
139,2314920.0,2188564.0,2118304.0,2217192.0
140,2338216.0,2212992.0,2134304.0,2239528.0
141,2347156.0,2225636.0,2139744.0,2235004.0
142,2356000.0,2248380.0,2156612.0,2262352.0
143,2373224.0,2234440.0,2161388.0,2284556.0
144,2379708.0,2250688.0,2186464.0,2305472.0
145,2400408.0,2272532.0,2199216.0,2313084.0
146,2408568.0,2285800.0,2223920.0,2325324.0
147,2403644.0,2283872.0,2239004.0,2317360.0
148,2410568.0,2291036.0,2238844.0,2348428.0
149,2426628.0,2292836.0,2254600.0,2369416.0
150,2446224.0,2301684.0,2266052.0,2386040.0
151,2455408.0,2315700.0,2281868.0,2372964.0
152,2460516.0,2331644.0,2296616.0,2396016.0
153,2481032.0,2346496.0,2309636.0,2372252.0
154,2489140.0,2353512.0,2327324.0,2368340.0
155,2512492.0,2358908.0,2350888.0,2385576.0
156,2528820.0,2385244.0,2320008.0,2400356.0
157,2552980.0,2366864.0,2327828.0,2416848.0
158,2554684.0,2367676.0,2329036.0,2429124.0
159,2559072.0,2382684.0,2345180.0,2438912.0
160,2585192.0,2404732.0,2353004.0,2449612.0
161,2567028.0,2410052.0,2377368.0,2466428.0
162,2578508.0,2432276.0,2377392.0,2480844.0
163,2588620.0,2453376.0,2386936.0,2492052.0
164,2596252.0,2453472.0,2406044.0,2491456.0
165,2614428.0,2462644.0,2396840.0,2506724.0
166,2621968.0,2467144.0,2419964.0,2512116.0
167,2639664.0,2490700.0,2432064.0,2519556.0
168,2652292.0,2497920.0,2438656.0,2536044.0
169,2673900.0,2495276.0,2451112.0,2551084.0
170,2683176.0,2506216.0,2470764.0,2570912.0
171,2704112.0,2526076.0,2491752.0,2577348.0
