avgqu-sz,aceph01,aceph02,aceph03,aceph04
154,160.483,170.854,198.672,198.606
155,157.846,172.386,199.396,203.263
156,143.475,159.596,179.436,184.102
157,147.668,146.216,185.313,181.636
158,165.959,157.615,163.903,172.437
159,157.669,158.269,159.626,172.744
160,157.632,156.889,158.579,172.13
161,157.769,171.204,158.0,172.496
162,157.817,168.58,158.072,161.251
163,159.086,158.946,158.569,157.741
164,159.047,162.845,150.495,149.917
165,159.377,158.311,144.152,142.721
166,162.856,155.595,144.844,143.814
167,173.998,149.826,143.967,143.466
168,172.453,143.576,144.146,156.064
169,178.69,143.968,143.648,147.971
170,190.896,146.346,144.302,144.53
171,164.937,172.324,146.175,145.126
172,169.924,173.766,161.744,143.505
173,173.834,186.684,159.973,142.63
174,181.972,192.442,158.303,151.284
175,185.556,187.645,160.129,159.084
176,193.94,187.88,150.615,158.558
177,183.622,186.08,161.231,157.437
178,169.305,187.141,157.673,159.09
179,171.656,186.982,159.076,158.829
180,170.62,186.522,158.268,158.881
181,149.961,173.642,158.636,171.517
182,144.424,156.847,154.104,172.971
183,145.541,156.217,145.328,173.472
184,144.444,142.1,146.062,164.876
185,145.032,143.485,143.4,161.686
186,155.059,144.34,143.981,159.227
187,158.197,144.905,145.209,157.879
188,157.243,150.385,144.45,158.813
189,167.007,144.198,145.116,158.004
190,175.535,147.205,144.221,153.993
191,175.235,147.246,144.774,143.354
192,163.198,144.516,143.843,144.034
193,159.989,145.329,144.483,143.488
194,173.006,144.347,144.681,143.277
195,182.701,144.522,146.642,144.042
196,187.806,144.694,151.357,143.886
197,187.98,144.14,163.224,157.856
198,187.912,143.991,161.98,160.577
199,163.684,144.368,158.22,160.352
200,162.068,144.045,151.011,151.5
201,179.381,146.524,143.944,147.168
202,174.257,158.358,143.745,158.497
203,172.44,157.732,143.092,157.494
204,172.036,157.668,144.259,158.018
205,158.974,147.742,144.263,166.531
206,174.861,145.338,150.136,172.627
207,163.241,157.733,158.468,162.665
208,160.535,159.45,158.154,157.931
209,152.781,157.254,159.742,157.925
210,142.947,155.804,158.886,158.749
211,143.47,152.044,159.273,153.549
212,151.18,144.737,159.349,144.847
213,158.722,145.946,158.477,145.127
214,163.851,145.088,158.898,144.718
215,159.848,145.334,170.239,144.726
216,157.38,146.061,160.904,145.894
217,167.061,146.535,157.087,158.918
218,171.464,143.979,159.522,153.394
219,159.122,143.573,155.804,141.766
220,171.143,143.521,143.261,152.302
221,172.557,143.536,145.815,160.082
222,172.68,147.533,143.545,157.996
223,172.24,158.628,143.173,166.025
224,166.898,159.191,144.123,177.26
225,160.926,158.244,156.206,172.28
226,152.484,157.094,166.807,173.48
227,157.951,155.914,172.834,172.423
228,158.658,172.603,171.303,172.748
229,157.678,172.616,169.853,193.478
230,150.612,171.405,159.519,187.433
231,142.835,174.749,149.834,188.347
232,144.066,173.548,159.895,182.609
233,143.996,174.82,172.491,171.554
234,143.456,163.395,172.083,171.264
235,143.499,159.368,173.089,159.139
