txpck/s,client01,client02,client03,client04
144,7797.0,8799.0,14473.0,15254.0
145,8543.0,9651.0,14304.0,14101.0
146,8291.0,10001.0,15110.0,14000.0
147,8206.0,9234.0,14444.0,14640.0
148,12218.0,10447.0,16390.0,16490.0
149,10353.0,9678.0,14794.0,14698.0
150,8071.0,9511.0,13762.0,14071.0
151,9027.0,9276.0,14879.0,14496.0
152,8459.0,9275.0,15444.0,15152.0
153,8477.0,9065.0,13865.0,15376.0
154,9205.0,9021.0,14747.0,16681.0
155,12399.0,10177.0,16444.0,14974.0
156,8759.0,9391.0,14731.0,14818.0
157,7698.0,9105.0,15140.0,17006.0
158,7915.0,8888.0,14843.0,14443.0
159,8568.0,9098.0,13670.0,14574.0
160,9841.0,8550.0,14037.0,15627.0
161,10884.0,9690.0,15686.0,15095.0
162,12070.0,10783.0,13464.0,16481.0
163,8836.0,9069.0,14525.0,15887.0
164,8950.0,8588.0,14553.0,15510.0
165,9155.0,8913.0,13117.0,15538.0
166,8303.0,9080.0,14536.0,16148.0
167,9264.0,9447.0,12944.0,15274.0
168,12614.0,9996.0,15442.0,16015.0
169,9794.0,9559.0,14174.0,15921.0
170,8413.0,9181.0,13515.0,15709.0
171,8772.0,8968.0,15553.0,13893.0
172,8363.0,9874.0,15075.0,12762.0
173,7962.0,9637.0,13689.0,14648.0
174,8878.0,9517.0,14224.0,18016.0
175,12487.0,10484.0,14906.0,16039.0
176,9730.0,8569.0,14375.0,14720.0
177,8183.0,9014.0,15228.0,16677.0
178,8198.0,8917.0,14248.0,15054.0
179,8223.0,8776.0,14440.0,15852.0
180,8476.0,8403.0,14047.0,16011.0
181,10779.0,8680.0,16444.0,16274.0
182,11784.0,10205.0,16743.0,14056.0
183,8431.0,9341.0,14718.0,14062.0
184,8279.0,9383.0,14577.0,13748.0
185,8631.0,9445.0,14380.0,14722.0
186,8097.0,8753.0,14077.0,15068.0
187,8974.0,8557.0,13666.0,15629.0
188,12731.0,9715.0,17338.0,13530.7
189,10655.0,9021.0,14794.0,14269.0
190,7845.0,9437.0,13952.0,13566.0
191,8280.0,8755.0,13831.0,12983.0
192,8367.0,7685.0,14593.0,14437.0
193,7792.0,9223.0,14834.0,14627.0
194,8806.0,8873.0,15669.0,15888.0
195,11905.0,11261.0,15592.0,14174.0
196,8162.0,8452.0,15079.0,15120.0
197,7272.0,9397.0,15004.0,14838.0
198,8278.0,8853.0,14308.0,14539.0
199,8272.0,8845.0,15226.0,14179.0
200,7915.0,8702.0,15474.0,16532.0
201,10617.0,8515.0,16406.0,15569.0
202,11195.0,10878.0,15422.0,13617.0
203,7900.0,9462.0,15514.0,15247.0
204,8358.0,9431.0,14128.0,13890.0
205,8803.0,9704.0,14413.0,13512.0
206,8117.0,10055.0,15246.0,14875.0
207,8685.0,9804.0,15410.0,15071.0
208,11466.0,9575.0,15837.0,15707.0
209,9828.0,8288.0,15822.0,14624.0
210,8976.0,8168.0,15236.0,13807.0
211,8734.0,8890.0,15603.0,14289.0
212,7793.0,9727.0,14777.0,15005.0
213,7943.0,8970.0,14519.0,14442.0
214,9820.0,8734.0,15078.0,16877.0
215,12274.0,10169.0,16055.0,15604.0
216,8627.0,9067.0,13206.0,15670.0
217,8149.0,9044.0,15559.0,14152.0
218,7629.0,9693.0,14439.0,15188.0
219,7945.0,8992.0,14152.0,15112.0
220,8235.0,8966.0,13242.0,17756.0
221,11510.0,8391.0,16160.0,15837.0
222,11285.0,10129.0,14645.0,15056.0
223,8054.0,9842.0,14669.0,14197.0
224,8174.0,7858.0,15395.0,14812.0
225,8636.0,8609.0,15159.0,15286.0
226,8405.0,8463.0,15564.0,13851.0
227,9418.81,8061.0,15525.0,16093.0
228,12142.0,9848.0,16141.0,14576.0
229,9366.0,9167.0,13791.0,14555.0
230,7997.0,8793.0,14500.0,15888.0
231,9169.0,8656.0,14426.0,15585.0
232,8605.0,8435.0,14815.0,16048.0
233,8797.0,8624.0,14900.0,15291.0
234,10856.0,8195.0,15014.0,17074.0
235,12100.0,10065.0,13563.0,16449.0
236,8533.0,8013.0,13989.0,15405.0
237,9224.0,8065.0,14495.0,13597.0
238,8864.0,9083.0,15088.0,14547.0
239,8116.0,8575.0,14291.0,15259.0
240,8051.0,8947.0,13744.0,15198.0
241,11887.0,9124.0,16637.0,16037.0
242,10885.0,10019.0,15024.0,15446.0
243,7899.0,9161.0,13896.0,14676.0
244,8001.0,9241.0,14675.0,15299.0
245,8217.0,8379.0,14788.0,13264.0
246,8920.0,8648.0,14155.0,14570.0
247,8852.0,9066.0,14961.0,15588.0
248,12529.0,10638.0,16800.0,12751.0
249,7888.0,9362.0,15364.0,13997.0
250,7394.0,9457.0,16055.0,14036.0
251,8550.0,8503.0,14914.0,14003.0
252,8377.0,9055.0,16404.0,14246.0
253,7852.0,9861.0,15148.0,13993.0
254,10425.0,9155.0,15646.0,16377.0
255,12425.0,10832.0,16172.0,13631.0
256,8927.0,8746.0,15370.0,14148.0
257,8904.0,8709.0,15723.0,14190.0
258,9053.0,8667.0,15968.0,13115.0
259,7800.0,9963.0,14728.0,13754.0
260,7951.0,9826.0,15418.0,14396.0
261,11471.0,9487.0,14816.8,14750.0
262,11697.0,8942.0,14535.0,13768.0
263,8595.0,8705.0,15628.0,14017.0
264,8103.0,9725.0,14090.0,13270.0
265,8781.0,8749.0,14716.0,15363.0
266,8513.0,9495.0,14117.0,14174.0
267,10038.0,8921.0,13120.0,15619.0
268,13166.0,10342.0,16248.0,15012.0
269,9179.0,9035.0,15861.0,13909.0
270,8005.0,9490.0,13825.0,15099.0
271,7928.0,9190.0,14565.0,14609.0
272,8226.0,9277.0,13911.0,13908.0
273,9109.0,8682.17,14299.0,14212.0
274,11081.0,8477.0,15930.0,16910.0
275,11683.0,10591.0,15007.0,15128.0
276,8971.0,9001.0,15169.0,14774.0
277,8069.0,9079.0,15496.0,15305.0
278,8960.0,8759.0,13966.0,14671.0
279,8818.0,8519.0,16100.0,14052.0
280,8377.0,9467.0,16492.0,13634.0
281,11776.0,9629.0,16658.0,14662.0
282,10676.0,8829.0,15652.0,13714.0
283,8460.0,8376.0,13863.0,14853.0
284,7949.0,8617.0,13689.0,15231.0
285,8421.0,8447.0,14986.0,14378.0
286,8762.0,8491.0,15542.0,12986.0
287,8771.0,8863.0,14901.0,16987.0
288,12691.0,9280.0,16842.0,15404.0
289,9403.0,8155.0,14750.0,13626.0
290,8516.0,9379.0,15735.0,13773.0
291,8458.0,8849.0,14064.0,14359.0
292,8690.0,7709.0,16443.0,14506.0
293,8402.0,8207.0,15453.0,14644.0
294,10743.0,8123.0,16187.0,15524.0
295,11367.0,10002.0,14176.0,14059.0
296,8273.0,9409.0,13835.0,14872.0
