%idle,client01,client02,client03,client04
176,96.92,95.04,93.93,94.31
177,97.58,95.67,94.08,93.96
178,97.65,95.97,94.28,94.23
179,93.76,95.17,94.23,94.03
180,97.33,92.06,94.41,94.08
181,81.91,95.97,81.28,69.24
182,80.86,72.73,86.24,94.13
183,97.55,95.03,94.28,94.36
184,95.67,94.92,94.21,94.46
185,97.48,91.57,94.13,94.33
186,96.87,94.66,94.41,94.21
187,97.16,95.09,94.38,73.24
188,66.89,84.19,74.03,89.72
189,94.29,83.47,93.85,94.36
190,97.36,92.21,94.43,94.56
191,97.28,95.05,94.33,94.84
192,97.38,96.23,94.13,94.48
193,97.78,96.13,94.16,94.39
194,95.33,95.21,93.95,69.03
195,67.37,71.07,74.23,94.13
196,97.25,95.14,93.73,94.21
197,97.24,95.44,94.01,94.36
198,97.41,95.67,94.41,94.11
199,94.13,95.05,94.01,94.46
200,96.53,87.99,93.91,93.1
201,76.08,94.61,77.59,70.04
202,86.51,72.55,90.38,94.28
203,97.31,95.29,94.01,94.18
204,91.45,95.2,94.43,94.46
205,90.65,82.85,94.23,94.53
206,97.35,92.79,94.13,94.48
207,96.54,95.0,93.93,69.59
208,67.51,78.74,74.07,93.33
209,92.08,89.04,93.65,94.48
210,96.65,90.92,94.08,94.51
211,97.55,94.01,94.0,94.26
212,97.8,95.03,94.06,94.53
213,97.7,95.36,94.08,94.36
214,94.76,95.17,93.0,68.9
215,68.66,71.55,75.35,93.75
216,97.37,94.71,94.21,94.21
217,97.46,95.54,93.91,94.33
218,97.53,94.76,94.21,94.28
219,94.39,95.19,94.31,94.38
220,97.36,93.55,94.38,86.18
221,70.52,94.62,74.91,76.15
222,91.88,73.06,92.95,94.33
223,97.75,95.2,94.16,94.39
224,95.86,94.97,93.9,94.46
225,97.37,91.79,94.01,94.26
226,97.16,95.38,93.91,94.53
227,96.22,95.63,93.91,67.95
228,68.57,77.18,75.43,87.45
229,95.03,91.7,93.96,94.31
230,97.08,92.49,94.16,94.43
231,97.06,95.71,94.21,94.21
232,97.65,96.04,94.13,94.01
233,97.35,95.63,94.08,94.08
234,89.08,94.88,90.35,68.96
235,69.94,70.01,78.11,93.41
236,97.22,94.02,94.18,94.21
237,97.32,95.65,94.06,94.51
238,97.45,95.19,94.03,94.11
239,92.0,94.7,94.13,94.41
240,94.17,83.47,94.33,82.04
241,67.98,90.51,74.25,80.73
242,94.34,75.39,93.93,94.31
243,97.65,94.85,94.38,94.23
244,93.48,94.41,94.18,94.38
245,96.94,90.99,94.03,94.59
246,97.52,95.37,94.43,94.36
247,96.27,95.27,94.21,68.9
248,68.14,72.57,74.0,94.31
249,92.98,94.08,93.65,94.36
250,97.32,92.69,93.81,94.61
251,97.78,95.74,94.23,94.36
252,97.18,95.27,93.81,94.46
253,97.9,95.35,94.05,94.43
254,87.4,95.66,87.49,64.25
255,77.34,73.32,82.99,92.06
256,97.3,94.94,93.91,94.56
257,97.31,95.11,94.01,94.64
258,97.45,95.08,93.91,94.71
259,95.66,95.11,94.06,94.61
260,97.78,94.15,94.03,78.96
261,67.8,89.93,74.64,83.99
262,95.32,78.88,94.03,94.41
263,97.65,95.72,94.05,94.39
264,95.05,95.45,94.21,94.61
265,97.27,94.12,94.06,94.28
266,97.6,94.93,94.26,94.41
267,96.48,95.44,94.46,69.0
268,67.86,73.69,74.47,93.73
269,93.63,94.37,93.46,94.61
270,95.96,91.16,94.43,94.16
271,97.43,92.86,94.13,94.43
272,96.72,94.2,94.31,94.41
273,97.6,94.68,94.04,94.39
274,80.33,94.5,81.64,68.92
275,78.86,69.47,86.92,93.78
276,97.55,92.58,93.93,94.51
277,97.55,94.84,94.16,94.36
278,97.63,95.21,94.28,94.26
