wMB/s,aceph01,aceph02,aceph03,aceph04
176,2.337,2.91,1.717,2.298
177,2.294,2.631,2.272,2.03
178,1.892,2.836,1.984,2.316
179,1.974,2.732,2.404,2.355
180,1.877,2.345,2.272,2.217
181,1.789,2.39,2.354,2.608
182,1.472,2.018,2.185,2.558
183,1.783,1.873,2.094,2.386
184,1.891,1.457,1.893,2.011
185,1.88,2.007,2.352,2.326
186,1.927,1.681,2.344,2.492
187,2.479,2.014,2.413,2.203
188,2.453,1.798,2.306,2.369
189,2.483,1.916,2.41,2.214
190,2.534,1.714,2.375,2.494
191,2.406,1.771,2.232,1.953
192,2.214,2.339,2.36,2.257
193,2.214,2.121,2.432,1.945
194,2.469,1.732,2.386,2.085
195,2.969,1.889,2.458,2.128
196,2.48,2.07,2.221,1.725
197,2.616,1.656,2.504,2.202
198,2.374,2.312,2.317,2.106
199,2.789,1.991,2.131,2.284
200,2.581,2.097,2.222,2.047
201,2.716,1.748,1.973,1.807
202,2.46,2.286,2.021,2.143
203,2.04,2.037,2.16,1.948
204,2.519,2.706,1.935,2.108
205,2.172,2.636,1.959,2.071
206,2.248,2.342,1.876,2.369
207,1.908,2.529,2.193,2.067
208,1.877,2.67,2.541,2.005
209,1.857,2.929,2.966,2.85
210,1.93,2.654,2.951,2.326
211,1.797,2.665,2.773,2.251
212,1.61,2.208,2.804,2.512
213,2.227,2.257,2.803,2.388
214,2.218,2.323,2.581,2.202
215,2.308,2.304,2.913,2.465
216,2.234,2.297,2.693,2.546
217,2.03,2.442,2.679,2.607
218,2.281,2.24,2.634,2.34
219,1.811,2.311,2.702,2.198
220,2.24,2.159,2.495,2.13
221,2.242,2.499,2.649,2.667
222,2.344,2.168,2.428,2.386
223,2.097,2.665,2.257,2.292
224,2.143,2.36,2.133,2.28
225,2.112,2.324,2.214,2.704
226,1.78,2.328,2.443,2.665
227,1.998,2.188,2.795,2.514
228,1.946,2.219,2.461,2.638
229,2.199,2.183,2.554,2.197
230,1.899,2.252,2.154,2.49
231,2.065,1.987,1.823,2.271
232,2.116,2.484,2.147,2.565
233,2.163,2.561,2.221,1.94
234,2.052,2.888,2.637,1.888
235,2.279,2.842,2.539,1.711
236,2.049,2.694,2.242,1.825
237,2.212,2.427,2.392,2.21
238,1.611,2.406,2.239,2.11
239,2.33,2.454,2.529,2.303
240,2.221,2.337,2.414,2.333
241,2.208,2.227,2.349,2.284
242,2.204,2.205,2.107,2.294
243,2.048,2.246,2.035,2.032
244,2.845,2.17,2.059,2.076
245,2.682,2.321,2.525,2.274
246,2.73,2.17,2.521,2.435
247,2.467,2.467,2.5,2.46
248,2.643,2.197,2.324,2.296
