kbmemfree,client01,client02,client03,client04
122,112608980.0,39881292.0,36853384.0,46270468.0
123,112626784.0,39880220.0,36853436.0,46271756.0
124,112626552.0,39881324.0,36853508.0,46273956.0
125,112626984.0,39880544.0,36853856.0,46274628.0
126,112627872.0,39879316.0,36853520.0,46275060.0
127,112628472.0,39878688.0,36853788.0,46276448.0
128,112584576.0,39878568.0,36854304.0,46276944.0
129,112617732.0,39878212.0,36854416.0,46279176.0
130,112622968.0,39877924.0,36854012.0,46281380.0
131,112622836.0,39878592.0,36853804.0,46283108.0
132,112624488.0,39878844.0,36852812.0,46284900.0
133,112625160.0,39877488.0,36851984.0,46286024.0
134,112608460.0,39878380.0,36851740.0,46287548.0
135,112586988.0,39878036.0,36851488.0,46288200.0
136,112621980.0,39875820.0,36850896.0,46289016.0
137,112621160.0,39876180.0,36851368.0,46291408.0
138,112621296.0,39876344.0,36851584.0,46291128.0
139,112623328.0,39876608.0,36851504.0,46291848.0
140,112623376.0,39876620.0,36851188.0,46293852.0
141,112586736.0,39876788.0,36851200.0,46295492.0
142,112607516.0,39877796.0,36850592.0,46297060.0
143,112619020.0,39878204.0,36849684.0,46299936.0
144,112618760.0,39878684.0,36849948.0,46300684.0
145,112619408.0,39880292.0,36849508.0,46300844.0
146,112621580.0,39879740.0,36849368.0,46301888.0
147,112622076.0,39880780.0,36849464.0,46303928.0
148,112579036.0,39880788.0,36849156.0,46304984.0
149,112611276.0,39880620.0,36848716.0,46307216.0
150,112615864.0,39881332.0,36851040.0,46309360.0
151,112616244.0,39882140.0,36850944.0,46311192.0
152,112618488.0,39883452.0,36850424.0,46312576.0
153,112619644.0,39885732.0,36850256.0,46312736.0
154,112597372.0,39887984.0,36849988.0,46314672.0
155,112574024.0,39888892.0,36849804.0,46316960.0
156,112615200.0,39888736.0,36850216.0,46317016.0
157,112614524.0,39889396.0,36850120.0,46318100.0
158,112614808.0,39891804.0,36850416.0,46319108.0
159,112616796.0,39891872.0,36850496.0,46321112.0
160,112617604.0,39891580.0,36850580.0,46322500.0
161,112584304.0,39892796.0,36850588.0,46322388.0
162,112606772.0,39892348.0,36850632.0,46322316.0
163,112617736.0,39892224.0,36850716.0,46323128.0
164,112617936.0,39894028.0,36849860.0,46323516.0
165,112617596.0,39894592.0,36849588.0,46325204.0
166,112618900.0,39894560.0,36849196.0,46326696.0
167,112619344.0,39895616.0,36849412.0,46327184.0
168,112576268.0,39896148.0,36849664.0,46328188.0
169,112600700.0,39896804.0,36848924.0,46328684.0
170,112605596.0,39898492.0,36849252.0,46327916.0
171,112605660.0,39900204.0,36848208.0,46328628.0
172,112606736.0,39901380.0,36839032.0,46328536.0
173,112607808.0,39903152.0,36838688.0,46329068.0
174,112590036.0,39904264.0,36838896.0,46328504.0
175,112563448.0,39904852.0,36838828.0,46328936.0
176,112601924.0,39905592.0,36839628.0,46330604.0
177,112602132.0,39906124.0,36839020.0,46331684.0
178,112602036.0,39906680.0,36838008.0,46331376.0
179,112603148.0,39908020.0,36837952.0,46331128.0
180,112603904.0,39910608.0,36837732.0,46331576.0
181,112567452.0,39910980.0,36837564.0,46330716.0
182,112594980.0,39912280.0,36821972.0,46331876.0
183,112599992.0,39913616.0,36822464.0,46333016.0
184,112600196.0,39915956.0,36821628.0,46334988.0
185,112600736.0,39915432.0,36821900.0,46336400.0
186,112603588.0,39916404.0,36821856.0,46338228.0
187,112605160.0,39917656.0,36823092.0,46338864.0
188,112563116.0,39919124.0,36821932.0,46339252.0
189,112596180.0,39920224.0,36822040.0,46339544.0
190,112600256.0,39922232.0,36821964.0,46341344.0
191,112599816.0,39923956.0,36821864.0,46342440.0
192,112602116.0,39923176.0,36805484.0,46342520.0
193,112602652.0,39924868.0,36806392.0,46343036.0
194,112578212.0,39927536.0,36806076.0,46344124.0
195,112562776.0,39930068.0,36805984.0,46345700.0
196,112597736.0,39932188.0,36806060.0,46345840.0
197,112597616.0,39932228.0,36806100.0,46347048.0
198,112598500.0,39934568.0,36806056.0,46346780.0
199,112601140.0,39935788.0,36806112.0,46346944.0
200,112602604.0,39937104.0,36805888.0,46347568.0
201,112550324.0,39939460.0,36805484.0,46348248.0
202,112581412.0,39940580.0,36791364.0,46348380.0
203,112587284.0,39941176.0,36791292.0,46348860.0
204,112589424.0,39943012.0,36791756.0,46348600.0
205,112591984.0,39944124.0,36791584.0,46348652.0
206,112594296.0,39946636.0,36791756.0,46349072.0
207,112576876.0,39948164.0,36791352.0,46348684.0
208,112557236.0,39948368.0,36791196.0,46349024.0
209,112592688.0,39948636.0,36791604.0,46349160.0
210,112595112.0,39950448.0,36791260.0,46349120.0
211,112581100.0,39951668.0,36791080.0,46348884.0
212,112584164.0,39953408.0,36774328.0,46348740.0
213,112585896.0,39956452.0,36773964.0,46348476.0
214,112555500.0,39956704.0,36773768.0,46347768.0
215,112554928.0,39958384.0,36774040.0,46348124.0
216,112581392.0,39960032.0,36773888.0,46348084.0
217,112583136.0,39960756.0,36773800.0,46347912.0
218,112584004.0,39963060.0,36774340.0,46347984.0
219,112588340.0,39962136.0,36774436.0,46347744.0
220,112591144.0,39964632.0,36774664.0,46347368.0
221,112538272.0,39967148.0,36774436.0,46347820.0
222,112566992.0,39968644.0,36757544.0,46346708.0
223,112576800.0,39970524.0,36757756.0,46346068.0
224,112579156.0,39971488.0,36757032.0,46345824.0
225,112582004.0,39973256.0,36757680.0,46345064.0
226,112584728.0,39975744.0,36757592.0,46345180.0
227,112567508.0,39977112.0,36757060.0,46345356.0
228,112550984.0,39978712.0,36757332.0,46345648.0
229,112585436.0,39978696.0,36757152.0,46345724.0
230,112586484.0,39980896.0,36757296.0,46345364.0
231,112572352.0,39984324.0,36757192.0,46345728.0
232,112576456.0,39985752.0,36741396.0,46345432.0
233,112578312.0,39987308.0,36741088.0,46345368.0
234,112545608.0,39987888.0,36741072.0,46345000.0
235,112560520.0,39988384.0,36741088.0,46344880.0
236,112582284.0,39989028.0,36740524.0,46345268.0
237,112583352.0,39988812.0,36740416.0,46345548.0
238,112585456.0,39989112.0,36740028.0,46346008.0
239,112588596.0,39989076.0,36740152.0,46345416.0
240,112591720.0,39989404.0,36740028.0,46345228.0
241,112533776.0,39991924.0,36739716.0,46344252.0
242,112567532.0,39993664.0,36723716.0,46343980.0
243,112575688.0,39995024.0,36723368.0,46344692.0
244,112576804.0,39997700.0,36723524.0,46344444.0
245,112579476.0,39998872.0,36722744.0,46344200.0
246,112581716.0,40001620.0,36722664.0,46344420.0
247,112563308.0,40002056.0,36722716.0,46344940.0
248,112543064.0,40003320.0,36723320.0,46344252.0
249,112582672.0,40004792.0,36722972.0,46343892.0
250,112585536.0,40005856.0,36722928.0,46343268.0
251,112571796.0,40007704.0,36722964.0,46342940.0
252,112576580.0,40007748.0,36711008.0,46343264.0
253,112579604.0,40010628.0,36711112.0,46343448.0
254,112549612.0,40012308.0,36710276.0,46342656.0
255,112563248.0,40014584.0,36710936.0,46342336.0
256,112580344.0,40015116.0,36710832.0,46342200.0
257,112582332.0,40017068.0,36710712.0,46342264.0
258,112584576.0,40018784.0,36709812.0,46342156.0
259,112587352.0,40017448.0,36709464.0,46341752.0
260,112588592.0,40018512.0,36709388.0,46342040.0
261,112535560.0,40022048.0,36709564.0,46341208.0
262,112568140.0,40021980.0,36709632.0,46341236.0
263,112575328.0,40021484.0,36709800.0,46341520.0
264,112576820.0,40021688.0,36709576.0,46340980.0
265,112579424.0,40022572.0,36708752.0,46342108.0
266,112581484.0,40022956.0,36708640.0,46341576.0
267,112563672.0,40022236.0,36708616.0,46341056.0
268,112540780.0,40023108.0,36708076.0,46340816.0
269,112581180.0,40022804.0,36708372.0,46340920.0
270,112582372.0,40023240.0,36708512.0,46340952.0
271,112568116.0,40024636.0,36705820.0,46341560.0
272,112571756.0,40024808.0,36705640.0,46341244.0
273,112574056.0,40028008.0,36705824.0,46340608.0
274,112539244.0,40027624.0,36705492.0,46340932.0
275,112561224.0,40029368.0,36705800.0,46341612.0
276,112570732.0,40028572.0,36706084.0,46341472.0
277,112572708.0,40029284.0,36705716.0,46341328.0
278,112575064.0,40030276.0,36704932.0,46341396.0
279,112577428.0,40030440.0,36704392.0,46341328.0
280,112578604.0,40030260.0,36704120.0,46341480.0
281,112533460.0,40029808.0,36704032.0,46341632.0
282,112564968.0,40028688.0,36702292.0,46341680.0
283,112570776.0,40029104.0,36702136.0,46341196.0
284,112570764.0,40029844.0,36701676.0,46341380.0
285,112574424.0,40029748.0,36701564.0,46340924.0
286,112577364.0,40029272.0,36701648.0,46341440.0
287,112554728.0,40028872.0,36701192.0,46342376.0
288,112536928.0,40025760.0,36701156.0,46344084.0
289,112577164.0,40025528.0,36701048.0,46344272.0
290,112576068.0,40025544.0,36700528.0,46344004.0
291,112577028.0,40025900.0,36700292.0,46346656.0
292,112579272.0,40024436.0,36699852.0,46349912.0
293,112580404.0,40024200.0,36700496.0,46351908.0
294,112542196.0,40024784.0,36700272.0,46353764.0
295,112573384.0,40023832.0,36700376.0,46354416.0
296,112578388.0,40023676.0,36700124.0,46356564.0
297,112578480.0,40023532.0,36699104.0,46357600.0
298,112581652.0,40023488.0,36698816.0,46360112.0
299,112584416.0,40023080.0,36700340.0,46362036.0
300,112567628.0,40022888.0,36699800.0,46363548.0
301,112551848.0,40023052.0,36699828.0,46364720.0
302,112582156.0,40022260.0,36700004.0,46366236.0
303,112585400.0,40022072.0,36699800.0,46367644.0
304,112587312.0,40020696.0,36699200.0,46369168.0
305,112591212.0,40021008.0,36699504.0,46370708.0
306,112594304.0,40021080.0,36699536.0,46372884.0
307,112570396.0,40020692.0,36699468.0,46374876.0
308,112562360.0,40020264.0,36698964.0,46376360.0
309,112594272.0,40019428.0,36699228.0,46378140.0
310,112596224.0,40019844.0,36699364.0,46379412.0
311,112598516.0,40019676.0,36699464.0,46381644.0
312,112601464.0,40019080.0,36698524.0,46383492.0
313,112603732.0,40018312.0,36698228.0,46385180.0
314,112567460.0,40019536.0,36697900.0,46385708.0
315,112594628.0,40018236.0,36697616.0,46387308.0
316,112601032.0,40017824.0,36697364.0,46388504.0
317,112601640.0,40016740.0,36696688.0,46389704.0
318,112602556.0,40016816.0,36697116.0,46390356.0
319,112605120.0,40017644.0,36696556.0,46392852.0
320,112595740.0,40017848.0,36697016.0,46394060.0
321,112562924.0,40016888.0,36696792.0,46395208.0
322,112597680.0,40015980.0,36696820.0,46397240.0
323,112599752.0,40016104.0,36696072.0,46399840.0
324,112599532.0,40015552.0,36696496.0,46402312.0
325,112601268.0,40016924.0,36695928.0,46402936.0
326,112603032.0,40017564.0,36696132.0,46404648.0
327,112575904.0,40017356.0,36695852.0,46406128.0
328,112569348.0,40015896.0,36695932.0,46409104.0
329,112598716.0,40015160.0,36695584.0,46410540.0
330,112599872.0,40014624.0,36695696.0,46412596.0
331,112601140.0,40013900.0,36695336.0,46413304.0
332,112604868.0,40013280.0,36693448.0,46414328.0
333,112607016.0,40013968.0,36693444.0,46414996.0
334,112569568.0,40013296.0,36693060.0,46416012.0
335,112595072.0,40013324.0,36692776.0,46417316.0
336,112602448.0,40012668.0,36692540.0,46419012.0
337,112602248.0,40012844.0,36692628.0,46420832.0
338,112602732.0,40013412.0,36692204.0,46421884.0
339,112605068.0,40012440.0,36691740.0,46422944.0
340,112584680.0,40013672.0,36692460.0,46425172.0
341,112557304.0,40012052.0,36692488.0,46426928.0
342,112592972.0,40011376.0,36692200.0,46429144.0
343,112594016.0,40011708.0,36691652.0,46431284.0
344,112593540.0,40010128.0,36691500.0,46433780.0
345,112596136.0,40010348.0,36691128.0,46435252.0
346,112596736.0,40010344.0,36690364.0,46437528.0
347,112566764.0,40010920.0,36690168.0,46438168.0
348,112566188.0,40010780.0,36690772.0,46437988.0
349,112593384.0,40011192.0,36691044.0,46440100.0
350,112593176.0,40011320.0,36691024.0,46441256.0
351,112593524.0,40011832.0,36690632.0,46443776.0
352,112595600.0,40011392.0,36689724.0,46446020.0
353,112595808.0,40011036.0,36689520.0,46447656.0
354,112555380.0,40011076.0,36689400.0,46450556.0
355,112585804.0,40011180.0,36689568.0,46452712.0
