%iowait,aceph01,aceph02,aceph03,aceph04
0,0.12,0.13,0.25,0.0
1,2.26,0.13,0.25,0.25
2,7.54,1.25,0.25,0.13
3,0.13,0.12,0.25,0.0
4,0.0,0.38,0.88,0.25
5,0.12,0.25,4.18,0.0
6,0.25,0.0,3.89,0.25
7,0.25,0.12,0.38,0.25
8,0.25,0.12,5.98,0.13
9,0.13,0.12,5.16,0.0
10,0.12,1.64,3.24,0.25
11,0.25,4.65,5.6,0.13
12,0.12,0.25,5.42,0.38
13,0.0,0.5,0.88,0.12
14,0.12,3.99,3.5,0.25
15,0.0,0.25,0.5,0.5
16,0.12,3.66,0.12,0.12
17,0.12,0.25,0.12,0.63
18,0.0,0.25,0.25,0.75
19,0.13,0.5,0.25,1.0
20,0.0,0.5,0.25,2.39
21,0.12,0.37,0.62,0.75
22,0.13,0.75,0.13,0.25
23,0.0,0.5,0.5,0.25
24,0.0,0.25,0.37,0.25
25,0.25,0.5,0.12,0.25
26,0.0,3.62,0.12,0.5
27,0.13,0.5,0.5,0.13
28,0.12,1.0,0.38,0.0
29,0.13,0.62,0.75,0.25
30,0.12,0.63,0.63,0.25
31,0.12,0.38,0.13,0.25
32,0.13,0.13,0.5,0.12
33,0.0,0.25,0.38,0.13
34,0.12,0.25,0.25,0.13
35,0.12,0.63,0.63,0.13
36,0.0,0.37,1.5,0.12
37,0.13,0.75,0.25,0.25
38,0.0,3.26,1.12,0.12
39,0.12,5.28,0.5,0.12
40,0.12,4.65,0.37,0.38
41,0.0,1.12,0.88,0.25
42,0.0,0.25,0.62,0.13
43,0.0,0.38,0.25,0.38
44,0.13,0.5,0.88,0.38
45,0.25,0.25,0.25,0.25
46,0.0,0.25,0.5,0.25
47,0.25,0.5,1.13,0.12
48,0.25,0.25,3.02,0.63
49,0.0,0.25,2.51,0.25
50,0.13,0.38,9.36,0.38
51,0.12,0.12,2.25,0.12
52,0.12,0.38,1.75,0.0
53,0.0,1.38,3.03,0.12
54,0.25,2.13,0.62,0.25
55,0.25,1.01,0.62,0.12
56,0.25,6.88,0.5,0.25
57,0.13,0.5,0.63,0.0
58,0.12,0.25,0.63,0.25
59,0.13,0.37,0.5,0.13
60,0.12,0.5,0.25,0.37
61,0.38,0.75,0.12,0.63
62,0.25,0.88,0.25,0.13
63,0.25,0.5,0.25,1.0
64,0.5,2.27,0.25,0.75
65,0.12,5.82,0.13,0.37
66,0.25,0.13,0.25,0.5
67,0.13,0.25,0.5,0.13
68,0.25,0.12,0.38,0.12
69,0.88,0.12,1.5,0.75
70,0.12,0.25,0.25,0.25
71,0.13,0.13,0.25,0.38
72,0.88,0.0,0.12,0.25
73,0.25,1.0,0.0,0.12
74,0.38,0.25,0.12,0.37
75,0.25,0.5,0.0,0.63
76,0.25,0.37,0.25,0.25
77,0.75,0.25,0.13,0.25
78,0.37,0.12,0.25,0.5
79,0.25,0.25,0.62,0.37
80,0.5,0.75,0.12,0.5
81,0.12,0.25,0.5,0.12
82,0.13,0.13,0.5,0.13
83,0.25,0.12,0.38,0.38
84,0.37,0.5,0.75,1.12
85,0.37,0.25,0.75,0.38
86,0.13,0.37,1.01,0.62
87,0.25,0.75,1.26,0.12
88,0.37,0.88,0.5,0.12
89,0.13,0.5,0.38,0.38
90,0.5,0.38,0.5,0.25
91,0.0,0.25,0.13,0.62
92,0.25,0.25,0.12,0.12
93,0.75,0.12,0.63,0.25
94,0.25,0.37,0.13,0.13
95,0.25,0.25,0.62,0.0
96,0.13,0.0,1.0,0.0
97,0.0,0.5,0.5,0.25
98,0.38,5.74,0.5,0.25
99,0.25,1.38,0.88,0.0
100,0.12,8.51,0.38,0.12
101,0.25,8.03,0.5,0.12
102,0.12,1.51,0.62,0.5
103,0.0,1.5,0.25,0.12
104,0.5,1.74,0.25,0.25
105,0.25,0.38,0.25,0.13
106,0.13,1.63,0.38,0.12
107,0.37,1.51,0.38,0.37
108,0.12,0.88,0.25,1.0
109,0.25,1.26,0.37,0.25
110,0.13,1.25,0.76,0.13
111,0.25,1.61,0.37,0.38
112,1.39,11.39,0.13,0.25
113,0.25,1.13,0.25,0.13
114,0.75,0.38,0.25,0.38
115,0.25,0.63,0.38,0.5
116,0.25,0.38,0.25,0.37
117,0.25,0.12,0.13,0.5
118,0.63,0.25,0.63,0.13
119,0.25,1.39,0.38,0.0
120,0.38,0.25,0.38,0.38
121,0.25,1.13,1.62,0.0
122,0.0,2.38,0.25,0.5
123,0.13,0.63,0.38,0.75
124,0.25,6.84,0.25,0.63
125,0.0,0.75,0.12,0.76
126,0.37,3.03,0.62,0.25
127,0.13,14.77,0.25,0.13
128,0.12,1.88,0.0,0.13
129,0.38,4.03,0.38,0.12
130,0.0,2.5,0.38,0.13
131,0.0,1.38,0.63,0.13
132,0.25,0.88,0.37,0.12
133,0.0,0.87,0.13,0.13
134,0.38,0.5,0.5,0.25
135,0.13,0.38,0.38,0.25
136,0.12,0.25,0.13,0.38
137,0.5,0.12,1.12,0.25
138,0.12,0.25,1.25,0.25
139,0.25,0.12,0.25,0.25
140,0.12,0.12,6.19,0.12
141,0.13,0.38,1.75,0.38
142,0.37,0.25,1.88,0.0
143,0.0,0.12,2.64,0.25
144,0.38,0.12,0.75,0.13
145,0.12,0.5,0.25,0.12
146,0.12,0.13,0.88,0.13
147,0.25,0.37,1.25,0.0
148,0.13,0.13,0.63,0.12
149,0.12,0.38,1.25,0.13
150,0.25,0.75,0.63,0.13
151,0.12,0.63,1.13,0.12
152,0.0,0.75,1.87,0.38
153,0.5,0.38,0.38,0.12
154,0.13,0.13,0.0,1.13
155,0.63,0.5,0.13,0.25
156,0.38,1.0,0.38,0.38
157,0.25,0.12,0.12,0.5
158,0.12,0.5,0.25,0.5
159,0.38,0.38,0.5,0.25
160,0.13,0.38,0.12,0.5
161,0.25,0.62,0.75,0.12
162,0.63,0.5,0.13,0.12
163,0.63,0.13,0.25,0.12
164,0.38,0.75,1.63,0.12
165,0.25,0.38,0.25,0.13
166,0.25,0.25,0.38,0.12
167,0.25,0.62,4.12,0.25
168,0.12,6.17,0.25,0.38
169,0.25,0.75,0.25,0.5
170,0.13,0.63,0.5,0.12
171,0.25,0.5,0.88,0.25
172,0.13,0.5,0.38,0.37
173,0.37,3.78,0.5,0.62
174,0.12,3.8,0.25,0.38
175,0.12,3.88,0.25,0.25
176,0.0,1.13,0.5,0.38
177,0.13,0.5,0.25,0.38
178,0.38,2.49,0.38,0.38
179,0.25,1.26,0.75,0.88
180,0.0,0.25,0.12,1.88
181,0.25,0.37,0.5,1.26
182,0.0,0.5,1.13,2.01
183,0.62,0.25,0.13,0.62
184,0.13,0.5,0.75,0.25
185,0.25,0.5,0.88,0.87
186,0.13,0.5,0.25,1.0
187,0.12,0.75,1.62,0.25
188,0.12,0.5,1.25,0.38
189,0.13,2.99,1.13,0.0
190,0.13,2.13,4.14,0.37
191,0.13,2.63,5.5,0.25
192,0.0,6.62,0.75,0.12
193,0.25,10.64,1.25,0.25
194,0.38,0.25,3.76,0.13
195,0.63,2.91,0.38,0.5
196,0.12,0.63,1.51,0.25
197,0.25,0.0,7.58,0.12
198,0.25,0.38,5.09,0.38
199,0.25,0.5,2.62,0.25
200,0.12,0.12,2.01,0.25
201,0.12,1.13,1.13,0.25
202,0.13,0.88,0.12,0.13
203,0.12,0.88,0.75,0.25
204,0.0,0.5,3.26,0.13
205,1.13,0.38,0.75,0.63
206,0.12,0.25,0.5,0.5
207,0.5,0.62,0.5,0.25
208,0.62,0.62,0.88,0.25
209,0.0,4.29,0.5,0.25
210,0.25,12.52,0.75,0.13
211,0.13,1.13,0.5,0.13
212,0.0,1.38,0.5,0.5
213,0.25,2.25,0.37,0.25
214,0.25,0.63,0.12,0.5
215,0.63,1.12,0.37,0.25
216,0.25,7.04,0.13,0.25
217,0.13,4.88,0.12,1.0
218,0.13,1.75,0.25,0.63
219,0.13,2.26,0.37,1.13
220,0.0,6.49,0.12,1.63
221,0.25,3.63,0.5,0.5
222,0.13,4.51,0.37,0.63
223,0.13,0.63,0.38,0.37
224,0.12,1.88,0.38,0.12
225,0.25,6.01,0.13,0.25
226,0.12,0.38,0.38,0.37
227,0.25,0.12,0.75,0.25
228,0.0,2.01,1.12,0.38
229,0.12,0.88,5.88,0.38
230,0.13,12.27,2.89,0.13
231,0.0,0.75,1.13,0.38
232,0.12,0.37,3.51,0.25
233,0.13,0.75,3.43,0.5
234,0.13,0.5,0.38,0.12
235,0.63,0.38,1.75,0.0
236,0.12,0.88,12.17,0.12
237,0.5,0.38,1.0,0.12
238,0.37,0.38,6.98,0.12
239,0.25,0.25,1.63,0.13
240,0.25,0.38,0.5,0.13
241,0.25,0.62,0.38,0.13
242,0.13,1.75,0.63,0.25
243,0.12,0.38,1.76,0.25
244,0.25,0.25,4.14,0.38
245,0.25,2.25,8.29,0.25
246,0.13,3.78,1.26,0.38
247,0.12,3.14,0.25,0.75
248,0.38,4.77,0.62,0.12
249,0.13,1.87,0.25,0.25
250,0.25,0.12,0.63,0.63
251,0.12,0.63,1.99,0.63
252,0.0,0.5,3.01,0.62
253,0.13,0.13,1.01,0.38
254,0.38,0.37,2.26,0.25
255,0.12,0.38,0.63,0.38
256,0.38,0.25,0.63,0.25
257,0.25,1.25,0.88,0.38
258,0.13,0.88,0.13,0.13
259,0.5,1.38,0.25,0.12
260,0.38,6.68,0.25,0.38
261,0.5,3.61,0.0,0.62
262,0.38,1.88,0.25,0.25
263,0.25,1.0,0.25,1.52
264,0.63,0.13,0.25,0.5
265,0.25,0.13,0.38,0.38
266,0.25,0.87,0.12,0.38
267,0.38,0.5,0.25,0.25
268,0.12,1.12,0.12,0.12
269,0.37,2.14,0.12,0.38
270,0.12,0.38,0.25,0.25
271,0.25,1.0,1.13,0.13
272,0.25,0.25,0.25,0.38
273,0.25,0.25,0.25,0.25
274,0.12,0.62,0.37,0.13
275,0.38,0.25,0.13,0.25
276,1.13,0.12,0.13,0.12
277,0.12,0.38,0.62,0.13
278,0.38,2.01,0.5,0.38
279,0.0,2.38,0.13,0.38
280,0.25,6.03,1.51,0.5
281,0.38,0.5,4.41,0.13
282,0.25,0.5,2.52,0.25
283,0.5,1.26,0.12,0.25
284,0.5,0.25,0.38,0.25
285,0.63,0.63,1.13,0.0
286,0.38,0.62,1.12,0.12
287,0.38,0.38,3.0,0.13
288,0.88,0.25,1.51,0.12
289,0.37,0.38,0.5,0.13
290,0.13,0.25,4.91,0.5
291,0.12,0.63,2.89,0.13
292,0.25,0.38,5.85,0.5
293,0.12,0.12,1.63,0.62
294,0.25,0.25,2.13,0.12
295,0.13,0.62,1.26,0.5
296,0.13,0.38,0.5,0.5
297,0.25,1.25,2.89,0.12
298,0.0,1.25,0.63,0.25
299,0.25,0.37,1.26,0.38
300,0.25,5.89,3.89,0.12
301,0.0,1.63,9.33,0.62
302,0.12,0.63,0.63,0.63
303,0.25,7.74,1.0,0.38
304,0.13,4.01,0.5,0.75
305,0.25,2.89,0.38,0.12
306,0.75,3.63,0.5,0.25
307,0.0,0.75,1.0,1.13
308,0.5,0.75,0.37,0.5
309,0.38,0.5,0.13,0.25
310,0.12,0.5,0.25,0.63
311,0.25,0.75,0.5,0.25
312,0.0,0.63,0.38,0.37
313,0.5,0.5,0.5,0.63
314,0.25,0.38,0.75,0.13
315,0.13,0.38,1.12,0.5
316,0.25,0.25,8.71,0.62
317,0.12,0.37,1.88,0.25
318,0.13,0.13,3.5,0.38
319,0.13,0.25,2.36,0.75
320,0.12,0.25,0.75,0.13
321,0.13,0.5,1.25,0.12
322,0.12,0.38,4.52,0.12
323,0.12,0.25,4.26,0.0
324,0.13,0.62,0.63,0.63
325,0.13,0.37,1.38,0.38
326,0.13,0.38,0.5,0.13
327,0.5,1.5,0.75,0.25
328,0.13,0.75,1.01,0.25
329,0.13,0.5,0.25,0.5
330,0.25,5.14,1.37,0.12
331,0.25,1.25,5.85,0.0
332,0.62,0.62,0.38,0.13
333,0.63,0.38,1.13,0.13
334,0.5,0.25,0.87,0.13
335,0.75,0.38,1.0,0.38
336,0.12,0.5,6.19,0.13
337,0.25,0.13,1.64,0.25
338,0.25,0.5,0.87,0.5
339,0.0,0.5,2.53,0.38
340,0.25,0.25,3.27,0.12
341,0.25,1.51,1.0,0.13
342,0.0,3.89,0.38,0.0
343,0.0,5.25,0.38,0.25
344,0.37,8.61,0.38,0.38
345,0.0,0.63,0.38,0.12
346,0.12,0.25,0.13,0.37
347,0.13,3.91,0.25,0.25
348,0.12,1.12,0.62,0.12
349,0.13,0.62,0.13,0.5
350,0.12,1.38,0.38,0.37
351,0.12,0.75,0.63,0.13
352,0.12,0.5,0.62,0.38
353,0.0,1.12,1.38,0.12
354,0.25,0.5,6.36,0.25
355,0.0,0.38,5.91,0.38
356,0.25,0.5,10.5,0.37
357,0.12,0.25,1.0,0.37
358,0.12,0.38,1.5,0.38
359,0.5,0.37,7.08,0.25
360,0.88,0.25,0.75,0.25
361,0.38,0.25,0.38,0.63
362,0.5,0.62,0.5,0.5
363,0.75,0.25,0.37,0.12
364,0.25,0.37,0.5,0.5
365,0.38,0.5,1.37,0.13
366,0.5,0.25,1.38,0.38
367,0.38,0.63,0.25,0.38
368,0.5,0.25,0.75,0.25
369,1.63,0.25,0.25,0.75
370,0.75,0.25,0.25,0.38
371,0.88,0.62,0.38,0.38
372,0.25,0.13,0.12,0.38
373,0.12,0.62,0.88,0.12
374,0.38,6.14,0.5,0.25
375,0.25,2.38,0.75,0.13
376,0.13,4.01,0.62,0.38
377,0.25,0.5,0.5,1.0
378,0.0,0.38,0.5,0.5
379,0.37,0.5,0.38,0.62
380,0.13,0.25,1.13,0.25
381,0.25,0.25,0.38,0.12
382,0.25,0.25,0.75,0.37
383,0.12,0.25,0.63,0.12
384,0.38,0.25,0.38,0.38
385,0.25,0.25,0.63,1.0
386,0.12,0.38,0.62,0.37
387,0.13,0.5,0.87,0.38
388,0.12,0.38,0.63,0.63
389,0.12,0.25,0.25,0.13
390,0.13,0.75,0.25,0.25
391,0.0,0.75,0.38,0.0
392,0.25,1.62,0.0,0.12
393,0.0,7.7,0.25,0.5
394,0.25,4.92,0.25,0.12
395,0.37,3.78,0.13,0.13
396,0.13,1.38,1.25,0.12
397,0.37,0.75,1.38,0.0
398,0.13,6.89,3.42,0.75
399,0.38,15.35,16.35,50.19
