rxkB/s,aceph01,aceph02,aceph03,aceph04
144,14731.1,14068.7,14318.1,13247.8
145,13940.9,13270.1,13767.8,13684.3
146,14183.6,12898.9,13631.6,14026.2
147,14479.0,14134.4,13733.3,13258.6
148,13939.4,13126.4,13158.6,13905.5
149,14887.1,13352.1,13989.0,13866.3
150,14262.4,13461.4,14575.1,13286.2
151,14105.3,13165.7,13008.2,14039.0
152,14221.7,13673.1,13614.2,14023.6
153,14634.1,13799.6,14507.0,13309.5
154,14101.0,12998.2,13192.5,13417.9
155,14291.8,13084.0,13886.6,14259.6
156,14578.9,14055.0,13590.4,13340.7
157,13788.4,13187.3,13490.6,14096.3
158,14654.8,14163.7,13867.9,13980.2
159,13768.2,13859.6,13695.1,13887.2
160,13632.1,12774.6,13743.3,13873.2
161,14837.4,13587.7,14030.4,14605.1
162,13131.9,13762.4,14374.5,14013.5
163,14009.6,13338.7,13569.0,14268.2
164,14793.5,14284.6,14106.2,13915.9
165,14129.3,13664.1,14072.2,13623.5
166,14658.4,13410.7,13100.1,14093.5
167,14932.9,13971.9,13882.7,14099.1
168,14614.1,13304.4,14174.6,13197.9
169,13948.9,13760.6,14190.4,14033.7
170,14334.0,13848.7,13630.3,14042.0
171,13995.6,13277.0,13949.6,14008.8
172,13547.5,13296.5,14091.3,13733.1
173,14646.7,13894.1,13912.6,13039.2
174,13937.4,13173.0,13438.4,14080.4
175,14626.1,14151.6,14101.8,13596.6
176,14865.9,13839.0,13778.9,13557.7
177,13456.4,13445.9,13782.3,13910.5
178,14752.6,14295.1,14103.8,13934.3
179,14646.8,13506.3,13367.3,13415.1
180,13652.1,13401.7,13588.5,13643.2
181,14784.2,13724.8,14109.0,13514.8
182,14024.6,13650.3,13549.6,13679.2
183,14375.5,13682.8,13966.6,13908.4
184,14673.0,13806.2,14228.3,13873.4
185,13950.4,13800.9,13395.2,13737.3
186,14537.0,13485.0,13842.7,13178.1
187,13833.3,13454.4,13982.7,14008.6
188,14281.9,14003.9,13143.6,14050.2
189,14528.4,13288.7,13747.7,13265.3
190,14165.1,13209.6,13437.8,13190.8
191,14123.3,13388.9,13529.2,13323.6
192,13180.4,13067.7,13327.8,13614.0
193,13351.4,12709.8,13055.2,14158.2
194,14519.2,13760.2,13817.5,13736.2
195,13872.4,13202.6,14005.9,13109.0
196,14527.0,13460.1,13351.4,13786.5
197,13185.9,13998.2,13750.1,13741.2
198,14302.8,13589.1,13411.9,13959.8
199,14363.7,13497.7,13618.7,13704.6
200,13942.5,13809.1,13264.6,14042.5
201,14506.5,13463.5,13414.6,13807.5
202,13591.5,13250.4,13656.5,13627.9
203,14294.8,13186.3,13761.9,13858.9
204,14794.8,14026.1,13705.4,14205.4
205,14238.3,13450.2,13917.1,13822.1
206,13918.6,13207.9,13658.8,14268.1
207,14229.6,14090.9,14189.2,14063.2
208,15305.4,13637.0,13835.0,13569.4
209,14225.2,12828.0,13651.8,13831.6
210,14909.5,13323.8,13776.9,13878.0
211,14413.5,13764.9,13628.7,13708.7
212,13370.6,13736.6,13903.7,14252.7
213,14750.7,13778.8,14429.1,13080.7
214,14204.4,13200.0,13410.4,13997.4
215,14005.1,13236.4,13949.3,13778.8
216,14791.5,13825.6,13867.1,13061.1
217,13689.9,12957.0,13802.4,13674.7
218,14912.2,13826.8,13788.5,13887.7
219,14903.9,13897.3,14039.6,13439.7
220,13682.6,13029.0,13647.0,13712.0
221,14735.3,13733.2,13574.9,14396.6
222,13343.8,13641.8,14131.2,13306.1
223,14371.5,13705.2,13956.6,13893.3
224,14481.2,13961.9,13598.6,13485.3
225,13955.2,13286.5,13583.1,13354.8
226,14631.5,13661.6,12961.1,13907.3
227,13707.6,14248.6,13449.7,13864.2
228,14302.5,12842.8,13151.3,14298.9
229,13927.4,13453.2,13953.0,13322.8
230,14436.3,13064.8,13222.5,13659.3
231,14518.0,14129.0,13423.8,13734.7
232,13604.9,13975.4,14179.4,14168.2
233,14583.3,13641.5,13996.2,14240.5
234,14315.6,13890.5,13956.4,13943.7
235,13946.9,13087.5,13584.3,13611.9
236,14521.7,13140.6,13163.4,13719.9
237,14057.9,13342.5,13267.4,13346.4
238,13989.4,13361.5,13472.6,13743.7
239,14562.8,13912.7,14021.6,13605.1
240,14113.2,13436.2,13925.4,13164.0
241,13777.6,12789.0,13254.1,14063.4
242,13773.1,13435.7,13616.0,14168.6
243,14745.4,14562.3,14078.5,13413.5
244,13659.6,13259.7,13295.5,14017.9
