kbcommit,aceph01,aceph02,aceph03,aceph04
0,27661432.0,26855984.0,27182884.0,27853440.0
1,27989664.0,27149256.0,27458408.0,27965992.0
2,28105508.0,27346688.0,27639288.0,27996984.0
3,28203984.0,27361736.0,27718408.0,28057132.0
4,28269448.0,27423932.0,27711688.0,28057696.0
5,28248972.0,27414928.0,27793260.0,28072544.0
6,28267824.0,27429108.0,27758024.0,28105284.0
7,28225624.0,27477732.0,27713960.0,28088060.0
8,28275120.0,27425140.0,27762672.0,28103416.0
9,28255252.0,27491032.0,27738744.0,28136764.0
10,28267952.0,27469868.0,27722844.0,28083476.0
11,28278308.0,27447628.0,27755572.0,28096516.0
12,28291084.0,27475748.0,27713384.0,28096516.0
13,28286580.0,27471644.0,27770956.0,28086516.0
14,28277084.0,27430164.0,27803428.0,28102708.0
15,28276884.0,27454652.0,27800112.0,28080924.0
16,28318688.0,27505144.0,27760956.0,28088212.0
17,28258112.0,27483768.0,27795496.0,28101768.0
18,28289836.0,27434948.0,27772408.0,28111376.0
19,28283216.0,27480916.0,27763348.0,28085284.0
20,28258756.0,27476896.0,27779480.0,28097192.0
21,28289044.0,27415960.0,27742948.0,28078004.0
22,28254792.0,27464712.0,27770372.0,28106448.0
23,28265000.0,27458852.0,27770372.0,28087056.0
24,28298184.0,27443060.0,27781068.0,28050716.0
25,28297956.0,27453248.0,27775844.0,28067096.0
26,28313076.0,27428904.0,27789128.0,28099892.0
27,28274032.0,27406260.0,27729256.0,28058564.0
28,28270980.0,27456372.0,27737780.0,28141784.0
29,28303284.0,27484356.0,27733976.0,28109744.0
30,28283112.0,27447344.0,27743592.0,28067272.0
31,28294976.0,27446900.0,27804124.0,28063344.0
32,28277296.0,27446900.0,27765304.0,28063344.0
33,28306804.0,27434600.0,27765304.0,28086764.0
34,28301652.0,27467612.0,27781248.0,28098508.0
35,28281576.0,27451228.0,27776440.0,28059760.0
36,28251860.0,27427176.0,27752420.0,28141056.0
37,28316692.0,27460980.0,27785076.0,28116456.0
38,28290324.0,27431364.0,27775136.0,28105548.0
39,28323584.0,27404112.0,27774120.0,28101384.0
40,28287724.0,27431172.0,27790356.0,28098964.0
41,28304228.0,27447656.0,27785504.0,28049816.0
42,28304228.0,27476136.0,27727576.0,28082732.0
43,28295280.0,27492544.0,27809372.0,28080472.0
44,28326016.0,27465220.0,27804816.0,28061200.0
45,28281996.0,27437372.0,27762556.0,28094220.0
46,28276824.0,27449380.0,27795608.0,28054592.0
47,28292964.0,27449168.0,27740972.0,28102300.0
48,28262048.0,27457360.0,27780500.0,28081656.0
49,28346220.0,27473496.0,27795232.0,28091288.0
50,28299904.0,27490160.0,27776284.0,28108448.0
51,28299824.0,27491256.0,27791824.0,28116552.0
52,28310708.0,27508056.0,27767376.0,28109712.0
53,28310708.0,27483092.0,27767232.0,28098424.0
54,28286124.0,27486832.0,27766040.0,28061356.0
55,28302212.0,27449500.0,27814828.0,28088900.0
56,28262228.0,27465092.0,27774456.0,28061560.0
57,28293992.0,27422140.0,27752028.0,28089528.0
58,28310320.0,27485536.0,27750044.0,28138136.0
59,28286568.0,27449452.0,27763432.0,28119224.0
60,28258928.0,27444404.0,27753568.0,28115244.0
61,28258928.0,27486796.0,27770128.0,28096908.0
62,28248160.0,27485292.0,27786268.0,28075412.0
63,28282000.0,27476436.0,27802356.0,28086552.0
64,28262344.0,27476392.0,27800644.0,28080080.0
65,28284600.0,27483156.0,27771088.0,28068632.0
66,28317320.0,27462048.0,27750212.0,28102632.0
67,28300940.0,27494672.0,27760680.0,28064724.0
68,28299624.0,27415176.0,27788572.0,28095612.0
69,28288648.0,27457612.0,27783496.0,28112140.0
70,28283240.0,27490332.0,27779272.0,28104856.0
71,28299752.0,27454708.0,27807976.0,28130892.0
72,28260288.0,27467356.0,27820500.0,28113804.0
73,28257568.0,27496732.0,27733796.0,28073020.0
74,28322348.0,27473668.0,27776712.0,28102776.0
75,28286712.0,27455816.0,27793164.0,28097460.0
76,28298588.0,27432144.0,27742688.0,28089716.0
77,28298112.0,27473644.0,27723016.0,28096716.0
78,28293100.0,27455408.0,27787716.0,28079012.0
79,28290504.0,27447748.0,27746068.0,28071388.0
80,28271512.0,27496304.0,27738156.0,28100552.0
81,28303876.0,27476616.0,27786780.0,28115420.0
82,28301400.0,27455420.0,27725044.0,28088288.0
83,28282400.0,27471532.0,27750472.0,28104440.0
84,28289208.0,27452804.0,27729028.0,28073960.0
85,28267296.0,27460224.0,27759220.0,28099740.0
86,28280736.0,27476348.0,27824440.0,28099740.0
87,28296868.0,27438312.0,27753496.0,28072992.0
88,28230320.0,27447332.0,27763664.0,28087548.0
89,28277996.0,27480040.0,27791360.0,28075048.0
90,28268848.0,27460468.0,27769612.0,28086700.0
91,28255980.0,27454864.0,27787584.0,28115860.0
92,28266628.0,27471144.0,27800320.0,28110440.0
93,28316296.0,27484284.0,27764240.0,28069412.0
94,28290580.0,27500320.0,27791816.0,28069412.0
95,28290612.0,27478440.0,27802976.0,28097840.0
96,28270528.0,27487236.0,27743684.0,28127204.0
97,28282332.0,27487236.0,27766392.0,28127204.0
98,28277020.0,27457320.0,27760352.0,28079168.0
99,28255872.0,27465704.0,27755320.0,28074124.0
100,28288296.0,27461556.0,27767044.0,28046532.0
101,28267692.0,27479680.0,27745456.0,28089976.0
102,28270644.0,27461008.0,27743112.0,28106248.0
103,28282176.0,27474516.0,27756056.0,28089920.0
104,28298272.0,27448656.0,27772896.0,28112124.0
105,28277644.0,27457732.0,27768652.0,28049992.0
106,28326760.0,27483756.0,27818104.0,28058296.0
107,28314704.0,27461596.0,27765772.0,28107516.0
108,28308504.0,27476932.0,27776220.0,28089200.0
109,28288852.0,27476912.0,27776480.0,28098632.0
110,28283372.0,27433472.0,27762228.0,28112864.0
111,28297680.0,27475664.0,27789072.0,28094660.0
112,28235104.0,27489912.0,27788584.0,28108020.0
113,28273872.0,27430972.0,27754404.0,28070064.0
114,28289764.0,27441888.0,27787708.0,28069868.0
115,28285608.0,27474276.0,27743368.0,28093620.0
116,28233108.0,27481940.0,27734980.0,28087052.0
117,28296848.0,27479356.0,27784148.0,28087052.0
118,28257952.0,27495432.0,27799064.0,28094536.0
119,28270336.0,27475148.0,27759176.0,28092316.0
120,28302876.0,27487592.0,27788656.0,28070552.0
121,28280616.0,27487592.0,27764700.0,28056856.0
122,28274972.0,27458940.0,27758724.0,28089844.0
123,28324732.0,27454944.0,27791420.0,28058788.0
124,28274152.0,27487524.0,27783372.0,28085836.0
125,28302764.0,27477284.0,27783736.0,28085268.0
126,28281052.0,27500796.0,27800188.0,28095584.0
127,28277212.0,27466276.0,27762656.0,28073656.0
128,28293444.0,27479140.0,27804628.0,28069996.0
129,28272228.0,27469080.0,27803300.0,28085116.0
130,28298256.0,27464632.0,27791256.0,28080204.0
131,28296176.0,27457848.0,27769796.0,28060148.0
132,28260072.0,27457328.0,27768168.0,28088848.0
133,28286956.0,27486712.0,27759772.0,28079648.0
134,28286912.0,27431844.0,27775848.0,28070788.0
135,28240896.0,27416360.0,27789068.0,28103928.0
136,28289568.0,27449424.0,27762440.0,28097384.0
137,28248244.0,27429488.0,27759412.0,28057408.0
138,28278088.0,27494528.0,27737320.0,28105792.0
139,28278088.0,27457652.0,27749484.0,28088360.0
140,28287456.0,27522568.0,27765656.0,28079616.0
141,28303596.0,27485512.0,27745180.0,28095716.0
142,28271668.0,27501628.0,27753148.0,28069376.0
143,28262868.0,27500660.0,27765680.0,28085692.0
144,28279148.0,27481788.0,27797860.0,28083384.0
145,28307416.0,27478512.0,27790616.0,28116060.0
146,28302636.0,27473356.0,27807012.0,28095724.0
147,28271284.0,27473356.0,27770652.0,28110240.0
148,28266052.0,27476580.0,27757112.0,28107984.0
149,28298656.0,27491484.0,27772928.0,28049692.0
150,28257536.0,27491484.0,27770964.0,28110256.0
151,28316588.0,27469976.0,27770732.0,28126056.0
152,28294864.0,27486612.0,27799072.0,28073020.0
153,28278792.0,27464652.0,27811572.0,28102580.0
154,28288764.0,27457488.0,27787100.0,28081988.0
155,28270992.0,27488100.0,27820836.0,28077084.0
156,28263908.0,27467864.0,27795572.0,28085452.0
157,28260608.0,27457660.0,27767472.0,28083236.0
158,28260608.0,27452864.0,27816508.0,28114900.0
159,28289228.0,27460472.0,27769872.0,28111272.0
160,28280760.0,27458164.0,27802740.0,28094096.0
161,28259996.0,27471020.0,27802740.0,28086940.0
162,28271752.0,27430608.0,27772484.0,28102640.0
163,28288048.0,27443684.0,27764484.0,28096864.0
164,28266340.0,27476068.0,27764484.0,28113032.0
165,28281548.0,27469724.0,27739528.0,28088840.0
166,28297704.0,27424096.0,27774064.0,28061136.0
167,28249444.0,27472992.0,27768056.0,28090468.0
168,28261948.0,27418548.0,27766276.0,28069836.0
169,28275500.0,27484024.0,27747648.0,28058920.0
170,28283488.0,27469040.0,27780420.0,28118676.0
171,28278564.0,27446408.0,27790728.0,28097956.0
172,28292316.0,27418364.0,27807304.0,28052648.0
173,28227128.0,27466756.0,27771008.0,28077408.0
174,28270300.0,27457740.0,27815772.0,28093788.0
175,28286280.0,27490628.0,27815772.0,28109940.0
176,28265828.0,27447228.0,27771960.0,28105584.0
177,28314464.0,27457788.0,27801764.0,28065740.0
178,28274648.0,27490272.0,27801764.0,28082464.0
179,28285036.0,27483520.0,27801836.0,28127084.0
180,28317332.0,27445244.0,27814264.0,28077412.0
181,28297480.0,27478532.0,27809276.0,28074032.0
182,28268184.0,27478532.0,27768704.0,28107444.0
183,28266804.0,27486772.0,27764168.0,28102204.0
184,28296116.0,27487488.0,27776948.0,28083792.0
185,28289748.0,27441340.0,27751232.0,28083792.0
186,28286804.0,27474256.0,27796624.0,28077588.0
187,28298524.0,27449804.0,27792624.0,28090732.0
188,28278852.0,27480832.0,27772828.0,28106976.0
189,28269128.0,27475792.0,27782484.0,28086060.0
190,28281864.0,27506696.0,27779168.0,28086384.0
191,28314816.0,27482136.0,27772940.0,28065712.0
192,28289100.0,27459380.0,27771100.0,28098496.0
193,28284880.0,27433856.0,27787548.0,28079020.0
194,28281280.0,27463256.0,27780420.0,28085772.0
195,28260368.0,27496128.0,27779192.0,28101956.0
196,28305844.0,27473628.0,27756396.0,28100488.0
197,28321872.0,27466876.0,27772680.0,28084596.0
198,28300132.0,27482956.0,27755768.0,28100668.0
199,28277964.0,27455760.0,27750808.0,28092036.0
200,28290268.0,27468692.0,27815808.0,28105164.0
201,28300028.0,27485224.0,27796124.0,28088160.0
202,28295132.0,27467912.0,27790540.0,28101296.0
203,28293372.0,27495624.0,27822908.0,28082544.0
204,28279980.0,27474380.0,27782388.0,28096048.0
205,28263836.0,27443308.0,27736196.0,28110168.0
206,28280008.0,27453540.0,27742816.0,28110168.0
207,28308044.0,27450408.0,27737840.0,28122368.0
208,28252916.0,27481940.0,27765344.0,28131088.0
209,28285500.0,27433636.0,27743484.0,28106332.0
210,28285892.0,27466080.0,27740084.0,28123092.0
211,28258200.0,27452452.0,27769352.0,28086904.0
212,28266780.0,27465840.0,27783108.0,28067940.0
213,28279476.0,27464360.0,27764752.0,28083664.0
214,28294732.0,27441672.0,27753456.0,28116200.0
215,28310876.0,27468496.0,27748912.0,28056472.0
216,28264296.0,27468356.0,27732396.0,28106056.0
