kbcommit,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,148564.0,146824.0,146764.0,146628.0,146532.0,146876.0,146704.0,146632.0,147160.0,146624.0,146436.0,146468.0,146600.0,146896.0,147376.0,146644.0,146572.0,146536.0,146792.0,146444.0,146876.0,146440.0,146556.0,146596.0,146448.0,146424.0,146516.0,146452.0,146824.0,146596.0,146600.0,146660.0,146448.0,146576.0,146508.0,146800.0,146780.0,146764.0,146596.0,146548.0,146452.0,146600.0,146992.0,146628.0,146596.0,146596.0,146452.0,146596.0,146748.0,146724.0,146596.0,146568.0,146628.0,146756.0,146600.0,146672.0,146636.0,146996.0,147176.0,146720.0,146588.0,146708.0,146588.0,146688.0,146896.0,146868.0,146448.0,146620.0,146848.0,146864.0,146640.0,146800.0,146640.0,146868.0,146528.0,146424.0,146572.0,146988.0,146596.0,147000.0,146684.0,147248.0,146896.0,146960.0,147376.0,146544.0,146536.0,146488.0,147164.0,146760.0,146632.0,147000.0,146976.0,147144.0,146360.0,146684.0,146996.0,147356.0,147500.0,147000.0,146440.0,146580.0,146828.0,147044.0,147060.0,146700.0,146644.0,146620.0,147036.0,146652.0,146896.0,146808.0,146484.0,146596.0,146864.0,146596.0,146548.0,146332.0,146464.0,146536.0,146500.0,146560.0,146596.0,146440.0,146784.0,146500.0,146556.0,146600.0,146888.0,146804.0,146612.0,146996.0,146656.0,146588.0,146548.0,146960.0,146720.0,146328.0,146860.0,146888.0
1,148564.0,146824.0,146764.0,146628.0,146532.0,146876.0,146704.0,146632.0,147160.0,146624.0,146436.0,146468.0,146600.0,146896.0,147376.0,146644.0,146572.0,146536.0,146792.0,146444.0,146876.0,146440.0,146556.0,146596.0,146448.0,146424.0,146516.0,146452.0,146824.0,146596.0,146600.0,146660.0,146448.0,146576.0,146508.0,146800.0,146780.0,146764.0,146596.0,146548.0,146452.0,146600.0,146992.0,146628.0,146596.0,146596.0,146452.0,146596.0,146748.0,146724.0,146596.0,146568.0,146628.0,146756.0,146600.0,146672.0,146636.0,146996.0,147176.0,146720.0,146588.0,146708.0,146588.0,146688.0,146896.0,146868.0,146448.0,146620.0,146848.0,146864.0,146640.0,146800.0,146640.0,146868.0,146528.0,146424.0,146572.0,146988.0,146596.0,147000.0,146684.0,147248.0,146896.0,146960.0,146992.0,146544.0,146536.0,146488.0,147164.0,146760.0,146632.0,147000.0,146976.0,147144.0,146360.0,146684.0,146996.0,147356.0,147500.0,147000.0,146440.0,146580.0,146828.0,147044.0,146672.0,146700.0,146644.0,146620.0,147036.0,146652.0,146896.0,146808.0,146484.0,146596.0,146864.0,146596.0,146548.0,146332.0,146464.0,146536.0,146500.0,146560.0,146596.0,146440.0,146784.0,146500.0,146556.0,146600.0,146888.0,146804.0,146612.0,146996.0,146656.0,146588.0,146548.0,146960.0,146720.0,146328.0,146860.0,146504.0
2,148564.0,146824.0,146764.0,146628.0,146532.0,146876.0,146704.0,146632.0,147160.0,146624.0,146436.0,146468.0,146600.0,146896.0,147376.0,146644.0,146572.0,146536.0,146792.0,146444.0,146876.0,146440.0,146556.0,146596.0,146448.0,146424.0,146516.0,146452.0,146824.0,146596.0,146600.0,146660.0,146448.0,146576.0,146508.0,146800.0,146780.0,146764.0,146596.0,146548.0,146452.0,146600.0,146992.0,146628.0,146596.0,146596.0,146452.0,146596.0,146748.0,146724.0,146596.0,146568.0,146628.0,146756.0,146600.0,146672.0,146636.0,146996.0,147176.0,146720.0,146588.0,146708.0,146588.0,146688.0,146896.0,146868.0,146448.0,146620.0,146848.0,146864.0,146640.0,146800.0,146640.0,146868.0,146528.0,146424.0,146572.0,146988.0,146596.0,147000.0,146684.0,147248.0,146896.0,146960.0,146992.0,146544.0,146536.0,146488.0,147164.0,146760.0,146632.0,147000.0,146976.0,146756.0,146360.0,146684.0,146996.0,147356.0,147500.0,147000.0,146440.0,146580.0,146828.0,147044.0,146672.0,146700.0,146644.0,146620.0,147036.0,146652.0,146896.0,146808.0,146484.0,146596.0,146864.0,146596.0,146548.0,146332.0,146464.0,146536.0,146500.0,146560.0,146596.0,146440.0,146784.0,146500.0,146556.0,146600.0,146888.0,146804.0,146612.0,146996.0,146656.0,146588.0,146548.0,146572.0,146720.0,146328.0,146860.0,146504.0
3,148564.0,146824.0,146764.0,146628.0,146532.0,146876.0,146704.0,146632.0,147160.0,146624.0,146436.0,146468.0,146600.0,146896.0,147376.0,146644.0,146572.0,146536.0,146792.0,146444.0,146876.0,146440.0,146556.0,146596.0,146448.0,146424.0,146516.0,146452.0,146824.0,146596.0,146600.0,146660.0,146448.0,146576.0,146508.0,146800.0,146780.0,146764.0,146596.0,146548.0,146452.0,146600.0,146992.0,146628.0,146596.0,146596.0,146452.0,146596.0,146748.0,146724.0,146596.0,146568.0,146628.0,146756.0,146600.0,146672.0,146636.0,146996.0,147176.0,146720.0,146588.0,146708.0,146588.0,146688.0,146896.0,146868.0,146448.0,146620.0,146848.0,146864.0,146640.0,146800.0,146640.0,146868.0,146528.0,146424.0,146572.0,146988.0,146596.0,147000.0,146684.0,147248.0,146896.0,146960.0,146992.0,146544.0,146536.0,146488.0,147164.0,146760.0,146632.0,147000.0,146976.0,146756.0,146360.0,146684.0,146996.0,147356.0,147112.0,147000.0,146440.0,146580.0,146828.0,147044.0,146672.0,146700.0,146644.0,146620.0,147036.0,146652.0,146896.0,146808.0,146484.0,146596.0,146864.0,146596.0,146548.0,146332.0,146464.0,146536.0,146500.0,146560.0,146596.0,146440.0,146784.0,146500.0,146556.0,146600.0,146888.0,146804.0,146612.0,146996.0,146656.0,146588.0,146548.0,146572.0,146720.0,146328.0,146472.0,146504.0
4,148564.0,146824.0,146764.0,146628.0,146532.0,146876.0,146704.0,146632.0,147160.0,146624.0,146436.0,146468.0,146600.0,146896.0,147376.0,146644.0,146572.0,146536.0,146792.0,146444.0,146876.0,146440.0,146556.0,146596.0,146448.0,146424.0,146516.0,146452.0,146824.0,146596.0,146600.0,146660.0,146448.0,146576.0,146508.0,146800.0,146780.0,146764.0,146596.0,146548.0,146452.0,146600.0,146992.0,146628.0,146596.0,146596.0,146452.0,146596.0,146748.0,146724.0,146596.0,146568.0,146628.0,146756.0,146600.0,146672.0,146636.0,146996.0,147176.0,146720.0,146588.0,146708.0,146588.0,146688.0,146896.0,146868.0,146448.0,146620.0,146848.0,146864.0,146640.0,146800.0,146640.0,146868.0,146528.0,146424.0,146572.0,146988.0,146596.0,147000.0,146684.0,147248.0,146896.0,146960.0,146992.0,146544.0,146536.0,146488.0,147164.0,146760.0,146632.0,147000.0,146976.0,146756.0,146360.0,146684.0,146996.0,147356.0,147112.0,147000.0,146440.0,146580.0,146828.0,147044.0,146672.0,146700.0,146644.0,146620.0,147036.0,146652.0,146896.0,146808.0,146484.0,146596.0,146864.0,146596.0,146548.0,146332.0,146464.0,146536.0,146500.0,146560.0,146596.0,146440.0,146784.0,146500.0,146556.0,146600.0,146888.0,146804.0,146612.0,146996.0,146656.0,146588.0,146548.0,146572.0,146720.0,146328.0,146472.0,146504.0
5,148564.0,146824.0,146764.0,146628.0,146532.0,146876.0,171972.0,146632.0,147160.0,151164.0,146436.0,146468.0,146600.0,146896.0,147376.0,146644.0,146572.0,146536.0,146792.0,146444.0,146876.0,146440.0,146556.0,146600.0,146448.0,146424.0,146512.0,146452.0,146824.0,146596.0,146600.0,146660.0,146444.0,146576.0,146508.0,146800.0,146780.0,146764.0,146596.0,146548.0,146452.0,151656.0,151916.0,146628.0,146596.0,146596.0,146452.0,146596.0,146748.0,146724.0,146596.0,146568.0,146628.0,146756.0,146600.0,146672.0,146636.0,146996.0,147180.0,146720.0,146588.0,146708.0,146588.0,146688.0,146896.0,146868.0,146452.0,146616.0,150692.0,146864.0,146640.0,146800.0,146640.0,146868.0,146528.0,146424.0,146572.0,146988.0,146596.0,147000.0,146684.0,147248.0,151436.0,152448.0,150836.0,151604.0,151464.0,151548.0,152088.0,146760.0,146632.0,147000.0,146976.0,150472.0,146360.0,146684.0,146996.0,147356.0,147112.0,147000.0,146440.0,146580.0,146828.0,152100.0,151912.0,146700.0,146644.0,146620.0,147036.0,146652.0,151824.0,146808.0,146484.0,146596.0,146864.0,146596.0,146548.0,146332.0,146464.0,146536.0,150344.0,151620.0,146596.0,146440.0,146784.0,146500.0,146556.0,146600.0,146884.0,146804.0,146612.0,146996.0,146656.0,146588.0,146544.0,146572.0,146332.0,146328.0,146472.0,146504.0
6,148564.0,146824.0,146764.0,146628.0,146532.0,146876.0,146704.0,146632.0,147160.0,146624.0,146436.0,146468.0,146600.0,146896.0,146996.0,146644.0,146572.0,146536.0,146792.0,146444.0,168300.0,146440.0,146556.0,146600.0,146448.0,146424.0,146512.0,146452.0,146824.0,146596.0,146596.0,170032.0,146444.0,146572.0,146508.0,146800.0,146776.0,146760.0,146596.0,146548.0,146452.0,146600.0,146992.0,146628.0,146596.0,146596.0,146452.0,146596.0,146748.0,146724.0,146596.0,146568.0,146628.0,146756.0,146600.0,146672.0,146636.0,150836.0,147180.0,146720.0,146588.0,146708.0,146588.0,146688.0,146896.0,146864.0,146452.0,146616.0,146852.0,146864.0,146644.0,146800.0,146640.0,146868.0,146528.0,146424.0,146572.0,146992.0,146596.0,152060.0,146680.0,151788.0,146896.0,146960.0,146996.0,146544.0,146540.0,146488.0,147164.0,151456.0,151328.0,147000.0,150824.0,146764.0,146360.0,146684.0,151536.0,152464.0,151656.0,152284.0,151512.0,151872.0,152120.0,147044.0,146680.0,151984.0,151336.0,150456.0,146656.0,151344.0,146904.0,146808.0,146484.0,146596.0,146864.0,146596.0,146548.0,146332.0,150440.0,151832.0,146500.0,146560.0,150440.0,146436.0,146784.0,146500.0,146556.0,146600.0,146884.0,146804.0,146612.0,146992.0,146660.0,146596.0,146544.0,146564.0,150184.0,146328.0,151016.0,151632.0
7,148564.0,146824.0,146764.0,146628.0,146532.0,146876.0,146704.0,146632.0,147160.0,146624.0,146440.0,146468.0,146600.0,146896.0,146996.0,146644.0,146572.0,146536.0,146792.0,146444.0,146876.0,146440.0,146556.0,146596.0,146448.0,146424.0,146512.0,146452.0,146824.0,146596.0,146596.0,146660.0,146444.0,146572.0,146508.0,146804.0,146776.0,146760.0,146596.0,146548.0,146452.0,146596.0,146992.0,146628.0,146596.0,146596.0,146452.0,146596.0,146748.0,146724.0,146600.0,146568.0,146628.0,146756.0,146600.0,146672.0,146636.0,146996.0,147180.0,146720.0,146588.0,146708.0,146588.0,146688.0,146896.0,146864.0,146448.0,146616.0,146848.0,146864.0,146644.0,146800.0,146640.0,146868.0,146528.0,146424.0,146572.0,146992.0,146596.0,147000.0,146684.0,147248.0,146896.0,146960.0,146996.0,146544.0,146540.0,146488.0,147164.0,146760.0,146632.0,147000.0,146976.0,146764.0,146360.0,146684.0,146996.0,146976.0,147116.0,146996.0,146440.0,146576.0,146824.0,147044.0,146680.0,146700.0,146644.0,146620.0,146656.0,146652.0,146904.0,146808.0,146484.0,146596.0,146864.0,146596.0,146548.0,146332.0,146464.0,146536.0,146500.0,146560.0,146596.0,146440.0,146784.0,146504.0,146556.0,146600.0,146888.0,146804.0,146612.0,146992.0,146660.0,146596.0,146548.0,146564.0,146336.0,146328.0,146480.0,146512.0
8,148564.0,146824.0,146764.0,146628.0,146532.0,146876.0,146704.0,146632.0,147160.0,146624.0,146440.0,146468.0,146600.0,146896.0,146996.0,146644.0,146576.0,146536.0,146792.0,146444.0,146876.0,146440.0,146560.0,146596.0,146448.0,146428.0,146512.0,146452.0,146824.0,146596.0,146596.0,146660.0,146444.0,146572.0,146508.0,146804.0,146776.0,146760.0,146596.0,146548.0,146452.0,146596.0,146992.0,146628.0,146596.0,146596.0,146452.0,146596.0,146748.0,146724.0,146600.0,146568.0,146628.0,146756.0,146600.0,146672.0,146636.0,146996.0,147180.0,146720.0,146588.0,146712.0,146588.0,146688.0,146896.0,146864.0,146448.0,146616.0,146848.0,146868.0,146644.0,146800.0,146640.0,146868.0,146528.0,146424.0,146572.0,146992.0,146596.0,147000.0,146684.0,147248.0,146896.0,146960.0,146996.0,146544.0,146540.0,146488.0,147164.0,146760.0,146632.0,147000.0,146976.0,146764.0,146360.0,146684.0,146996.0,146980.0,147120.0,146996.0,146440.0,146576.0,146828.0,147044.0,146680.0,146700.0,146644.0,146620.0,146656.0,146652.0,146904.0,146808.0,146484.0,146596.0,146864.0,146596.0,146548.0,146332.0,146464.0,146536.0,146500.0,146560.0,146596.0,146440.0,146784.0,146504.0,146560.0,146600.0,146888.0,146804.0,146612.0,146996.0,146664.0,146596.0,146548.0,146564.0,146336.0,146328.0,146480.0,146508.0
9,148564.0,146824.0,146764.0,146628.0,146532.0,146876.0,146704.0,146632.0,147160.0,146624.0,146440.0,146468.0,146600.0,146896.0,146996.0,146644.0,146576.0,146536.0,146792.0,146444.0,146876.0,146440.0,146560.0,146596.0,146448.0,146428.0,146512.0,146452.0,146824.0,146596.0,146596.0,146660.0,146444.0,146572.0,146508.0,146804.0,146776.0,146760.0,146596.0,146548.0,146452.0,146596.0,146992.0,146628.0,146596.0,146596.0,146452.0,146596.0,146748.0,146724.0,146600.0,146568.0,146628.0,146756.0,146600.0,146672.0,146636.0,146996.0,147180.0,146720.0,146588.0,146712.0,146588.0,146688.0,146896.0,146864.0,146448.0,146616.0,146848.0,146868.0,146644.0,146800.0,146640.0,146868.0,146528.0,146424.0,146572.0,146992.0,146596.0,147000.0,146684.0,147248.0,146896.0,146960.0,146996.0,146544.0,146540.0,146488.0,147164.0,146760.0,146632.0,147000.0,146976.0,146764.0,146360.0,146684.0,146996.0,146980.0,147120.0,146996.0,146440.0,146576.0,146828.0,147044.0,146680.0,146700.0,146644.0,146620.0,146656.0,146652.0,146904.0,146808.0,146484.0,146596.0,146864.0,146596.0,146548.0,146332.0,146464.0,146536.0,146500.0,146560.0,146596.0,146440.0,146784.0,146504.0,146560.0,146600.0,146888.0,146804.0,146612.0,146996.0,146664.0,146596.0,146548.0,146564.0,146336.0,146328.0,146480.0,146508.0
