%commit,aceph01,aceph02,aceph03,aceph04
176,42.54,41.31,41.8,42.3
177,42.61,41.32,41.84,42.24
178,42.55,41.37,41.84,42.26
179,42.57,41.36,41.84,42.33
180,42.62,41.31,41.86,42.26
181,42.59,41.36,41.85,42.25
182,42.54,41.36,41.79,42.3
183,42.54,41.37,41.79,42.29
184,42.59,41.37,41.81,42.27
185,42.58,41.3,41.77,42.27
186,42.57,41.35,41.83,42.26
187,42.59,41.31,41.83,42.28
188,42.56,41.36,41.8,42.3
189,42.55,41.35,41.81,42.27
190,42.57,41.4,41.81,42.27
191,42.61,41.36,41.8,42.24
192,42.58,41.33,41.8,42.29
193,42.57,41.29,41.82,42.26
194,42.56,41.33,41.81,42.27
195,42.53,41.38,41.81,42.29
196,42.6,41.35,41.77,42.29
197,42.63,41.34,41.8,42.27
198,42.59,41.36,41.77,42.29
199,42.56,41.32,41.77,42.28
200,42.58,41.34,41.86,42.3
201,42.59,41.37,41.83,42.27
202,42.58,41.34,41.83,42.29
203,42.58,41.38,41.87,42.27
204,42.56,41.35,41.81,42.29
205,42.54,41.3,41.74,42.31
206,42.56,41.32,41.75,42.31
207,42.6,41.31,41.75,42.32
208,42.52,41.36,41.79,42.34
209,42.57,41.29,41.75,42.3
210,42.57,41.34,41.75,42.33
211,42.53,41.32,41.79,42.27
212,42.54,41.34,41.81,42.24
213,42.56,41.33,41.79,42.27
214,42.58,41.3,41.77,42.32
215,42.61,41.34,41.76,42.23
216,42.54,41.34,41.74,42.3
217,42.59,41.28,41.84,42.29
218,42.59,41.33,41.85,42.26
219,42.53,41.3,41.82,42.29
220,42.6,41.35,41.84,42.31
221,42.54,41.36,41.81,42.25
222,42.58,41.33,41.8,42.22
223,42.63,41.37,41.8,42.26
224,42.55,41.37,41.82,42.21
225,42.54,41.34,41.79,42.29
226,42.61,41.36,41.86,42.28
227,42.58,41.33,41.81,42.24
228,42.58,41.33,41.8,42.27
229,42.58,41.37,41.77,42.27
230,42.55,41.34,41.76,42.31
231,42.63,41.36,41.83,42.33
232,42.6,41.3,41.82,42.33
233,42.59,41.37,41.81,42.32
234,42.62,41.35,41.77,42.33
235,42.59,41.28,41.81,42.3
236,42.55,41.31,41.82,42.3
237,42.55,41.33,41.81,42.29
238,42.55,41.34,41.85,42.28
239,42.57,41.37,41.85,42.3
240,42.57,41.32,41.84,42.31
241,42.54,41.32,41.88,42.34
242,42.54,41.34,41.8,42.27
243,42.56,41.33,41.79,42.29
244,42.6,41.32,41.78,42.28
245,42.59,41.42,41.85,42.22
246,42.56,41.33,41.82,42.29
247,42.6,41.36,41.84,42.29
248,42.57,41.36,41.84,42.28
249,42.56,41.31,41.83,42.31
250,42.56,41.31,41.83,42.3
251,42.53,41.32,41.85,42.24
252,42.57,41.39,41.82,42.29
253,42.58,41.38,41.78,42.29
254,42.54,41.35,41.83,42.26
255,42.56,41.35,41.79,42.28
256,42.5,41.34,41.84,42.28
257,42.56,41.31,41.8,42.32
258,42.59,41.31,41.79,42.3
259,42.52,41.31,41.81,42.23
260,42.56,41.36,41.79,42.28
261,42.58,41.32,41.8,42.27
262,42.53,41.31,41.8,42.26
263,42.55,41.33,41.76,42.28
264,42.55,41.32,41.83,42.35
265,42.57,41.31,41.82,42.37
266,42.55,41.39,41.78,42.31
267,42.51,41.32,41.83,42.27
268,42.56,41.34,41.85,42.32
269,42.57,41.29,41.79,42.29
270,42.5,41.26,41.81,42.28
271,42.57,41.33,41.79,42.3
272,42.61,41.35,41.75,42.27
273,42.59,41.31,41.77,42.31
274,42.58,41.36,41.77,42.28
275,42.6,41.35,41.84,42.22
276,42.6,41.37,41.8,42.31
277,42.58,41.37,41.79,42.25
278,42.63,41.33,41.81,42.27
279,42.56,41.37,41.78,42.29
280,42.56,41.34,41.82,42.32
281,42.58,41.34,41.82,42.31
282,42.57,41.34,41.77,42.24
283,42.57,41.31,41.79,42.24
284,42.53,41.32,41.81,42.29
285,42.63,41.32,41.79,42.25
286,42.57,41.32,41.8,42.25
287,42.6,41.3,41.83,42.27
288,42.59,41.37,41.83,42.29
289,42.52,41.33,41.76,42.3
290,42.56,41.35,41.81,42.24
291,42.61,41.4,41.8,42.26
292,42.58,41.37,41.83,42.31
293,42.61,41.32,41.76,42.24
294,42.58,41.32,41.8,42.29
295,42.62,41.25,41.8,42.33
296,42.58,41.31,41.78,42.3
297,42.59,41.34,41.81,42.31
298,42.59,41.31,41.78,42.31
299,42.61,41.32,41.77,42.31
300,42.57,41.34,41.76,42.31
301,42.61,41.29,41.76,42.33
302,42.61,41.31,41.77,42.27
303,42.52,41.36,41.79,42.28
304,42.57,41.33,41.76,42.29
305,42.54,41.33,41.79,42.27
306,42.55,41.32,41.7,42.31
307,42.54,41.37,41.75,42.31
308,42.52,41.36,41.82,42.29
309,42.53,41.32,41.79,42.29
310,42.6,41.36,41.78,42.31
311,42.55,41.31,41.75,42.28
312,42.59,41.32,41.82,42.3
313,42.64,41.32,41.81,42.32
314,42.6,41.29,41.81,42.26
315,42.62,41.31,41.83,42.28
316,42.53,41.32,41.82,42.26
317,42.56,41.34,41.77,42.24
318,42.61,41.36,41.79,42.29
319,42.58,41.31,41.78,42.3
320,42.57,41.33,41.79,42.29
321,42.56,41.33,41.84,42.31
322,42.59,41.32,41.77,42.27
323,42.59,41.39,41.77,42.32
324,42.56,41.38,41.84,42.26
325,42.52,41.29,41.83,42.29
326,42.57,41.32,41.88,42.34
327,42.57,41.32,41.87,42.31
328,42.56,41.34,41.84,42.29
