kbinact,aceph01,aceph02,aceph03,aceph04
0,1708528.0,1676584.0,1764972.0,1757824.0
1,1723632.0,1692520.0,1781492.0,1784720.0
2,1734656.0,1711096.0,1797588.0,1783296.0
3,1749132.0,1720760.0,1809600.0,1804520.0
4,1768716.0,1742300.0,1819176.0,1805140.0
5,1786776.0,1757480.0,1831528.0,1837192.0
6,1803632.0,1775076.0,1842368.0,1854708.0
7,1822424.0,1790084.0,1852440.0,1869096.0
8,1833220.0,1791104.0,1863244.0,1891272.0
9,1855668.0,1801368.0,1873580.0,1905604.0
10,1895592.0,1814640.0,1884152.0,1915908.0
11,1899560.0,1829116.0,1893664.0,1902576.0
12,1898268.0,1841656.0,1904976.0,1898280.0
13,1904400.0,1852668.0,1915772.0,1906800.0
14,1910488.0,1834780.0,1931488.0,1898364.0
15,1935460.0,1844876.0,1942624.0,1903404.0
16,1953800.0,1855144.0,1954104.0,1912956.0
17,1958836.0,1871976.0,1964168.0,1924668.0
18,1973756.0,1884132.0,1975352.0,1936104.0
19,1969284.0,1905360.0,1991540.0,1945728.0
20,1983676.0,1910928.0,2002216.0,1956632.0
21,1980588.0,1920540.0,2003736.0,1967544.0
22,1995880.0,1931504.0,2013452.0,1978112.0
23,1993288.0,1941524.0,2024104.0,1989052.0
24,2007088.0,1952156.0,2034672.0,1999852.0
25,2025512.0,1962480.0,2049840.0,2011768.0
26,2043968.0,1973088.0,2053184.0,2026248.0
27,2061864.0,1984076.0,2062920.0,2034660.0
28,2075132.0,1998008.0,2073072.0,2049368.0
29,2118812.0,1997924.0,2083388.0,2063208.0
30,2106496.0,2007868.0,2094232.0,2075884.0
31,2118284.0,2020704.0,2104836.0,2075040.0
32,2117844.0,2032804.0,2115732.0,2089536.0
33,2131564.0,2046048.0,2130808.0,2099916.0
34,2146716.0,2057036.0,2137156.0,2110848.0
35,2154852.0,2073076.0,2151368.0,2120616.0
36,2170712.0,2090040.0,2161848.0,2125772.0
37,2183632.0,2097212.0,2173996.0,2135884.0
38,2179120.0,2101072.0,2187420.0,2146200.0
39,2194328.0,2110444.0,2190908.0,2156024.0
40,2201748.0,2121832.0,2200564.0,2167224.0
41,2212040.0,2136032.0,2209952.0,2177488.0
42,2223048.0,2142852.0,2221944.0,2187716.0
43,2233908.0,2166692.0,2234964.0,2197608.0
44,2247012.0,2183668.0,2250604.0,2208100.0
45,2260112.0,2193272.0,2269208.0,2218520.0
46,2264752.0,2195004.0,2260112.0,2232764.0
47,2277896.0,2206392.0,2270920.0,2247720.0
48,2291320.0,2216340.0,2280124.0,2266800.0
49,2304180.0,2228096.0,2290228.0,2261780.0
50,2313624.0,2246460.0,2300672.0,2269684.0
51,2325124.0,2259768.0,2311724.0,2279568.0
52,2338168.0,2277676.0,2321580.0,2289488.0
53,2349096.0,2241008.0,2339852.0,2299568.0
54,2362112.0,2251620.0,2356028.0,2316904.0
55,2374412.0,2261224.0,2371300.0,2336868.0
56,2387232.0,2272148.0,2384128.0,2350192.0
57,2399036.0,2281832.0,2394908.0,2341408.0
58,2406168.0,2291836.0,2404428.0,2354128.0
59,2425304.0,2302896.0,2416816.0,2366388.0
60,2438468.0,2315464.0,2428456.0,2373036.0
61,2450276.0,2330820.0,2442576.0,2383280.0
62,2453148.0,2326904.0,2455108.0,2393252.0
63,2461020.0,2336676.0,2448272.0,2403436.0
64,2474544.0,2347076.0,2459960.0,2415088.0
65,2488392.0,2357572.0,2472260.0,2424628.0
66,2499404.0,2368140.0,2485972.0,2434932.0
67,2507844.0,2378032.0,2476980.0,2445812.0
68,2520336.0,2388644.0,2486604.0,2456600.0
69,2532960.0,2398344.0,2497940.0,2466844.0
70,2542952.0,2408888.0,2508464.0,2477312.0
71,2555604.0,2419436.0,2519236.0,2487008.0
72,2567960.0,2429720.0,2528924.0,2497896.0
73,2577316.0,2441132.0,2539572.0,2508504.0
74,2590308.0,2456628.0,2549740.0,2518572.0
75,2603528.0,2472132.0,2559308.0,2529180.0
76,2615144.0,2484464.0,2569680.0,2539972.0
77,2625876.0,2496792.0,2580464.0,2550436.0
78,2637468.0,2511988.0,2590672.0,2560532.0
79,2648324.0,2524152.0,2601236.0,2570516.0
80,2660932.0,2512920.0,2610896.0,2580408.0
81,2673264.0,2521696.0,2621588.0,2590660.0
82,2684912.0,2531504.0,2632676.0,2600488.0
83,2695868.0,2543740.0,2642416.0,2611412.0
84,2707820.0,2556816.0,2652784.0,2621488.0
85,2749692.0,2565968.0,2662068.0,2631280.0
86,2799696.0,2576788.0,2672520.0,2641540.0
87,2692052.0,2587524.0,2682364.0,2652040.0
88,2702920.0,2592456.0,2692884.0,2661944.0
89,2715112.0,2603292.0,2703324.0,2673072.0
90,2728920.0,2613172.0,2713716.0,2683196.0
91,2740312.0,2623228.0,2724488.0,2694164.0
92,2751724.0,2633512.0,2733908.0,2704544.0
93,2763276.0,2646924.0,2745412.0,2713780.0
94,2776084.0,2676492.0,2760548.0,2724304.0
95,2787964.0,2678296.0,2764980.0,2734816.0
96,2797880.0,2689232.0,2775528.0,2751888.0
97,2800704.0,2708280.0,2785468.0,2772988.0
98,2811416.0,2708312.0,2795212.0,2793040.0
99,2825128.0,2717460.0,2813360.0,2794204.0
100,2836520.0,2727776.0,2824704.0,2785584.0
101,2851460.0,2723516.0,2839712.0,2794500.0
102,2862024.0,2733912.0,2850220.0,2805224.0
103,2873636.0,2743316.0,2860828.0,2816140.0
104,2887324.0,2754352.0,2871844.0,2825640.0
105,2897624.0,2763884.0,2885636.0,2835932.0
106,2907492.0,2773848.0,2900100.0,2844892.0
107,2918072.0,2784448.0,2910212.0,2855820.0
108,2931804.0,2794792.0,2924172.0,2865900.0
109,2948732.0,2805008.0,2908412.0,2876256.0
110,2964928.0,2815264.0,2918936.0,2886888.0
111,2980984.0,2825120.0,2929684.0,2896548.0
112,2991860.0,2835444.0,2940340.0,2907620.0
113,3003280.0,2846000.0,2951024.0,2916760.0
114,3002076.0,2855552.0,2962300.0,2927712.0
115,3012036.0,2865464.0,2971976.0,2937964.0
116,3022676.0,2877176.0,2981256.0,2947772.0
117,3033620.0,2892824.0,2991804.0,2959096.0
118,3045356.0,2904964.0,3001736.0,2968632.0
