%usr,aceph01,aceph02,aceph03,aceph04
0,88.01,90.48,89.64,87.72
1,84.91,89.97,88.81,85.77
2,79.27,84.56,83.71,84.86
3,89.61,90.25,88.75,85.02
4,90.36,88.99,86.36,88.49
5,88.15,89.84,82.38,90.01
6,90.77,90.36,81.03,88.83
7,90.01,89.88,87.98,89.14
8,88.88,89.38,77.61,90.36
9,90.36,89.64,81.23,90.59
10,88.06,87.23,83.17,88.78
11,88.19,81.64,78.12,89.1
12,89.64,90.5,81.59,88.99
13,91.49,88.92,87.2,90.75
14,88.88,81.57,83.1,90.35
15,89.11,89.75,85.88,88.1
16,89.01,81.84,85.02,89.0
17,88.88,89.14,86.32,89.31
18,88.38,89.84,89.0,89.11
19,88.97,88.51,88.1,88.25
20,87.48,88.85,86.98,86.18
21,87.03,89.01,87.62,89.9
22,88.18,87.84,89.36,88.47
23,89.38,89.11,86.84,90.26
24,89.25,88.64,89.65,90.01
25,89.34,88.19,88.88,89.21
26,89.74,84.5,89.39,89.25
27,88.11,89.35,89.88,89.96
28,88.9,89.22,88.75,90.26
29,86.45,89.18,88.72,88.11
30,88.39,89.96,89.1,89.36
31,89.14,88.96,88.99,88.75
32,90.73,90.74,89.1,90.14
33,89.99,88.38,89.1,89.47
34,89.5,90.5,89.47,89.74
35,89.5,89.84,88.86,89.49
36,89.0,89.41,88.65,87.64
37,89.49,89.28,89.14,88.5
38,90.5,85.84,88.25,88.89
39,89.62,82.29,89.51,89.62
40,90.3,82.52,87.39,88.47
41,89.0,87.39,88.47,87.39
42,90.36,89.01,86.62,88.49
43,91.0,89.1,85.88,86.84
44,90.36,90.24,88.49,88.74
45,90.29,89.38,89.39,89.75
46,89.72,89.51,88.47,89.5
47,88.53,90.1,88.35,90.27
48,90.0,89.75,84.51,89.11
49,89.38,89.03,86.09,90.39
50,89.61,89.72,79.14,90.1
51,89.12,90.14,85.98,89.38
52,88.88,88.75,86.41,89.75
53,88.86,88.36,85.75,89.75
54,89.49,88.24,88.31,90.85
55,89.6,89.04,88.76,88.88
56,89.11,81.85,88.86,89.97
57,89.11,88.74,89.21,89.11
58,89.03,89.25,88.24,89.61
59,90.61,89.01,87.92,90.24
60,88.25,89.86,86.27,89.76
61,89.22,89.49,88.62,90.11
62,89.39,86.97,88.61,90.49
63,88.62,89.0,88.35,87.25
64,89.47,85.62,89.62,88.99
65,88.39,80.66,90.23,89.26
66,90.12,90.61,89.75,89.29
67,90.35,90.36,88.61,91.61
68,88.61,90.75,89.61,89.76
69,88.6,89.39,88.12,88.33
70,90.25,90.75,89.86,90.12
71,89.36,89.96,89.62,87.86
72,89.11,90.62,90.0,89.89
73,87.75,89.51,91.23,89.25
74,88.62,89.38,90.26,89.39
75,90.23,88.58,91.12,89.69
76,89.12,90.51,90.25,89.03
77,88.55,89.33,89.49,89.62
78,90.14,90.75,89.12,89.34
79,89.97,90.39,89.78,89.32
80,88.64,88.75,89.0,89.08
81,91.38,90.26,90.35,88.75
