op_queue_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12855,6427,12856,19282,12855,80706,12855,12855,6428,77128,6428,209977,102840,64273,70701,12855,6428,19282,6428,141399,19281,51420,25710,32138,6428,19284,12855,6427,6428,19283,109264,96416,51420,64272,19284,12854,12856,12856,6427,89986
2,25711,64271,32136,6428,0,6428,0,0,0,57847,0,0,25709,64276,51418,6427,32137,0,80703,51420,6427,19283,51419,51422,0,38563,32135,44993,12854,0,44994,0,12855,57845,32136,6428,29286,6427,19281,44992
3,0,6428,12856,12854,12854,51419,44991,25710,12853,19280,6427,51421,64275,6428,99988,32139,19283,0,57845,32137,0,0,25710,38565,0,6427,25709,0,12856,32137,102840,0,12855,147834,0,12853,6427,0,6427,12856
4,12856,19282,6428,6427,44994,0,19283,44991,83554,6428,19282,38566,25710,6427,77133,83555,38563,6428,147833,61421,44994,44990,6427,44991,102839,25710,57847,0,0,6428,12855,12856,6428,70702,12855,134982,32137,6428,25711,12855
5,19283,588477,12855,70697,25708,0,64276,0,70703,6428,6428,167116,99986,12855,57848,19281,38565,0,0,109263,6427,12855,6428,0,0,6427,32138,6427,12856,0,25709,19283,96410,51419,0,0,83559,0,0,0
6,32138,32137,398509,6428,12854,12855,25710,44992,57845,0,0,19283,77129,44994,22858,44993,19282,6427,6427,0,25706,0,29287,12854,42141,6427,19283,0,0,6427,25709,0,83558,12856,237819,70702,61426,6427,0,19282
7,173537,160687,0,51419,19283,173540,0,12855,12855,38565,0,0,51422,54993,12856,12855,64274,12855,122120,38564,0,12856,12856,6428,57847,12854,6427,6427,0,12856,0,38561,32138,12854,6428,38564,115694,0,54997,115694
8,12855,38565,0,6427,6428,0,0,0,64277,6428,64274,0,0,6428,29286,25711,6427,0,224960,12855,6427,19283,64277,12856,0,25710,89982,12855,77126,44993,102839,32139,83559,12856,70703,0,77132,0,12855,0
9,0,6427,96411,6428,115697,115695,19283,6427,57846,25708,0,109267,70704,51420,25709,0,12855,96417,6428,0,0,12853,0,0,99987,19281,6427,12854,0,12855,0,12854,6427,25710,12855,6427,6427,122125,6427,83558
10,83557,6428,112844,19284,6428,0,0,19283,77132,312092,0,6426,38564,0,6428,44992,6428,0,38567,12853,0,6427,0,0,25710,32139,0,0,6427,6427,70700,6428,0,19283,32139,0,12854,87133,0,0
11,19284,44992,19281,122118,6428,44991,32136,19281,32135,199256,0,32138,12855,64273,19282,70704,0,25709,19281,6427,0,77131,19281,25710,51417,77130,128546,0,44990,115696,12855,199253,6427,32138,0,25711,109268,334216,0,38566
12,77127,89981,179969,54996,6428,25710,0,0,12855,314953,44993,0,19282,6427,70703,67854,19282,32137,6428,32139,83557,6428,19283,19283,6427,19284,19284,51421,0,25710,19284,44992,38565,32137,70701,83557,119271,0,0,96414
13,38566,327797,19282,170688,0,89988,51424,38564,25711,138553,19283,0,12854,6428,6427,0,32137,25707,0,44993,0,0,51422,61421,6428,38566,189972,6428,6427,32137,38564,6428,0,6427,61425,0,38566,32139,25709,12854
14,32139,6428,51418,0,25710,32139,32138,54996,12854,321373,19282,6428,173537,25711,179972,32137,57846,51419,102841,16431,25710,38564,6427,102840,38564,74277,6428,12856,6427,12855,0,0,179966,0,32137,0,0,0,6428,70703
15,19283,6428,102841,170687,64276,161416,6428,32137,6427,102841,51419,38567,151406,74276,12855,0,6427,6428,70703,434217,51420,6428,77853,25711,0,38568,12856,6427,0,32137,64278,12854,0,0,12856,0,83558,44993,87134,0
