%idle,aceph01,aceph02,aceph03,aceph04
176,0.12,0.13,0.0,0.0
177,0.0,0.13,0.0,0.0
178,0.0,0.37,0.0,0.12
179,0.0,0.13,0.0,0.13
180,0.12,0.12,0.0,0.0
181,0.0,0.0,0.0,0.0
182,0.0,0.13,0.0,0.0
183,0.12,0.0,0.0,0.0
184,0.0,0.13,0.12,0.0
185,0.0,0.0,0.12,0.12
186,0.0,0.12,0.0,0.12
187,0.0,0.0,0.0,0.0
188,0.12,0.13,0.0,0.0
189,0.0,0.37,0.0,0.0
190,0.0,0.38,0.0,0.0
191,0.13,0.0,0.38,0.0
192,0.0,0.62,0.13,0.0
193,0.0,1.49,0.13,0.0
194,0.0,0.25,0.63,0.0
195,0.0,1.01,0.13,0.0
196,0.0,0.13,0.38,0.13
197,0.0,0.0,0.38,0.0
198,0.0,0.13,1.15,0.0
199,0.0,0.25,0.62,0.0
200,0.0,0.12,0.13,0.12
201,0.0,0.13,0.0,0.0
202,0.0,0.13,0.0,0.0
203,0.0,0.13,0.0,0.0
204,0.12,0.0,0.0,0.0
205,0.0,0.0,0.0,0.13
206,0.0,0.0,0.0,0.12
207,0.0,0.0,0.0,0.13
208,0.0,0.12,0.0,0.0
209,0.0,0.63,0.0,0.0
210,0.0,1.38,0.0,0.13
211,0.0,0.0,0.0,0.0
212,0.0,0.0,0.0,0.0
213,0.0,0.0,0.12,0.0
214,0.0,0.0,0.0,0.0
215,0.0,0.0,0.0,0.0
216,0.0,0.5,0.0,0.0
217,0.0,0.0,0.0,0.0
218,0.0,0.25,0.0,0.0
219,0.0,0.0,0.0,0.0
220,0.0,0.12,0.0,0.13
221,0.0,0.0,0.0,0.0
222,0.0,0.13,0.0,0.0
223,0.0,0.13,0.12,0.0
224,0.12,0.25,0.0,0.12
225,0.0,1.25,0.0,0.0
226,0.0,0.0,0.12,0.0
227,0.0,0.0,0.0,0.0
228,0.0,0.38,0.12,0.12
229,0.12,0.13,0.38,0.0
230,0.0,0.5,0.25,0.0
231,0.0,0.13,0.13,0.0
232,0.0,0.0,0.75,0.0
233,0.0,0.0,0.51,0.13
234,0.0,0.0,0.0,0.0
235,0.13,0.0,0.0,0.0
236,0.0,0.13,1.01,0.0
237,0.12,0.0,0.0,0.0
238,0.0,0.0,0.0,0.0
239,0.0,0.0,0.0,0.0
240,0.0,0.25,0.0,0.0
241,0.12,0.12,0.13,0.0
242,0.0,0.38,0.13,0.0
243,0.0,0.13,0.13,0.0
244,0.0,0.0,0.75,0.0
245,0.12,0.38,2.01,0.0
246,0.0,0.63,0.0,0.0
247,0.0,0.13,0.0,0.0
248,0.0,0.13,0.0,0.0
249,0.0,0.25,0.0,0.0
250,0.0,0.0,0.0,0.0
251,0.0,0.13,0.37,0.0
252,0.0,0.0,0.88,0.0
253,0.13,0.0,0.13,0.0
254,0.0,0.12,0.13,0.0
255,0.0,0.0,0.0,0.0
256,0.0,0.0,0.13,0.0
257,0.0,0.12,0.13,0.13
258,0.13,0.0,0.0,0.0
259,0.0,0.12,0.12,0.0
260,0.0,0.25,0.0,0.0
261,0.13,0.75,0.0,0.0
262,0.0,0.25,0.0,0.0
263,0.0,0.12,0.0,0.25
264,0.13,0.0,0.0,0.12
265,0.0,0.0,0.0,0.0
266,0.0,0.12,0.0,0.13
267,0.0,0.12,0.0,0.0
268,0.0,0.25,0.0,0.12
269,0.0,0.13,0.0,0.0
270,0.0,0.0,0.0,0.0
271,0.0,0.0,0.0,0.0
272,0.0,0.0,0.0,0.13
273,0.0,0.0,0.0,0.0
274,0.0,0.0,0.12,0.13
275,0.0,0.0,0.0,0.0
276,0.0,0.0,0.13,0.0
277,0.0,0.0,0.0,0.0
278,0.0,0.13,0.0,0.0
279,0.0,0.38,0.0,0.0
280,0.12,0.63,0.13,0.0
281,0.0,0.12,0.63,0.0
282,0.12,0.25,0.38,0.0
283,0.0,0.75,0.0,0.0
284,0.0,0.0,0.0,0.0
285,0.0,0.0,0.63,0.0
286,0.0,0.0,0.25,0.0
287,0.0,0.0,0.37,0.0
288,0.0,0.0,0.0,0.0
289,0.0,0.0,0.0,0.0
290,0.0,0.0,0.38,0.12
291,0.0,0.0,0.38,0.0
292,0.0,0.0,1.37,0.0
293,0.12,0.0,0.25,0.0
294,0.0,0.0,0.13,0.12
295,0.0,0.0,0.25,0.0
296,0.0,0.0,0.0,0.0
297,0.0,0.0,0.0,0.0
298,0.0,0.0,0.13,0.0
299,0.0,0.12,0.13,0.0
300,0.0,1.5,0.13,0.0
301,0.0,0.13,0.76,0.12
302,0.0,0.13,0.0,0.0
303,0.12,0.87,0.0,0.0
304,0.0,0.0,0.25,0.0
305,0.0,0.5,0.0,0.0
306,0.0,0.75,0.12,0.0
307,0.0,0.0,0.13,0.13
308,0.0,0.13,0.12,0.13
309,0.0,0.0,0.0,0.0
310,0.0,0.12,0.0,0.13
311,0.0,0.38,0.12,0.12
312,0.0,0.0,0.0,0.0
313,0.0,0.12,0.25,0.13
314,0.0,0.0,0.12,0.0
315,0.0,0.12,0.0,0.12
316,0.0,0.13,0.88,0.0
317,0.0,0.12,0.0,0.12
318,0.0,0.0,0.25,0.0
319,0.0,0.0,0.25,0.25
320,0.0,0.0,0.25,0.13
321,0.0,0.0,0.13,0.12
322,0.12,0.0,0.5,0.0
323,0.0,0.0,0.88,0.0
324,0.0,0.0,0.13,0.0
325,0.13,0.0,0.13,0.0
326,0.0,0.0,0.0,0.0
327,0.12,0.0,0.12,0.0
328,0.0,0.0,0.0,0.0
