ops,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
16,1098010,1052127,984026,833827,887838,1076671,1145767,1581313,922653,1062511,1064101,1152110,996756,996809,1103390,740844,915080,1035939,695762,987954,901947,1208988,812585,1194748,844492,997905,1148909,1271995,1079554,1098241,1097185,992562,913052,761735,1091934,880640,1116915,1117531,1278143,915671
17,1098441,1052596,984429,834231,888218,1077086,1146120,1581726,923087,1062929,1064481,1152549,997192,997223,1103788,741359,915537,1036259,696189,988322,902399,1209418,813007,1195292,844850,998306,1149346,1272422,1079907,1098786,1097613,992934,913409,762302,1092397,881076,1117273,1117959,1278601,916047
18,1098962,1053050,984869,834675,888699,1077580,1146601,1582124,923460,1063547,1064842,1152979,997687,997655,1104175,741735,915901,1036794,696601,988805,902791,1209805,813389,1195810,845369,998699,1149792,1272811,1080197,1099145,1098045,993366,913858,762629,1092788,881426,1117675,1118208,1278919,916460
19,1099434,1053518,985328,835160,889111,1077995,1146911,1582685,923894,1064020,1065199,1153373,998048,998053,1104591,742051,916318,1036977,697084,989192,903176,1210202,813749,1196245,845697,999152,1150336,1273155,1080523,1099624,1098484,993708,914196,763066,1093179,881771,1118059,1118631,1279357,916783
20,1099875,1053898,985747,835579,889568,1078434,1147403,1583074,924354,1064521,1065527,1153790,998463,998431,1104873,742448,916672,1037360,697412,989620,903513,1210567,814176,1196621,846035,999548,1150723,1273520,1080943,1099940,1098925,994134,914667,763510,1093607,882274,1118523,1119033,1279635,917267
21,1100311,1054347,986154,836052,889941,1078805,1147783,1583510,924779,1064962,1065896,1154221,998897,998766,1105199,742879,917132,1037782,697884,990084,903898,1210931,814518,1197123,846472,999880,1151072,1273869,1081301,1100376,1099322,994557,915105,763927,1094000,882602,1118954,1119556,1280214,917804
22,1100751,1054800,986586,836538,890518,1079247,1148252,1583903,925224,1065515,1066219,1154588,999295,999159,1105698,743192,917426,1038062,698245,990366,904297,1211340,814947,1197572,846824,1000274,1151510,1274213,1081565,1100865,1099701,994885,915505,764388,1094401,882975,1119337,1119867,1280529,918059
23,1101164,1055197,986999,836987,890969,1079586,1148592,1584409,925588,1066087,1066606,1154966,999769,999563,1105972,743649,917708,1038393,698635,990739,904669,1211686,815347,1198053,847327,1000838,1152094,1274652,1081935,1101352,1100185,995317,915906,764786,1094900,883418,1119783,1120315,1280902,918528
24,1101635,1055592,987400,837399,891351,1080105,1148979,1584814,926099,1066485,1066975,1155431,1000203,1000015,1106411,744030,918162,1038846,699044,991258,905047,1212063,815741,1198514,847686,1001147,1152370,1275006,1082314,1101744,1100692,995696,916250,765321,1095398,883781,1120087,1120673,1281359,919011
25,1102058,1056029,987804,837758,891734,1080455,1149321,1585089,926460,1066898,1067291,1155862,1000632,1000413,1106730,744458,918557,1039152,699443,991598,905473,1212494,816149,1198978,848080,1001551,1152895,1275364,1082711,1102088,1101152,996074,916646,765797,1095827,884275,1120600,1121153,1281883,919426
26,1102431,1056406,988183,838154,892065,1080810,1149685,1585476,926955,1067238,1067657,1156293,1001055,1000781,1107131,744828,918984,1039550,699909,992126,905838,1212796,816527,1199383,848524,1001961,1153328,1275677,1083006,1102506,1101588,996504,917011,766134,1096227,884669,1120931,1121554,1282347,919965
27,1102853,1056814,988549,838538,892422,1081254,1149996,1585915,927515,1067779,1068026,1156738,1001504,1001256,1107572,745183,919367,1039892,700322,992457,906276,1213196,817019,1199961,848893,1002376,1153698,1276057,1083466,1102904,1101925,996869,917465,766540,1096523,885008,1121332,1121785,1282761,920207
28,1103293,1057210,988978,839033,892913,1081676,1150480,1586241,928002,1068152,1068275,1157059,1001824,1001558,1107887,745497,919663,1040226,700676,992803,906639,1213686,817376,1200372,849266,1002747,1154057,1276429,1083681,1103330,1102350,997319,917835,767034,1097001,885436,1121766,1122225,1283028,920575
29,1103732,1057728,989453,839573,893337,1082124,1150813,1586671,928320,1068557,1068646,1157469,1002242,1001958,1108276,745890,919983,1040687,701075,993169,907016,1214082,817749,1200832,849715,1003162,1154490,1276812,1084019,1103744,1102778,997652,918274,767386,1097386,885819,1122299,1122626,1283424,921067
30,1104058,1058121,989908,840040,893734,1082594,1151278,1587157,928804,1069071,1069022,1157848,1002679,1002364,1108608,746241,920398,1040923,701584,993511,907335,1214494,818127,1201209,850029,1003508,1154906,1277236,1084395,1104220,1103252,998086,918623,767809,1097738,886175,1122606,1122979,1283759,921448
31,1104506,1058516,990326,840396,894153,1082970,1151690,1587524,929272,1069572,1069362,1158315,1003118,1002803,1108999,746596,920728,1041237,702024,993926,907731,1214859,818576,1201787,850495,1003978,1155312,1277574,1084906,1104586,1103615,998538,919094,768130,1098148,886569,1123046,1123436,1284242,921899
32,1104889,1058896,990717,840809,894602,1083406,1151992,1587965,929755,1069981,1069751,1158714,1003538,1003216,1109408,747062,921151,1041570,702249,994364,908098,1215256,818867,1202232,850839,1004411,1155689,1277924,1085163,1104986,1104093,998908,919428,768664,1098588,887032,1123538,1123836,1284609,922347
33,1105280,1059272,991030,841325,895001,1083724,1152396,1588380,930149,1070533,1070141,1159143,1003985,1003634,1109865,747513,921530,1041927,702636,994806,908464,1215654,819301,1202767,851306,1004840,1156130,1278352,1085470,1105464,1104570,999342,919835,769139,1099046,887404,1124011,1124277,1285009,922699
34,1105684,1059616,991403,841658,895344,1084043,1152688,1588602,930470,1070921,1070479,1159478,1004404,1004023,1110236,747920,922038,1042304,703091,995166,908815,1215979,819743,1203154,851657,1005142,1156605,1278651,1085855,1105833,1105005,999770,920291,769609,1099419,887781,1124443,1124673,1285370,923179
35,1106127,1060019,991842,842124,895772,1084476,1153016,1589074,930842,1071372,1070847,1159940,1004762,1004409,1110589,748247,922367,1042683,703467,995605,909101,1216360,820104,1203596,852097,1005525,1156871,1279099,1086209,1106256,1105460,1000091,920708,770079,1099787,888233,1124697,1125116,1285888,923635
36,1106523,1060456,992207,842527,896227,1084932,1153527,1589437,931272,1071776,1071193,1160302,1005186,1004806,1110915,748623,922670,1043110,703818,995916,909467,1216762,820479,1203980,852381,1005893,1157241,1279507,1086531,1106654,1105829,1000470,921100,770542,1100216,888571,1125147,1125460,1286239,924019
37,1106945,1060858,992683,843009,896681,1085324,1154056,1589862,931768,1072288,1071495,1160691,1005552,1005177,1111282,748972,923133,1043387,704228,996291,909839,1217135,820830,1204446,852725,1006275,1157702,1279868,1086836,1107038,1106216,1000815,921466,770945,1100555,888782,1125493,1125771,1286527,924454
38,1107324,1061257,993030,843286,896986,1085738,1154307,1590159,932217,1072668,1071789,1161055,1005890,1005480,1111653,749368,923364,1043746,704647,996661,910233,1217493,821219,1204830,853157,1006706,1158021,1280240,1087157,1107444,1106663,1001259,921843,771521,1101043,889287,1125953,1126242,1286960,924950
39,1107735,1061665,993387,843741,897374,1086221,1154626,1590507,932699,1073102,1072112,1161461,1006226,1005832,1111995,749725,923795,1044039,704961,997061,910585,1217868,821662,1205335,853662,1007157,1158477,1280600,1087514,1107938,1107108,1001630,922259,771961,1101371,889642,1126318,1126603,1287523,925311
40,1108137,1062054,993781,844198,897876,1086503,1155055,1590923,933109,1073510,1072470,1161852,1006679,1006243,1112385,750126,924195,1044497,705528,997511,910952,1218306,822040,1205719,853949,1007509,1158882,1280888,1087824,1108280,1107575,1002030,922655,772470,1101942,890074,1126718,1127066,1287819,925761
41,1108471,1062512,994236,844658,898195,1087000,1155545,1591255,933555,1074023,1072818,1162285,1007058,1006575,1112582,750418,924463,1044736,705737,997816,911406,1218723,822442,1206262,854418,1007900,1159372,1281233,1088257,1108685,1108029,1002497,923053,772944,1102302,890497,1127082,1127575,1288251,926120
42,1108908,1062875,994626,845067,898665,1087324,1155810,1591570,934027,1074477,1073190,1162747,1007566,1007045,1113077,750879,924965,1045178,706253,998279,911741,1219077,822793,1206673,854813,1008230,1159773,1281622,1088536,1109100,1108450,1002886,923460,773445,1102792,890962,1127651,1127869,1288692,926639
43,1109304,1063336,995035,845512,899106,1087732,1156156,1591925,934237,1075035,1073549,1163157,1008012,1007437,1113466,751233,925372,1045525,706669,998670,912175,1219481,823070,1207226,855231,1008663,1160226,1282031,1088860,1109555,1108900,1003325,923839,773847,1103206,891338,1128116,1128293,1289037,926995
44,1109756,1063738,995481,845980,899549,1088151,1156552,1592386,934712,1075448,1073903,1163584,1008466,1007827,1113754,751618,925728,1045827,707138,999057,912567,1219868,823490,1207666,855674,1009170,1160677,1282395,1089238,1110041,1109349,1003670,924204,774231,1103682,891740,1128359,1128675,1289500,927407
45,1110153,1064154,995858,846384,899912,1088600,1157007,1592828,935160,1075956,1074225,1163927,1008792,1008168,1114189,752034,926067,1046209,707482,999429,912952,1220241,823871,1208104,856092,1009535,1161137,1282693,1089531,1110372,1109791,1003948,924633,774747,1104023,892142,1128745,1129047,1289799,927860
46,1110511,1064536,996269,846839,900377,1088942,1157413,1593130,935579,1076425,1074544,1164362,1009244,1008587,1114563,752428,926413,1046534,707810,999757,913337,1220586,824275,1208642,856497,1009967,1161576,1283044,1089839,1110804,1110237,1004335,924997,775186,1104509,892534,1129261,1129499,1290221,928352
47,1110926,1064932,996574,847132,900751,1089391,1157737,1593507,935972,1077007,1074931,1164841,1009742,1008987,1115017,752995,926862,1047062,708267,1000298,913722,1221000,824692,1209021,856960,1010364,1161921,1283422,1090232,1111225,1110646,1004874,925316,775554,1104945,892864,1129679,1129752,1290677,928699
48,1111301,1065332,996965,847688,901095,1089752,1158110,1593927,936425,1077291,1075317,1165261,1010166,1009366,1115439,753311,927353,1047395,708744,1000582,914090,1221416,825087,1209542,857349,1010678,1162349,1283791,1090523,1111642,1111053,1005202,925758,775996,1105327,893276,1130057,1130218,1291060,929074
49,1111690,1065694,997325,847975,901453,1090134,1158461,1594210,936832,1077657,1075697,1165674,1010592,1009839,1115801,753651,927651,1047748,709147,1001101,914465,1221809,825556,1210073,857770,1011207,1162863,1284214,1090879,1112200,1111503,1005632,926106,776471,1105720,893644,1130441,1130683,1291395,929556
50,1112050,1066116,997783,848426,901866,1090535,1158867,1594679,937283,1078068,1076013,1166131,1010991,1010270,1116213,754067,928117,1048079,709545,1001543,914823,1222205,825916,1210454,858098,1011461,1163176,1284533,1091273,1112524,1111899,1006037,926513,776922,1106213,894060,1130898,1130967,1291754,929847
51,1112518,1066512,998168,848826,902356,1090867,1159226,1595057,937709,1078514,1076406,1166536,1011455,1010635,1116630,754480,928529,1048410,709988,1001899,915174,1222674,826358,1210937,858565,1011883,1163644,1284919,1091648,1112986,1112312,1006426,926895,777291,1106490,894401,1131291,1131419,1292134,930290
52,1112923,1066943,998582,849259,902772,1091348,1159562,1595391,938104,1078967,1076803,1166945,1011847,1011123,1116992,754927,928965,1048833,710374,1002315,915494,1223051,826782,1211366,858896,1012248,1164056,1285317,1092005,1113302,1112751,1006837,927337,777732,1106928,894771,1131759,1131753,1292523,930684
53,1113359,1067346,999002,849755,903170,1091794,1160033,1595896,938628,1079584,1077188,1167351,1012313,1011531,1117426,755451,929389,1049174,710916,1002725,915819,1223484,827207,1211677,859266,1012711,1164411,1285737,1092434,1113781,1113234,1007242,927705,778195,1107334,895246,1132190,1132158,1292955,931100
54,1113772,1067783,999358,850093,903627,1092215,1160422,1596303,939035,1079969,1077589,1167819,1012811,1011977,1117807,755921,929748,1049599,711305,1003117,916182,1223894,827579,1212208,859632,1013069,1164825,1286081,1092778,1114045,1113687,1007668,928096,778602,1107764,895612,1132567,1132578,1293421,931528
55,1114142,1068156,999765,850522,903954,1092554,1160810,1596665,939556,1080344,1077919,1168204,1013254,1012302,1118175,756255,930118,1050133,711648,1003520,916536,1224314,828032,1212576,860057,1013412,1165164,1286495,1093092,1114424,1114119,1007988,928524,778983,1108152,895890,1133055,1132903,1293779,931917
56,1114557,1068577,1000195,850952,904335,1092908,1161186,1597052,939765,1080780,1078266,1168625,1013688,1012757,1118569,756732,930507,1050424,712219,1004045,916948,1224681,828411,1213131,860475,1013890,1165661,1286789,1093483,1114815,1114515,1008419,928796,779359,1108509,896265,1133414,1133290,1294221,932280
57,1115028,1068988,1000644,851416,904721,1093279,1161615,1597615,940252,1081318,1078599,1169025,1014137,1013177,1118902,757027,930918,1050776,712495,1004373,917253,1225058,828906,1213583,860849,1014244,1166053,1287286,1093979,1115300,1114941,1008770,929273,779775,1108909,896597,1133762,1133685,1294538,932672
58,1115383,1069362,1000998,851819,905141,1093812,1161920,1597817,940645,1081736,1078982,1169462,1014544,1013590,1119225,757526,931319,1051097,713158,1004799,917643,1225467,829315,1213988,861272,1014735,1166444,1287649,1094213,1115713,1115400,1009149,929703,780283,1109330,896997,1134216,1134200,1294954,933038
59,1115824,1069857,1001436,852281,905680,1094200,1162398,1598275,941025,1082198,1079366,1169841,1014935,1014003,1119706,757955,931823,1051542,713358,1005240,917978,1225838,829696,1214545,861666,1014973,1166914,1288216,1094594,1116194,1115830,1009514,930122,780782,1109763,897437,1134582,1134555,1295426,933435
60,1116180,1070275,1001818,852671,906015,1094635,1162741,1598671,941395,1082696,1079685,1170236,1015370,1014400,1120059,758283,932121,1051846,713739,1005695,918368,1226234,830038,1214890,862068,1015344,1167248,1288501,1094952,1116517,1116271,1009900,930530,781199,1110083,897826,1134945,1134933,1295802,933967
61,1116512,1070609,1002132,853036,906415,1095005,1163051,1598957,941812,1083009,1080010,1170633,1015740,1014788,1120448,758635,932490,1052188,714118,1005992,918739,1226668,830434,1215345,862406,1015750,1167740,1288875,1095241,1116938,1116690,1010279,930856,781701,1110546,898264,1135371,1135311,1296189,934353
62,1116903,1071019,1002541,853452,906830,1095409,1163415,1599344,942356,1083434,1080377,1171089,1016280,1015199,1120847,759076,932931,1052576,714449,1006379,919094,1227045,830811,1215926,862813,1016210,1168063,1289159,1095640,1117392,1117074,1010672,931267,782082,1110822,898587,1135829,1135648,1296519,934659
63,1117374,1071403,1002900,853779,907158,1095772,1163855,1599735,942860,1083955,1080706,1171499,1016634,1015623,1121258,759408,933359,1052964,714911,1006907,919489,1227304,831166,1216383,863209,1016595,1168457,1289609,1095935,1117809,1117600,1011022,931659,782526,1111351,899020,1136162,1136172,1296989,935148
64,1117720,1071787,1003203,854208,907574,1096153,1164207,1599993,943203,1084388,1081062,1171958,1017158,1016015,1121714,759856,933833,1053374,715370,1007246,919921,1227769,831634,1216842,863647,1017092,1168969,1290006,1096400,1118249,1118047,1011343,932084,783078,1111812,899393,1136588,1136481,1297475,935572
65,1118183,1072253,1003732,854687,908018,1096694,1164526,1600430,943603,1084838,1081465,1172318,1017612,1016435,1122010,760314,934175,1053799,715762,1007654,920255,1228178,832027,1217292,863921,1017355,1169320,1290267,1096660,1118609,1118441,1011728,932464,783511,1112221,899847,1136937,1136874,1297775,935842
66,1118514,1072623,1004174,855065,908394,1096982,1164960,1600831,944117,1085441,1081800,1172695,1017977,1016859,1122425,760685,934499,1054157,716159,1008085,920635,1228628,832410,1217750,864323,1017768,1169639,1290716,1097064,1119005,1118876,1012151,932773,783933,1112578,900198,1137346,1137171,1298212,936414
67,1118925,1072944,1004391,855419,908681,1097298,1165353,1601078,944438,1085705,1082078,1173115,1018309,1017198,1122729,761018,934787,1054453,716559,1008378,920969,1229024,832834,1218221,864684,1018134,1170029,1291129,1097464,1119377,1119290,1012563,933195,784298,1112964,900646,1137728,1137657,1298558,936623
68,1119418,1073389,1004804,855868,909091,1097750,1165778,1601457,944965,1086228,1082407,1173500,1018660,1017502,1123076,761367,935241,1054830,717027,1008702,921341,1229410,833165,1218660,865132,1018581,1170499,1291484,1097791,1119798,1119722,1012933,933577,784728,1113343,901020,1138235,1137992,1298868,936998
69,1119820,1073776,1005242,856329,909511,1098103,1166090,1601838,945341,1086739,1082751,1173823,1019006,1017871,1123393,761699,935540,1055194,717377,1009046,921737,1229837,833651,1219151,865532,1018873,1170846,1291975,1098064,1120289,1120157,1013354,933992,785170,1113767,901443,1138703,1138490,1299255,937451
70,1120246,1074182,1005660,856874,909988,1098522,1166452,1602176,945679,1087118,1083112,1174279,1019411,1018212,1123809,762059,935921,1055543,717609,1009436,922104,1230237,834034,1219649,865918,1019373,1171279,1292294,1098524,1120710,1120599,1013660,934339,785566,1114120,901845,1138906,1138828,1299753,937871
71,1120655,1074596,1006048,857262,910342,1098855,1166874,1602663,946156,1087719,1083467,1174765,1019800,1018703,1124189,762489,936276,1055918,718077,1009863,922510,1230599,834417,1220027,866323,1019761,1171651,1292615,1098877,1121214,1120975,1014110,934755,785964,1114525,902195,1139420,1139201,1300243,938253
72,1121065,1074990,1006475,857639,910783,1099288,1167181,1603010,946575,1088106,1083810,1175112,1020193,1019071,1124527,762823,936693,1056236,718447,1010248,922887,1231095,834847,1220541,866713,1020202,1172205,1293014,1099213,1121562,1121434,1014529,935044,786453,1114900,902645,1139803,1139625,1300524,938636
73,1121433,1075397,1006812,858029,911214,1099711,1167599,1603418,946927,1088568,1084169,1175440,1020635,1019495,1124893,763246,937062,1056604,718785,1010611,923278,1231471,835180,1221003,867137,1020491,1172635,1293344,1099606,1121997,1121847,1014948,935537,786775,1115273,902999,1140259,1139979,1300828,939042
74,1121759,1075756,1007167,858470,911587,1100002,1167812,1603624,947409,1088924,1084515,1175898,1021067,1019895,1125310,763585,937501,1057008,719285,1011113,923686,1231944,835601,1221503,867435,1020888,1173017,1293809,1099954,1122372,1122186,1015310,935956,787195,1115634,903341,1140610,1140274,1301157,939328
75,1122152,1076180,1007607,858873,911934,1100537,1168273,1604074,947917,1089319,1084848,1176283,1021482,1020253,1125658,764013,937769,1057345,719557,1011476,924079,1232276,835977,1221989,867985,1021415,1173419,1294129,1100187,1122815,1122529,1015666,936256,787601,1116024,903697,1141004,1140736,1301572,939691
76,1122531,1076490,1007950,859206,912162,1100787,1168505,1604393,948197,1089740,1085188,1176722,1021945,1020692,1126046,764355,938152,1057647,719984,1011841,924470,1232679,836292,1222497,868401,1021861,1173903,1294538,1100533,1123295,1122956,1016044,936683,787966,1116429,904166,1141353,1141047,1301994,940098
77,1122921,1076907,1008372,859641,912602,1101132,1168871,1604770,948610,1090155,1085611,1177066,1022314,1021077,1126429,764764,938477,1057989,720352,1012336,924851,1232966,836749,1223001,868882,1022314,1174349,1294835,1100944,1123824,1123378,1016414,937074,788471,1116771,904471,1141788,1141431,1302301,940508
78,1123311,1077317,1008744,860048,913045,1101532,1169201,1605189,949065,1090616,1085936,1177520,1022767,1021474,1126823,765200,938958,1058479,720892,1012703,925183,1233431,837100,1223315,869170,1022592,1174675,1295239,1101191,1124186,1123825,1016824,937442,788990,1117238,904895,1142185,1141833,1302740,940911
79,1123714,1077741,1009166,860415,913405,1101938,1169604,1605550,949483,1091284,1086266,1177889,1023140,1021828,1127146,765500,939186,1058761,721182,1013034,925541,1233888,837487,1223793,869546,1023053,1175139,1295637,1101610,1124563,1124249,1017143,937818,789362,1117660,905267,1142517,1142139,1303108,941244
80,1124078,1078131,1009596,860801,913867,1102360,1170010,1605931,949991,1091547,1086638,1178363,1023589,1022287,1127555,765896,939622,1059164,721681,1013401,925873,1234208,837913,1224225,870047,1023361,1175527,1295989,1101969,1124947,1124699,1017542,938236,789833,1118108,905618,1143001,1142530,1303444,941710
81,1124484,1078534,1010001,861191,914247,1102783,1170349,1606246,950390,1091947,1087005,1178733,1024052,1022787,1127963,766406,939928,1059513,722116,1013806,926227,1234632,838306,1224632,870408,1023799,1175915,1296229,1102315,1125458,1125149,1017887,938539,790277,1118475,906002,1143320,1143015,1304008,942125
82,1124798,1078894,1010319,861586,914705,1103203,1170773,1606607,950815,1092439,1087333,1179131,1024475,1023181,1128249,766736,940358,1059850,722460,1014248,926622,1235093,838719,1225083,870790,1024116,1176351,1296818,1102647,1125771,1125525,1018159,939002,790646,1118849,906414,1143691,1143367,1304314,942543
83,1125267,1079288,1010732,862014,914952,1103574,1171075,1607025,951158,1093074,1087680,1179538,1024853,1023604,1128608,767087,940697,1060210,722841,1014590,927036,1235466,839159,1225525,871227,1024535,1176813,1297048,1103071,1126236,1125999,1018635,939320,791117,1119278,906781,1143976,1143664,1304929,942942
