ops,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
84,1125658,1079682,1011126,862474,915426,1104009,1171495,1607414,951656,1093360,1088025,1179861,1025223,1023955,1128943,767473,941048,1060579,723244,1014983,927382,1235879,839560,1225978,871580,1024895,1177150,1297454,1103441,1126602,1126459,1019045,939665,791485,1119712,907123,1144455,1144131,1305086,943259
85,1126042,1080081,1011484,862799,915850,1104260,1171924,1607736,951960,1093752,1088373,1180269,1025671,1024314,1129207,767780,941388,1060818,723633,1015332,927778,1236316,840033,1226434,871863,1025336,1177507,1297982,1103807,1126992,1126866,1019395,939965,791938,1120097,907543,1144849,1144435,1305674,943698
86,1126455,1080463,1011891,863277,916273,1104774,1172302,1608107,952272,1094185,1088767,1180679,1026145,1024761,1129643,768161,941755,1061168,724042,1015668,928237,1236676,840336,1226954,872386,1025823,1177955,1298318,1104097,1127505,1127339,1019763,940439,792327,1120645,907989,1145258,1144898,1305964,944183
87,1126878,1080893,1012233,863651,916698,1105211,1172717,1608522,952771,1094634,1089101,1181134,1026570,1025197,1130030,768505,942254,1061465,724378,1016176,928562,1237163,840784,1227429,872821,1026239,1178382,1298821,1104434,1127918,1127779,1020118,940846,792819,1121014,908383,1145641,1145289,1306257,944582
88,1127225,1081279,1012678,864099,917113,1105554,1173015,1608835,953147,1095067,1089450,1181476,1026929,1025493,1130312,768952,942502,1061833,724836,1016478,928959,1237452,841215,1227886,873224,1026649,1178846,1299098,1104762,1128234,1128302,1020492,941296,793133,1121522,908778,1146072,1145555,1306605,945029
89,1127660,1081744,1013085,864564,917500,1105907,1173399,1609242,953609,1095516,1089723,1181824,1027304,1025781,1130639,769264,942887,1062229,725168,1016817,929324,1237827,841576,1228387,873552,1026935,1179325,1299507,1105097,1128620,1128658,1020847,941631,793702,1121858,909193,1146508,1145983,1307105,945452
90,1128080,1082174,1013457,864981,918061,1106391,1173825,1609691,953992,1096002,1090032,1182265,1027648,1026171,1131029,769587,943245,1062551,725561,1017213,929709,1238239,841963,1228811,873985,1027378,1179783,1299856,1105444,1129175,1129050,1021232,942105,794061,1122236,909566,1146854,1146357,1307454,945874
91,1128485,1082597,1013883,865348,918425,1106773,1174173,1610004,954451,1096441,1090401,1182691,1028126,1026633,1131485,770027,943594,1062929,725894,1017616,930023,1238594,842308,1229275,874356,1027729,1180111,1300238,1105802,1129492,1129497,1021655,942491,794515,1122635,909963,1147180,1146674,1307859,946221
92,1128882,1082911,1014258,865806,918828,1107180,1174606,1610431,954823,1096914,1090781,1183161,1028556,1027090,1131873,770439,944021,1063340,726323,1018013,930389,1238992,842719,1229730,874709,1028263,1180528,1300598,1106147,1129942,1129948,1022016,942871,795001,1123111,910371,1147633,1147075,1308278,946628
93,1129318,1083405,1014668,866321,919167,1107588,1175003,1610721,955336,1097354,1091161,1183580,1029028,1027485,1132302,770852,944485,1063792,726743,1018395,930802,1239349,843050,1230217,875229,1028581,1180982,1300965,1106487,1130316,1130383,1022444,943247,795480,1123532,910866,1147997,1147481,1308838,947074
94,1129722,1083785,1015155,866665,919718,1108009,1175461,1611191,955681,1097912,1091504,1183989,1029438,1027870,1132598,771324,944899,1064104,727304,1018847,931106,1239710,843513,1230656,875516,1028935,1181282,1301302,1106806,1130630,1130797,1022867,943676,795851,1123936,911251,1148435,1147915,1309048,947488
95,1130098,1084193,1015518,867028,920027,1108545,1175758,1611596,956102,1098256,1091835,1184321,1029849,1028254,1133017,771563,945216,1064417,727641,1019173,931460,1240111,843905,1231094,875903,1029236,1181667,1301615,1107167,1131197,1131297,1023271,944085,796421,1124360,911691,1148815,1148315,1309433,947979
96,1130499,1084612,1015931,867448,920464,1108870,1176256,1611963,956473,1098831,1092167,1184788,1030330,1028726,1133493,772054,945636,1064897,728006,1019561,931742,1240567,844319,1231446,876187,1029608,1182071,1301976,1107542,1131462,1131760,1023629,944506,796900,1124786,912041,1149225,1148776,1309891,948373
97,1130871,1084965,1016316,867870,920865,1109200,1176597,1612430,956905,1099235,1092546,1185150,1030749,1029142,1133849,772404,945997,1065284,728473,1019987,932084,1240847,844683,1231879,876557,1029994,1182491,1302464,1107886,1131817,1132205,1024024,944903,797266,1125245,912382,1149588,1149135,1310396,948812
98,1131150,1085346,1016558,868175,921197,1109604,1176931,1612779,957269,1099588,1092952,1185634,1031174,1029588,1134256,772789,946449,1065602,728856,1020402,932442,1241255,845085,1232357,876973,1030427,1182908,1302801,1108276,1132225,1132611,1024426,945302,797689,1125641,912857,1150002,1149535,1310610,949208
99,1131529,1085711,1016933,868555,921530,1109944,1177276,1613094,957771,1099938,1093285,1186041,1031628,1029976,1134628,773224,946777,1066026,729364,1020807,932766,1241698,845469,1232725,877333,1030810,1183256,1303183,1108546,1132578,1133011,1024811,945686,798103,1126073,913191,1150517,1149872,1310932,949552
100,1131954,1086129,1017440,868974,921976,1110442,1177636,1613542,958300,1100440,1093615,1186399,1031994,1030354,1135018,773559,947194,1066322,729733,1021187,933102,1242125,845919,1233134,877677,1031173,1183682,1303623,1108922,1133054,1133449,1025195,946089,798415,1126337,913627,1150953,1150288,1311394,950026
101,1132335,1086498,1017755,869291,922329,1110713,1178034,1613896,958569,1100829,1093955,1186768,1032365,1030750,1135327,774010,947621,1066659,730085,1021655,933462,1242456,846290,1233600,878051,1031572,1184000,1303980,1109301,1133462,1133825,1025623,946426,798863,1126768,913982,1151266,1150626,1311770,950433
102,1132747,1086913,1018137,869731,922650,1111126,1178471,1614304,959041,1101320,1094297,1187163,1032791,1031133,1135720,774368,948019,1066981,730499,1021953,933767,1242871,846670,1233973,878352,1031899,1184426,1304371,1109606,1133852,1134313,1025984,946926,799286,1127202,914351,1151712,1151040,1312202,950739
103,1133109,1087283,1018559,870087,923121,1111410,1178769,1614579,959543,1101583,1094602,1187609,1033180,1031520,1136041,774847,948395,1067416,730979,1022387,934211,1243243,847042,1234450,878898,1032440,1184942,1304758,1109971,1134288,1134693,1026356,947369,799736,1127610,914721,1152068,1151417,1312483,951145
104,1133415,1087572,1018895,870421,923497,1111779,1179081,1614996,959949,1102079,1094929,1187895,1033540,1031833,1136392,775057,948668,1067633,731264,1022684,934495,1243584,847359,1234883,879226,1032753,1185321,1305046,1110262,1134673,1135112,1026780,947697,800143,1128017,915120,1152587,1151784,1312883,951566
105,1133755,1087943,1019207,870799,923841,1112281,1179364,1615290,960324,1102478,1095311,1188329,1033952,1032304,1136837,775509,949091,1068031,731637,1023057,934885,1243951,847731,1235319,879594,1033105,1185693,1305413,1110636,1135095,1135536,1027182,948116,800566,1128359,915481,1152964,1152195,1313296,951925
106,1134135,1088409,1019607,871263,924305,1112590,1179776,1615675,960837,1102959,1095635,1188719,1034366,1032722,1137220,775887,949521,1068492,732048,1023529,935251,1244273,848101,1235744,879942,1033475,1186098,1305733,1110994,1135562,1136012,1027547,948505,800991,1128856,915831,1153386,1152553,1313651,952324
107,1134523,1088825,1020007,871696,924708,1112947,1180102,1616053,961202,1103420,1095893,1189087,1034706,1033008,1137565,776238,949752,1068751,732273,1023794,935591,1244644,848406,1236156,880303,1033861,1186473,1306101,1111308,1135938,1136454,1027922,948925,801463,1129293,916256,1153842,1153074,1314178,952775
108,1134927,1089195,1020396,872085,925098,1113347,1180572,1616462,961473,1103824,1096306,1189456,1035108,1033438,1137915,776765,950194,1069067,732746,1024176,935981,1245045,848785,1236703,880762,1034231,1186833,1306470,1111678,1136392,1136832,1028330,949314,801828,1129658,916784,1154172,1153382,1314545,953118
109,1135280,1089635,1020762,872523,925459,1113766,1180942,1616959,961877,1104252,1096665,1189898,1035559,1033835,1138367,777098,950624,1069496,733150,1024603,936352,1245415,849189,1237101,881163,1034578,1187315,1306857,1112025,1136824,1137171,1028658,949673,802232,1130033,916944,1154550,1153734,1314929,953556
110,1135620,1089995,1021112,872837,925813,1114146,1181254,1617254,962233,1104544,1097006,1190342,1035978,1034238,1138789,777466,951060,1069917,733597,1025047,936680,1245785,849574,1237534,881598,1035100,1187757,1307160,1112401,1137339,1137643,1029047,950053,802615,1130484,917370,1154998,1154197,1315475,953935
111,1135975,1090381,1021447,873243,926195,1114530,1181664,1617641,962751,1105079,1097357,1190764,1036417,1034615,1139140,777803,951407,1070259,733991,1025392,937042,1246181,850065,1237956,881948,1035484,1188122,1307611,1112731,1137654,1138046,1029408,950429,803020,1130898,917726,1155342,1154522,1315627,954341
112,1136358,1090771,1021828,873586,926600,1114946,1182017,1617945,962950,1105391,1097681,1191171,1036808,1034955,1139515,778146,951818,1070637,734442,1025849,937393,1246534,850352,1238377,882354,1035830,1188521,1307922,1113087,1138093,1138460,1029767,950802,803456,1131311,918182,1155734,1154923,1316091,954797
113,1136816,1091198,1022240,874033,927086,1115348,1182472,1618330,963479,1105887,1098089,1191613,1037266,1035410,1139866,778609,952232,1071123,734881,1026294,937779,1246979,850744,1238798,882771,1036248,1188950,1308384,1113406,1138500,1138783,1030136,951217,803827,1131675,918537,1156170,1155248,1316453,955110
114,1137137,1091614,1022629,874461,927517,1115759,1182893,1618786,963862,1106334,1098408,1191992,1037628,1035761,1140183,778942,952509,1071387,735217,1026635,938152,1247327,851106,1239285,883142,1036561,1189303,1308697,1113763,1138861,1139221,1030489,951615,804332,1132042,918920,1156517,1155662,1316827,955440
115,1137590,1091976,1023038,874821,927816,1116093,1183200,1619141,964280,1106817,1098728,1192349,1037986,1036110,1140649,779268,952856,1071663,735582,1026971,938581,1247720,851488,1239761,883645,1037024,1189798,1309151,1114038,1139364,1139576,1030946,951971,804736,1132405,919311,1157126,1155912,1317197,955866
116,1138000,1092302,1023488,875247,928287,1116421,1183591,1619497,964600,1107218,1099115,1192868,1038430,1036578,1140851,779690,953223,1072089,736131,1027386,938932,1248100,851949,1240218,883998,1037422,1190182,1309467,1114449,1139740,1140018,1031253,952485,805213,1132851,919662,1157351,1156409,1317558,956272
117,1138441,1092826,1023912,875718,928797,1116921,1183994,1619890,965103,1107560,1099513,1193312,1038920,1037017,1141366,780159,953655,1072470,736469,1027775,939294,1248491,852337,1240700,884337,1037821,1190597,1309782,1114794,1140174,1140403,1031601,952816,805631,1133181,920077,1157728,1156823,1317959,956682
118,1138876,1093238,1024252,876141,929142,1117360,1184385,1620343,965478,1108013,1099829,1193699,1039284,1037354,1141659,780486,954026,1072772,736804,1028193,939669,1248912,852761,1241058,884763,1038193,1191049,1310184,1115104,1140504,1140779,1031972,953235,806106,1133586,920453,1158046,1157133,1318326,957084
119,1139243,1093603,1024606,876470,929502,1117718,1184692,1620587,965844,1108404,1100213,1194156,1039697,1037800,1142004,780849,954388,1073160,737288,1028535,940051,1249251,853115,1241561,885113,1038577,1191420,1310537,1115465,1140902,1141257,1032359,953616,806546,1134053,920940,1158443,1157529,1318736,957512
120,1139699,1094009,1025018,876872,929947,1118233,1185002,1620979,966224,1108997,1100600,1194588,1040149,1038178,1142389,781294,954853,1073597,737649,1028951,940370,1249674,853480,1242145,885550,1038973,1191835,1310923,1115752,1141370,1141646,1032670,953999,806856,1134338,921288,1158893,1157928,1319136,957905
121,1140050,1094395,1025420,877276,930506,1118647,1185387,1621335,966585,1109429,1100951,1195035,1040562,1038551,1142774,781703,955223,1073882,738098,1029272,940707,1249986,853889,1242495,885943,1039333,1192117,1311331,1116051,1141843,1142138,1033033,954359,807350,1134801,921604,1159200,1158266,1319549,958302
122,1140452,1094759,1025769,877684,930791,1118869,1185840,1621774,967038,1109843,1101337,1195449,1040999,1038965,1143228,782062,955607,1074335,738645,1029726,941118,1250329,854230,1242982,886293,1039721,1192597,1311675,1116446,1142174,1142574,1033449,954768,807758,1135172,922042,1159540,1158671,1319946,958607
123,1140833,1095111,1026175,878074,931183,1119243,1186269,1622188,967433,1110237,1101752,1195860,1041451,1039359,1143663,782516,955952,1074749,739049,1030169,941472,1250700,854672,1243405,886626,1040172,1193051,1312001,1116835,1142587,1143090,1033829,955047,808242,1135695,922476,1159914,1159047,1320382,959066
124,1141172,1095424,1026430,878442,931448,1119572,1186484,1622440,967878,1110567,1102133,1196263,1041906,1039831,1143990,782866,956341,1075116,739436,1030582,941787,1251128,854998,1243858,887137,1040592,1193393,1312394,1117200,1142982,1143478,1034234,955462,808567,1136014,922912,1160367,1159495,1320767,959498
125,1141556,1095819,1026730,878836,931904,1119942,1186883,1622922,968233,1111080,1102537,1196782,1042360,1040332,1144384,783287,956854,1075486,739829,1031023,942121,1251549,855434,1244237,887540,1040895,1193707,1312797,1117591,1143349,1143914,1034526,955833,809047,1136429,923323,1160785,1159811,1321124,959856
126,1141954,1096231,1027151,879206,932360,1120371,1187283,1623219,968717,1111536,1102870,1197128,1042757,1040671,1144802,783612,957151,1075945,740237,1031459,942451,1251988,855816,1244723,887908,1041304,1194158,1313144,1117830,1143770,1144380,1034877,956241,809527,1136949,923762,1161078,1160206,1321544,960323
127,1142313,1096609,1027576,879613,932682,1120777,1187619,1623553,969118,1111969,1103216,1197531,1043113,1041023,1145219,783997,957479,1076230,740689,1031764,942755,1252336,856201,1245069,888231,1041598,1194495,1313526,1118203,1144033,1144756,1035335,956623,810037,1137216,924245,1161504,1160570,1321940,960662
128,1142690,1097019,1027849,879992,933022,1121037,1187853,1624030,969545,1112280,1103515,1197907,1043506,1041451,1145524,784341,957849,1076581,741093,1032156,943135,1252696,856543,1245471,888596,1041870,1194828,1313885,1118608,1144567,1145224,1035702,956978,810342,1137730,924472,1161932,1160964,1322366,961112
129,1143077,1097474,1028281,880465,933445,1121400,1188288,1624258,969921,1112762,1103810,1198259,1043850,1041787,1145812,784647,958157,1076835,741366,1032477,943435,1253094,856957,1245830,888949,1042246,1195201,1314256,1118990,1144805,1145664,1036054,957427,810816,1138107,924898,1162289,1161343,1322713,961499
130,1143457,1097805,1028619,880777,933841,1121772,1188704,1624571,970297,1113204,1104163,1198643,1044240,1042197,1146201,785086,958531,1077187,741770,1032881,943809,1253487,857378,1246260,889333,1042671,1195595,1314654,1119346,1145169,1146145,1036445,957778,811279,1138667,925360,1162651,1161838,1323158,961992
131,1143862,1098229,1029023,881220,934168,1122139,1189060,1625001,970668,1113704,1104492,1199037,1044646,1042482,1146523,785468,958847,1077658,742107,1033276,944101,1253854,857745,1246642,889689,1043003,1195935,1315036,1119686,1145589,1146587,1036904,958195,811765,1139017,925773,1163128,1162281,1323556,962418
132,1144279,1098633,1029423,881624,934599,1122549,1189522,1625425,971075,1114228,1104850,1199412,1045008,1042885,1146992,785835,959313,1077965,742572,1033619,944510,1254264,858139,1247075,890065,1043366,1196306,1315322,1120007,1145940,1147012,1037200,958577,812225,1139473,926174,1163596,1162688,1323958,962847
133,1144680,1098994,1029870,882068,934965,1123000,1189918,1625804,971395,1114649,1105239,1199846,1045451,1043285,1147460,786227,959626,1078324,742906,1034223,944822,1254634,858459,1247438,890439,1043731,1196617,1315711,1120316,1146292,1147365,1037611,959065,812621,1139833,926546,1163981,1163056,1324355,963242
134,1145168,1099513,1030385,882572,935421,1123407,1190293,1626182,971770,1115209,1105507,1200223,1045859,1043651,1147767,786600,960024,1078670,743319,1034469,945180,1255025,858794,1247828,890837,1044112,1197080,1316041,1120685,1146696,1147838,1038062,959493,812950,1140292,926963,1164440,1163460,1324759,963703
135,1145507,1099880,1030680,882956,935821,1123830,1190726,1626664,972186,1115667,1105885,1200647,1046271,1044074,1148151,786946,960422,1079056,743742,1034709,945509,1255369,859105,1248269,891203,1044508,1197334,1316337,1120915,1147141,1148247,1038423,959843,813422,1140696,927309,1164800,1163830,1325076,964054
136,1145923,1100342,1031154,883357,936267,1124202,1191040,1626990,972697,1116040,1106233,1201007,1046687,1044533,1148533,787434,960805,1079393,744140,1035204,945893,1255739,859507,1248687,891533,1044888,1197788,1316804,1121274,1147536,1148685,1038838,960289,813770,1141023,927610,1165131,1164232,1325498,964534
137,1146381,1100731,1031428,883740,936672,1124599,1191379,1627411,973016,1116489,1106515,1201402,1047043,1044822,1148839,787737,961051,1079713,744413,1035509,946197,1256083,859803,1249042,891864,1045125,1198082,1317077,1121552,1147866,1149168,1039238,960594,814223,1141477,928058,1165580,1164792,1325923,964945
138,1146839,1101150,1031892,884154,937162,1125148,1191800,1627724,973435,1117011,1106859,1201805,1047502,1045236,1149232,788131,961527,1080079,744813,1035879,946581,1256471,860209,1249570,892261,1045589,1198499,1317390,1121862,1148326,1149603,1039655,960976,814643,1141928,928464,1166030,1165048,1326387,965289
139,1147182,1101497,1032279,884537,937561,1125453,1192144,1628171,973803,1117359,1107161,1202150,1047825,1045596,1149578,788442,961883,1080451,745209,1036302,946947,1256766,860485,1249941,892671,1045930,1198824,1317770,1122148,1148740,1150071,1040080,961477,815087,1142307,928857,1166541,1165386,1326786,965718
140,1147576,1101878,1032659,884846,937963,1125797,1192576,1628551,974221,1117783,1107537,1202562,1048298,1045984,1149920,788815,962251,1080719,745547,1036835,947333,1257244,860854,1250422,893126,1046293,1199228,1318184,1122428,1149090,1150501,1040468,961890,815547,1142720,929275,1166886,1165899,1327221,966154
141,1147962,1102320,1032901,885370,938349,1126192,1192947,1628835,974774,1118339,1107860,1203040,1048748,1046385,1150335,789254,962628,1081114,745926,1037096,947690,1257547,861161,1250840,893474,1046703,1199672,1318422,1122880,1149478,1150857,1040781,962274,815915,1143079,929539,1167310,1166215,1327503,966457
142,1148332,1102670,1033292,885753,938803,1126659,1193441,1629328,975159,1118868,1108196,1203395,1049160,1046777,1150782,789694,963055,1081484,746460,1037448,948110,1257886,861554,1251286,893949,1047152,1200002,1318788,1123105,1149928,1151326,1041174,962678,816277,1143429,929884,1167793,1166497,1327865,966818
143,1148708,1103091,1033669,886176,939178,1126969,1193688,1629662,975733,1119165,1108516,1203777,1049507,1047193,1151091,790018,963317,1081778,746680,1037815,948484,1258248,861882,1251755,894305,1047490,1200450,1319110,1123415,1150388,1151722,1041509,962973,816726,1143876,930280,1168133,1166914,1328272,967228
144,1148983,1103426,1033988,886550,939524,1127341,1194005,1629920,976184,1119538,1108833,1204221,1049915,1047583,1151421,790407,963663,1082083,747074,1038230,948852,1258624,862295,1252163,894665,1047800,1200851,1319501,1123753,1150746,1152202,1041900,963429,817174,1144265,930695,1168475,1167291,1328612,967604
145,1149379,1103839,1034347,886874,939894,1127732,1194417,1630346,976541,1119988,1109162,1204640,1050326,1048016,1151817,790816,964096,1082431,747484,1038600,949239,1258989,862613,1252688,895138,1048363,1201274,1319870,1124068,1151237,1152595,1042321,963761,817718,1144702,931117,1169072,1167704,1329023,968123
146,1149808,1104253,1034707,887398,940375,1128085,1194804,1630730,976915,1120506,1109504,1205006,1050720,1048371,1152209,791139,964461,1082930,747925,1039059,949524,1259362,863032,1253071,895450,1048678,1201650,1320183,1124382,1151589,1153010,1042702,964209,818036,1145117,931575,1169365,1168082,1329429,968451
147,1150193,1104567,1035087,887763,940728,1128392,1195172,1631021,977361,1120824,1109838,1205369,1051119,1048789,1152592,791583,964793,1083254,748312,1039394,949978,1259686,863389,1253530,895893,1049113,1202074,1320493,1124778,1152025,1153408,1043025,964523,818487,1145515,931902,1169717,1168462,1329833,968854
148,1150654,1105039,1035519,888177,941185,1128872,1195575,1631431,977687,1121391,1110220,1205745,1051557,1049248,1152932,791932,965168,1083698,748668,1039807,950326,1260117,863768,1253939,896324,1049488,1202429,1320929,1125006,1152364,1153861,1043460,965015,818844,1145974,932198,1170097,1168884,1330228,969381
149,1151066,1105425,1035854,888650,941726,1129308,1195886,1631827,978153,1121840,1110539,1206189,1051932,1049661,1153283,792286,965576,1084003,749051,1040267,950683,1260393,864084,1254384,896601,1049906,1202861,1321282,1125384,1152844,1154245,1043799,965441,819245,1146332,932601,1170574,1169228,1330535,969668
150,1151425,1105819,1036346,889024,942059,1129695,1196280,1632211,978578,1122235,1110949,1206602,1052318,1050105,1153673,792726,965939,1084367,749481,1040619,951045,1260837,864513,1254902,897014,1050294,1203244,1321631,1125744,1153227,1154693,1044143,965804,819679,1146627,933007,1170859,1169563,1330882,970046
151,1151845,1106221,1036686,889471,942427,1130135,1196644,1632754,979087,1122759,1111305,1207110,1052682,1050575,1154082,793124,966402,1084713,749899,1041078,951383,1261199,864906,1255321,897419,1050628,1203641,1322016,1126075,1153683,1155213,1044500,966144,820189,1147131,933512,1171243,1170049,1331416,970698
152,1152233,1106609,1037073,889890,942895,1130476,1197005,1632993,979434,1123198,1111629,1207454,1053148,1050928,1154415,793496,966764,1085055,750372,1041423,951740,1261578,865299,1255770,897843,1051059,1204110,1322435,1126362,1154106,1155599,1044910,966503,820542,1147494,933878,1171586,1170399,1331714,971033
153,1152678,1107077,1037511,890351,943269,1130916,1197419,1633441,979809,1123630,1111915,1207844,1053570,1051291,1154803,793860,967062,1085372,750675,1041784,952100,1262047,865711,1256271,898139,1051407,1204477,1322810,1126790,1154509,1156065,1045266,966880,821013,1147974,934299,1172066,1170764,1332103,971478
154,1153050,1107415,1037883,890703,943694,1131299,1197824,1633726,980246,1124067,1112263,1208242,1054045,1051717,1155110,794199,967397,1085824,751134,1042196,952425,1262459,866066,1256634,898540,1051752,1204869,1323149,1127077,1154987,1156534,1045620,967307,821478,1148356,934750,1172389,1171149,1332457,971855
155,1153372,1107827,1038204,891048,944080,1131592,1198189,1634127,980726,1124428,1112581,1208579,1054397,1052061,1155471,794612,967746,1086149,751514,1042545,952775,1262868,866523,1257045,898934,1052126,1205205,1323649,1127490,1155301,1156966,1046011,967690,821808,1148758,935070,1172761,1171508,1332864,972271
156,1153889,1108239,1038639,891557,944530,1132058,1198609,1634596,981051,1124923,1112929,1208980,1054797,1052465,1155823,794931,968172,1086481,751945,1042968,953137,1263215,866889,1257540,899341,1052561,1205562,1323903,1127799,1155684,1157437,1046394,968103,822269,1149112,935513,1173231,1171905,1333262,972860
157,1154236,1108584,1038950,891901,944840,1132415,1198921,1634899,981496,1125258,1113318,1209387,1055284,1052832,1156279,795352,968617,1086843,752365,1043253,953475,1263640,867281,1257941,899657,1052933,1206012,1324373,1128195,1156072,1157908,1046814,968424,822742,1149590,935923,1173631,1172329,1333659,973051
158,1154613,1108923,1039270,892309,945260,1132780,1199220,1635304,981901,1125705,1113630,1209775,1055662,1053186,1156590,795668,968866,1087189,752709,1043642,953785,1264029,867646,1258291,900024,1053264,1206335,1324711,1128496,1156451,1158302,1047200,968876,823135,1149971,936281,1173972,1172636,1334053,973485
159,1155034,1109391,1039663,892689,945720,1133196,1199609,1635691,982326,1126182,1114006,1210175,1056127,1053609,1157015,796112,969305,1087647,753179,1044068,954145,1264417,867969,1258768,900426,1053640,1206666,1325051,1128900,1156898,1158696,1047596,969295,823532,1150354,936607,1174500,1173004,1334414,973868
160,1155409,1109742,1040049,893061,946075,1133561,1200041,1636033,982624,1126601,1114267,1210527,1056423,1053950,1157315,796438,969597,1087952,753570,1044463,954462,1264824,868361,1259168,900804,1054024,1207020,1325433,1129169,1157289,1159137,1048004,969718,824047,1150812,937067,1174814,1173453,1334820,974291
161,1155828,1110188,1040407,893540,946535,1133885,1200362,1636386,983082,1127011,1114594,1210873,1056839,1054293,1157667,796802,969952,1088290,753886,1044812,954830,1265228,868757,1259629,901179,1054379,1207385,1325807,1129494,1157652,1159438,1048359,970153,824412,1151154,937402,1175350,1173808,1335162,974878
162,1156236,1110573,1040777,893905,946903,1134319,1200729,1636738,983551,1127582,1114975,1211314,1057220,1054723,1157987,797186,970391,1088651,754338,1045175,955108,1265560,869080,1260060,901522,1054756,1207804,1326155,1129821,1158051,1159865,1048694,970520,824812,1151533,937818,1175774,1174171,1335513,975071
163,1156636,1110991,1041160,894383,947339,1134727,1201210,1637136,984004,1127955,1115320,1211691,1057661,1055044,1158423,797518,970696,1088979,754745,1045559,955402,1265992,869457,1260453,901834,1055024,1208127,1326581,1130179,1158428,1160290,1049108,970922,825262,1151883,938246,1176035,1174615,1335895,975539
164,1157064,1111356,1041616,894828,947787,1135235,1201604,1637561,984309,1128426,1115681,1212075,1058075,1055463,1158773,797909,971102,1089325,755074,1045940,955759,1266328,869806,1260908,902293,1055398,1208605,1326856,1130476,1158825,1160746,1049553,971330,825695,1152301,938581,1176413,1175012,1336344,975963
165,1157394,1111780,1042011,895282,948151,1135619,1201994,1637992,984745,1128833,1116017,1212492,1058455,1055836,1159106,798273,971449,1089741,755581,1046284,956161,1266754,870200,1261336,902635,1055788,1209045,1327291,1130793,1159287,1161227,1049885,971779,826117,1152751,939056,1176873,1175376,1336679,976407
166,1157718,1112118,1042330,895645,948487,1135992,1202269,1638328,985120,1129283,1116371,1212861,1058886,1056213,1159522,798648,971776,1089991,755853,1046624,956544,1267157,870558,1261878,903090,1056225,1209446,1327619,1131073,1159707,1161690,1050201,972221,826635,1153198,939433,1177172,1175836,1337179,976874
167,1158081,1112500,1042728,896033,948908,1136326,1202587,1638755,985633,1129771,1116726,1213245,1059299,1056623,1159842,799053,972100,1090431,756244,1047039,956859,1267547,870947,1262312,903393,1056583,1209899,1327969,1131394,1160126,1162117,1050584,972573,827104,1153630,939831,1177538,1176300,1337542,977368
168,1158517,1112936,1043122,896491,949313,1136761,1203009,1639109,985956,1130168,1117080,1213654,1059746,1057021,1160281,799488,972518,1090858,756654,1047539,957141,1267910,871344,1262659,903723,1056929,1210225,1328362,1131744,1160475,1162523,1050995,972950,827453,1153940,940111,1178005,1176574,1337830,977680
169,1158871,1113326,1043521,896900,949713,1137119,1203379,1639522,986434,1130673,1117378,1214043,1060103,1057366,1160558,799839,972871,1091141,757004,1047803,957571,1268243,871667,1263193,904116,1057326,1210608,1328692,1132084,1160811,1162944,1051390,973243,827875,1154346,940473,1178378,1177051,1338234,978139
170,1159292,1113677,1043854,897290,950093,1137427,1203700,1639834,986675,1130952,1117770,1214487,1060676,1057819,1161062,800248,973188,1091618,757375,1048305,957901,1268663,871998,1263626,904534,1057745,1211009,1329008,1132382,1161224,1163373,1051734,973747,828343,1154705,940939,1178738,1177396,1338646,978485
171,1159696,1114098,1044200,897685,950525,1137880,1204210,1640243,987225,1131424,1118063,1214863,1060999,1058171,1161408,800612,973591,1091931,757818,1048666,958287,1269070,872291,1264113,904986,1058100,1211341,1329352,1132696,1161674,1163793,1052121,974028,828804,1155186,941307,1179189,1177759,1339035,978975
