subop,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,738114,706585,653338,568292,585020,742764,899637,1203050,555116,582244,585373,731048,549709,713132,726736,407432,546092,730580,471332,652275,543282,687788,550415,762961,487111,467886,788001,757972,647353,661786,800616,581377,435674,327334,659935,634233,876264,881079,702302,562533
1,738226,706716,653454,568384,585132,742834,899722,1203134,555225,582358,585489,731177,549834,713238,726809,407503,546167,730668,471403,652358,543435,687923,550540,763085,487235,468005,788087,758047,647442,661913,800759,581483,435792,327451,660063,634348,876358,881181,702425,562649
2,738436,706910,653631,568616,585322,743063,899891,1203359,555440,582632,585657,731429,550041,713430,726999,407715,546349,730857,471585,652524,543645,688111,550724,763318,487438,468178,788270,758266,647610,662057,800994,581673,435965,327689,660259,634498,876566,881371,702627,562894
3,738627,707121,653796,568808,585394,743254,900099,1203526,555630,582853,585825,731631,550224,713634,727177,407879,546500,731051,471821,652714,543838,688256,550910,763553,487587,468386,788456,758453,647771,662250,801171,581829,436185,327876,660456,634737,876794,881577,702773,563050
4,738826,707320,654009,569023,585758,743494,900355,1203785,555826,583140,585998,731817,550432,713842,727334,408038,546698,731252,472039,652911,544080,688466,551130,763780,487794,468582,788663,758622,647987,662493,801425,582114,436389,328157,660664,634948,876964,881773,702942,563219
5,739032,707560,654204,569257,585935,743653,900535,1204046,556027,583381,586161,732023,550640,714091,727548,408245,546899,731466,472300,653057,544244,688648,551298,763972,487986,468776,788848,758780,648138,662665,801626,582298,436565,328390,660859,635110,877137,881968,703124,563419
6,739187,707751,654375,569468,586121,743825,900759,1204180,556251,583608,586353,732237,550823,714300,727717,408515,547055,731642,472532,653274,544450,688828,551491,764180,488134,468959,789013,758961,648323,662857,801870,582497,436791,328597,661079,635354,877346,882201,703350,563638
7,739382,707935,654532,569644,586281,743975,900848,1204344,556385,583801,586519,732487,550992,714523,727906,408687,547226,731860,472697,653479,544673,689033,551681,764425,488323,469162,789237,759177,648489,663060,802082,582710,436967,328803,661272,635513,877555,882397,703564,563800
8,739574,708161,654760,569859,586477,744130,901102,1204524,556635,584134,586668,732695,551227,714719,728109,408901,547387,732108,472960,653685,544861,689200,551872,764665,488536,469384,789396,759371,648703,663258,802313,582882,437205,329053,661491,635725,877817,882617,703776,564012
9,739744,708360,654886,570064,586624,744362,901276,1204749,556828,584318,586805,732844,551351,714876,728250,409037,547536,732204,473072,653827,545048,689385,552077,764907,488713,469585,789623,759547,648883,663476,802534,583048,437378,329247,661683,635907,878001,882794,703932,564223
10,739931,708573,655131,570260,586853,744574,901489,1204952,557056,584599,587000,733062,551594,715052,728429,409230,547721,732433,473285,654044,545274,689551,552257,765122,488884,469729,789832,759746,649034,663602,802765,583250,437593,329499,661908,636130,878226,882960,704162,564411
11,740145,708795,655329,570481,587053,744746,901695,1205152,557267,584821,587143,733268,551788,715227,728590,409446,547873,732541,473538,654246,545481,689733,552429,765386,489048,469970,790070,759924,649194,663778,803022,583417,437808,329725,662123,636316,878423,883235,704355,564566
12,740357,708984,655517,570673,587236,744916,901841,1205303,557467,585029,587333,733485,551964,715458,728811,409628,548088,732783,473762,654436,545691,689910,552636,765611,489234,470207,790283,760087,649407,664007,803279,583604,438023,329955,662344,636538,878654,883453,704578,564768
13,740573,709233,655749,570907,587437,745179,902051,1205526,557696,585294,587491,733694,552132,715639,728941,409800,548286,732975,474028,654605,545905,690080,552799,765830,489403,470368,790510,760306,649602,664246,803537,583801,438239,330182,662582,636743,878876,883649,704849,564979
14,740776,709440,655963,571125,587660,745323,902259,1205743,557884,585626,587690,733935,552370,715834,729160,409954,548447,733142,474231,654776,546087,690251,553021,766061,489574,470549,790649,760493,649748,664443,803735,583956,438420,330392,662783,636908,879068,883864,704978,565188
15,740987,709635,656143,571349,587845,745500,902440,1205859,558134,585802,587839,734119,552516,715996,729351,410131,548633,733335,474415,654995,546325,690444,553234,766308,489780,470747,790912,760677,649950,664580,803948,584155,438609,330625,662999,637115,879295,884112,705179,565411
16,741212,709882,656377,571598,588086,745735,902641,1206125,558312,586131,588007,734314,552741,716171,729514,410345,548734,733505,474605,655184,546540,690608,553449,766539,489965,470973,791087,760836,650146,664774,804167,584353,438780,330788,663173,637292,879459,884285,705307,565565
17,741414,710119,656551,571788,588279,745970,902803,1206335,558559,586356,588166,734553,552929,716370,729682,410596,548936,733661,474832,655358,546803,690768,553672,766831,490134,471161,791318,761042,650354,665041,804381,584547,438999,331082,663404,637526,879745,884521,705530,565736
18,741695,710339,656805,571991,588512,746237,903039,1206552,558863,586680,588344,734771,553167,716583,729887,410775,549100,733924,475055,655573,546994,691032,553872,767090,490353,471371,791505,761231,650509,665206,804595,584765,439180,331243,663614,637661,879930,884648,705692,565924
19,741913,710586,657017,572288,588699,746440,903203,1206839,559125,586929,588514,734966,553336,716777,730067,410932,549299,734009,475306,655732,547215,691221,554107,767315,490508,471601,791794,761424,650749,665449,804818,584928,439400,331443,663812,637861,880156,884880,705883,566083
20,742117,710810,657214,572506,588933,746654,903493,1207044,559286,587226,588672,735173,553549,716941,730200,411121,549472,734214,475466,655950,547406,691373,554297,767492,490673,471787,791981,761633,650860,665605,805044,585157,439577,331684,664029,638126,880381,885097,706018,566314
21,742323,711032,657403,572778,589125,746847,903681,1207284,559531,587476,588842,735390,553741,717093,730331,411337,549678,734409,475704,656182,547631,691548,554495,767757,490874,471964,792142,761804,651032,665863,805246,585320,439804,331895,664232,638278,880675,885377,706291,566568
22,742527,711258,657606,573022,589411,747090,903929,1207504,559751,587774,589009,735579,553932,717287,730574,411487,549828,734550,475875,656314,547853,691737,554683,767968,491032,472167,792354,761982,651231,666075,805438,585523,439968,332113,664430,638460,880821,885543,706439,566691
23,742740,711442,657810,573247,589634,747272,904110,1207773,560019,588109,589169,735778,554131,717479,730698,411713,549952,734713,476088,656505,548059,691934,554899,768207,491262,472441,792642,762192,651514,666312,805692,585757,440172,332324,664673,638668,881068,885783,706607,566923
24,742947,711654,657998,573467,589819,747526,904306,1207998,560221,588339,589358,736013,554315,717705,730892,411889,550171,734947,476316,656744,548297,692074,555050,768444,491433,472589,792773,762339,651653,666505,805958,585929,440406,332605,664916,638868,881332,885972,706825,567153
25,743171,711876,658219,573666,590012,747690,904472,1208135,560398,588569,589504,736231,554526,717895,731037,412092,550352,735100,476514,656896,548537,692252,555247,768698,491616,472790,793026,762557,651820,666666,806190,586138,440596,332824,665109,639120,881562,886250,707050,567335
26,743351,712065,658400,573861,590162,747874,904658,1208345,560592,588772,589697,736451,554728,718076,731220,412279,550546,735295,476766,657150,548737,692447,555446,768916,491837,472999,793246,762768,652009,666880,806412,586337,440796,332993,665334,639321,881798,886455,707289,567589
27,743574,712248,658568,574075,590321,748097,904829,1208583,560796,589069,589864,736676,554924,718320,731406,412439,550722,735476,476972,657308,548984,692620,555638,769228,492016,473219,793433,762958,652196,667062,806580,586477,440981,333202,665465,639503,881941,886574,707491,567702
28,743778,712514,658793,574328,590582,748283,905070,1208792,561045,589279,589969,736846,555063,718452,731543,412592,550856,735657,477147,657474,549188,692808,555830,769455,492182,473396,793612,763156,652358,667275,806783,586675,441164,333454,665694,639728,882168,886789,707634,567865
29,743978,712775,659031,574612,590793,748508,905235,1209009,561267,589483,590158,737038,555273,718659,731730,412791,551017,735871,477355,657652,549393,692997,556000,769686,492401,473584,793835,763328,652517,667468,806986,586841,441366,333637,665884,639910,882369,886986,707802,568089
30,744170,712973,659235,574854,590987,748740,905498,1209257,561498,589776,590344,737238,555481,718844,731880,412956,551224,736003,477623,657829,549573,693175,556225,769870,492556,473753,794039,763479,652685,667709,807199,587047,441566,333882,666064,640104,882607,887148,707957,568261
31,744402,713175,659445,575037,591199,748928,905698,1209478,561691,590004,590496,737480,555688,719045,732077,413132,551373,736155,477867,658036,549785,693361,556457,770165,492773,473982,794259,763671,652879,667887,807385,587220,441780,334069,666284,640298,882806,887400,708193,568464
32,744595,713393,659644,575232,591413,749139,905850,1209701,561905,590294,590695,737678,555884,719241,732264,413346,551564,736324,477980,658220,549990,693514,556643,770385,492931,474229,794431,763869,653046,668081,807644,587393,441975,334335,666511,640535,883023,887612,708369,568670
33,744793,713565,659798,575528,591607,749310,906065,1209940,562147,590617,590863,737896,556083,719434,732475,413569,551735,736501,478190,658442,550208,693710,556850,770640,493167,474447,794647,764084,653260,668288,807870,587628,442178,334572,666728,640722,883232,887840,708555,568857
34,744974,713725,660037,575698,591772,749468,906208,1210051,562274,590823,591035,738067,556285,719608,732649,413755,551984,736688,478430,658624,550409,693875,557031,770840,493329,474595,794865,764264,653393,668463,808068,587802,442347,334798,666919,640927,883510,888064,708722,569114
35,745194,713951,660231,575944,591988,749711,906355,1210272,562543,591077,591202,738309,556442,719810,732813,413906,552142,736869,478615,658820,550579,694045,557180,771062,493544,474786,794995,764418,653544,668657,808298,588003,442574,334982,667127,641141,883760,888306,708955,569314
36,745410,714175,660452,576165,592207,749926,906631,1210460,562791,591319,591363,738504,556629,719988,732974,414086,552290,737093,478784,658973,550795,694208,557380,771257,493676,474967,795185,764592,653737,668851,808446,588167,442748,335179,667338,641321,883866,888481,709106,569490
37,745588,714372,660664,576418,592408,750135,906892,1210676,563005,591606,591513,738722,556819,720132,733153,414246,552511,737233,479004,659147,551005,694409,557571,771491,493846,475147,795432,764796,653893,669051,808699,588309,442905,335372,667524,641422,884070,888644,709233,569677
38,745762,714592,660844,576567,592592,750342,907020,1210836,563219,591833,591650,738908,556970,720285,733335,414459,552614,737415,479224,659328,551235,694605,557775,771695,494049,475362,795588,764984,654045,669250,808927,588537,443132,335641,667758,641677,884349,888911,709462,569899
39,745967,714807,661023,576808,592763,750586,907167,1211030,563445,592097,591811,739107,557133,720459,733497,414632,552800,737572,479378,659538,551421,694778,557959,771952,494278,475591,795838,765204,654254,669493,809167,588761,443311,335847,667890,641861,884565,889086,709734,570070
40,746159,715023,661219,577040,593017,750724,907378,1211268,563672,592335,591983,739310,557330,720659,733669,414836,553005,737823,479654,659742,551628,694987,558141,772151,494405,475779,796024,765344,654382,669652,809402,588926,443512,336109,668230,642074,884777,889316,709874,570271
41,746332,715237,661453,577282,593174,750980,907625,1211448,563894,592654,592150,739529,557517,720813,733727,414973,553124,737948,479757,659896,551896,695193,558379,772444,494629,475968,796238,765556,654576,669840,809629,589130,443701,336349,668412,642289,884972,889571,710075,570443
42,746550,715409,661647,577510,593410,751147,907755,1211640,564134,592913,592317,739754,557735,721032,733979,415196,553359,738159,480023,660123,552089,695371,558567,772657,494821,476144,796428,765769,654774,670060,809845,589317,443912,336598,668650,642528,885196,889716,710288,570693
43,746727,715670,661845,577754,593642,751366,907937,1211823,564319,593220,592483,739952,557942,721226,734167,415378,553541,738359,480251,660300,552334,695586,558757,772957,495005,476358,796643,765983,654961,670270,810075,589510,444105,336794,668845,642709,885407,889945,710445,570865
44,746953,715889,662081,577970,593865,751579,908127,1212032,564607,593453,592650,740172,558158,721423,734310,415558,553693,738507,480487,660470,552554,695773,558977,773190,495200,476615,796876,766166,655156,670505,810283,589717,444299,336976,669069,642904,885662,890147,710664,571064
45,747138,716109,662268,578143,594014,751799,908378,1212269,564811,593739,592808,740354,558287,721580,734518,415769,553859,738704,480655,660638,552776,695972,559179,773466,495389,476785,797091,766389,655364,670671,810510,589899,444513,337255,669210,643120,885895,890341,710797,571295
46,747334,716301,662484,578413,594241,751951,908606,1212439,565073,594009,592963,740560,558485,721779,734687,415947,554018,738870,480828,660785,553000,696119,559370,773718,495594,477007,797313,766544,655541,670875,810739,590120,444626,337452,669487,643317,886101,890569,711003,571517
47,747531,716496,662622,578559,594423,752177,908783,1212636,565184,594318,593129,740810,558710,721990,734916,416219,554231,739160,481062,661035,553226,696276,559602,773915,495814,477206,797483,766817,655699,671088,810946,590262,444907,337653,669715,643470,886347,890698,711220,571684
48,747682,716708,662839,578847,594601,752365,908984,1212843,565429,594489,593317,741048,558897,722167,735112,416357,554464,739317,481328,661167,553435,696455,559805,774170,495996,477366,797678,767009,655915,671288,811147,590471,445120,337875,669911,643662,886533,890939,711409,571869
49,747871,716870,663030,579006,594779,752555,909176,1212991,565642,594704,593501,741264,559090,722401,735295,416531,554609,739486,481540,661422,553645,696631,560034,774416,496199,477639,797935,767304,656167,671554,811359,590631,445302,338133,670114,643849,886728,891174,711572,572093
50,748045,717095,663258,579241,594980,752774,909373,1213257,565850,594931,593636,741468,559289,722602,735483,416748,554817,739639,481746,661630,553824,696846,560233,774592,496355,477766,798087,767453,656286,671724,811559,590812,445500,338357,670347,644062,886949,891322,711747,572232
51,748279,717319,663444,579444,595218,752947,909559,1213466,566041,595190,593824,741679,559493,722768,735664,416979,555007,739806,481969,661791,554003,697047,560435,774847,496575,477972,798315,767638,656493,671977,811765,590986,445668,338553,670478,644234,887144,891568,711944,572438
52,748486,717550,663638,579640,595436,753181,909721,1213634,566246,595453,594004,741916,559687,723003,735837,417160,555195,740035,482179,661981,554187,697220,560626,775061,496735,478162,798504,767810,656685,672129,811995,591175,445861,338774,670680,644436,887350,891749,712119,572621
