kbmemfree,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,339052.0,347620.0,346532.0,346672.0,346852.0,347116.0,347660.0,346992.0,346192.0,346804.0,341240.0,341084.0,341344.0,340516.0,340784.0,341912.0,340824.0,344428.0,341056.0,340948.0,345944.0,340180.0,340848.0,340636.0,338180.0,341072.0,340940.0,340792.0,339940.0,340944.0,341136.0,347544.0,342008.0,340636.0,341512.0,340296.0,340740.0,340936.0,340776.0,341332.0,339528.0,341232.0,347160.0,339024.0,341552.0,341500.0,341536.0,340056.0,338220.0,341760.0,342456.0,338404.0,341996.0,343828.0,340108.0,343704.0,343888.0,341696.0,346052.0,341812.0,344100.0,343952.0,341700.0,342232.0,340912.0,341204.0,341852.0,341472.0,341500.0,341200.0,341672.0,340984.0,341676.0,341916.0,342248.0,341440.0,341804.0,341636.0,341516.0,340592.0,340836.0,341380.0,340816.0,340932.0,341396.0,341848.0,342204.0,341940.0,341196.0,341280.0,341392.0,341160.0,341144.0,342404.0,342412.0,340916.0,341248.0,341276.0,341096.0,341120.0,341424.0,341200.0,341372.0,341240.0,341700.0,341548.0,341396.0,341588.0,341492.0,341444.0,341484.0,340180.0,341512.0,341036.0,340212.0,340644.0,341580.0,341212.0,340420.0,340436.0,340840.0,341312.0,340960.0,340264.0,340588.0,341388.0,341040.0,340696.0,340868.0,341160.0,341108.0,339644.0,340356.0,341092.0,340380.0,340992.0,341676.0,341304.0,341288.0,340200.0
1,339068.0,347620.0,346548.0,346564.0,346852.0,347116.0,347660.0,346992.0,346216.0,346804.0,341240.0,341084.0,341344.0,340516.0,340808.0,341912.0,340700.0,344304.0,341056.0,340948.0,345968.0,340180.0,340848.0,340636.0,338180.0,341072.0,340940.0,340792.0,339940.0,340944.0,341012.0,347568.0,342008.0,340660.0,341388.0,340296.0,340632.0,340960.0,340652.0,341332.0,339528.0,341232.0,347160.0,339024.0,341552.0,341500.0,341536.0,340056.0,338220.0,341760.0,342456.0,338404.0,341996.0,343828.0,340132.0,343704.0,343912.0,341696.0,346052.0,341812.0,344124.0,343952.0,341700.0,342232.0,340912.0,341228.0,341852.0,341472.0,341500.0,341224.0,341696.0,341008.0,341676.0,341940.0,342248.0,341464.0,341804.0,341636.0,341516.0,340592.0,340852.0,341404.0,340816.0,340932.0,341272.0,341848.0,342204.0,341940.0,341196.0,341304.0,341416.0,341184.0,341168.0,342404.0,342288.0,340916.0,341248.0,341276.0,341120.0,341144.0,341448.0,341076.0,341272.0,341240.0,341700.0,341572.0,341396.0,341588.0,341516.0,341320.0,341484.0,340180.0,341512.0,341036.0,340088.0,340644.0,341604.0,341212.0,340444.0,340436.0,340840.0,341312.0,340984.0,340264.0,340612.0,341388.0,341064.0,340696.0,340868.0,341036.0,341108.0,339668.0,340364.0,341100.0,340380.0,340892.0,341676.0,341304.0,341164.0,340224.0
2,339068.0,347620.0,346548.0,346564.0,346852.0,347116.0,347660.0,346992.0,346216.0,346804.0,341240.0,341084.0,341344.0,340516.0,340808.0,341912.0,340700.0,344304.0,341056.0,340948.0,345968.0,340180.0,340848.0,340636.0,338180.0,341072.0,340940.0,340792.0,339940.0,340944.0,341012.0,347568.0,342008.0,340660.0,341388.0,340296.0,340632.0,340960.0,340652.0,341332.0,339528.0,341232.0,347160.0,339024.0,341552.0,341500.0,341536.0,340056.0,338220.0,341760.0,342456.0,338404.0,341996.0,343828.0,340132.0,343704.0,343912.0,341696.0,346052.0,341812.0,344124.0,343952.0,341700.0,342232.0,340912.0,341228.0,341852.0,341472.0,341500.0,341224.0,341696.0,341008.0,341676.0,341940.0,342248.0,341464.0,341804.0,341636.0,341516.0,340592.0,340852.0,341404.0,340816.0,340932.0,341280.0,341848.0,342204.0,341940.0,341196.0,341304.0,341416.0,341184.0,341168.0,342280.0,342288.0,340916.0,341248.0,341276.0,340872.0,341144.0,341448.0,341076.0,341272.0,341240.0,341708.0,341572.0,341396.0,341588.0,341516.0,341320.0,341484.0,340180.0,341512.0,341036.0,340088.0,340644.0,341604.0,341212.0,340444.0,340436.0,340840.0,341312.0,340984.0,340264.0,340612.0,341388.0,341064.0,340696.0,340868.0,341036.0,341108.0,339668.0,340364.0,341100.0,340380.0,341016.0,341676.0,341304.0,340916.0,340232.0
3,339068.0,347620.0,346548.0,346564.0,346852.0,347116.0,347660.0,346992.0,346216.0,346804.0,341240.0,341084.0,341344.0,340516.0,340808.0,341912.0,340700.0,344304.0,341056.0,340948.0,345968.0,340180.0,340848.0,340636.0,338180.0,341072.0,340940.0,340792.0,339940.0,340944.0,341012.0,347568.0,342008.0,340660.0,341388.0,340296.0,340632.0,340960.0,340652.0,341332.0,339528.0,341232.0,347160.0,339024.0,341552.0,341500.0,341536.0,340056.0,338220.0,341760.0,342456.0,338404.0,341996.0,343828.0,340132.0,343704.0,343912.0,341696.0,346052.0,341812.0,344124.0,343952.0,341700.0,342232.0,340912.0,341228.0,341852.0,341472.0,341500.0,341224.0,341696.0,341008.0,341676.0,341940.0,342248.0,341464.0,341804.0,341636.0,341516.0,340592.0,340852.0,341404.0,340816.0,340932.0,341280.0,341848.0,342204.0,341940.0,341196.0,341304.0,341416.0,341184.0,341168.0,342288.0,342288.0,340916.0,341248.0,341276.0,341004.0,341144.0,341448.0,341076.0,341272.0,341240.0,341708.0,341572.0,341396.0,341588.0,341516.0,341320.0,341484.0,340180.0,341512.0,341036.0,340088.0,340644.0,341604.0,341212.0,340444.0,340436.0,340840.0,341312.0,340984.0,340264.0,340612.0,341388.0,341064.0,340696.0,340868.0,341036.0,341108.0,339668.0,340364.0,341100.0,340380.0,341024.0,341676.0,341304.0,341164.0,340232.0
4,339068.0,347620.0,346548.0,346564.0,346852.0,347116.0,347660.0,346992.0,346216.0,346804.0,341240.0,341084.0,341344.0,340516.0,340808.0,341912.0,340700.0,344304.0,341056.0,340948.0,345968.0,340180.0,340848.0,340636.0,338180.0,341072.0,340940.0,340792.0,339940.0,340944.0,341012.0,347568.0,342008.0,340660.0,341388.0,340296.0,340632.0,340960.0,340652.0,341332.0,339528.0,341232.0,347160.0,339024.0,341552.0,341500.0,341536.0,340056.0,338220.0,341760.0,342456.0,338404.0,341996.0,343828.0,340132.0,343704.0,343912.0,341696.0,346052.0,341812.0,344124.0,343952.0,341700.0,342232.0,340912.0,341228.0,341852.0,341472.0,341500.0,341224.0,341696.0,341008.0,341676.0,341940.0,342248.0,341464.0,341804.0,341636.0,341516.0,340592.0,340852.0,341404.0,340816.0,340932.0,341280.0,341848.0,342204.0,341940.0,341196.0,341304.0,341416.0,341184.0,341168.0,342288.0,342288.0,340916.0,341248.0,341028.0,341004.0,341144.0,341448.0,341076.0,341148.0,341240.0,341708.0,341572.0,341396.0,341588.0,341516.0,341320.0,341484.0,340180.0,341512.0,341036.0,340088.0,340644.0,341604.0,341212.0,340444.0,340436.0,340840.0,341312.0,340984.0,340264.0,340612.0,341388.0,341064.0,340696.0,340868.0,341036.0,341108.0,339668.0,340364.0,341100.0,340380.0,341024.0,341552.0,341304.0,341172.0,340232.0
5,339068.0,347604.0,346548.0,346564.0,346580.0,346976.0,346512.0,346688.0,346216.0,345508.0,341116.0,341084.0,341344.0,340516.0,340684.0,341912.0,340700.0,344304.0,340916.0,340948.0,345968.0,340180.0,340848.0,340504.0,338180.0,341072.0,340760.0,340520.0,339940.0,340944.0,341012.0,347568.0,341736.0,340660.0,341388.0,340072.0,340632.0,340960.0,340652.0,341184.0,339528.0,339672.0,345560.0,338968.0,341428.0,341368.0,341536.0,339932.0,338220.0,341760.0,342340.0,338404.0,341692.0,343540.0,340132.0,343524.0,343912.0,341696.0,345748.0,341688.0,344124.0,343952.0,341528.0,342232.0,340912.0,341228.0,341728.0,341324.0,340368.0,341224.0,341696.0,341008.0,341676.0,341940.0,342248.0,341464.0,341804.0,341636.0,341352.0,340592.0,340852.0,341404.0,339668.0,339256.0,340140.0,340188.0,340620.0,340324.0,339388.0,341304.0,341416.0,341184.0,341168.0,342008.0,342288.0,340916.0,341248.0,341028.0,341004.0,341144.0,341448.0,341076.0,341148.0,339440.0,340008.0,341572.0,341396.0,341588.0,341392.0,341320.0,339900.0,340180.0,341512.0,340888.0,340088.0,340520.0,341604.0,341080.0,340444.0,340436.0,339628.0,339696.0,340984.0,340264.0,340612.0,341240.0,341064.0,340696.0,340728.0,341036.0,341108.0,339668.0,340364.0,341100.0,340256.0,341024.0,341560.0,341156.0,341172.0,340232.0
6,338960.0,347620.0,346408.0,346424.0,346604.0,346868.0,347568.0,346712.0,345952.0,346680.0,341116.0,340968.0,341196.0,340368.0,340600.0,341732.0,340716.0,344264.0,340916.0,340768.0,345696.0,340000.0,340708.0,340512.0,338180.0,340956.0,340784.0,340544.0,339940.0,340804.0,340896.0,346436.0,341760.0,340512.0,341208.0,340080.0,340484.0,340780.0,340504.0,341184.0,339364.0,341108.0,346880.0,338868.0,341304.0,341376.0,341388.0,339932.0,338056.0,341580.0,342340.0,338188.0,341716.0,343548.0,339952.0,343548.0,343788.0,340572.0,345772.0,341688.0,343984.0,343812.0,341544.0,342052.0,340640.0,341136.0,341728.0,341348.0,341376.0,341084.0,341448.0,340752.0,341552.0,341816.0,342124.0,341308.0,341640.0,341488.0,341360.0,339040.0,340688.0,340076.0,340816.0,340808.0,341156.0,341724.0,342112.0,341816.0,340932.0,339752.0,339880.0,341036.0,339848.0,342132.0,342140.0,340736.0,340092.0,339500.0,339872.0,339468.0,339732.0,339336.0,339564.0,341116.0,341584.0,339952.0,339812.0,340456.0,341184.0,339776.0,341392.0,340048.0,341364.0,340912.0,339940.0,340520.0,341332.0,341088.0,339304.0,338768.0,340652.0,341156.0,339844.0,340092.0,340512.0,341140.0,340884.0,340548.0,340744.0,340888.0,340960.0,339528.0,340216.0,340968.0,340256.0,340964.0,340436.0,341180.0,340040.0,339100.0
7,338976.0,347480.0,346424.0,346440.0,346464.0,346860.0,347436.0,346720.0,345968.0,346500.0,340968.0,340992.0,341220.0,340392.0,340600.0,341756.0,340732.0,344272.0,340916.0,340792.0,345844.0,340000.0,340724.0,340472.0,338056.0,340980.0,340784.0,340364.0,339816.0,340820.0,340920.0,347444.0,341736.0,340536.0,341232.0,340080.0,340508.0,340780.0,340528.0,341168.0,339372.0,341016.0,346856.0,338868.0,341280.0,341228.0,341412.0,339908.0,338064.0,341604.0,342308.0,338188.0,341692.0,343580.0,339976.0,343548.0,343788.0,341604.0,345772.0,341664.0,343876.0,343828.0,341444.0,342076.0,340664.0,341136.0,341604.0,341332.0,341284.0,341100.0,341448.0,340760.0,341552.0,341816.0,342124.0,341308.0,341648.0,341512.0,341228.0,340500.0,340696.0,341232.0,340668.0,340784.0,341156.0,341716.0,342056.0,341768.0,340948.0,341212.0,341292.0,341060.0,340980.0,342108.0,342164.0,340760.0,341108.0,341068.0,340880.0,341020.0,341324.0,340920.0,340992.0,341148.0,341412.0,341448.0,341272.0,341496.0,341184.0,341196.0,341212.0,340056.0,341388.0,340904.0,339964.0,340496.0,341356.0,341072.0,340304.0,340312.0,340628.0,341164.0,340892.0,340108.0,340520.0,341172.0,340784.0,340572.0,340652.0,340912.0,340984.0,339420.0,340240.0,340976.0,340248.0,340964.0,341436.0,341180.0,341048.0,340108.0
8,338804.0,347496.0,346292.0,346284.0,346480.0,346868.0,347444.0,346744.0,345788.0,346524.0,340992.0,340968.0,341220.0,340392.0,340576.0,341732.0,340640.0,344148.0,340808.0,340612.0,345796.0,340048.0,340600.0,340496.0,338056.0,340824.0,340660.0,340388.0,339760.0,340696.0,340740.0,347436.0,341636.0,340380.0,341224.0,340080.0,340476.0,340680.0,340472.0,341176.0,339280.0,341016.0,346880.0,338868.0,341304.0,341252.0,341444.0,339932.0,338056.0,341456.0,342332.0,338164.0,341716.0,343580.0,339952.0,343424.0,343772.0,341572.0,345772.0,341688.0,343852.0,343704.0,341452.0,341968.0,340664.0,341012.0,341604.0,341348.0,341284.0,340976.0,341440.0,340760.0,341460.0,341808.0,342124.0,341308.0,341532.0,341388.0,341236.0,340460.0,340572.0,341108.0,340692.0,340808.0,341032.0,341724.0,341956.0,341660.0,340964.0,341156.0,341324.0,341060.0,340832.0,342132.0,342140.0,340792.0,340952.0,341036.0,340856.0,340996.0,341340.0,340896.0,340968.0,341024.0,341428.0,341448.0,341124.0,341316.0,341152.0,341196.0,341236.0,339900.0,341356.0,340912.0,339964.0,340520.0,341364.0,341088.0,340336.0,340288.0,340652.0,341188.0,340892.0,340084.0,340340.0,341172.0,340784.0,340424.0,340652.0,340888.0,340860.0,339412.0,340116.0,340852.0,340248.0,340948.0,341436.0,341180.0,341016.0,340172.0
9,338820.0,347496.0,346300.0,346300.0,346480.0,346868.0,347444.0,346744.0,345812.0,346524.0,340992.0,340992.0,341220.0,340392.0,340600.0,341756.0,340640.0,344148.0,340808.0,340636.0,345688.0,340048.0,340600.0,340496.0,338056.0,340824.0,340660.0,340388.0,339784.0,340696.0,340764.0,347444.0,341636.0,340380.0,341108.0,340080.0,340476.0,340680.0,340496.0,341176.0,339280.0,341016.0,346880.0,338868.0,341304.0,341252.0,341444.0,339932.0,338064.0,341480.0,342332.0,338188.0,341716.0,343580.0,339976.0,343424.0,343788.0,341572.0,345772.0,341688.0,343876.0,343704.0,341452.0,341984.0,340664.0,341012.0,341604.0,341348.0,341284.0,340976.0,341448.0,340760.0,341460.0,341816.0,342124.0,341308.0,341556.0,341388.0,341236.0,340468.0,340572.0,341108.0,340692.0,340808.0,341032.0,341724.0,341956.0,341660.0,340964.0,341180.0,341200.0,341060.0,340856.0,342132.0,342164.0,340792.0,340968.0,340912.0,340880.0,341020.0,341356.0,340920.0,340992.0,341024.0,341428.0,341448.0,341148.0,341340.0,341152.0,341196.0,341236.0,339900.0,341356.0,340912.0,339964.0,340520.0,341388.0,341088.0,340212.0,340188.0,340652.0,341188.0,340892.0,340108.0,340364.0,341172.0,340784.0,340448.0,340652.0,340912.0,340860.0,339420.0,340116.0,340852.0,340248.0,340840.0,341436.0,341180.0,341016.0,340048.0
