kbdirty,client01,client02,client03,client04
0,2492.0,2332.0,2316.0,2404.0
1,2704.0,2532.0,2496.0,2420.0
2,2868.0,2604.0,2628.0,2548.0
3,3032.0,2772.0,2772.0,2736.0
4,3196.0,2876.0,2836.0,2868.0
5,3300.0,3012.0,2968.0,2992.0
6,3520.0,3188.0,3096.0,3128.0
7,3688.0,3340.0,3128.0,100.0
8,3768.0,3340.0,3260.0,436.0
9,3852.0,3508.0,3392.0,700.0
10,4132.0,3592.0,3524.0,944.0
11,4280.0,3736.0,3652.0,1072.0
12,4408.0,3944.0,3780.0,1204.0
13,1956.0,4044.0,3912.0,1336.0
14,2256.0,4128.0,4100.0,1468.0
15,2476.0,4292.0,4232.0,1596.0
16,2660.0,4496.0,4308.0,1728.0
17,2756.0,192.0,96.0,1860.0
18,924.0,428.0,436.0,1992.0
19,1088.0,716.0,700.0,2096.0
20,1332.0,916.0,940.0,2228.0
21,1504.0,1168.0,1160.0,2432.0
22,1656.0,1280.0,1288.0,2568.0
23,1880.0,1456.0,1424.0,2696.0
24,1976.0,1456.0,1556.0,2828.0
25,2240.0,1600.0,1688.0,2916.0
26,2364.0,1732.0,1816.0,3016.0
27,2556.0,1884.0,1952.0,3156.0
28,2668.0,2004.0,2084.0,3288.0
29,2860.0,2200.0,2200.0,3412.0
30,3024.0,2284.0,2272.0,3544.0
31,3192.0,2420.0,2404.0,3676.0
32,3328.0,2612.0,2540.0,124.0
33,3512.0,2752.0,2668.0,408.0
34,3648.0,2756.0,2752.0,668.0
35,3816.0,2916.0,2876.0,916.0
36,3980.0,3088.0,3020.0,1048.0
37,4172.0,3156.0,3152.0,1184.0
38,4320.0,3304.0,3284.0,1320.0
39,4428.0,3344.0,3428.0,1448.0
40,4556.0,3708.0,3540.0,1580.0
41,4720.0,3784.0,3672.0,1708.0
42,4856.0,3856.0,3804.0,1896.0
43,52.0,3980.0,3884.0,2028.0
44,428.0,4220.0,4064.0,2156.0
45,732.0,4368.0,4196.0,2288.0
46,1028.0,4508.0,4332.0,2380.0
47,1132.0,4568.0,4472.0,2544.0
48,1308.0,4692.0,4532.0,2624.0
49,1464.0,4752.0,4664.0,2772.0
50,1652.0,4940.0,4800.0,2872.0
51,1848.0,5044.0,5004.0,3092.0
52,1972.0,640.0,152.0,3152.0
53,2140.0,328.0,352.0,3280.0
54,2300.0,576.0,676.0,3412.0
55,2456.0,728.0,876.0,3516.0
56,2560.0,956.0,1060.0,3620.0
57,2736.0,1156.0,1204.0,3808.0
58,2864.0,1308.0,1208.0,3936.0
59,3128.0,1424.0,1464.0,4068.0
60,3324.0,1636.0,1600.0,4200.0
61,3328.0,1636.0,1676.0,4276.0
62,3492.0,1916.0,1860.0,4192.0
63,3720.0,1972.0,1936.0,4340.0
