subop_w_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
114,0.067,0.022,0.064,0.109,0.077,0.075,0.011,0.013,0.078,0.142,0.009,0.027,0.017,0.022,0.023,0.027,0.015,0.007,0.007,0.068,0.013,0.033,0.027,0.021,0.047,0.044,0.116,0.004,0.016,0.113,0.028,0.017,0.025,0.026,0.032,0.012,0.06,0.062,0.015,0.038
115,0.021,0.083,0.026,0.054,0.074,0.086,0.084,0.006,0.055,0.093,0.015,0.026,0.03,0.021,0.034,0.018,0.016,0.014,0.009,0.029,0.005,0.036,0.031,0.022,0.056,0.089,0.02,0.048,0.069,0.13,0.036,0.078,0.02,0.042,0.012,0.031,0.032,0.034,0.026,0.036
116,0.07,0.088,0.009,0.085,0.043,0.087,0.052,0.004,0.042,0.156,0.02,0.012,0.026,0.018,0.073,0.029,0.012,0.013,0.009,0.01,0.004,0.044,0.044,0.035,0.029,0.016,0.028,0.065,0.05,0.033,0.019,0.036,0.02,0.034,0.041,0.044,0.111,0.01,0.008,0.032
117,0.035,0.012,0.044,0.039,0.13,0.053,0.029,0.009,0.074,0.117,0.007,0.017,0.017,0.033,0.033,0.037,0.03,0.012,0.018,0.019,0.006,0.017,0.059,0.021,0.032,0.019,0.026,0.026,0.094,0.025,0.05,0.008,0.009,0.086,0.023,0.018,0.025,0.006,0.005,0.017
118,0.054,0.034,0.063,0.058,0.06,0.04,0.007,0.021,0.068,0.094,0.027,0.056,0.022,0.052,0.026,0.043,0.028,0.019,0.026,0.059,0.011,0.05,0.027,0.079,0.019,0.022,0.024,0.015,0.078,0.032,0.085,0.043,0.013,0.012,0.011,0.031,0.011,0.018,0.005,0.016
119,0.049,0.04,0.056,0.083,0.041,0.05,0.07,0.004,0.06,0.06,0.008,0.037,0.017,0.073,0.114,0.021,0.014,0.016,0.025,0.019,0.169,0.014,0.021,0.018,0.05,0.043,0.075,0.009,0.035,0.021,0.045,0.025,0.02,0.042,0.027,0.031,0.017,0.024,0.038,0.019
120,0.05,0.013,0.013,0.065,0.023,0.034,0.069,0.038,0.052,0.084,0.008,0.014,0.055,0.028,0.085,0.01,0.04,0.062,0.047,0.009,0.022,0.032,0.061,0.048,0.051,0.068,0.011,0.003,0.007,0.045,0.069,0.043,0.035,0.049,0.044,0.111,0.017,0.004,0.016,0.046
121,0.043,0.026,0.064,0.051,0.101,0.045,0.035,0.14,0.117,0.051,0.013,0.013,0.057,0.014,0.225,0.015,0.025,0.1,0.037,0.029,0.011,0.035,0.052,0.018,0.07,0.015,0.161,0.009,0.014,0.018,0.055,0.048,0.053,0.03,0.071,0.039,0.017,0.013,0.009,0.02
122,0.012,0.046,0.088,0.046,0.076,0.038,0.022,0.011,0.048,0.14,0.012,0.006,0.017,0.044,0.043,0.039,0.03,0.02,0.012,0.165,0.018,0.073,0.015,0.01,0.104,0.079,0.05,0.006,0.022,0.029,0.061,0.033,0.086,0.038,0.082,0.059,0.039,0.073,0.01,0.046
123,0.027,0.017,0.035,0.058,0.052,0.046,0.106,0.021,0.076,0.107,0.01,0.051,0.097,0.024,0.03,0.024,0.098,0.038,0.016,0.01,0.007,0.035,0.042,0.023,0.063,0.032,0.031,0.029,0.018,0.031,0.031,0.107,0.024,0.018,0.024,0.126,0.077,0.042,0.017,0.032
124,0.033,0.023,0.01,0.062,0.036,0.034,0.03,0.026,0.068,0.043,0.014,0.077,0.049,0.021,0.031,0.014,0.043,0.006,0.009,0.026,0.009,0.009,0.027,0.029,0.082,0.01,0.03,0.008,0.01,0.02,0.092,0.059,0.032,0.019,0.101,0.041,0.088,0.023,0.075,0.006
125,0.043,0.019,0.067,0.071,0.038,0.023,0.025,0.031,0.049,0.044,0.028,0.009,0.022,0.021,0.04,0.023,0.012,0.011,0.054,0.024,0.004,0.01,0.041,0.02,0.035,0.015,0.111,0.013,0.022,0.023,0.043,0.018,0.06,0.029,0.048,0.175,0.056,0.004,0.031,0.067
126,0.033,0.135,0.02,0.048,0.019,0.039,0.059,0.016,0.043,0.04,0.014,0.016,0.019,0.049,0.042,0.032,0.02,0.007,0.014,0.013,0.004,0.008,0.012,0.01,0.038,0.008,0.05,0.006,0.007,0.011,0.043,0.035,0.026,0.052,0.011,0.061,0.048,0.072,0.024,0.037
127,0.037,0.009,0.009,0.023,0.04,0.012,0.172,0.091,0.038,0.05,0.008,0.016,0.024,0.014,0.022,0.009,0.01,0.011,0.028,0.009,0.004,0.009,0.024,0.006,0.027,0.005,0.01,0.003,0.004,0.03,0.039,0.024,0.032,0.043,0.046,0.042,0.058,0.043,0.004,0.02
128,0.089,0.053,0.027,0.03,0.039,0.036,0.191,0.055,0.039,0.067,0.003,0.007,0.01,0.047,0.014,0.008,0.009,0.009,0.016,0.017,0.005,0.035,0.052,0.014,0.021,0.01,0.042,0.006,0.004,0.006,0.029,0.108,0.115,0.047,0.099,0.052,0.044,0.022,0.021,0.029
129,0.054,0.021,0.073,0.073,0.044,0.014,0.123,0.186,0.046,0.041,0.008,0.022,0.014,0.02,0.062,0.038,0.013,0.01,0.021,0.037,0.005,0.039,0.019,0.017,0.021,0.019,0.023,0.017,0.012,0.026,0.044,0.017,0.036,0.041,0.073,0.042,0.074,0.028,0.043,0.046
130,0.021,0.017,0.119,0.04,0.059,0.054,0.096,0.075,0.069,0.042,0.01,0.023,0.085,0.023,0.184,0.02,0.025,0.039,0.047,0.065,0.005,0.007,0.023,0.031,0.047,0.014,0.06,0.003,0.024,0.027,0.024,0.063,0.012,0.058,0.017,0.058,0.076,0.018,0.126,0.053
131,0.045,0.006,0.06,0.018,0.126,0.044,0.024,0.025,0.067,0.089,0.086,0.022,0.075,0.048,0.102,0.059,0.02,0.042,0.047,0.018,0.011,0.007,0.022,0.015,0.009,0.031,0.008,0.007,0.005,0.014,0.068,0.011,0.038,0.03,0.073,0.076,0.043,0.018,0.018,0.13
132,0.02,0.078,0.031,0.132,0.082,0.012,0.032,0.031,0.059,0.034,0.037,0.042,0.015,0.087,0.039,0.017,0.034,0.008,0.012,0.02,0.007,0.021,0.014,0.03,0.028,0.023,0.012,0.015,0.015,0.012,0.113,0.022,0.01,0.052,0.011,0.065,0.062,0.05,0.02,0.023
133,0.019,0.032,0.045,0.036,0.076,0.057,0.058,0.009,0.04,0.046,0.004,0.013,0.019,0.044,0.046,0.017,0.017,0.02,0.028,0.009,0.007,0.041,0.057,0.015,0.017,0.041,0.032,0.011,0.019,0.018,0.078,0.049,0.03,0.018,0.042,0.058,0.03,0.015,0.004,0.03
134,0.077,0.055,0.057,0.083,0.046,0.084,0.065,0.047,0.039,0.034,0.008,0.046,0.02,0.014,0.023,0.006,0.05,0.008,0.019,0.01,0.005,0.035,0.061,0.029,0.042,0.03,0.02,0.015,0.014,0.023,0.074,0.065,0.009,0.022,0.067,0.071,0.017,0.048,0.037,0.098
135,0.042,0.059,0.064,0.042,0.049,0.067,0.033,0.076,0.045,0.08,0.004,0.042,0.055,0.043,0.061,0.029,0.035,0.021,0.049,0.024,0.024,0.035,0.051,0.02,0.056,0.03,0.02,0.01,0.016,0.017,0.125,0.03,0.028,0.035,0.046,0.019,0.022,0.129,0.081,0.038
136,0.062,0.054,0.05,0.036,0.044,0.019,0.006,0.071,0.066,0.037,0.006,0.091,0.043,0.013,0.086,0.013,0.02,0.034,0.032,0.032,0.013,0.021,0.016,0.013,0.02,0.011,0.017,0.003,0.014,0.055,0.063,0.051,0.117,0.02,0.044,0.019,0.02,0.033,0.03,0.024
137,0.006,0.053,0.026,0.056,0.037,0.077,0.01,0.037,0.051,0.085,0.009,0.019,0.018,0.018,0.129,0.007,0.043,0.058,0.033,0.085,0.028,0.031,0.037,0.017,0.027,0.037,0.022,0.004,0.014,0.036,0.036,0.007,0.139,0.062,0.087,0.009,0.029,0.065,0.015,0.018
138,0.047,0.023,0.029,0.047,0.046,0.051,0.052,0.13,0.06,0.033,0.005,0.045,0.021,0.038,0.113,0.01,0.014,0.048,0.014,0.018,0.041,0.028,0.03,0.012,0.024,0.012,0.016,0.029,0.012,0.087,0.092,0.032,0.037,0.055,0.024,0.024,0.032,0.052,0.062,0.055
139,0.025,0.116,0.015,0.071,0.092,0.036,0.018,0.037,0.041,0.097,0.006,0.012,0.019,0.009,0.009,0.004,0.005,0.003,0.005,0.017,0.016,0.038,0.079,0.02,0.022,0.013,0.024,0.003,0.012,0.013,0.034,0.074,0.04,0.021,0.047,0.024,0.044,0.04,0.026,0.038
140,0.023,0.097,0.123,0.053,0.11,0.069,0.018,0.065,0.045,0.041,0.004,0.012,0.035,0.042,0.033,0.011,0.018,0.024,0.029,0.011,0.054,0.014,0.03,0.016,0.021,0.042,0.032,0.017,0.012,0.033,0.081,0.008,0.01,0.035,0.038,0.014,0.057,0.023,0.06,0.055
141,0.068,0.062,0.091,0.133,0.063,0.042,0.03,0.059,0.034,0.039,0.004,0.016,0.008,0.024,0.039,0.01,0.01,0.023,0.054,0.019,0.017,0.041,0.011,0.012,0.038,0.021,0.026,0.023,0.06,0.039,0.062,0.013,0.01,0.024,0.014,0.019,0.019,0.007,0.013,0.009
142,0.043,0.055,0.05,0.07,0.052,0.076,0.02,0.071,0.042,0.064,0.019,0.032,0.025,0.02,0.037,0.024,0.024,0.008,0.079,0.023,0.039,0.102,0.026,0.023,0.022,0.029,0.041,0.011,0.029,0.042,0.017,0.007,0.044,0.026,0.037,0.032,0.014,0.008,0.009,0.017
143,0.099,0.018,0.037,0.066,0.056,0.044,0.041,0.088,0.035,0.126,0.004,0.009,0.007,0.02,0.009,0.015,0.006,0.009,0.011,0.013,0.011,0.068,0.066,0.047,0.07,0.054,0.036,0.056,0.018,0.022,0.049,0.021,0.018,0.037,0.027,0.034,0.013,0.012,0.029,0.102
144,0.103,0.071,0.094,0.021,0.055,0.026,0.017,0.044,0.053,0.192,0.004,0.011,0.019,0.018,0.013,0.013,0.011,0.027,0.01,0.022,0.029,0.043,0.069,0.014,0.067,0.073,0.048,0.045,0.059,0.049,0.042,0.016,0.072,0.025,0.029,0.069,0.037,0.021,0.073,0.019
145,0.056,0.015,0.069,0.042,0.077,0.09,0.056,0.039,0.031,0.049,0.006,0.023,0.018,0.028,0.022,0.01,0.023,0.054,0.024,0.033,0.007,0.055,0.089,0.021,0.055,0.014,0.113,0.004,0.053,0.066,0.051,0.032,0.031,0.035,0.059,0.025,0.026,0.03,0.019,0.059
146,0.081,0.146,0.095,0.048,0.048,0.043,0.041,0.005,0.063,0.059,0.005,0.01,0.023,0.051,0.027,0.021,0.015,0.015,0.016,0.027,0.039,0.05,0.101,0.037,0.059,0.024,0.024,0.019,0.06,0.03,0.091,0.15,0.043,0.025,0.035,0.054,0.022,0.02,0.009,0.031
147,0.11,0.05,0.075,0.085,0.04,0.021,0.064,0.116,0.046,0.059,0.026,0.085,0.02,0.051,0.046,0.018,0.033,0.02,0.027,0.053,0.03,0.05,0.038,0.059,0.018,0.031,0.071,0.026,0.009,0.06,0.128,0.133,0.084,0.032,0.026,0.018,0.056,0.006,0.013,0.077
148,0.039,0.103,0.169,0.037,0.026,0.047,0.038,0.038,0.042,0.069,0.006,0.054,0.019,0.025,0.034,0.009,0.033,0.015,0.015,0.026,0.022,0.036,0.021,0.043,0.111,0.023,0.04,0.013,0.025,0.048,0.231,0.016,0.024,0.102,0.014,0.069,0.084,0.006,0.016,0.008
149,0.033,0.04,0.073,0.067,0.092,0.061,0.052,0.082,0.047,0.037,0.008,0.023,0.02,0.03,0.059,0.015,0.024,0.008,0.008,0.007,0.063,0.029,0.051,0.024,0.08,0.027,0.044,0.005,0.02,0.027,0.101,0.016,0.076,0.017,0.02,0.068,0.017,0.037,0.017,0.022
150,0.018,0.029,0.058,0.108,0.017,0.026,0.006,0.038,0.039,0.038,0.008,0.016,0.121,0.054,0.028,0.029,0.024,0.109,0.08,0.032,0.047,0.029,0.031,0.035,0.029,0.028,0.044,0.003,0.009,0.071,0.049,0.074,0.06,0.086,0.07,0.051,0.026,0.006,0.062,0.097
151,0.016,0.041,0.039,0.056,0.085,0.042,0.021,0.034,0.06,0.025,0.011,0.007,0.052,0.011,0.011,0.012,0.02,0.014,0.028,0.041,0.025,0.014,0.025,0.056,0.025,0.024,0.014,0.007,0.007,0.033,0.046,0.243,0.052,0.068,0.083,0.062,0.061,0.058,0.08,0.017
152,0.006,0.053,0.052,0.057,0.056,0.03,0.019,0.039,0.033,0.027,0.005,0.007,0.016,0.028,0.015,0.007,0.009,0.009,0.017,0.019,0.007,0.02,0.011,0.026,0.018,0.007,0.011,0.009,0.005,0.008,0.029,0.068,0.036,0.152,0.163,0.064,0.118,0.067,0.039,0.014
153,0.021,0.013,0.099,0.017,0.036,0.01,0.029,0.043,0.03,0.054,0.004,0.004,0.044,0.061,0.04,0.023,0.025,0.065,0.073,0.02,0.018,0.016,0.014,0.012,0.039,0.011,0.04,0.003,0.007,0.044,0.023,0.147,0.074,0.048,0.14,0.047,0.026,0.072,0.058,0.022
154,0.273,0.035,0.154,0.04,0.051,0.026,0.01,0.194,0.053,0.03,0.009,0.032,0.011,0.045,0.087,0.04,0.013,0.012,0.087,0.088,0.006,0.031,0.008,0.026,0.01,0.017,0.022,0.005,0.005,0.015,0.023,0.194,0.053,0.077,0.109,0.025,0.026,0.021,0.04,0.063
155,0.046,0.052,0.093,0.091,0.048,0.047,0.12,0.082,0.058,0.044,0.036,0.023,0.033,0.046,0.038,0.03,0.013,0.029,0.035,0.04,0.004,0.017,0.024,0.043,0.03,0.02,0.011,0.003,0.005,0.017,0.067,0.043,0.012,0.068,0.029,0.029,0.317,0.009,0.04,0.049
156,0.053,0.077,0.024,0.059,0.216,0.089,0.043,0.05,0.046,0.043,0.008,0.029,0.031,0.014,0.046,0.025,0.012,0.017,0.034,0.084,0.008,0.026,0.029,0.022,0.018,0.013,0.023,0.037,0.004,0.027,0.045,0.007,0.033,0.054,0.015,0.149,0.074,0.047,0.048,0.015
157,0.019,0.058,0.023,0.023,0.09,0.033,0.397,0.013,0.038,0.035,0.009,0.054,0.087,0.099,0.031,0.011,0.014,0.043,0.007,0.043,0.004,0.012,0.014,0.012,0.017,0.008,0.008,0.012,0.003,0.012,0.017,0.018,0.016,0.042,0.02,0.09,0.032,0.124,0.016,0.028
158,0.012,0.055,0.098,0.179,0.044,0.02,0.094,0.01,0.043,0.058,0.006,0.048,0.053,0.046,0.042,0.033,0.043,0.029,0.046,0.051,0.004,0.013,0.021,0.016,0.013,0.012,0.011,0.015,0.026,0.023,0.014,0.044,0.027,0.023,0.036,0.09,0.09,0.015,0.007,0.094
159,0.055,0.035,0.012,0.166,0.06,0.035,0.01,0.007,0.036,0.043,0.004,0.071,0.007,0.013,0.013,0.015,0.006,0.1,0.01,0.075,0.005,0.026,0.031,0.016,0.019,0.033,0.016,0.022,0.008,0.018,0.044,0.051,0.132,0.015,0.02,0.011,0.036,0.03,0.046,0.024
160,0.023,0.037,0.013,0.056,0.039,0.057,0.102,0.066,0.034,0.117,0.006,0.005,0.02,0.024,0.031,0.008,0.015,0.083,0.006,0.031,0.023,0.023,0.023,0.064,0.037,0.051,0.036,0.007,0.009,0.057,0.064,0.04,0.089,0.024,0.034,0.04,0.057,0.024,0.021,0.038
161,0.031,0.012,0.016,0.078,0.059,0.146,0.169,0.076,0.037,0.024,0.006,0.028,0.058,0.032,0.054,0.063,0.031,0.034,0.032,0.039,0.004,0.032,0.044,0.022,0.037,0.039,0.018,0.02,0.017,0.046,0.059,0.031,0.034,0.024,0.024,0.013,0.018,0.032,0.027,0.023
162,0.008,0.05,0.056,0.075,0.058,0.042,0.054,0.129,0.032,0.045,0.005,0.005,0.025,0.018,0.021,0.041,0.008,0.062,0.009,0.04,0.004,0.03,0.027,0.008,0.01,0.008,0.012,0.003,0.009,0.017,0.091,0.032,0.021,0.045,0.008,0.018,0.016,0.042,0.017,0.085
163,0.017,0.046,0.119,0.042,0.073,0.073,0.064,0.072,0.062,0.098,0.012,0.007,0.021,0.015,0.018,0.021,0.018,0.014,0.007,0.018,0.005,0.015,0.013,0.011,0.02,0.012,0.008,0.004,0.004,0.006,0.057,0.066,0.009,0.027,0.07,0.029,0.018,0.039,0.039,0.114
164,0.079,0.047,0.03,0.02,0.125,0.078,0.051,0.062,0.068,0.044,0.014,0.006,0.018,0.009,0.026,0.011,0.01,0.027,0.011,0.017,0.01,0.02,0.033,0.026,0.025,0.033,0.015,0.011,0.039,0.032,0.019,0.043,0.082,0.069,0.043,0.022,0.027,0.036,0.008,0.056
165,0.054,0.005,0.031,0.076,0.083,0.029,0.014,0.027,0.069,0.058,0.023,0.028,0.028,0.011,0.052,0.024,0.042,0.017,0.021,0.044,0.014,0.055,0.054,0.029,0.029,0.053,0.063,0.003,0.045,0.069,0.066,0.138,0.033,0.073,0.042,0.045,0.057,0.014,0.019,0.047
166,0.065,0.015,0.02,0.019,0.043,0.02,0.033,0.044,0.057,0.054,0.027,0.009,0.042,0.031,0.095,0.025,0.05,0.034,0.021,0.059,0.012,0.022,0.041,0.014,0.066,0.024,0.047,0.012,0.014,0.022,0.047,0.11,0.028,0.062,0.1,0.05,0.03,0.1,0.016,0.032
167,0.045,0.014,0.044,0.034,0.079,0.059,0.017,0.028,0.048,0.024,0.024,0.023,0.032,0.021,0.038,0.108,0.047,0.018,0.066,0.044,0.03,0.022,0.053,0.014,0.024,0.014,0.012,0.003,0.004,0.006,0.103,0.017,0.025,0.061,0.024,0.031,0.026,0.078,0.043,0.011
168,0.024,0.009,0.05,0.028,0.039,0.05,0.02,0.077,0.05,0.049,0.003,0.026,0.025,0.022,0.091,0.089,0.038,0.095,0.05,0.018,0.026,0.036,0.021,0.025,0.032,0.018,0.005,0.005,0.005,0.011,0.047,0.009,0.024,0.034,0.028,0.006,0.035,0.067,0.027,0.022
169,0.043,0.013,0.024,0.023,0.022,0.058,0.02,0.029,0.037,0.012,0.006,0.03,0.047,0.038,0.058,0.051,0.023,0.032,0.044,0.106,0.004,0.027,0.049,0.026,0.034,0.044,0.015,0.023,0.009,0.028,0.023,0.007,0.03,0.032,0.011,0.026,0.025,0.018,0.01,0.031
170,0.013,0.016,0.043,0.042,0.03,0.07,0.018,0.077,0.042,0.07,0.014,0.014,0.024,0.026,0.017,0.009,0.133,0.038,0.148,0.045,0.013,0.036,0.029,0.011,0.033,0.054,0.01,0.003,0.016,0.03,0.049,0.022,0.027,0.057,0.038,0.035,0.049,0.021,0.013,0.027
171,0.016,0.052,0.038,0.039,0.03,0.064,0.026,0.137,0.031,0.069,0.011,0.019,0.008,0.01,0.019,0.008,0.029,0.007,0.039,0.007,0.008,0.027,0.031,0.017,0.016,0.084,0.067,0.019,0.01,0.038,0.107,0.017,0.01,0.05,0.027,0.033,0.033,0.042,0.053,0.029
172,0.198,0.017,0.021,0.057,0.051,0.031,0.032,0.062,0.033,0.041,0.008,0.011,0.019,0.009,0.014,0.01,0.007,0.027,0.011,0.021,0.051,0.028,0.043,0.097,0.038,0.047,0.035,0.021,0.008,0.076,0.036,0.004,0.054,0.024,0.041,0.015,0.025,0.056,0.014,0.038
173,0.069,0.012,0.052,0.05,0.123,0.061,0.029,0.074,0.049,0.029,0.013,0.005,0.04,0.016,0.019,0.026,0.009,0.031,0.006,0.018,0.059,0.082,0.056,0.021,0.026,0.113,0.028,0.022,0.019,0.047,0.03,0.057,0.017,0.034,0.114,0.062,0.07,0.019,0.028,0.03
174,0.009,0.076,0.037,0.066,0.045,0.04,0.008,0.035,0.032,0.046,0.005,0.033,0.031,0.059,0.04,0.033,0.012,0.005,0.039,0.022,0.013,0.047,0.038,0.116,0.079,0.017,0.02,0.023,0.03,0.092,0.124,0.075,0.013,0.012,0.022,0.108,0.03,0.047,0.029,0.062
175,0.008,0.042,0.005,0.038,0.049,0.075,0.049,0.017,0.024,0.017,0.019,0.083,0.03,0.029,0.047,0.054,0.023,0.042,0.04,0.028,0.068,0.025,0.047,0.083,0.044,0.052,0.037,0.036,0.007,0.063,0.072,0.039,0.057,0.025,0.015,0.032,0.047,0.026,0.05,0.028
176,0.041,0.01,0.03,0.037,0.04,0.036,0.039,0.074,0.059,0.02,0.004,0.018,0.018,0.06,0.058,0.049,0.014,0.102,0.035,0.022,0.247,0.031,0.051,0.024,0.077,0.044,0.009,0.003,0.055,0.045,0.037,0.061,0.023,0.025,0.018,0.127,0.041,0.077,0.016,0.041
177,0.02,0.029,0.033,0.056,0.045,0.037,0.033,0.116,0.081,0.079,0.015,0.014,0.016,0.04,0.021,0.086,0.014,0.048,0.014,0.037,0.197,0.043,0.043,0.011,0.027,0.024,0.086,0.002,0.141,0.082,0.013,0.038,0.028,0.09,0.085,0.024,0.039,0.045,0.073,0.063
178,0.037,0.036,0.096,0.299,0.05,0.007,0.036,0.009,0.094,0.077,0.014,0.014,0.016,0.019,0.05,0.043,0.03,0.015,0.029,0.021,0.073,0.082,0.059,0.013,0.099,0.015,0.081,0.003,0.033,0.174,0.014,0.063,0.053,0.065,0.096,0.087,0.04,0.034,0.054,0.12
179,0.005,0.01,0.073,0.115,0.047,0.009,0.012,0.037,0.068,0.052,0.005,0.038,0.023,0.017,0.037,0.012,0.018,0.019,0.038,0.036,0.112,0.068,0.06,0.045,0.02,0.076,0.173,0.012,0.016,0.037,0.04,0.042,0.02,0.047,0.132,0.042,0.033,0.039,0.03,0.049
180,0.019,0.021,0.035,0.057,0.041,0.008,0.023,0.061,0.058,0.029,0.012,0.032,0.026,0.042,0.022,0.059,0.033,0.025,0.024,0.028,0.031,0.028,0.052,0.071,0.03,0.044,0.078,0.005,0.015,0.042,0.072,0.084,0.147,0.028,0.045,0.013,0.024,0.046,0.05,0.051
181,0.025,0.009,0.045,0.115,0.058,0.078,0.007,0.104,0.041,0.038,0.005,0.07,0.037,0.103,0.095,0.024,0.039,0.023,0.032,0.034,0.015,0.008,0.056,0.046,0.105,0.03,0.055,0.018,0.05,0.011,0.042,0.028,0.016,0.014,0.06,0.072,0.06,0.024,0.027,0.104
182,0.063,0.011,0.049,0.075,0.06,0.02,0.02,0.022,0.102,0.042,0.022,0.066,0.078,0.035,0.232,0.028,0.046,0.008,0.053,0.035,0.045,0.077,0.023,0.027,0.024,0.094,0.043,0.044,0.033,0.062,0.042,0.168,0.025,0.027,0.028,0.04,0.126,0.004,0.023,0.045
183,0.015,0.004,0.007,0.054,0.025,0.013,0.011,0.028,0.049,0.073,0.015,0.042,0.034,0.024,0.052,0.021,0.039,0.016,0.047,0.193,0.097,0.06,0.036,0.063,0.028,0.03,0.125,0.019,0.024,0.04,0.093,0.03,0.033,0.077,0.046,0.043,0.104,0.036,0.037,0.029
184,0.026,0.004,0.033,0.022,0.04,0.061,0.014,0.026,0.06,0.096,0.006,0.007,0.037,0.022,0.013,0.029,0.021,0.009,0.017,0.185,0.006,0.02,0.031,0.045,0.028,0.022,0.034,0.029,0.007,0.016,0.062,0.037,0.146,0.039,0.052,0.025,0.04,0.056,0.031,0.037
185,0.096,0.086,0.029,0.06,0.067,0.042,0.035,0.192,0.053,0.029,0.009,0.005,0.009,0.023,0.033,0.02,0.026,0.016,0.069,0.02,0.035,0.031,0.033,0.025,0.034,0.04,0.026,0.039,0.075,0.025,0.07,0.112,0.049,0.02,0.05,0.072,0.013,0.015,0.035,0.055
186,0.098,0.022,0.013,0.059,0.058,0.026,0.015,0.046,0.05,0.127,0.01,0.008,0.04,0.018,0.053,0.042,0.024,0.022,0.017,0.032,0.005,0.011,0.011,0.027,0.026,0.011,0.008,0.003,0.049,0.041,0.096,0.094,0.017,0.029,0.05,0.043,0.097,0.006,0.019,0.028
187,0.03,0.031,0.112,0.021,0.026,0.101,0.031,0.066,0.033,0.099,0.043,0.01,0.013,0.011,0.013,0.049,0.014,0.023,0.01,0.054,0.009,0.026,0.065,0.025,0.015,0.018,0.023,0.014,0.047,0.048,0.066,0.009,0.077,0.064,0.023,0.018,0.022,0.014,0.005,0.028
188,0.073,0.007,0.108,0.027,0.043,0.107,0.183,0.084,0.022,0.023,0.006,0.028,0.033,0.035,0.023,0.027,0.038,0.008,0.057,0.012,0.022,0.085,0.086,0.061,0.067,0.026,0.033,0.021,0.046,0.038,0.068,0.015,0.041,0.029,0.025,0.021,0.043,0.007,0.051,0.027
189,0.068,0.058,0.142,0.04,0.046,0.025,0.148,0.122,0.048,0.031,0.024,0.02,0.052,0.027,0.019,0.022,0.025,0.013,0.017,0.012,0.003,0.041,0.018,0.03,0.014,0.036,0.024,0.046,0.01,0.034,0.057,0.019,0.009,0.044,0.172,0.007,0.08,0.026,0.019,0.012
190,0.109,0.014,0.047,0.058,0.076,0.051,0.04,0.091,0.023,0.084,0.021,0.022,0.023,0.058,0.159,0.021,0.032,0.013,0.066,0.043,0.003,0.095,0.03,0.014,0.01,0.013,0.023,0.006,0.003,0.019,0.043,0.052,0.033,0.073,0.041,0.019,0.023,0.021,0.015,0.017
191,0.129,0.081,0.067,0.122,0.06,0.162,0.012,0.011,0.043,0.051,0.008,0.044,0.04,0.014,0.031,0.073,0.037,0.052,0.121,0.032,0.005,0.023,0.038,0.044,0.061,0.028,0.033,0.004,0.005,0.021,0.053,0.039,0.042,0.031,0.083,0.162,0.034,0.034,0.024,0.041
192,0.041,0.137,0.067,0.05,0.113,0.094,0.087,0.083,0.03,0.043,0.014,0.008,0.028,0.023,0.021,0.076,0.052,0.024,0.021,0.054,0.008,0.021,0.021,0.007,0.018,0.029,0.09,0.014,0.011,0.01,0.053,0.019,0.06,0.037,0.044,0.075,0.05,0.06,0.022,0.081
193,0.099,0.058,0.073,0.013,0.093,0.013,0.32,0.018,0.032,0.027,0.046,0.031,0.032,0.042,0.026,0.043,0.04,0.054,0.035,0.042,0.008,0.01,0.006,0.039,0.019,0.024,0.042,0.003,0.007,0.037,0.047,0.012,0.023,0.051,0.056,0.02,0.03,0.029,0.012,0.014
194,0.057,0.002,0.02,0.055,0.037,0.023,0.047,0.17,0.043,0.08,0.046,0.016,0.052,0.051,0.022,0.028,0.044,0.086,0.063,0.083,0.005,0.011,0.012,0.01,0.013,0.03,0.013,0.008,0.004,0.005,0.048,0.005,0.025,0.039,0.071,0.004,0.034,0.006,0.004,0.035
