subop_w_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
68,0.017,0.044,0.104,0.058,0.08,0.019,0.051,0.036,0.065,0.028,0.005,0.028,0.01,0.011,0.021,0.005,0.008,0.011,0.006,0.015,0.014,0.022,0.072,0.092,0.011,0.023,0.049,0.007,0.007,0.038,0.03,0.089,0.026,0.042,0.022,0.022,0.041,0.061,0.049,0.046
69,0.093,0.045,0.019,0.069,0.032,0.085,0.022,0.031,0.049,0.047,0.011,0.03,0.014,0.059,0.021,0.012,0.011,0.015,0.006,0.018,0.006,0.076,0.017,0.022,0.038,0.276,0.077,0.023,0.003,0.071,0.075,0.083,0.03,0.076,0.042,0.009,0.085,0.107,0.062,0.164
70,0.039,0.029,0.038,0.012,0.083,0.033,0.027,0.135,0.053,0.038,0.04,0.026,0.007,0.074,0.022,0.014,0.022,0.012,0.018,0.018,0.008,0.048,0.043,0.019,0.024,0.014,0.128,0.067,0.004,0.091,0.077,0.014,0.02,0.091,0.037,0.022,0.046,0.006,0.045,0.081
71,0.042,0.049,0.044,0.032,0.084,0.13,0.041,0.004,0.032,0.071,0.015,0.007,0.02,0.021,0.027,0.018,0.102,0.018,0.007,0.012,0.004,0.012,0.024,0.03,0.029,0.019,0.048,0.082,0.009,0.084,0.11,0.03,0.034,0.048,0.016,0.016,0.073,0.008,0.024,0.031
72,0.025,0.005,0.026,0.017,0.058,0.114,0.029,0.021,0.033,0.075,0.006,0.015,0.031,0.023,0.025,0.03,0.083,0.021,0.016,0.022,0.022,0.024,0.034,0.054,0.02,0.043,0.034,0.008,0.069,0.045,0.046,0.089,0.04,0.064,0.053,0.055,0.054,0.069,0.029,0.065
73,0.051,0.015,0.055,0.064,0.02,0.082,0.042,0.003,0.023,0.018,0.015,0.03,0.035,0.015,0.017,0.022,0.02,0.013,0.028,0.031,0.027,0.01,0.054,0.025,0.108,0.191,0.039,0.03,0.026,0.028,0.053,0.055,0.019,0.068,0.021,0.076,0.019,0.111,0.009,0.022
74,0.03,0.022,0.065,0.065,0.016,0.04,0.035,0.015,0.024,0.124,0.005,0.019,0.035,0.009,0.067,0.021,0.015,0.018,0.027,0.031,0.004,0.016,0.028,0.037,0.109,0.046,0.081,0.006,0.044,0.091,0.069,0.04,0.358,0.042,0.062,0.042,0.064,0.041,0.022,0.04
75,0.095,0.053,0.022,0.046,0.05,0.103,0.02,0.028,0.026,0.38,0.019,0.028,0.026,0.036,0.034,0.005,0.022,0.005,0.016,0.01,0.02,0.102,0.073,0.05,0.022,0.051,0.037,0.028,0.11,0.077,0.106,0.031,0.07,0.027,0.064,0.033,0.105,0.062,0.03,0.052
76,0.047,0.026,0.038,0.029,0.161,0.017,0.07,0.015,0.078,0.147,0.019,0.023,0.019,0.021,0.051,0.008,0.009,0.045,0.026,0.029,0.027,0.057,0.036,0.07,0.044,0.015,0.044,0.041,0.059,0.172,0.074,0.045,0.011,0.058,0.022,0.007,0.016,0.161,0.005,0.093
77,0.052,0.023,0.036,0.035,0.061,0.026,0.028,0.015,0.102,0.07,0.006,0.019,0.041,0.04,0.072,0.027,0.013,0.033,0.033,0.03,0.055,0.04,0.035,0.032,0.025,0.048,0.131,0.017,0.028,0.106,0.148,0.067,0.033,0.021,0.117,0.09,0.028,0.016,0.012,0.032
