op_r,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,344307,227055,319938,170050,159607,123910,224201,162925,410417,165353,199678,402406,161537,176644,365881,168325,110760,364965,185587,194216,146973,231113,447388,230061,168432,332234,160534,237434,390703,199719,144265,335912,321137,255325,465711,433992,30715,181303,629880,249599
1,344487,227057,320102,170126,159608,123986,224362,162932,410495,165440,199932,402422,161800,176720,366222,168352,110767,364972,185608,194375,147140,231277,447390,230105,168510,332473,160624,237441,390855,199887,144494,336016,321551,255415,465739,434111,30722,181389,629894,249783
2,344587,227291,320398,170212,159867,123987,224441,162971,410603,165607,200102,402613,161813,176797,366300,168352,110845,365087,185691,194475,147140,231511,447531,230419,168527,332481,160800,237528,390872,199890,144511,336025,321745,255415,465764,434161,30733,181541,629903,249917
3,344588,227322,320512,170257,160136,123993,224442,163151,410603,165609,200102,402689,161819,176805,366304,168352,110845,365145,185859,194541,147140,231511,447652,230575,168601,332564,160816,237604,390872,200031,144515,336029,321785,255421,465764,434161,30817,181646,629903,249952
4,344589,227323,320512,170294,160188,123993,224442,163163,410603,165610,200102,402689,161819,176807,366359,168352,110845,365145,185923,194541,147140,231511,447652,230575,168677,332564,160958,237604,390872,200046,144519,336110,321785,255443,465764,434235,30817,181646,629903,250014
5,344591,227328,320512,170296,160195,123993,224442,163237,410603,165613,200102,402689,161819,176807,366378,168352,110845,365145,185930,194615,147140,231511,447652,230575,168677,332564,160958,237604,390872,200046,144519,336184,321785,255454,465764,434235,30817,181646,629903,250014
6,344593,227328,320512,170300,160262,123993,224442,163237,410603,165613,200102,402689,161819,176815,366378,168352,110845,365145,185936,194615,147140,231511,447652,230575,168677,332564,161032,237604,390872,200046,144520,336184,321785,255477,465764,434235,30817,181646,629903,250014
7,344593,227328,320512,170421,160262,123993,224442,163237,410603,165613,200102,402689,161819,176853,366378,168352,110845,365145,185988,194615,147140,231511,447652,230575,168677,332564,161032,237604,390872,200046,144520,336184,321786,255485,465764,434235,30817,181646,629903,250014
8,344593,227328,320512,170434,160262,123993,224442,163237,410603,165613,200102,402689,161819,176881,366378,168352,110845,365145,185997,194615,147140,231511,447652,230575,168677,332564,161032,237604,390872,200046,144520,336184,321787,255491,465764,434235,30817,181646,629903,250014
9,344593,227328,320512,170434,160262,123993,224442,163237,410603,165613,200102,402689,161819,176881,366378,168352,110845,365145,185997,194615,147140,231511,447652,230575,168677,332564,161032,237604,390872,200046,144520,336184,321788,255494,465764,434235,30817,181646,629903,250014
