bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
210,117152474231,134914932989,131560436222,113976741304,137269516802,117321921044,120098793051,145066381980,132917201488,130965543844,120195874809,136138178970,112475172773,128525311425,141970103096,133855640892,127081383829,130100032683,112029538646,115605016882,138091815503,127166439248,125512578856,142769062594,123785144367,131256689627,128023254776,135017957621,126833428195,128402851132,118822179979,145709614529,129132515680,121145118611,124123865061,117944326749,127658522714,142163986046,138641151873,112653954159
211,117154863845,134917123319,131562539469,113979400157,137271834282,117324394229,120101535463,145068317374,132919687524,130968231963,120198470117,136140985663,112478127998,128528237375,141972109908,133858184058,127084386905,130102025915,112032192506,115607605083,138094226517,127168998845,125515186292,142772172087,123787461830,131259587732,128026087170,135020131548,126835797806,128405112211,118825089462,145711919149,129134586757,121147537490,124125704034,117946561387,127661222999,142166187825,138643180096,112656146662
212,117157439859,134919542196,131564706277,113981776185,137274416719,117326708858,120102815267,145071059774,132922536329,130971731395,120201036135,136143808787,112480630455,128530969768,141974928755,133860972197,127086351587,130104396239,112034899183,115610179644,138096458266,127171461296,125517192405,142775195888,123790398494,131261953775,128028556769,135022069772,126837019740,128408248155,118827938278,145714782953,129137221315,121151094016,124128613552,117949078829,127663496185,142168435275,138646742370,112659130471
213,117159826597,134921696123,131567272298,113984419313,137276880613,117329133473,120104783523,145072766630,132925671515,130973862469,120203529300,136146748336,112483817065,128533420113,141977639727,133863326140,127089316833,130107074357,112037795845,115613191324,138098844277,127174018050,125519294916,142778177563,123792989471,131264866877,128030916358,135025120681,126839360051,128410537797,118830957772,145717076174,129139461650,121154529163,124131661630,117951611956,127666364287,142171658298,138648404946,112661746484
214,117162099054,134924374956,131569316984,113986773224,137279282376,117331272418,120107407392,145075089126,132927970412,130976673443,120205587539,136148960867,112485943163,128536103934,141979581558,133865740766,127091120821,130109517508,112040081883,115615551656,138101376010,127175603513,125522040890,142781097808,123795963982,131267149346,128033998728,135026307629,126841364006,128413268802,118833603764,145719565778,129142054813,121156409551,124134077660,117953980847,127668808191,142173739373,138651044526,112664650316
215,117164435810,134926821676,131571818726,113989313507,137281376344,117334305521,120109742036,145077784395,132931247742,130979688658,120208010004,136151710444,112488914125,128538769198,141982122562,133868493196,127093210482,130111272930,112042534311,115618004831,138103526348,127177828866,125524938280,142783740945,123797966510,131269155441,128036335467,135028567256,126843614339,128415987671,118836149743,145721699709,129144378675,121158326376,124136318722,117956456144,127672023387,142175767591,138653807669,112666884999
216,117167011811,134929297681,131574394001,113991701668,137284208747,117336588013,120111468173,145079675526,132932503995,130981789020,120210161819,136154462126,112491875060,128540949536,141984399361,133870853554,127095480101,130113919631,112045608080,115620989366,138106009495,127180684103,125527362902,142786569092,123800953167,131272214952,128038885036,135031287528,126845851814,128418427989,118838663585,145724291446,129146931811,121161390869,124138659775,117959396393,127673795258,142178205034,138656047995,112669520987
217,117169669911,134931582986,131576387960,113994232654,137286111987,117338633402,120113811354,145082155859,132935613498,130985198500,120212521428,136156998133,112494253967,128543630498,141986971798,133873213926,127097790448,130116485632,112048080523,115623541817,138108164130,127183065845,125529733946,142789256488,123803171352,131274697407,128041660300,135033832132,126848241413,128421093288,118841715933,145726445385,129149812748,121164113964,124141553588,117961617442,127676302701,142180983865,138658170525,112672491944
218,117172043804,134934143297,131579274629,113996817229,137289002227,117341056553,120115886039,145084709734,132938521601,130987615953,120214626808,136159539178,112497427731,128546385024,141989402114,133875674257,127100320030,130118548154,112050203752,115625860005,138110477991,127185465450,125531870775,142792318857,123805902369,131277350539,128043974901,135036679482,126850663145,128423771433,118844455458,145728782872,129152006685,121166743539,124144199585,117963800640,127678485925,142183214185,138660481566,112675032991
219,117175362544,134937002093,131582017028,113999196129,137291284700,117343728286,120118677024,145086790824,132941286113,130991033954,120216690742,136162014470,112499846627,128548094710,141991858139,133877828905,127102114016,130120342138,112052518339,115628001083,138112875394,127188137873,125534246827,142795469765,123808435515,131279880840,128046904419,135038894826,126852649962,128426163911,118847217870,145731346010,129154525566,121169698058,124145810746,117966176668,127680730571,142185564483,138663305399,112677313344
