%iowait,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,66.99,100.0,70.0,65.38,98.99,100.0,99.0,98.02,63.64,99.0,96.08,76.77,76.0,78.79,79.59,80.0,62.63,67.0,96.04,65.31,66.67,66.34,67.0,98.0,67.68,67.68,97.03,98.99,68.32,78.0,75.25,66.34,98.0,78.79,79.8,98.0,80.0,79.59,67.68,98.98,65.69,97.98,99.0,96.08,97.98,98.0,68.69,98.98,68.69,69.0,99.0,79.8,98.0,100.0,80.81,100.0,72.73,78.0,98.99,99.0,77.0,71.43,98.99,69.61,69.7,68.0,98.02,99.0,97.03,66.0,67.68,69.31,70.71,73.0,99.0,75.0,60.4,69.31,98.99,67.33,67.35,63.73,98.98,100.0,98.0,98.99,98.98,97.98,97.03,72.73,71.29,74.26,77.0,98.0,76.0,76.77,66.0,70.0,70.3,70.41,69.0,69.0,69.0,98.0,97.03,70.41,72.73,72.0,77.78,78.57,98.98,68.63,75.0,98.99,75.0,97.03,73.53,97.98,74.0,74.0,98.0,98.0,76.0,76.77,77.78,98.99,79.59,79.8,98.98,79.59,79.59,72.0,74.23,71.72,98.98,72.45,72.73,98.0,72.16,70.71
1,98.02,99.0,99.0,100.0,100.0,98.02,100.0,100.0,99.01,98.02,98.99,97.98,98.99,97.98,98.0,98.0,98.99,96.08,98.99,98.0,99.0,97.0,97.98,98.99,98.99,98.0,98.0,98.0,98.99,100.0,98.98,100.0,100.0,98.02,98.0,100.0,97.98,99.0,98.99,98.99,98.0,97.03,100.0,98.0,98.0,98.99,96.08,98.02,97.0,98.99,98.99,98.0,98.99,99.0,98.99,99.0,98.02,98.0,98.04,99.0,100.0,99.0,100.0,100.0,99.0,99.0,99.0,99.0,99.01,100.0,99.0,98.0,99.0,100.0,100.0,100.0,97.98,98.0,98.0,95.15,96.04,98.0,98.99,97.03,98.0,98.99,98.99,98.0,98.99,98.99,98.0,98.99,98.99,100.0,98.99,98.99,97.0,97.98,98.0,97.03,98.0,98.99,98.99,98.02,97.98,97.03,98.0,98.0,98.99,98.0,98.0,98.99,98.98,97.03,97.03,98.99,96.04,98.0,97.98,97.0,98.99,98.99,98.99,98.0,98.0,99.0,95.15,98.0,98.0,98.99,97.03,97.98,97.03,97.98,98.0,98.0,98.99,98.0,97.98,97.0
2,99.0,99.0,99.0,99.01,98.99,99.0,99.0,97.09,100.0,98.99,97.0,98.0,98.02,98.02,99.0,98.99,97.03,98.0,98.0,98.0,99.0,98.0,97.06,100.0,98.99,100.0,98.99,99.0,97.03,98.02,98.0,99.0,98.0,98.99,98.99,98.99,98.99,98.99,98.0,98.0,96.08,98.0,100.0,98.0,98.99,98.0,98.0,97.03,98.0,99.0,100.0,98.99,98.99,99.0,98.0,100.0,98.02,99.01,100.0,100.0,99.0,98.02,100.0,100.0,98.02,99.0,99.0,99.0,99.0,100.0,100.0,99.01,98.02,100.0,100.0,100.0,97.03,98.99,99.0,97.03,98.0,98.99,98.0,96.08,98.0,98.99,98.0,98.99,98.99,98.0,98.99,96.12,98.99,96.08,97.06,98.0,98.0,99.0,98.99,98.99,98.0,98.99,97.03,99.0,99.0,98.0,98.98,98.0,98.99,100.0,98.99,98.0,97.03,100.0,98.99,98.99,97.03,100.0,99.0,98.99,98.98,98.99,97.03,97.03,98.0,98.99,98.02,98.99,98.0,97.03,98.0,100.0,97.03,98.0,98.0,97.98,98.0,98.99,98.99,98.99
3,99.0,100.0,100.0,98.99,98.02,100.0,100.0,98.99,99.0,97.06,98.0,98.02,98.99,98.99,99.0,98.99,98.99,98.98,98.0,97.03,99.0,98.0,98.99,98.0,97.03,97.03,98.0,98.0,98.99,100.0,98.0,98.02,98.99,98.02,99.0,99.0,98.02,98.99,99.0,98.99,97.98,95.15,100.0,100.0,98.0,98.99,97.03,98.99,98.99,100.0,98.99,98.0,99.0,99.0,99.0,99.0,99.01,99.0,97.06,99.0,98.04,100.0,100.0,99.01,100.0,100.0,100.0,99.0,100.0,98.99,98.02,100.0,99.0,100.0,100.0,99.0,98.99,98.99,98.99,97.03,98.0,98.0,98.0,97.03,98.0,98.0,98.0,97.03,98.99,98.99,98.0,98.0,98.99,98.0,98.0,99.0,98.0,97.03,98.98,98.99,98.99,98.99,99.0,95.15,98.0,98.99,98.99,98.99,99.0,98.99,98.99,97.98,98.0,97.03,97.03,98.99,96.08,98.99,98.0,97.03,98.0,98.0,99.0,100.0,98.02,97.03,98.0,98.02,99.0,98.99,98.99,96.04,98.99,98.99,98.0,98.0,98.99,98.99,97.98,97.98
4,100.0,99.0,98.02,99.0,100.0,100.0,96.12,100.0,99.0,100.0,98.99,98.0,97.03,98.99,98.99,98.0,97.0,97.03,97.03,98.98,100.0,96.08,98.0,98.0,98.99,98.0,98.99,97.03,98.99,98.0,98.99,99.0,98.02,98.99,98.99,100.0,98.0,99.0,98.0,98.99,98.99,98.99,100.0,98.0,98.99,98.0,98.99,98.99,98.99,98.0,98.99,100.0,98.99,98.99,98.0,99.01,99.0,100.0,99.0,100.0,100.0,98.02,98.99,98.99,98.02,99.0,98.02,99.0,98.02,98.04,100.0,100.0,100.0,99.0,100.0,99.0,98.99,98.99,98.0,97.0,98.99,98.0,98.0,96.08,97.03,98.0,98.99,98.99,97.03,98.0,97.0,98.0,99.0,98.99,98.99,97.03,98.0,100.0,98.02,98.99,98.99,98.0,97.98,98.0,98.99,98.02,97.03,99.0,98.0,98.0,99.0,98.02,98.02,98.0,97.03,97.03,97.03,98.99,98.99,98.99,98.99,98.0,98.0,97.03,98.99,99.0,96.08,96.12,98.0,99.0,98.02,98.0,98.99,98.99,98.99,98.0,97.0,97.03,98.99,98.02
5,99.0,72.28,97.06,98.02,68.0,61.39,61.0,58.82,98.02,65.0,70.0,99.0,98.0,98.0,98.99,98.99,97.03,98.0,61.62,95.15,100.0,97.03,98.0,61.39,98.99,98.02,60.4,66.67,98.0,98.99,98.0,100.0,76.0,98.0,98.0,78.79,98.0,98.99,97.98,62.38,98.0,60.78,71.0,64.29,63.0,63.0,97.03,63.0,98.0,99.0,66.67,96.04,80.61,70.0,98.0,72.73,99.0,99.0,76.0,74.76,100.0,99.0,71.0,99.0,99.0,99.0,64.0,63.64,65.0,100.0,98.02,99.0,99.0,98.02,72.55,99.0,98.99,98.0,69.39,99.0,99.0,98.0,67.33,69.31,69.0,71.43,71.43,72.0,75.76,98.98,100.0,98.99,98.0,77.78,98.0,98.99,100.0,97.03,98.99,98.0,98.99,98.0,98.99,71.0,71.72,100.0,96.12,100.0,98.99,98.99,78.0,97.03,98.99,74.75,98.99,74.0,98.0,73.74,98.99,97.03,74.75,76.24,100.0,98.99,98.99,77.0,98.0,100.0,78.0,98.99,98.99,98.99,98.99,98.99,72.0,97.98,98.98,71.29,98.02,97.98
6,66.34,97.03,70.71,69.0,98.0,99.0,100.0,99.0,62.38,98.0,97.0,75.76,75.76,77.0,79.59,80.0,58.0,61.39,98.0,61.39,68.0,62.0,61.0,98.99,62.0,62.0,98.0,97.03,66.67,77.78,76.0,66.34,98.0,78.0,78.79,98.0,78.79,78.0,64.29,98.99,62.38,97.98,96.08,97.03,98.0,98.0,62.63,98.99,63.0,66.67,98.0,79.0,98.0,99.0,80.61,98.02,75.0,75.76,99.0,100.0,76.24,67.0,98.99,69.7,68.69,68.69,99.0,98.0,97.03,66.0,67.68,70.41,69.0,73.74,100.0,77.0,61.62,71.0,98.0,69.0,69.39,68.32,96.97,93.0,96.97,95.0,96.97,96.0,96.97,76.0,75.76,74.26,77.0,98.0,78.57,76.77,67.68,70.0,70.0,71.43,71.0,69.0,70.71,96.0,96.0,72.45,73.74,73.74,77.0,78.0,98.98,72.45,74.49,98.99,74.0,98.99,74.0,98.0,74.0,77.0,97.0,96.97,76.0,77.78,78.0,98.02,78.79,77.23,98.99,77.0,78.0,74.23,73.47,71.0,98.0,71.72,71.29,97.98,71.72,70.3
7,98.99,72.0,98.99,98.0,69.7,62.63,62.38,60.58,98.0,61.62,72.0,100.0,98.0,98.0,98.99,96.08,96.08,97.0,62.63,97.0,99.0,97.98,97.98,61.39,98.0,98.0,62.38,67.0,97.03,99.0,97.98,98.99,75.25,98.02,98.99,78.0,97.03,98.0,98.99,63.27,98.99,62.75,73.47,64.0,64.29,63.64,98.99,63.64,98.99,98.0,68.37,98.0,79.8,72.0,98.02,71.0,99.0,98.02,75.25,77.0,99.0,99.0,70.0,99.0,100.0,98.0,65.66,63.37,63.37,98.99,100.0,98.02,99.0,99.01,76.53,100.0,98.0,98.0,67.0,94.95,96.97,96.0,66.0,64.08,67.0,67.0,69.7,71.72,73.74,96.97,97.0,99.0,97.03,77.78,98.99,98.0,97.03,96.97,98.99,96.97,95.0,97.98,97.0,69.0,69.0,95.05,97.0,98.0,98.99,97.98,78.0,98.99,98.02,72.73,98.0,72.0,97.0,73.74,97.98,92.08,74.49,74.75,96.04,97.98,98.99,77.78,98.02,100.0,78.0,97.03,98.0,98.0,98.99,98.0,71.72,97.03,97.0,72.0,97.98,97.98
8,68.0,99.0,70.0,69.7,98.02,99.0,98.0,98.99,63.0,99.0,97.0,74.51,75.25,76.0,77.23,80.61,60.2,63.37,98.99,64.0,67.68,61.76,62.63,98.99,62.38,61.0,98.99,97.98,68.37,77.78,76.0,68.69,98.99,77.0,78.79,98.99,78.0,78.79,64.0,98.0,63.0,98.0,100.0,97.98,98.0,98.0,64.0,99.0,63.37,68.69,98.0,79.0,98.99,98.99,80.61,98.02,73.27,77.55,98.0,98.0,73.27,67.33,99.0,69.0,69.0,69.31,98.02,99.0,99.0,65.66,66.0,69.31,70.0,75.76,100.0,76.0,60.0,69.7,98.99,67.35,67.0,66.34,99.0,98.0,99.0,98.99,97.03,97.0,97.0,73.0,75.26,74.0,76.77,98.0,77.78,78.0,66.67,68.32,69.39,68.69,69.0,67.33,69.7,96.08,98.0,68.32,73.0,73.27,77.0,79.59,98.0,72.0,76.53,98.99,74.0,97.03,72.28,98.0,72.73,74.0,98.98,98.0,74.75,75.76,75.25,98.99,76.24,77.23,98.0,79.59,78.79,72.73,74.75,72.45,98.0,70.0,71.0,98.98,71.0,71.29
9,98.99,99.0,98.02,99.0,98.0,99.0,99.0,97.06,100.0,98.99,98.99,98.99,97.98,97.03,97.98,97.98,97.0,98.99,98.0,98.98,98.02,97.98,98.99,97.03,98.0,96.08,98.0,98.0,96.04,98.0,98.0,99.0,98.99,97.98,97.03,98.99,98.98,98.0,98.99,98.99,98.99,98.02,100.0,99.0,98.0,98.0,98.99,97.98,98.99,98.98,97.98,98.99,99.0,98.02,98.99,99.0,99.0,99.01,99.01,100.0,100.0,100.0,100.0,99.0,98.02,100.0,99.0,99.0,99.0,98.02,99.0,99.0,100.0,99.0,100.0,98.02,98.99,98.0,97.03,99.0,97.03,100.0,98.99,97.0,100.0,98.0,98.99,98.99,98.0,97.03,97.03,98.0,97.03,98.99,98.99,98.98,98.99,98.99,99.0,98.02,99.0,100.0,98.0,97.03,98.0,98.99,98.99,98.0,98.0,98.99,98.99,97.98,97.0,98.0,97.0,98.0,98.99,98.99,98.0,97.98,97.03,98.0,98.99,98.0,100.0,98.0,98.99,98.0,98.0,98.02,98.0,97.0,98.0,98.0,98.0,97.98,97.0,98.99,96.97,97.98
10,98.02,100.0,99.0,100.0,100.0,99.0,99.0,100.0,99.0,98.02,96.04,98.0,98.0,98.99,98.99,98.0,98.99,98.0,95.15,98.02,99.0,97.03,98.02,98.02,98.0,99.0,98.0,98.99,100.0,100.0,98.0,100.0,98.02,98.0,100.0,98.0,99.0,98.99,98.0,100.0,98.0,98.0,100.0,97.03,99.0,98.99,98.0,100.0,98.98,97.03,98.02,98.0,98.99,100.0,98.0,99.0,100.0,98.02,97.06,100.0,99.0,97.06,99.0,100.0,100.0,100.0,99.0,100.0,98.02,99.0,100.0,99.0,100.0,100.0,99.01,100.0,98.0,98.99,98.0,98.98,98.98,97.03,100.0,96.08,98.99,98.99,98.0,98.0,98.99,98.0,97.98,100.0,98.0,98.0,98.99,99.0,97.03,98.0,98.0,100.0,98.0,99.0,98.0,98.0,98.99,98.0,98.0,97.03,98.99,98.0,98.99,98.0,98.99,98.99,98.99,97.03,98.99,98.0,98.99,97.06,98.99,98.99,98.99,98.0,97.03,99.0,98.99,97.03,98.0,100.0,98.02,98.99,100.0,98.0,100.0,98.0,98.99,98.0,98.0,97.03
11,99.0,99.0,99.0,98.02,99.0,100.0,98.02,98.99,98.02,99.0,97.03,98.99,98.0,98.0,97.06,99.0,96.08,97.03,98.99,98.0,100.0,98.99,98.0,98.98,99.0,98.99,97.03,98.99,97.03,98.99,98.0,98.02,98.99,98.99,98.99,100.0,98.0,98.99,97.03,97.06,99.0,96.08,100.0,98.99,98.99,98.0,100.0,98.0,98.99,98.0,98.98,100.0,98.99,99.0,98.02,100.0,98.99,100.0,99.0,98.02,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,98.02,100.0,100.0,100.0,100.0,98.98,97.03,98.98,98.99,98.99,97.03,98.0,97.03,98.99,98.99,98.99,98.0,98.99,97.98,98.02,98.99,100.0,98.0,98.99,98.99,100.0,98.0,98.99,98.99,98.0,97.98,100.0,96.08,98.0,98.0,98.99,98.0,97.03,98.0,99.0,98.0,98.0,98.99,98.0,99.0,97.03,97.03,98.0,97.03,97.03,98.0,98.02,99.0,98.99,97.03,97.03,99.0,98.0,98.02,98.99,98.0,98.0,97.98,98.0,98.0,98.0,97.98,99.0,100.0
12,99.0,98.02,98.99,100.0,100.0,99.0,99.0,98.02,99.0,98.02,98.99,100.0,99.0,100.0,100.0,98.0,98.0,98.99,98.0,98.99,100.0,97.98,98.02,97.03,98.0,99.0,98.99,98.0,98.99,98.99,98.0,99.0,98.99,98.02,98.99,98.99,99.0,99.0,100.0,98.0,98.0,98.0,99.0,97.98,98.0,98.99,98.0,100.0,98.0,97.98,97.03,98.0,98.02,99.0,98.99,98.02,99.01,99.0,98.02,99.0,99.0,99.0,99.0,100.0,100.0,98.02,100.0,98.02,99.0,100.0,99.0,100.0,98.02,99.0,100.0,99.0,97.03,98.99,98.0,98.0,98.99,97.03,98.99,96.08,98.99,97.98,98.99,99.0,98.99,96.12,97.98,98.99,97.03,98.0,99.0,99.0,97.03,97.03,98.0,98.99,98.0,98.0,98.99,98.99,96.12,98.0,98.99,98.0,98.99,98.99,97.98,100.0,98.99,98.02,97.03,98.0,98.0,98.02,98.0,98.99,98.02,98.02,98.99,98.0,98.0,99.0,98.02,99.0,98.99,97.03,98.02,98.0,98.0,98.99,98.0,98.0,97.98,98.0,98.98,97.98
13,98.02,95.96,99.01,100.0,94.0,87.0,88.12,87.13,99.0,95.0,96.0,98.0,98.99,98.0,97.03,98.99,98.0,96.08,87.88,98.99,99.0,98.0,98.99,88.89,97.03,98.99,86.87,90.91,98.99,99.0,98.99,100.0,96.04,98.0,99.0,98.98,98.0,98.0,98.99,88.89,98.99,88.0,100.0,88.12,89.8,89.8,97.03,89.9,98.99,98.0,92.93,100.0,98.99,96.0,98.99,98.0,99.0,99.0,98.99,98.0,99.01,100.0,97.0,100.0,98.02,99.0,89.9,93.88,93.14,100.0,98.02,100.0,100.0,99.0,98.0,100.0,97.03,96.08,95.0,98.99,98.0,97.03,97.96,97.0,97.96,97.0,96.04,96.97,98.0,97.98,98.02,98.99,98.0,98.99,98.99,98.99,98.02,98.0,98.99,98.0,97.03,99.0,98.0,96.97,100.0,95.15,98.99,98.99,98.99,98.0,98.99,97.06,97.06,96.0,98.0,96.04,98.99,97.98,97.03,98.99,97.98,98.0,99.0,98.0,100.0,99.0,97.03,97.06,98.02,100.0,98.0,98.0,98.0,98.0,97.96,98.0,98.0,97.98,97.06,98.99
14,94.0,73.53,93.88,93.0,73.0,74.0,71.72,73.47,88.78,68.0,73.0,98.0,96.97,98.0,98.99,97.03,85.0,89.0,71.0,89.0,97.0,89.0,87.13,72.73,85.58,89.8,73.27,74.0,90.1,96.0,97.98,95.0,77.78,97.0,97.0,79.21,97.03,98.98,88.0,72.0,89.8,71.0,72.73,72.73,73.74,73.0,87.0,73.74,88.89,91.0,73.0,98.0,79.8,74.0,98.02,73.74,98.99,98.0,74.76,76.24,98.0,96.97,70.3,97.96,95.92,96.0,73.27,71.29,67.68,92.93,96.0,96.0,96.97,98.99,75.25,97.98,90.91,97.0,70.71,97.0,97.98,95.05,67.33,65.69,68.0,69.39,72.45,73.27,74.75,98.0,98.0,98.0,98.0,77.0,98.0,98.0,96.97,97.0,96.04,97.96,97.98,98.98,98.98,68.63,70.71,97.98,96.04,98.0,98.99,97.06,78.0,97.98,97.98,73.53,96.04,74.0,97.03,74.26,98.98,98.99,75.0,74.0,98.99,100.0,98.99,78.57,99.0,98.0,80.41,98.02,98.0,97.98,97.98,97.98,73.0,95.05,97.0,74.49,97.0,96.0
